,time,sea_level_altitude
0,1992.8273,-5.67
1,1992.8533,-62.53
2,1992.8837,0.82
3,1992.9092,10.21
4,1992.9351,21.95
5,1992.9606,-28.82
6,1992.9903,-87.22
7,1993.0186,-100.13
8,1993.043,-72.22
9,1993.0655,-76.26
10,1993.099,-68.27
11,1993.1243,-129.74
12,1993.1515,-85.23
13,1993.182,7.28
14,1993.209,-84.06
15,1993.2345,-106.74
16,1993.289,-44.41
17,1993.3179,-66.51
18,1993.343,-38.82
19,1993.3704,-25.64
20,1993.398,-25.56
21,1993.4244,-8.9
22,1993.4506,-34.95
23,1993.4778,-40.28
24,1993.5024,-66.8
25,1993.5336,-65.44
26,1993.5881,-38.52
27,1993.6145,-37.44
28,1993.6407,-34.97
29,1993.6693,-39.87
30,1993.695,-42.98
31,1993.7255,-22.69
32,1993.7505,-19.95
33,1993.778,61.71
34,1993.8042,12.22
35,1993.862,-2.98
36,1993.8865,-148.8
37,1993.9124,-34.81
38,1993.9395,7.21
39,1993.9678,-12.78
40,1993.9936,-23.82
41,1994.0209,23.7
42,1994.0477,-1.07
43,1994.0751,-137.59
44,1994.1033,-45.7
45,1994.1308,73.12
46,1994.1578,42.08
47,1994.1845,-66.58
48,1994.2391,-58.44
49,1994.267,-31.23
50,1994.2932,26.55
51,1994.32,15.01
52,1994.3481,-17.53
53,1994.3752,17.03
54,1994.4021,47.37
55,1994.4295,-13.2
56,1994.4568,-41.81
57,1994.5105,-1.8
58,1994.5357,-52.35
59,1994.5638,-21.31
60,1994.5919,35.34
61,1994.6192,28.74
62,1994.6464,-4.3
63,1994.6736,-25.87
64,1994.6995,-7.21
65,1994.7264,-35.14
66,1994.7538,-10.4
67,1994.7821,-76.93
68,1994.8093,-11.33
69,1994.8359,-10.19
70,1994.8905,-41.62
71,1994.9178,-40.87
72,1994.945,-52.49
73,1994.9724,-9.62
74,1994.9995,-22.36
75,1995.0265,-21.3
76,1995.0536,-21.48
77,1995.0785,-1.19
78,1995.1079,22.67
79,1995.135,43.39
80,1995.1607,-14.2
81,1995.2164,-43.59
82,1995.2435,-81.01
83,1995.2708,-69.87
84,1995.2983,-21.01
85,1995.326,-10.59
86,1995.3814,-1.86
87,1995.4068,-59.46
88,1995.4351,-32.63
89,1995.4608,9.24
90,1995.4867,-30.81
91,1995.5426,0.55
92,1995.5726,4.55
93,1995.5965,-12.88
94,1995.6233,-40.01
95,1995.6517,-7.54
96,1995.6769,-2.92
97,1995.7058,-14.14
98,1995.7326,-29.31
99,1995.7603,-50.88
100,1995.787,-82.62
101,1995.8414,-64.74
102,1995.8684,-12.25
103,1995.8949,-22.88
104,1995.9519,46.37
105,1995.9758,78.46
106,1996.0047,162.25
107,1996.0336,53.06
108,1996.0576,-2.5
109,1996.0838,82.59
110,1996.1139,58.26
111,1996.1698,13.15
112,1996.1943,-40.39
113,1996.226,78.8
114,1996.2505,35.33
115,1996.2751,16.32
116,1996.3017,-46.7
117,1996.33,-61.13
118,1996.3572,81.73
119,1996.3845,85.05
120,1996.4105,-13.66
121,1996.4372,-51.33
122,1996.4925,-39.98
123,1996.5204,-44.61
124,1996.5466,-53.03
125,1996.5727,-45.87
126,1996.6013,-36.3
127,1996.6285,-31.92
128,1996.6558,-29.11
129,1996.6825,-54.09
