,time,sea_level_altitude
0,1992.8273,-4.45
1,1992.8533,-61.31
2,1992.8837,2.03
3,1992.9092,11.43
4,1992.9351,23.16
5,1992.9606,-27.61
6,1992.9903,-86.01
7,1993.0186,-98.92
8,1993.043,-71.01
9,1993.0655,-75.04
10,1993.099,-67.06
11,1993.1243,-128.53
12,1993.1515,-84.02
13,1993.182,8.49
14,1993.209,-82.85
15,1993.2345,-105.53
16,1993.289,-43.2
17,1993.3179,-65.3
18,1993.343,-37.61
19,1993.3704,-24.43
20,1993.398,-24.35
21,1993.4244,-7.69
22,1993.4506,-33.74
23,1993.4778,-39.07
24,1993.5024,-65.58
25,1993.5336,-64.22
26,1993.5881,-37.31
27,1993.6145,-36.23
28,1993.6407,-33.76
29,1993.6693,-38.66
30,1993.695,-41.77
31,1993.7255,-21.48
32,1993.7505,-18.74
33,1993.778,62.92
34,1993.8042,13.43
35,1993.862,-1.77
36,1993.8865,-147.59
37,1993.9124,-33.59
38,1993.9395,8.42
39,1993.9678,-11.57
40,1993.9936,-22.61
41,1994.0209,24.91
42,1994.0477,0.14
43,1994.0751,-136.38
44,1994.1033,-44.49
45,1994.1308,74.33
46,1994.1578,43.29
47,1994.1845,-65.37
48,1994.2391,-57.23
49,1994.267,-30.02
50,1994.2932,27.77
51,1994.32,16.23
52,1994.3481,-16.31
53,1994.3752,18.24
54,1994.4021,48.58
55,1994.4295,-11.99
56,1994.4568,-40.59
57,1994.5105,-0.59
58,1994.5357,-51.14
59,1994.5638,-20.1
60,1994.5919,36.55
61,1994.6192,29.96
62,1994.6464,-3.09
63,1994.6736,-24.66
64,1994.6995,-6.0
65,1994.7264,-33.93
66,1994.7538,-9.18
67,1994.7821,-75.72
68,1994.8093,-10.11
69,1994.8359,-8.98
70,1994.8905,-40.41
71,1994.9178,-39.66
72,1994.945,-51.27
73,1994.9724,-8.41
74,1994.9995,-21.14
75,1995.0265,-20.09
76,1995.0536,-20.27
77,1995.0785,0.03
78,1995.1079,23.88
79,1995.135,44.6
80,1995.1607,-12.99
81,1995.2164,-42.38
82,1995.2435,-79.8
83,1995.2708,-68.66
84,1995.2983,-19.79
85,1995.326,-9.38
86,1995.3814,-0.65
87,1995.4068,-58.24
88,1995.4351,-31.42
89,1995.4608,10.45
90,1995.4867,-29.6
91,1995.5426,1.76
92,1995.5726,5.76
93,1995.5965,-11.66
94,1995.6233,-38.8
95,1995.6517,-6.33
96,1995.6769,-1.71
97,1995.7058,-12.93
98,1995.7326,-28.1
99,1995.7603,-49.66
100,1995.787,-81.41
101,1995.8414,-63.53
102,1995.8684,-11.04
103,1995.8949,-21.67
104,1995.9519,47.58
105,1995.9758,79.68
106,1996.0047,163.46
107,1996.0336,54.27
108,1996.0576,-1.29
109,1996.0838,83.8
110,1996.1139,59.47
111,1996.1698,14.36
112,1996.1943,-39.17
113,1996.226,80.02
114,1996.2505,36.54
115,1996.2751,17.53
116,1996.3017,-45.48
117,1996.33,-59.92
118,1996.3572,82.94
119,1996.3845,86.27
120,1996.4105,-12.45
121,1996.4372,-50.12
122,1996.4925,-38.76
