,time,sea_level_altitude
0,1992.8255,52.7
1,1992.8492,28.77
2,1992.8796,54.24
3,1992.9042,-3.68
4,1992.9311,-19.87
5,1992.96,-18.58
6,1992.9855,7.08
7,1993.0124,-55.26
8,1993.042,-61.56
9,1993.0657,-34.66
10,1993.0966,-57.75
11,1993.1212,-81.34
12,1993.1511,-30.32
13,1993.1757,-66.04
14,1993.2027,14.19
15,1993.2296,-21.47
16,1993.2841,-31.37
17,1993.3116,3.61
18,1993.3385,-39.5
19,1993.3653,-32.23
20,1993.3938,-58.41
21,1993.4212,-28.68
22,1993.4471,9.29
23,1993.4748,-14.14
24,1993.5013,-47.07
25,1993.5286,-34.7
26,1993.5827,18.2
27,1993.612,34.32
28,1993.6369,61.3
29,1993.6631,27.28
30,1993.6917,24.19
31,1993.7162,-19.32
32,1993.7461,-52.29
33,1993.7734,-11.05
34,1993.8003,18.73
35,1993.8553,-59.34
36,1993.8813,44.1
37,1993.9082,76.68
38,1993.9352,18.38
39,1993.9631,28.62
40,1993.9907,75.29
41,1994.0176,36.38
42,1994.0444,7.8
43,1994.0712,27.61
44,1994.0985,54.92
45,1994.126,20.17
46,1994.153,9.26
47,1994.1801,23.23
48,1994.2341,17.38
49,1994.2614,36.7
50,1994.2887,-12.9
51,1994.3152,-66.87
52,1994.3422,-6.36
53,1994.3706,-58.95
54,1994.3973,-102.81
55,1994.4245,-107.4
56,1994.4522,-95.23
57,1994.5057,-48.38
58,1994.5336,-43.02
59,1994.56,-110.37
60,1994.5873,-44.01
61,1994.6145,-26.99
62,1994.641,-30.22
63,1994.6683,-51.09
64,1994.6953,-83.58
65,1994.7235,-62.25
66,1994.7505,-44.79
67,1994.7775,-54.3
68,1994.8047,-98.53
69,1994.8313,-129.02
70,1994.8863,-154.25
71,1994.9134,-117.93
72,1994.94,-34.12
73,1994.9675,-93.94
74,1994.9948,-85.28
75,1995.0218,-96.97
76,1995.0488,-104.26
77,1995.0758,-92.82
78,1995.1031,-11.1
79,1995.1303,-51.89
80,1995.1576,22.1
81,1995.2116,-8.03
82,1995.2387,-26.51
83,1995.266,-20.16
84,1995.293,47.03
85,1995.3199,19.11
86,1995.3743,38.5
87,1995.402,25.35
88,1995.4289,26.55
89,1995.456,-8.84
90,1995.4826,5.93
91,1995.5374,41.31
92,1995.5647,12.36
93,1995.5922,36.07
94,1995.6192,1.62
95,1995.6456,-22.31
96,1995.6729,2.44
97,1995.7003,-19.03
98,1995.7277,-8.36
99,1995.7547,-17.78
100,1995.7819,17.6
101,1995.8358,-6.82
102,1995.8631,74.41
103,1995.8914,168.71
104,1995.9448,43.31
105,1995.9716,-9.15
106,1995.9993,-9.96
107,1996.0264,-37.37
108,1996.0503,-37.2
109,1996.0802,-52.93
110,1996.1076,-15.25
111,1996.1614,-3.23
112,1996.1888,-39.9
113,1996.2035,-110.3
114,1996.2433,-70.16
115,1996.2707,-2.32
116,1996.2976,8.62
117,1996.3254,70.21
118,1996.3523,67.54
119,1996.379,39.36
120,1996.4062,-35.53
121,1996.4339,-69.24
122,1996.4878,-30.44
123,1996.5154,-86.23
124,1996.5423,46.5
125,1996.5697,32.72
126,1996.5958,15.9
127,1996.6234,-17.4
128,1996.6507,85.93
129,1996.6782,5.04
130,1996.7058,67.98
131,1996.7323,45.42
132,1996.759,13.18
133,1996.8126,85.81
134,1996.8422,55.82
135,1996.8677,109.51
136,1996.895,56.88
137,1996.9226,56.21
138,1996.9491,85.95
139,1996.9764,57.68
140,1997.0037,28.61
141,1997.0304,-2.42
142,1997.058,-7.45
143,1997.0854,-30.43
144,1997.1391,17.68
145,1997.1663,12.86
146,1997.1935,43.75
147,1997.2206,55.45
148,1997.2474,-49.62
149,1997.2749,-100.37
150,1997.3021,-73.6
151,1997.3292,-85.1
152,1997.3565,-68.16
153,1997.3845,100.17
154,1997.4105,45.48
155,1997.4647,-73.6
156,1997.4921,-58.04
157,1997.5188,-144.7
158,1997.5463,-147.39
159,1997.5743,-95.67
160,1997.6276,-23.78
161,1997.6558,-39.76
162,1997.6827,-43.95
163,1997.7092,-68.5
164,1997.7371,-59.59
165,1997.791,-166.92
166,1997.8178,-205.21
167,1997.8452,-200.53
168,1997.8722,-189.17
169,1997.8995,-201.26
170,1997.9266,-225.63
171,1997.9537,-219.09
172,1997.981,-212.16
173,1998.008,-159.38
174,1998.0353,-135.3
175,1998.0889,-128.68
176,1998.1162,-65.74
177,1998.1435,-81.33
178,1998.1709,-45.66
179,1998.1972,-67.08
180,1998.2251,-64.37
181,1998.2526,-117.66
182,1998.2788,-46.78
183,1998.3066,-65.83
184,1998.3336,-76.48
185,1998.3605,-118.09
186,1998.417,72.07
187,1998.4434,100.87
188,1998.4693,36.85
189,1998.497,8.78
190,1998.5239,-48.89
191,1998.5505,20.84
192,1998.6057,26.02
193,1998.6321,-12.74
194,1998.659,76.31
195,1998.6868,31.65
196,1998.7132,27.53
197,1998.7411,24.27
198,1998.7675,53.27
199,1998.8226,10.51
200,1998.8497,38.58
201,1998.877,84.04
202,1998.9041,76.69
203,1998.9316,20.41
204,1998.9582,31.31
205,1998.9855,40.38
206,1999.0122,62.96
207,1999.0393,74.2
208,1999.0941,117.89
209,1999.1242,105.29
210,1999.1484,66.5
211,1999.1753,34.74
212,1999.2026,19.14
213,1999.2302,-0.61
214,1999.2568,34.66
215,1999.2838,54.24
216,1999.3378,64.8
217,1999.3652,10.16
218,1999.3917,4.52
219,1999.4206,-1.51
220,1999.4475,-66.9
221,1999.4743,-76.84
222,1999.5008,-102.96
223,1999.5288,-49.04
224,1999.5557,-60.3
225,1999.5825,26.42
226,1999.6097,1.89
227,1999.6361,-77.51
228,1999.6909,-65.23
229,1999.7183,-66.51
230,1999.745,-62.7
231,1999.7715,7.54
232,1999.7996,-12.04
233,1999.827,72.35
234,1999.8537,74.59
235,1999.8829,68.45
236,1999.9082,40.68
237,1999.9628,43.99
238,1999.9899,27.51
239,2000.0165,32.1
240,2000.0446,38.87
241,2000.0715,2.54
242,2000.0985,49.42
243,2000.1256,52.74
244,2000.1531,58.07
245,2000.1798,77.71
246,2000.2073,109.64
247,2000.234,87.95
248,2000.2883,32.51
249,2000.3164,81.97
250,2000.3423,52.65
251,2000.3691,30.52
252,2000.3967,-2.22
253,2000.4244,-8.96
254,2000.4513,23.83
255,2000.478,-13.78
256,2000.5057,19.62
257,2000.5335,33.34
258,2000.587,-5.94
259,2000.6121,38.06
260,2000.6412,52.93
261,2000.6688,56.17
262,2000.6955,40.82
263,2000.7224,-0.43
264,2000.7507,-22.02
265,2000.7776,7.88
266,2000.8041,-1.23
267,2000.8587,29.95
268,2000.8852,4.88
269,2000.9132,33.48
270,2000.9399,50.62
271,2000.9671,-6.65
