,time,sea_level_altitude
0,1992.8255,95.66
1,1992.8492,72.86
2,1992.8796,95.16
3,1992.9042,30.16
4,1992.9311,1.36
5,1992.96,-16.14
6,1992.9855,-10.64
7,1993.0124,-96.44
8,1993.042,-128.94
9,1993.0657,-121.54
10,1993.0966,-165.64
11,1993.1212,-200.74
12,1993.1511,-155.94
13,1993.1757,-189.74
14,1993.2027,-100.04
15,1993.2296,-119.24
16,1993.2841,-80.04
17,1993.3116,-16.34
18,1993.3385,-31.74
19,1993.3653,0.66
20,1993.3938,-3.44
21,1993.4212,41.66
22,1993.4471,88.26
23,1993.4748,67.76
24,1993.5013,32.16
25,1993.5286,37.36
26,1993.5827,69.16
27,1993.612,73.86
28,1993.6369,92.96
29,1993.6631,53.36
30,1993.6917,47.86
31,1993.7162,5.26
32,1993.7461,-23.64
33,1993.7734,22.96
34,1993.8003,58.06
35,1993.8553,-15.44
36,1993.8813,84.66
37,1993.9082,108.96
38,1993.9352,37.26
39,1993.9631,28.76
40,1993.9907,53.16
41,1994.0176,-9.44
42,1994.0444,-61.64
43,1994.0712,-63.44
44,1994.0985,-54.04
45,1994.126,-100.84
46,1994.153,-116.44
47,1994.1801,-99.44
48,1994.2341,-77.04
49,1994.2614,-34.34
50,1994.2887,-56.84
51,1994.3152,-83.04
52,1994.3422,5.06
53,1994.3706,-21.54
54,1994.3973,-45.54
55,1994.4245,-35.64
56,1994.4522,-15.24
57,1994.5057,29.96
58,1994.5336,27.36
59,1994.56,-50.04
60,1994.5873,5.06
61,1994.6145,11.66
62,1994.641,0.36
63,1994.6683,-25.74
64,1994.6953,-59.94
65,1994.7235,-36.94
66,1994.7505,-15.34
67,1994.7775,-19.44
68,1994.8047,-58.44
69,1994.8313,-85.54
70,1994.8863,-114.84
71,1994.9134,-87.84
72,1994.94,-18.14
73,1994.9675,-97.14
74,1994.9948,-110.94
75,1995.0218,-146.54
76,1995.0488,-177.44
77,1995.0758,-187.24
78,1995.1031,-122.54
79,1995.1303,-174.14
80,1995.1576,-103.64
81,1995.2116,-117.54
82,1995.2387,-117.34
83,1995.266,-86.84
84,1995.293,7.56
85,1995.3199,7.86
86,1995.3743,78.96
87,1995.402,85.56
88,1995.4289,100.06
89,1995.456,71.76
90,1995.4826,87.56
91,1995.5374,110.36
92,1995.5647,70.76
93,1995.5922,83.16
94,1995.6192,38.66
95,1995.6456,7.16
96,1995.6729,27.26
97,1995.7003,4.66
98,1995.7277,17.46
99,1995.7547,12.46
100,1995.7819,53.36
101,1995.8358,36.96
102,1995.8631,117.76
103,1995.8914,206.76
104,1995.9448,56.26
105,1995.9716,-15.54
106,1995.9993,-39.54
107,1996.0264,-91.04
108,1996.0503,-111.64
109,1996.0802,-150.44
110,1996.1076,-128.94
111,1996.1614,-128.84
112,1996.1888,-159.94
113,1996.2035,-224.14
114,1996.2433,-157.24
115,1996.2707,-64.44
116,1996.2976,-26.04
117,1996.3254,64.66
118,1996.3523,88.66
119,1996.379,83.56
120,1996.4062,27.16
121,1996.4339,6.06
122,1996.4878,50.76
123,1996.5154,-10.24
124,1996.5423,113.76
125,1996.5697,89.06
126,1996.5958,61.56
127,1996.6234,18.26
128,1996.6507,114.26
129,1996.6782,29.36
130,1996.7058,91.86
131,1996.7323,71.86
132,1996.759,44.26
133,1996.8126,127.16
134,1996.8422,99.86
135,1996.8677,152.36
136,1996.895,93.86
137,1996.9226,81.96
138,1996.9491,96.06
139,1996.9764,47.46
140,1997.0037,-4.84
141,1997.0304,-59.64
142,1997.058,-88.24
143,1997.0854,-131.44
144,1997.1391,-106.54
145,1997.1663,-112.34
146,1997.1935,-74.54
147,1997.2206,-48.54
148,1997.2474,-133.24
149,1997.2749,-158.34
150,1997.3021,-103.54
151,1997.3292,-86.74
152,1997.3565,-43.14
153,1997.3845,148.56
154,1997.4105,110.56
155,1997.4647,7.96
156,1997.4921,22.66
157,1997.5188,-69.64
158,1997.5463,-81.64
159,1997.5743,-41.24
160,1997.6276,10.56
161,1997.6558,-12.44
162,1997.6827,-19.94
163,1997.7092,-44.44
