,time,sea_level_altitude
0,1992.8259,-58.9
1,1992.8481,-50.2
2,1992.8763,-24.8
3,1992.9047,-29.8
4,1992.9297,-1.7
5,1992.9612,-9.5
6,1992.9862,16.2
7,1993.011,38.1
8,1993.0402,31.0
9,1993.0636,1.6
10,1993.0972,-3.1
11,1993.1197,11.4
12,1993.1476,19.1
13,1993.1763,18.2
14,1993.2035,27.8
15,1993.2306,24.4
16,1993.2847,46.0
17,1993.3119,58.7
18,1993.3391,64.2
19,1993.3664,55.5
20,1993.3934,57.7
21,1993.42,54.0
22,1993.4478,34.7
23,1993.474,24.8
24,1993.5024,14.6
25,1993.5291,-5.3
26,1993.5833,-65.8
27,1993.6121,-69.6
28,1993.6381,-56.1
29,1993.665,-38.9
30,1993.692,-49.5
31,1993.7181,-52.4
32,1993.7463,-42.6
33,1993.7735,-45.3
34,1993.8009,-52.9
35,1993.855,-12.9
36,1993.8821,-26.1
37,1993.9092,-49.8
38,1993.9361,-39.2
39,1993.9635,-19.0
40,1993.9904,-8.5
41,1994.0177,5.9
42,1994.0451,15.9
43,1994.0722,13.6
44,1994.0991,4.8
45,1994.1264,-1.8
46,1994.1536,14.3
47,1994.1808,14.8
48,1994.2351,25.7
49,1994.2625,42.1
50,1994.2895,54.0
51,1994.3165,53.0
52,1994.3434,52.2
53,1994.3708,61.2
54,1994.3978,69.6
55,1994.4256,58.4
56,1994.4525,28.3
57,1994.5067,-4.4
58,1994.5335,6.1
59,1994.5607,-33.2
60,1994.5878,-38.1
61,1994.6151,-47.9
62,1994.6423,-52.2
63,1994.6693,-34.0
64,1994.6964,-42.9
65,1994.7231,-59.3
66,1994.7506,-57.9
67,1994.7782,-46.4
68,1994.8052,-36.1
69,1994.8322,-19.4
70,1994.887,-15.0
71,1994.9137,-16.7
72,1994.9409,-31.4
73,1994.968,-18.6
74,1994.9951,6.5
75,1995.0224,2.8
76,1995.0494,-12.2
77,1995.0764,-6.9
78,1995.1036,-1.3
79,1995.1307,6.4
80,1995.158,10.1
81,1995.2125,19.4
82,1995.2393,39.1
83,1995.2666,31.8
84,1995.2937,60.4
85,1995.3208,74.1
86,1995.3751,57.4
87,1995.4024,51.9
88,1995.4295,58.7
89,1995.4574,39.3
90,1995.4835,18.8
91,1995.5381,2.2
92,1995.5653,3.4
93,1995.5922,-13.6
94,1995.6195,-20.6
95,1995.6463,-13.4
96,1995.6742,-27.9
97,1995.701,-48.6
98,1995.7281,-28.3
99,1995.755,-54.0
100,1995.7822,-40.2
101,1995.8369,-20.7
102,1995.864,-35.9
103,1995.8889,-37.1
104,1995.9453,-25.6
