,time,sea_level_altitude
0,1992.8259,-23.95
1,1992.8481,-20.21
2,1992.8763,-0.9
3,1992.9047,-11.32
4,1992.9297,12.84
5,1992.9612,1.27
6,1992.9862,24.8
7,1993.011,45.03
8,1993.0402,36.16
9,1993.0636,5.15
10,1993.0972,-2.77
11,1993.1197,8.71
12,1993.1476,11.49
13,1993.1763,4.17
14,1993.2035,6.64
15,1993.2306,-4.49
16,1993.2847,2.13
17,1993.3119,8.89
18,1993.3391,10.42
19,1993.3664,0.25
20,1993.3934,3.85
21,1993.42,4.43
22,1993.4478,-7.44
23,1993.474,-7.92
24,1993.5024,-5.87
25,1993.5291,-13.09
26,1993.5833,-47.81
27,1993.6121,-39.73
28,1993.6381,-17.51
29,1993.665,6.27
30,1993.692,-0.46
31,1993.7181,-2.22
32,1993.7463,6.19
33,1993.7735,0.02
34,1993.8009,-12.6
35,1993.855,15.56
36,1993.8821,-3.38
37,1993.9092,-32.09
38,1993.9361,-25.53
39,1993.9635,-8.45
40,1993.9904,-0.21
41,1994.0177,12.43
42,1994.0451,20.75
43,1994.0722,16.45
44,1994.0991,4.91
45,1994.1264,-5.55
46,1994.1536,5.45
47,1994.1808,-0.34
48,1994.2351,-4.5
49,1994.2625,4.07
50,1994.2895,8.97
51,1994.3165,2.37
52,1994.3434,-1.99
53,1994.3708,5.98
54,1994.3978,16.26
55,1994.4256,10.09
56,1994.4525,-12.31
57,1994.5067,-22.89
58,1994.5335,0.45
59,1994.5607,-25.67
60,1994.5878,-18.13
61,1994.6151,-16.92
62,1994.6423,-12.41
63,1994.6693,11.97
64,1994.6964,6.5
65,1994.7231,-9.18
66,1994.7506,-9.53
67,1994.7782,-1.85
68,1994.8052,3.32
69,1994.8322,14.14
70,1994.887,6.75
71,1994.9137,0.27
72,1994.9409,-18.35
73,1994.968,-8.48
74,1994.9951,14.46
75,1995.0224,9.04
76,1995.0494,-7.63
77,1995.0764,-4.42
78,1995.1036,-1.75
79,1995.1307,1.93
80,1995.158,0.31
81,1995.2125,-4.28
82,1995.2393,7.68
83,1995.2666,-7.35
84,1995.2937,14.39
85,1995.3208,22.75
86,1995.3751,2.28
87,1995.4024,-0.82
88,1995.4295,11.34
89,1995.4574,0.36
90,1995.4835,-10.02
91,1995.5381,-1.21
92,1995.5653,13.12
93,1995.5922,8.26
94,1995.6195,11.97
95,1995.6463,27.48
96,1995.6742,18.9
97,1995.701,1.11
98,1995.7281,21.68
99,1995.755,-6.12
100,1995.7822,3.66
101,1995.8369,11.79
102,1995.864,-9.41
103,1995.8889,-15.71
104,1995.9453,-13.08
105,1995.9724,15.42
106,1995.9997,40.05
107,1996.027,26.67
108,1996.0534,0.3
109,1996.0811,-2.06
110,1996.1081,16.57
111,1996.1624,0.74
112,1996.1897,15.57
113,1996.2152,8.25
114,1996.2438,2.68
115,1996.2712,-16.39
116,1996.298,-11.98
117,1996.3254,9.54
118,1996.3526,8.65
119,1996.3797,-0.33
120,1996.4068,18.85
121,1996.4343,29.59
122,1996.4883,-11.17
123,1996.5151,-3.93
124,1996.5435,-5.68
125,1996.5697,-11.02
126,1996.5969,-8.36
127,1996.6239,-9.31
128,1996.6513,-23.25
129,1996.6784,-26.76
130,1996.7055,-7.56
131,1996.7332,-25.35
132,1996.76,-22.03
133,1996.8141,-40.87
134,1996.8411,-51.95
135,1996.8684,-30.15
136,1996.8956,-7.28
137,1996.9227,13.06
138,1996.9495,-15.48
139,1996.9772,-36.49
140,1997.0042,-27.94
141,1997.0314,-1.8
142,1997.0582,-23.44
143,1997.0854,-39.98
144,1997.14,-40.44
145,1997.167,-42.21
146,1997.1942,-24.63
147,1997.2215,-16.66
148,1997.2484,-7.15
149,1997.2755,-3.33
150,1997.3029,-12.03
151,1997.3297,-5.87
152,1997.357,10.64
153,1997.3842,-10.26
154,1997.4114,-16.57
155,1997.4657,61.97
156,1997.4924,61.62
157,1997.5199,49.96
158,1997.5468,33.93
159,1997.5742,22.77
160,1997.6286,34.36
161,1997.6559,13.84
162,1997.6827,24.12
163,1997.7099,25.28
164,1997.7371,29.42
165,1997.791,33.85
166,1997.8185,45.18
167,1997.8456,40.64
168,1997.8729,49.11
169,1997.8997,30.67
170,1997.9273,40.99
171,1997.9543,14.99
172,1997.9815,8.77
173,1998.0086,4.78
174,1998.0359,-1.87
175,1998.0905,-9.31
176,1998.1169,3.33
177,1998.1443,2.94
178,1998.1716,4.71
179,1998.1985,-5.99
180,1998.2258,14.0
181,1998.2529,20.17
182,1998.2799,28.13
183,1998.3074,11.36
184,1998.3345,17.63
185,1998.3616,25.51
186,1998.4146,-15.57
187,1998.4431,2.3
188,1998.47,6.41
189,1998.4973,21.61
190,1998.5244,15.43
191,1998.5516,7.76
192,1998.6058,7.84
193,1998.6327,16.06
194,1998.6604,27.93
195,1998.6874,30.37
196,1998.7144,31.76
197,1998.7419,7.87
198,1998.7688,-13.26
199,1998.8231,-3.93
200,1998.8503,-16.0
201,1998.8772,-43.48
202,1998.9045,-36.38
203,1998.9317,-18.53
204,1998.9591,-4.21
205,1998.986,-22.98
206,1999.0132,-16.7
207,1999.0402,-12.24
208,1999.0946,-35.17
209,1999.1257,-30.54
210,1999.1487,7.76
211,1999.1762,1.3
212,1999.2035,-23.56
213,1999.2302,-33.98
214,1999.2575,-26.13
215,1999.2842,-35.74
216,1999.3388,-30.25
217,1999.366,-11.65
218,1999.3936,-17.93
219,1999.4202,-52.83
220,1999.4476,-43.6
221,1999.4748,-41.5
222,1999.5012,-34.12
223,1999.5294,-26.05
224,1999.5565,-33.58
225,1999.5831,-44.3
226,1999.6102,-33.15
227,1999.6376,-9.85
228,1999.6916,-22.8
229,1999.7188,-26.03
230,1999.746,-34.28
231,1999.7732,-25.83
232,1999.8007,-38.86
233,1999.8277,-45.95
234,1999.8549,-53.22
235,1999.8822,-38.4
236,1999.9076,-29.62
237,1999.9635,-35.95
238,1999.9904,-18.51
239,2000.0174,-6.76
240,2000.0448,-6.23
241,2000.0719,-11.13
242,2000.0989,-11.07
243,2000.1261,-29.81
244,2000.1532,-28.96
245,2000.1806,-28.69
246,2000.2076,-33.7
247,2000.2347,-29.98
248,2000.2895,-37.33
249,2000.3164,-32.51
250,2000.3435,-48.7
251,2000.3704,-15.93
252,2000.3976,-13.67
253,2000.4246,-9.64
254,2000.452,-53.48
255,2000.4791,-51.65
256,2000.5063,-44.67
257,2000.5331,-44.35
258,2000.5877,-15.88
259,2000.6148,-5.03
260,2000.6416,-8.5
261,2000.6689,-26.4
262,2000.6961,-6.52
263,2000.7233,8.91
264,2000.7506,7.37
265,2000.7776,-2.35
266,2000.8048,-14.4
267,2000.8594,-3.91
268,2000.8853,12.79
269,2000.9151,-31.06
270,2000.9409,-14.95
271,2000.9676,-15.54
272,2000.9947,-14.91
273,2001.0217,-8.41
274,2001.0763,-19.71
275,2001.1036,-29.85
276,2001.1306,-47.26
277,2001.158,-35.69
278,2001.1846,-12.41
279,2001.212,-20.14
280,2001.2392,-29.49
281,2001.2656,-28.08
282,2001.2936,-6.69
283,2001.3207,-9.94
284,2001.348,-7.76
285,2001.3749,-10.63
286,2001.4023,-14.74
287,2001.4296,-30.63
288,2001.4565,-9.55
289,2001.4842,-33.62
290,2001.5105,-32.91
291,2001.538,-49.06
292,2001.565,-25.32
293,2001.5923,-35.09
294,2001.6193,-28.4
295,2001.6465,-16.17
296,2001.6735,-16.71
297,2001.7006,-8.81
298,2001.7281,-3.72
299,2001.755,-18.92
300,2001.7824,-23.77
301,2001.8096,-49.2
302,2001.8363,-17.57
303,2001.8633,-19.86
304,2001.8914,-45.89
305,2001.9181,-46.33
306,2001.9569,-25.89
307,2001.9722,1.64
308,2001.9996,19.66
309,2002.0253,23.37
310,2002.0537,-0.125
311,2002.0807,-30.62
312,2002.0823,-26.61
313,2002.1079,-31.61
314,2002.108,-29.31
315,2002.1352,-14.48
316,2002.1624,4.574999999999999
317,2002.1894,-8.56
318,2002.1896,-5.71
319,2002.2165,-5.75
320,2002.2441,9.629999999999999
321,2002.271,-7.24
322,2002.2716,-5.9
323,2002.2981,3.75
324,2002.325,14.4
325,2002.3251,14.4
326,2002.3525,3.55
327,2002.3526,-5.08
328,2002.3793,-48.37
329,2002.3795,-40.54
330,2002.4067,-25.17
331,2002.4068,-30.34
332,2002.4334,-12.65
333,2002.4337,-11.53
334,2002.4611,-4.78
335,2002.4613,5.25
336,2002.4879,-23.34
337,2002.4881,-33.86
338,2002.5152,-67.55
339,2002.5423,-47.26
340,2002.5425,-43.36
341,2002.5695,-17.52
342,2002.5698,-21.67
343,2002.5966,-0.78
344,2002.5968,-3.53
345,2002.6218,-1.93
346,2002.6239,-6.79
347,2002.651,-12.67
348,2002.656,1.07
349,2002.6781,-6.64
350,2002.6784,-4.96
351,2002.7052,3.69
352,2002.7062,1.16
353,2002.7321,7.1
354,2002.7322,10.71
355,2002.7593,22.75
356,2002.7598,9.19
357,2002.7842,6.91
358,2002.7868,2.13
359,2002.8133,2.91
360,2002.8144,-19.94
361,2002.8411,-20.6
362,2002.842,-2.95
363,2002.868,-5.695
364,2002.8938,-0.72
365,2002.8963,-9.31
366,2002.9217,-37.89
367,2002.9226,-21.1
368,2002.9495,3.44
