,time,sea_level_altitude
0,1992.8259,-59.36
1,1992.8481,-50.66
2,1992.8763,-25.26
3,1992.9047,-30.26
4,1992.9297,-2.16
5,1992.9612,-9.96
6,1992.9862,15.74
7,1993.011,37.64
8,1993.0402,30.54
9,1993.0636,1.14
10,1993.0972,-3.56
11,1993.1197,10.94
12,1993.1476,18.64
13,1993.1763,17.74
14,1993.2035,27.34
15,1993.2306,23.94
16,1993.2847,45.54
17,1993.3119,58.24
18,1993.3391,63.74
19,1993.3664,55.04
20,1993.3934,57.24
21,1993.42,53.54
22,1993.4478,34.24
23,1993.474,24.34
24,1993.5024,14.14
25,1993.5291,-5.76
26,1993.5833,-66.26
27,1993.6121,-70.06
28,1993.6381,-56.56
29,1993.665,-39.36
30,1993.692,-49.96
31,1993.7181,-52.86
32,1993.7463,-43.06
33,1993.7735,-45.76
34,1993.8009,-53.36
35,1993.855,-13.36
36,1993.8821,-26.56
37,1993.9092,-50.26
38,1993.9361,-39.66
39,1993.9635,-19.46
40,1993.9904,-8.96
41,1994.0177,5.44
42,1994.0451,15.44
43,1994.0722,13.14
44,1994.0991,4.34
45,1994.1264,-2.26
46,1994.1536,13.84
47,1994.1808,14.34
48,1994.2351,25.24
49,1994.2625,41.64
50,1994.2895,53.54
51,1994.3165,52.54
52,1994.3434,51.74
53,1994.3708,60.74
54,1994.3978,69.14
55,1994.4256,57.94
56,1994.4525,27.84
57,1994.5067,-4.86
58,1994.5335,5.64
59,1994.5607,-33.66
60,1994.5878,-38.56
61,1994.6151,-48.36
62,1994.6423,-52.66
63,1994.6693,-34.46
64,1994.6964,-43.36
65,1994.7231,-59.76
66,1994.7506,-58.36
67,1994.7782,-46.86
68,1994.8052,-36.56
69,1994.8322,-19.86
70,1994.887,-15.46
71,1994.9137,-17.16
72,1994.9409,-31.86
73,1994.968,-19.06
74,1994.9951,6.04
75,1995.0224,2.34
76,1995.0494,-12.66
77,1995.0764,-7.36
78,1995.1036,-1.76
79,1995.1307,5.94
80,1995.158,9.64
81,1995.2125,18.94
82,1995.2393,38.64
83,1995.2666,31.34
84,1995.2937,59.94
85,1995.3208,73.64
86,1995.3751,56.94
87,1995.4024,51.44
88,1995.4295,58.24
89,1995.4574,38.84
90,1995.4835,18.34
91,1995.5381,1.74
92,1995.5653,2.94
93,1995.5922,-14.06
94,1995.6195,-21.06
95,1995.6463,-13.86
96,1995.6742,-28.36
97,1995.701,-49.06
98,1995.7281,-28.76
99,1995.755,-54.46
100,1995.7822,-40.66
101,1995.8369,-21.16
102,1995.864,-36.36
103,1995.8889,-37.56
104,1995.9453,-26.06
105,1995.9724,5.24
106,1995.9997,31.94
107,1996.027,20.24
108,1996.0534,-4.46
109,1996.0811,-4.56
110,1996.1081,17.14
111,1996.1624,11.04
112,1996.1897,32.54
113,1996.2152,32.24
114,1996.2438,34.94
115,1996.2712,23.54
116,1996.298,34.54
117,1996.3254,61.14
118,1996.3526,63.04
119,1996.3797,54.14
120,1996.4068,70.44
121,1996.4343,75.24
122,1996.4883,15.14
123,1996.5151,10.14
124,1996.5435,-5.36
125,1996.5697,-23.26
126,1996.5969,-32.66
127,1996.6239,-43.86
128,1996.6513,-65.86
129,1996.6784,-74.66
130,1996.7055,-57.96
131,1996.7332,-75.56
132,1996.76,-69.76
133,1996.8141,-78.86
134,1996.8411,-83.96
135,1996.8684,-56.16
136,1996.8956,-27.86
137,1996.9227,-2.96
138,1996.9495,-27.96
139,1996.9772,-46.26
140,1997.0042,-35.76
141,1997.0314,-7.96
142,1997.0582,-27.86
143,1997.0854,-42.06
144,1997.14,-34.76
145,1997.167,-30.86
146,1997.1942,-6.46
147,1997.2215,9.14
148,1997.2484,26.44
149,1997.2755,37.74
150,1997.3029,35.54
151,1997.3297,46.34
152,1997.357,65.24
153,1997.3842,43.94
154,1997.4114,34.24
155,1997.4657,97.44
156,1997.4924,86.14
157,1997.5199,61.74
158,1997.5468,32.64
159,1997.5742,8.44
160,1997.6286,-1.76
161,1997.6559,-29.86
162,1997.6827,-24.36
163,1997.7099,-25.26
164,1997.7371,-20.56
165,1997.791,-8.86
166,1997.8185,8.14
167,1997.8456,9.64
168,1997.8729,24.04
169,1997.8997,10.84
170,1997.9273,25.64
171,1997.9543,3.04
172,1997.9815,-0.66
173,1998.0086,-2.76
174,1998.0359,-7.76
175,1998.0905,-10.86
176,1998.1169,5.14
177,1998.1443,9.44
178,1998.1716,17.14
179,1998.1985,13.34
180,1998.2258,41.04
181,1998.2529,55.04
182,1998.2799,70.34
183,1998.3074,59.84
184,1998.3345,70.44
185,1998.3616,80.24
186,1998.4146,34.64
187,1998.4431,45.44
188,1998.47,40.24
189,1998.4973,43.94
190,1998.5244,25.04
191,1998.5516,4.14
192,1998.6058,-20.06
193,1998.6327,-21.36
194,1998.6604,-16.76
195,1998.6874,-18.66
196,1998.7144,-18.86
197,1998.7419,-41.76
198,1998.7688,-59.76
199,1998.8231,-39.96
200,1998.8503,-45.96
201,1998.8772,-67.66
202,1998.9045,-55.36
203,1998.9317,-33.26
204,1998.9591,-15.66
205,1998.986,-32.06
206,1999.0132,-23.96
207,1999.0402,-17.86
208,1999.0946,-36.26
209,1999.1257,-27.36
210,1999.1487,15.14
211,1999.1762,14.84
212,1999.2035,-2.86
213,1999.2302,-5.66
214,1999.2575,10.04
215,1999.2842,7.54
216,1999.3388,23.04
217,1999.366,43.14
218,1999.3936,35.44
219,1999.4202,-3.76
220,1999.4476,-1.86
221,1999.4748,-9.56
222,1999.5012,-13.56
223,1999.5294,-18.86
224,1999.5565,-39.56
225,1999.5831,-62.66
226,1999.6102,-62.76
227,1999.6376,-48.76
228,1999.6916,-72.26
229,1999.7188,-76.66
230,1999.746,-83.56
231,1999.7732,-71.66
232,1999.8007,-79.66
233,1999.8277,-80.96
234,1999.8549,-82.16
235,1999.8822,-61.56
236,1999.9076,-48.06
237,1999.9635,-46.96
238,1999.9904,-27.26
239,2000.0174,-13.76
240,2000.0448,-11.56
241,2000.0719,-14.46
242,2000.0989,-11.66
243,2000.1261,-26.56
244,2000.1532,-20.66
245,2000.1806,-14.06
246,2000.2076,-11.86
247,2000.2347,-0.36
248,2000.2895,7.24
249,2000.3164,17.64
250,2000.3435,5.04
251,2000.3704,38.84
252,2000.3976,39.24
253,2000.4246,38.44
254,2000.452,-13.16
255,2000.4791,-21.46
256,2000.5063,-26.46
257,2000.5331,-38.96
258,2000.5877,-36.26
259,2000.6148,-36.36
260,2000.6416,-48.56
261,2000.6689,-72.76
262,2000.6961,-56.36
263,2000.7233,-41.66
264,2000.7506,-41.46
265,2000.7776,-47.46
266,2000.8048,-54.36
267,2000.8594,-31.86
268,2000.8853,-9.76
269,2000.9151,-48.26
270,2000.9409,-28.46
271,2000.9676,-26.16
272,2000.9947,-23.36
273,2001.0217,-15.16
274,2001.0763,-22.66
275,2001.1036,-29.86
276,2001.1306,-43.26
277,2001.158,-26.36
278,2001.1846,3.24
279,2001.212,2.94
280,2001.2392,1.44
281,2001.2656,10.34
282,2001.2936,38.84
283,2001.3207,40.94
284,2001.348,46.34
285,2001.3749,44.04
286,2001.4023,37.54
287,2001.4296,16.24
288,2001.4565,29.24
289,2001.4842,-5.56
290,2001.5105,-16.66
291,2001.538,-46.06
292,2001.565,-35.36
293,2001.5923,-57.46
294,2001.6193,-61.36
295,2001.6465,-57.56
296,2001.6735,-63.86
297,2001.7006,-58.96
298,2001.7281,-54.16
299,2001.755,-67.26
300,2001.7824,-68.06
301,2001.8096,-88.16
302,2001.8363,-50.66
303,2001.8633,-46.96
304,2001.8914,-67.26
305,2001.9181,-63.06
306,2001.9569,-37.56
307,2001.9722,-8.56
308,2001.9996,11.54
309,2002.0253,16.84
310,2002.0537,-3.6550000000000002
311,2002.0807,-33.16
312,2002.0823,-26.55
313,2002.1079,-31.06
314,2002.108,-25.85
315,2002.1352,-7.805
316,2002.1624,17.295
317,2002.1894,14.35
318,2002.1896,11.24
319,2002.2165,22.145
320,2002.2441,45.894999999999996
321,2002.271,32.64
322,2002.2716,42.25
323,2002.2981,54.195
324,2002.325,65.94
325,2002.3251,72.85
326,2002.3525,57.94
327,2002.3526,54.65
328,2002.3793,9.45
329,2002.3795,13.94
330,2002.4067,26.44
331,2002.4068,22.15
332,2002.4334,33.24
333,2002.4337,32.65
334,2002.4611,28.25
335,2002.4613,42.34
336,2002.4879,3.14
337,2002.4881,-13.75
338,2002.5152,-61.45
339,2002.5423,-46.36
340,2002.5425,-51.45
341,2002.5695,-38.75
342,2002.5698,-33.96
343,2002.5966,-24.96
344,2002.5968,-36.25
345,2002.6218,-35.76
346,2002.6239,-48.45
347,2002.651,-60.35
348,2002.656,-42.66
349,2002.6781,-57.25
350,2002.6784,-52.86
351,2002.7052,-46.85
352,2002.7062,-49.26
353,2002.7321,-43.16
354,2002.7322,-37.15
355,2002.7593,-20.35
356,2002.7598,-38.56
357,2002.7842,-37.06
358,2002.7868,-34.75
359,2002.8133,-35.26
360,2002.8144,-49.95
361,2002.8411,-44.05
362,2002.842,-34.76
363,2002.868,-27.505000000000003
364,2002.8938,-13.55
365,2002.8963,-29.76
366,2002.9217,-54.06
367,2002.9226,-30.05
368,2002.9495,-3.15
369,2002.9502,-2.36
370,2002.9766,3.44
371,2002.9768,4.55
372,2003.0024,-0.16
373,2003.004,-12.95
374,2003.0301,-30.26
375,2003.0312,-40.15
376,2003.0579,-10.55
377,2003.0593,-10.86
378,2003.0854,5.55
379,2003.086,1.44
380,2003.1123,2.54
381,2003.1125,18.65
382,2003.1397,31.35
383,2003.1399,39.14
384,2003.1672,8.75
385,2003.1676,3.84
386,2003.1939,17.25
387,2003.1944,9.54
388,2003.2198,23.54
389,2003.2211,41.95
390,2003.248,53.84
391,2003.2483,72.15
392,2003.2752,51.24
393,2003.2792,52.45
394,2003.3025,51.045
395,2003.3295,69.95
396,2003.3303,69.44
397,2003.357,64.69500000000001
398,2003.3836,39.15
399,2003.384,38.54
400,2003.4112,55.65
401,2003.4115,79.04
402,2003.4383,71.45
403,2003.4389,93.94
