,time,sea_level_altitude
0,1992.826,-31.95
1,1992.8499,-25.25
2,1992.8783,-24.06
3,1992.9055,-16.72
4,1992.9305,-19.48
5,1992.9615,-23.56
6,1992.987,-18.19
7,1993.0128,-22.67
8,1993.0413,-17.13
9,1993.0642,-21.06
10,1993.0976,-18.94
11,1993.1213,-18.41
12,1993.1498,-18.55
13,1993.1768,-21.0
14,1993.204,-19.77
15,1993.2311,-27.08
16,1993.2854,-16.14
17,1993.3126,-18.33
18,1993.3397,-19.33
19,1993.3669,-14.73
20,1993.3941,-17.03
21,1993.4213,-26.68
22,1993.4484,-18.94
23,1993.4742,-28.42
24,1993.5027,-21.6
25,1993.5297,-23.06
26,1993.5841,-15.96
27,1993.6118,-23.47
28,1993.6385,-17.59
29,1993.6656,-25.08
30,1993.6928,-20.77
31,1993.7194,-12.92
32,1993.747,-14.91
33,1993.7742,-11.61
34,1993.8012,-18.43
35,1993.8557,-12.66
36,1993.8828,-12.88
37,1993.9102,-12.62
38,1993.9371,-12.14
39,1993.9643,-14.87
40,1993.9911,-13.47
41,1994.0185,-19.62
42,1994.0455,-23.46
43,1994.0725,-27.06
44,1994.0999,-19.61
45,1994.1271,-17.75
46,1994.1542,-8.7
47,1994.1813,-12.27
48,1994.2356,-17.86
49,1994.2628,-16.38
50,1994.29,-19.28
51,1994.3173,-16.95
52,1994.3442,-10.95
53,1994.3713,-6.15
54,1994.3986,1.02
55,1994.4257,-10.4
56,1994.4527,-15.04
57,1994.5071,-3.41
58,1994.5342,-31.59
59,1994.5615,-31.58
60,1994.5886,-11.5
61,1994.6158,-17.91
62,1994.6429,-22.52
63,1994.6701,-17.42
64,1994.6972,-10.05
65,1994.7244,-14.79
66,1994.7511,-2.68
67,1994.7784,-14.25
68,1994.8058,-12.24
69,1994.8328,-14.9
70,1994.8872,-6.19
71,1994.9144,-9.76
72,1994.9416,-14.79
73,1994.9688,-20.69
74,1994.996,-16.36
75,1995.0231,-12.68
76,1995.0501,-20.28
77,1995.0772,-21.53
78,1995.1044,-18.36
79,1995.1315,-10.66
80,1995.1586,4.25
81,1995.213,-12.44
82,1995.2402,-16.73
83,1995.2673,-8.64
84,1995.2945,-3.01
85,1995.3215,-11.18
86,1995.3758,5.92
87,1995.4031,1.26
88,1995.4302,-8.22
89,1995.4573,-7.14
90,1995.4844,-10.85
91,1995.5388,-6.04
92,1995.5659,-16.43
93,1995.5931,-14.05
94,1995.6203,1.27
95,1995.6474,-7.77
96,1995.6743,-8.32
97,1995.7017,-10.84
98,1995.7289,-3.99
99,1995.756,-1.9
100,1995.7831,-10.81
101,1995.8374,-10.24
102,1995.8646,-4.59
103,1995.8902,-5.08
104,1995.946,0.35
105,1995.9731,0.86
106,1996.0004,-8.81
107,1996.0272,-7.59
108,1996.054,-14.16
109,1996.0818,-7.52
110,1996.1087,-11.33
111,1996.1635,1.1
112,1996.1902,0.57
113,1996.2171,-9.04
114,1996.2446,-13.31
115,1996.2718,-6.49
116,1996.2991,-11.75
117,1996.3261,-5.19
118,1996.3532,-3.68
119,1996.3803,4.99
120,1996.4075,8.18
121,1996.4346,-17.06
122,1996.489,-13.49
123,1996.5161,-4.39
124,1996.5432,5.0
125,1996.5705,8.28
126,1996.5977,-15.13
127,1996.6249,-13.57
128,1996.6518,-8.6
129,1996.679,-11.88
130,1996.7056,-12.84
131,1996.7339,-15.63
132,1996.7604,-4.65
133,1996.8148,-1.1
134,1996.8419,-4.56
135,1996.8691,-1.77
136,1996.8962,-13.75
137,1996.9234,-15.95
138,1996.9506,-10.28
139,1996.9774,-9.79
140,1997.0047,-8.18
141,1997.032,2.45
142,1997.0591,11.04
143,1997.0861,2.26
144,1997.1406,-17.69
145,1997.1676,-11.17
146,1997.1948,2.19
147,1997.2219,-4.92
148,1997.2491,-18.18
149,1997.2763,-13.45
150,1997.3034,-4.88
151,1997.3306,0.19
152,1997.3575,4.5
153,1997.3848,4.85
154,1997.4118,-2.7
155,1997.4662,-10.11
156,1997.4935,-8.44
157,1997.5205,-9.85
158,1997.5478,-10.59
159,1997.5748,-11.29
160,1997.6292,-12.27
161,1997.6563,-0.55
162,1997.6833,0.22
163,1997.7107,-1.58
164,1997.7377,-8.72
165,1997.7921,6.49
166,1997.8193,0.06
167,1997.8464,-0.05
168,1997.8736,3.27
