,time,sea_level_altitude
0,1992.826,-31.66
1,1992.8499,-24.96
2,1992.8783,-23.77
3,1992.9055,-16.43
4,1992.9305,-19.19
5,1992.9615,-23.27
6,1992.987,-17.9
7,1993.0128,-22.38
8,1993.0413,-16.84
9,1993.0642,-20.77
10,1993.0976,-18.65
11,1993.1213,-18.12
12,1993.1498,-18.26
13,1993.1768,-20.71
14,1993.204,-19.48
15,1993.2311,-26.79
16,1993.2854,-15.85
17,1993.3126,-18.04
18,1993.3397,-19.05
19,1993.3669,-14.44
20,1993.3941,-16.74
21,1993.4213,-26.39
22,1993.4484,-18.65
23,1993.4742,-28.13
24,1993.5027,-21.31
25,1993.5297,-22.77
26,1993.5841,-15.67
27,1993.6118,-23.18
28,1993.6385,-17.3
29,1993.6656,-24.79
30,1993.6928,-20.48
31,1993.7194,-12.63
32,1993.747,-14.62
33,1993.7742,-11.32
34,1993.8012,-18.14
35,1993.8557,-12.37
36,1993.8828,-12.59
37,1993.9102,-12.33
38,1993.9371,-11.85
39,1993.9643,-14.58
40,1993.9911,-13.18
41,1994.0185,-19.33
42,1994.0455,-23.17
43,1994.0725,-26.77
44,1994.0999,-19.32
45,1994.1271,-17.46
46,1994.1542,-8.41
47,1994.1813,-11.98
48,1994.2356,-17.57
49,1994.2628,-16.09
50,1994.29,-18.99
51,1994.3173,-16.66
52,1994.3442,-10.66
53,1994.3713,-5.86
54,1994.3986,1.31
55,1994.4257,-10.11
56,1994.4527,-14.75
57,1994.5071,-3.12
58,1994.5342,-31.3
59,1994.5615,-31.29
60,1994.5886,-11.21
61,1994.6158,-17.62
62,1994.6429,-22.23
63,1994.6701,-17.14
64,1994.6972,-9.76
65,1994.7244,-14.5
66,1994.7511,-2.39
67,1994.7784,-13.97
68,1994.8058,-11.95
69,1994.8328,-14.62
70,1994.8872,-5.9
71,1994.9144,-9.47
72,1994.9416,-14.51
73,1994.9688,-20.4
74,1994.996,-16.07
75,1995.0231,-12.39
76,1995.0501,-19.99
77,1995.0772,-21.24
78,1995.1044,-18.07
79,1995.1315,-10.37
80,1995.1586,4.54
81,1995.213,-12.15
82,1995.2402,-16.44
83,1995.2673,-8.35
84,1995.2945,-2.72
85,1995.3215,-10.89
86,1995.3758,6.21
87,1995.4031,1.55
88,1995.4302,-7.93
89,1995.4573,-6.86
90,1995.4844,-10.56
91,1995.5388,-5.75
92,1995.5659,-16.14
93,1995.5931,-13.76
94,1995.6203,1.56
95,1995.6474,-7.48
96,1995.6743,-8.03
97,1995.7017,-10.55
98,1995.7289,-3.7
99,1995.756,-1.61
100,1995.7831,-10.52
101,1995.8374,-9.95
102,1995.8646,-4.3
103,1995.8902,-4.79
104,1995.946,0.64
105,1995.9731,1.15
106,1996.0004,-8.52
107,1996.0272,-7.3
108,1996.054,-13.87
109,1996.0818,-7.23
110,1996.1087,-11.04
111,1996.1635,1.39
112,1996.1902,0.86
113,1996.2171,-8.75
114,1996.2446,-13.02
115,1996.2718,-6.2
116,1996.2991,-11.46
117,1996.3261,-4.9
118,1996.3532,-3.39
119,1996.3803,5.28
120,1996.4075,8.47
121,1996.4346,-16.77
122,1996.489,-13.2
123,1996.5161,-4.1
124,1996.5432,5.29
125,1996.5705,8.57
126,1996.5977,-14.84
127,1996.6249,-13.28
128,1996.6518,-8.31
129,1996.679,-11.59
130,1996.7056,-12.55
131,1996.7339,-15.34
132,1996.7604,-4.36
133,1996.8148,-0.81
134,1996.8419,-4.27
135,1996.8691,-1.48
136,1996.8962,-13.46
137,1996.9234,-15.66
138,1996.9506,-9.99
139,1996.9774,-9.5
140,1997.0047,-7.89
141,1997.032,2.74
142,1997.0591,11.33
143,1997.0861,2.55
144,1997.1406,-17.4
145,1997.1676,-10.88
146,1997.1948,2.48
147,1997.2219,-4.63
148,1997.2491,-17.89
149,1997.2763,-13.16
150,1997.3034,-4.59
151,1997.3306,0.48
152,1997.3575,4.79
153,1997.3848,5.14
154,1997.4118,-2.41
155,1997.4662,-9.82
156,1997.4935,-8.15
157,1997.5205,-9.56
158,1997.5478,-10.3
159,1997.5748,-11.0
160,1997.6292,-11.98
161,1997.6563,-0.26
162,1997.6833,0.51
163,1997.7107,-1.29
164,1997.7377,-8.43
165,1997.7921,6.77
166,1997.8193,0.35
167,1997.8464,0.24
168,1997.8736,3.56
169,1997.9007,-1.01
170,1997.9278,-15.65
171,1997.955,-10.84
172,1997.9822,-5.4
173,1998.0093,-2.13
174,1998.0364,6.43
175,1998.0907,-9.76
176,1998.1178,-0.68
177,1998.1449,-3.04
178,1998.1722,0.76
179,1998.1992,5.99
180,1998.2265,-6.91
181,1998.2537,-1.76
182,1998.2807,1.29
183,1998.3078,-2.63
184,1998.335,-2.54
185,1998.362,8.67
186,1998.4162,-9.1
187,1998.4436,-12.78
188,1998.4708,-1.98
189,1998.4979,8.49
190,1998.5251,16.45
191,1998.5521,17.51
192,1998.6065,-1.38
193,1998.6337,0.38
194,1998.6607,2.51
195,1998.6879,7.28
196,1998.7151,8.98
197,1998.7423,-8.48
198,1998.7691,1.91
199,1998.8237,9.84
200,1998.8508,2.27
201,1998.878,-5.69
202,1998.9048,-10.98
203,1998.9323,-11.02
204,1998.9595,4.82
205,1998.9866,9.86
206,1999.0138,11.92
207,1999.0407,-3.99
208,1999.0952,7.01
209,1999.1257,10.48
210,1999.1494,3.92
211,1999.1765,1.48
212,1999.2039,3.11
213,1999.2309,-23.19
214,1999.258,-15.13
215,1999.2849,0.93
216,1999.3393,-1.96
217,1999.3666,-6.45
218,1999.3937,-17.85
219,1999.4209,-5.1
220,1999.4481,-0.66
221,1999.4752,-2.45
222,1999.5025,-3.0
223,1999.5294,-1.25
224,1999.5567,-2.92
225,1999.5839,1.56
226,1999.611,-5.57
227,1999.6382,-0.76
228,1999.6925,-5.24
229,1999.7196,-1.25
230,1999.7466,1.21
231,1999.7739,-9.3
232,1999.8011,-6.93
233,1999.8282,-7.95
234,1999.8554,-6.88
235,1999.8826,-0.5
236,1999.9084,-1.89
237,1999.964,0.19
238,1999.9911,-3.58
239,2000.0181,7.53
240,2000.0453,16.81
241,2000.0725,8.53
242,2000.0996,1.67
243,2000.1268,5.33
244,2000.1539,-3.02
