,time,sea_level_altitude
0,1992.826,-13.11
1,1992.8499,-6.81
2,1992.8783,-6.91
3,1992.9055,-1.51
4,1992.9305,-6.51
5,1992.9615,-13.71
6,1992.987,-11.01
7,1993.0128,-18.11
8,1993.0413,-15.21
9,1993.0642,-21.01
10,1993.0976,-21.11
11,1993.1213,-21.81
12,1993.1498,-23.11
13,1993.1768,-26.41
14,1993.204,-25.91
15,1993.2311,-33.91
16,1993.2854,-24.61
17,1993.3126,-27.81
18,1993.3397,-29.91
19,1993.3669,-26.41
20,1993.3941,-29.71
21,1993.4213,-40.11
22,1993.4484,-32.71
23,1993.4742,-42.01
24,1993.5027,-34.31
25,1993.5297,-34.21
26,1993.5841,-21.91
27,1993.6118,-25.91
28,1993.6385,-16.31
29,1993.6656,-19.91
30,1993.6928,-11.81
31,1993.7194,-0.61
32,1993.747,0.29
33,1993.7742,5.69
34,1993.8012,0.09
35,1993.8557,5.59
36,1993.8828,3.99
37,1993.9102,2.19
38,1993.9371,0.19
39,1993.9643,-5.31
40,1993.9911,-6.71
41,1994.0185,-15.61
42,1994.0455,-21.91
43,1994.0725,-27.61
44,1994.0999,-21.91
45,1994.1271,-21.41
46,1994.1542,-13.41
47,1994.1813,-17.81
48,1994.2356,-24.81
49,1994.2628,-24.11
50,1994.29,-27.91
51,1994.3173,-26.61
52,1994.3442,-21.71
53,1994.3713,-18.01
54,1994.3986,-11.81
55,1994.4257,-23.91
56,1994.4527,-28.81
57,1994.5071,-15.91
58,1994.5342,-42.41
59,1994.5615,-40.01
60,1994.5886,-16.91
61,1994.6158,-19.81
62,1994.6429,-20.61
63,1994.6701,-11.61
64,1994.6972,-0.51
65,1994.7244,-1.91
66,1994.7511,12.89
67,1994.7784,3.29
68,1994.8058,6.39
69,1994.8328,3.89
70,1994.8872,10.39
71,1994.9144,4.69
72,1994.9416,-2.91
73,1994.9688,-11.61
74,1994.996,-10.11
75,1995.0231,-9.11
76,1995.0501,-19.11
77,1995.0772,-22.41
78,1995.1044,-20.91
79,1995.1315,-14.51
80,1995.1586,-0.61
81,1995.213,-18.81
82,1995.2402,-23.81
83,1995.2673,-16.51
84,1995.2945,-11.81
85,1995.3215,-21.01
86,1995.3758,-6.11
87,1995.4031,-11.71
88,1995.4302,-21.81
89,1995.4573,-20.91
90,1995.4844,-24.21
91,1995.5388,-16.51
92,1995.5659,-24.41
93,1995.5931,-18.91
94,1995.6203,-0.01
95,1995.6474,-5.21
96,1995.6743,-1.91
97,1995.7017,-0.71
98,1995.7289,9.39
99,1995.756,14.09
100,1995.7831,6.99
101,1995.8374,8.49
102,1995.8646,13.29
103,1995.8902,11.29
104,1995.946,11.79
105,1995.9731,9.49
106,1996.0004,-3.01
107,1996.0272,-4.41
108,1996.054,-13.31
109,1996.0818,-8.71
110,1996.1087,-14.11
111,1996.1635,-3.91
112,1996.1902,-5.21
113,1996.2171,-15.51
114,1996.2446,-20.51
115,1996.2718,-14.51
116,1996.2991,-20.71
117,1996.3261,-15.21
118,1996.3532,-14.81
119,1996.3803,-7.21
120,1996.4075,-4.91
121,1996.4346,-30.71
122,1996.489,-26.71
123,1996.5161,-16.41
124,1996.5432,-5.11
125,1996.5705,0.79
126,1996.5977,-19.41
127,1996.6249,-14.21
128,1996.6518,-5.41
129,1996.679,-4.81
130,1996.7056,-2.21
131,1996.7339,-1.71
132,1996.7604,11.69
133,1996.8148,17.69
134,1996.8419,14.09
135,1996.8691,15.89
136,1996.8962,2.19
137,1996.9234,-2.31
138,1996.9506,0.69
139,1996.9774,-1.61
140,1997.0047,-2.81
141,1997.032,5.19
142,1997.0591,11.49
143,1997.0861,0.79
144,1997.1406,-21.91
145,1997.1676,-16.31
146,1997.1948,-3.71
147,1997.2219,-11.51
148,1997.2491,-25.51
149,1997.2763,-21.61
150,1997.3034,-14.01
151,1997.3306,-10.01
152,1997.3575,-6.81
153,1997.3848,-7.51
154,1997.4118,-15.91
155,1997.4662,-23.81
156,1997.4935,-21.51
157,1997.5205,-21.61
158,1997.5478,-20.31
159,1997.5748,-18.31
160,1997.6292,-12.31
161,1997.6563,3.29
162,1997.6833,7.89
163,1997.7107,9.69
164,1997.7377,5.59
165,1997.7921,24.69
166,1997.8193,18.89
167,1997.8464,18.49
168,1997.8736,20.69
169,1997.9007,14.29
170,1997.9278,-2.71
171,1997.955,-0.61
172,1997.9822,1.99
173,1998.0093,2.49
174,1998.0364,8.49
175,1998.0907,-11.81
176,1998.1178,-4.21
177,1998.1449,-7.71
178,1998.1722,-4.81
179,1998.1992,-0.31
180,1998.2265,-13.91
181,1998.2537,-9.51
182,1998.2807,-7.31
183,1998.3078,-12.21
184,1998.335,-13.21
185,1998.362,-3.11
186,1998.4162,-22.71
187,1998.4436,-26.81
188,1998.4708,-15.91
189,1998.4979,-4.71
190,1998.5251,4.69
191,1998.5521,7.89
192,1998.6065,-4.81
193,1998.6337,0.69
194,1998.6607,6.69
195,1998.6879,15.29
196,1998.7151,20.49
197,1998.7423,5.99
198,1998.7691,18.59
199,1998.8237,28.39
200,1998.8508,20.39
201,1998.878,11.19
202,1998.9048,3.99
203,1998.9323,1.49
204,1998.9595,14.59
205,1998.9866,16.79
206,1999.0138,16.09
207,1999.0407,-2.31
208,1999.0952,4.69
209,1999.1257,6.59
210,1999.1494,-0.91
211,1999.1765,-4.21
212,1999.2039,-3.31
213,1999.2309,-30.31
214,1999.258,-23.01
215,1999.2849,-7.81
216,1999.3393,-12.81
217,1999.3666,-18.41
218,1999.3937,-30.81
219,1999.4209,-18.81
220,1999.4481,-14.71
221,1999.4752,-16.31
222,1999.5025,-16.01
223,1999.5294,-12.71
224,1999.5567,-12.11
225,1999.5839,-4.71
226,1999.611,-8.41
227,1999.6382,0.19
228,1999.6925,3.39
229,1999.7196,10.79
230,1999.7466,16.09
231,1999.7739,7.69
232,1999.8011,11.29
233,1999.8282,10.59
234,1999.8554,11.09
235,1999.8826,16.09
236,1999.9084,12.79
237,1999.964,9.49
238,1999.9911,2.89
239,2000.0181,11.29
240,2000.0453,18.09
241,2000.0725,7.69
242,2000.0996,-0.91
243,2000.1268,1.39
244,2000.1539,-8.01
245,2000.1811,-12.41
246,2000.2082,-20.31
247,2000.2353,-14.91
248,2000.2897,-5.91
249,2000.3168,-5.61
250,2000.3439,-13.11
251,2000.3711,-8.81
252,2000.3983,-9.01
253,2000.4253,-9.91
254,2000.4526,-13.01
255,2000.4797,-24.81
256,2000.5069,-20.71
257,2000.5339,-11.21
258,2000.5883,-6.71
259,2000.6155,-9.91
260,2000.6426,-6.71
261,2000.6698,-3.41
262,2000.6969,10.49
263,2000.7238,11.99
264,2000.7512,8.39
265,2000.7784,-1.91
266,2000.8055,21.39
267,2000.8599,18.19
268,2000.8863,15.99
269,2000.9148,11.39
270,2000.9413,5.09
271,2000.9685,3.89
272,2000.9956,9.29
273,2001.0226,6.89
274,2001.0771,6.69
275,2001.1042,3.29
276,2001.1312,8.09
277,2001.1584,3.49
278,2001.1855,1.89
279,2001.2127,-4.61
280,2001.2399,-13.31
281,2001.267,-13.81
282,2001.2941,-10.41
283,2001.3213,-12.41
284,2001.3484,-6.01
285,2001.3756,-12.81
286,2001.4026,-16.91
287,2001.43,-18.71
288,2001.457,-17.41
289,2001.4843,-9.11
290,2001.5113,-2.81
291,2001.5385,-4.11
292,2001.5658,-2.41
293,2001.5928,-2.51
294,2001.62,-10.31
295,2001.6472,2.39
296,2001.6742,9.39
297,2001.7012,15.19
298,2001.7286,16.99
299,2001.7558,19.49
300,2001.7829,23.29
301,2001.8101,31.49
302,2001.8372,39.09
303,2001.8643,31.89
304,2001.8918,16.79
305,2001.9186,8.19
306,2001.9569,11.89
307,2001.973,18.79
308,2002.0,21.89
309,2002.0266,7.29
310,2002.0536,-1.17
311,2002.0542,0.29
312,2002.0814,13.49
313,2002.082,17.63
314,2002.1086,16.26
315,2002.1354,12.33
316,2002.1357,11.79
317,2002.163,16.53
318,2002.1631,21.89
319,2002.1901,2.49
320,2002.1902,-2.07
321,2002.2172,-9.74
322,2002.2441,-22.97
323,2002.2443,-22.01
324,2002.2715,-11.59
325,2002.2987,-11.37
326,2002.2994,-12.31
327,2002.3257,0.79
328,2002.3258,-0.97
329,2002.3529,-10.17
330,2002.353,-12.41
331,2002.3799,-6.81
332,2002.38,-7.37
333,2002.4072,-6.27
334,2002.4073,-5.11
335,2002.4343,-10.99
336,2002.4615,-14.290000000000001
337,2002.4887,-33.49
338,2002.5159,-21.07
339,2002.5429,-7.01
340,2002.543,-6.77
341,2002.57,-5.91
342,2002.5701,-1.07
343,2002.5973,9.91
344,2002.6244,9.13
345,2002.6247,6.49
346,2002.6516,9.13
347,2002.6548,14.09
348,2002.6786,17.99
349,2002.6787,19.23
350,2002.7059,29.73
351,2002.7065,28.89
352,2002.733,22.39
353,2002.7331,23.83
354,2002.7601,13.59
355,2002.7602,15.23
356,2002.7864,30.19
357,2002.7873,31.63
358,2002.8145,21.23
359,2002.8146,27.99
360,2002.8416,19.53
361,2002.8417,23.79
362,2002.8684,8.29
363,2002.8688,3.43
364,2002.8946,4.33
365,2002.8968,7.19
366,2002.923,19.21
367,2002.9501,21.69
368,2002.9502,15.63
369,2002.9773,7.09
370,2002.9774,5.83
371,2003.0044,6.09
372,2003.0046,5.03
373,2003.0316,6.69
374,2003.0317,7.23
375,2003.0588,14.89
376,2003.0589,12.53
377,2003.0859,-2.41
378,2003.086,-2.17
379,2003.113,8.41
380,2003.1401,4.29
381,2003.1403,5.63
382,2003.1672,8.59
383,2003.1674,0.33
384,2003.1945,12.19
385,2003.1947,9.93
386,2003.2216,9.36
387,2003.2487,-1.11
388,2003.2489,-3.57
389,2003.2758,2.69
390,2003.2804,-1.47
391,2003.303,-3.51
392,2003.3031,-5.37
393,2003.3302,17.29
394,2003.3303,16.23
395,2003.3573,14.49
396,2003.3574,8.03
397,2003.3844,0.19
398,2003.3845,-3.07
399,2003.4116,6.09
400,2003.4117,2.73
401,2003.4386,5.99
402,2003.4388,-4.27
403,2003.466,8.11
404,2003.4931,15.59
405,2003.4932,7.03
406,2003.5203,6.93
407,2003.5473,7.89
408,2003.5475,9.43
409,2003.5747,6.73
410,2003.582,6.89
411,2003.6017,20.79
412,2003.6018,20.23
413,2003.6288,19.59
414,2003.6289,17.53
415,2003.6559,10.39
416,2003.6561,9.33
417,2003.6831,20.09
418,2003.6832,22.13
419,2003.7103,25.29
420,2003.7104,30.63
421,2003.7374,36.59
422,2003.7375,38.13
423,2003.7645,38.39
424,2003.7647,40.03
425,2003.7917,36.79
426,2003.7918,37.83
427,2003.8191,41.01
428,2003.846,48.89
429,2003.8461,42.63
430,2003.8711,32.73
431,2003.8732,35.29
432,2003.9113,25.03
433,2003.9118,27.39
434,2003.9212,20.79
435,2003.9276,22.83
436,2003.9548,26.259999999999998
437,2003.9817,15.69
438,2003.9819,14.93
439,2004.0089,11.19
440,2004.009,13.63
441,2004.036,17.69
442,2004.0362,21.93
443,2004.063,13.59
444,2004.0632,17.93
445,2004.0902,10.39
446,2004.0905,13.83
447,2004.1137,7.93
448,2004.1177,9.39
449,2004.1447,10.09
450,2004.1491,11.93
451,2004.1718,-5.31
452,2004.1719,-1.77
453,2004.1989,5.0600000000000005
454,2004.226,13.29
455,2004.2262,14.03
456,2004.2518,-4.17
457,2004.2533,-0.91
458,2004.2802,-7.61
459,2004.2805,-8.17
460,2004.3076,-6.11
461,2004.3077,-7.47
462,2004.3347,2.79
463,2004.3348,0.93
464,2004.3618,2.69
465,2004.3619,-1.37
466,2004.3884,-8.41
467,2004.389,-13.77
468,2004.4162,-3.87
469,2004.4433,-3.67
470,2004.4705,-0.8899999999999999
471,2004.4975,2.99
472,2004.4977,8.03
473,2004.5227,-2.01
474,2004.5248,1.63
475,2004.552,-2.17
476,2004.5531,-2.11
477,2004.5771,2.69
478,2004.5791,4.63
479,2004.6062,12.49
480,2004.6063,17.13
481,2004.6334,20.310000000000002
482,2004.6604,10.79
483,2004.6606,13.93
484,2004.6874,26.09
485,2004.6878,28.03
486,2004.7148,37.59
487,2004.7149,40.53
488,2004.742,37.33
489,2004.7423,34.79
490,2004.769,46.39
491,2004.7691,47.73
492,2004.7962,34.79
493,2004.7963,37.83
494,2004.8235,31.63
495,2004.8236,30.09
496,2004.8504,39.69
497,2004.8506,41.43
498,2004.8777,33.41
499,2004.9048,26.060000000000002
500,2004.932,21.79
501,2004.9321,20.83
502,2004.9543,14.89
503,2004.9593,17.33
504,2004.986,26.59
505,2004.9864,30.13
506,2005.0135,19.11
507,2005.0404,31.63
508,2005.0405,29.19
509,2005.0677,26.19
510,2005.0678,29.53
511,2005.0948,10.89
512,2005.0949,13.33
513,2005.1219,4.49
514,2005.122,6.83
515,2005.149,1.29
516,2005.1493,6.13
517,2005.1762,9.19
518,2005.1763,15.93
519,2005.2035,13.66
520,2005.2305,19.93
521,2005.2306,19.79
522,2005.2577,8.49
523,2005.2578,12.33
524,2005.2848,13.29
525,2005.2849,15.43
526,2005.3103,11.69
527,2005.312,19.33
528,2005.3392,19.73
529,2005.3396,16.29
530,2005.3663,-0.64
531,2005.3935,2.19
532,2005.3936,4.53
533,2005.4202,5.69
534,2005.4207,6.73
535,2005.4477,12.29
536,2005.4478,17.53
537,2005.4748,11.99
538,2005.475,15.73
539,2005.5021,12.01
540,2005.5293,26.53
541,2005.5294,21.79
542,2005.5563,12.29
543,2005.5565,16.03
544,2005.5835,1.89
545,2005.5838,6.23
546,2005.6106,18.29
547,2005.6108,19.83
548,2005.6378,27.69
549,2005.638,30.13
550,2005.6648,11.59
551,2005.6651,17.63
552,2005.6921,17.49
553,2005.6922,19.33
554,2005.7141,26.43
555,2005.7194,29.89
556,2005.7465,39.39
557,2005.7511,43.93
558,2005.7736,30.53
559,2005.8008,24.43
560,2005.828,27.73
561,2005.8551,42.33
562,2005.8824,23.63
563,2005.9094,32.13
564,2005.9366,36.03
565,2005.9637,26.73
566,2005.9909,18.13
567,2006.018,5.93
568,2006.0451,13.53
569,2006.0722,17.03
570,2006.0994,15.53
571,2006.1265,9.83
572,2006.1537,9.83
573,2006.1808,0.83
574,2006.208,-1.17
575,2006.2351,3.83
576,2006.2623,8.83
577,2006.2894,-2.77
578,2006.3166,0.53
579,2006.3437,6.23
580,2006.3709,16.03
581,2006.3979,16.83
582,2006.4252,9.23
583,2006.4523,6.83
584,2006.4794,10.93
585,2006.5067,10.43
586,2006.5338,14.53
587,2006.5609,22.63
588,2006.5881,18.13
589,2006.6152,5.73
590,2006.6424,23.63
591,2006.6696,38.43
592,2006.6967,40.63
593,2006.7238,37.33
594,2006.751,38.93
595,2006.7782,48.43
596,2006.8054,43.53
597,2006.8246,45.53
598,2006.8896,26.13
599,2006.9139,26.63
600,2006.9408,30.63
601,2006.9682,28.73
602,2006.9953,26.13
603,2007.0223,19.33
604,2007.0495,20.43
605,2007.0767,14.63
606,2007.1038,12.73
607,2007.1303,4.03
608,2007.1582,8.53
