,time,sea_level_altitude
0,1992.8255,-171.54
1,1992.8497,-61.14
2,1992.8778,-5.14
3,1992.9047,107.26
4,1992.9305,118.36
5,1992.9615,214.96
6,1992.9857,221.16
7,1993.0128,4.46
8,1993.0408,56.56
9,1993.0639,374.96
10,1993.0973,490.86
11,1993.12,293.26
12,1993.15,171.96
13,1993.1768,-20.04
14,1993.2032,-145.94
15,1993.2309,129.46
16,1993.2853,-263.44
17,1993.3108,-200.04
18,1993.3395,-156.34
19,1993.3656,-234.64
20,1993.3941,-275.54
21,1993.4207,-170.34
22,1993.4469,-122.84
23,1993.4734,0.66
24,1993.502,68.76
25,1993.5293,108.86
26,1993.5832,107.76
27,1993.6108,92.66
28,1993.6383,112.96
29,1993.6649,87.36
30,1993.6923,-29.14
31,1993.7178,-125.24
32,1993.7464,-214.44
33,1993.7728,-379.34
34,1993.8012,-97.34
35,1993.8543,-160.84
36,1993.8826,-73.64
37,1993.9083,-206.04
38,1993.9364,-281.14
39,1993.9639,-139.14
40,1993.99,-5.44
41,1994.0172,-93.54
42,1994.0439,-116.54
43,1994.0726,104.46
44,1994.0968,248.26
45,1994.1256,-9.14
46,1994.153,-247.04
47,1994.1817,-328.64
48,1994.2356,62.46
49,1994.2622,17.16
50,1994.2885,-38.54
51,1994.3167,-123.34
52,1994.3432,-81.84
53,1994.3707,-248.94
54,1994.3985,-257.64
55,1994.4248,-64.24
56,1994.4527,58.56
57,1994.5061,123.26
58,1994.5341,-7.94
59,1994.5608,-78.44
60,1994.588,-140.84
61,1994.6151,-129.24
62,1994.6422,-52.24
63,1994.6697,-37.54
64,1994.6961,-79.94
65,1994.7236,-11.74
66,1994.7516,53.86
67,1994.7777,216.56
68,1994.8046,43.86
69,1994.8324,-4.34
70,1994.8869,-17.34
71,1994.9141,233.66
72,1994.9409,180.96
73,1994.9685,259.56
74,1994.9955,198.46
75,1995.0224,246.96
76,1995.0482,164.86
77,1995.0761,14.26
78,1995.1035,154.26
79,1995.1315,187.66
80,1995.1579,224.16
81,1995.2128,-24.04
82,1995.2402,124.96
83,1995.2677,282.06
84,1995.2945,195.26
85,1995.3205,17.06
86,1995.3763,-58.64
87,1995.4015,5.46
88,1995.4293,-81.44
89,1995.4574,-119.14
90,1995.484,-13.04
91,1995.5382,-33.14
92,1995.5641,76.36
93,1995.5923,-55.54
94,1995.6196,-33.24
95,1995.6466,-83.14
96,1995.6739,-50.54
97,1995.7008,-130.74
98,1995.7283,-242.44
99,1995.7556,40.76
100,1995.7814,114.36
101,1995.8368,199.86
102,1995.8639,87.56
103,1995.8902,100.86
104,1995.9459,-101.64
105,1995.9707,-236.84
106,1995.9989,-100.54
107,1996.0265,-164.04
108,1996.0502,-127.54
109,1996.0804,-295.14
110,1996.1061,-327.24
111,1996.163,-258.44
112,1996.1913,-131.14
113,1996.2158,-342.74
114,1996.2436,-331.14
115,1996.2715,-146.24
116,1996.2986,-255.44
117,1996.3251,-241.34
118,1996.3533,-121.04
119,1996.3796,-175.04
120,1996.4078,-144.84
121,1996.4345,-74.54
122,1996.4884,-26.54
123,1996.5156,-15.24
124,1996.5432,193.46
125,1996.5694,61.46
126,1996.5967,71.66
127,1996.6238,-100.94
128,1996.651,-130.94
129,1996.6787,-141.44
130,1996.7057,-173.84
131,1996.7328,-267.34
132,1996.7606,-117.64
133,1996.8149,-28.54
134,1996.8409,-8.94
135,1996.8691,215.36
136,1996.8957,101.76
137,1996.9225,47.46
138,1996.9506,-49.64
139,1996.976,-20.34
140,1997.0037,-30.04
141,1997.032,-129.04
142,1997.0587,21.66
143,1997.0854,30.56
144,1997.1377,24.26
145,1997.1673,238.16
146,1997.1944,271.66
147,1997.2202,18.26
148,1997.249,-31.14
149,1997.2753,114.66
150,1997.3031,80.36
151,1997.3304,-2.64
152,1997.3573,-13.84
153,1997.3852,-94.84
154,1997.4127,-73.04
155,1997.4656,-165.14
156,1997.4939,-126.14
157,1997.5204,-82.14
158,1997.5471,-171.04
159,1997.574,-161.44
160,1997.6281,-117.64
161,1997.6551,-111.14
162,1997.6833,-27.14
163,1997.7098,264.36
164,1997.7379,257.06
165,1997.7917,195.36
166,1997.8191,246.86
167,1997.8463,115.76
168,1997.8735,12.06
169,1997.8991,-118.34
170,1997.927,-215.24
171,1997.954,-39.04
172,1997.9808,-190.74
173,1998.0095,-118.64
174,1998.0357,62.26
175,1998.0897,17.56
176,1998.1173,144.86
177,1998.1449,192.26
178,1998.1708,253.66
179,1998.1979,266.66
180,1998.2255,186.76
181,1998.2529,-108.04
182,1998.2791,-339.64
183,1998.3072,-293.14
184,1998.3374,-193.04
185,1998.3623,-60.14
186,1998.4158,-145.34
187,1998.4423,-160.54
188,1998.4702,28.96
189,1998.4978,-36.24
190,1998.5244,70.46
191,1998.5517,170.96
192,1998.6062,176.76
193,1998.6332,104.26
194,1998.6598,269.56
195,1998.6878,5.46
196,1998.7142,76.76
197,1998.7415,13.96
198,1998.7689,-272.74
199,1998.8231,107.96
200,1998.8509,291.46
201,1998.8778,242.36
202,1998.9048,107.56
203,1998.9317,-18.14
204,1998.9592,-10.64
205,1998.986,144.36
206,1999.0124,131.96
207,1999.0411,30.26
208,1999.0936,104.76
209,1999.1249,49.96
210,1999.1468,65.56
211,1999.1761,64.76
212,1999.2047,-76.14
213,1999.2301,-140.24
214,1999.2581,-98.44
215,1999.2841,-96.14
216,1999.3402,-24.14
217,1999.3672,-173.74
218,1999.3938,-166.04
219,1999.4205,-105.04
220,1999.4475,-97.04
221,1999.4752,-54.34
222,1999.5016,-73.64
223,1999.529,-63.94
224,1999.5558,14.86
225,1999.583,29.96
226,1999.6103,-109.14
227,1999.638,-22.94
228,1999.6918,28.16
229,1999.7188,-182.44
230,1999.7457,-152.84
231,1999.774,164.16
232,1999.8005,144.06
233,1999.8277,-14.94
234,1999.8551,163.86
235,1999.8819,23.66
236,1999.9089,-11.54
237,1999.9637,245.66
238,1999.9913,208.86
239,2000.0186,261.86
240,2000.045,251.06
241,2000.072,108.36
242,2000.0981,200.86
243,2000.1247,349.86
244,2000.1534,187.46
245,2000.1817,244.76
246,2000.2081,303.06
247,2000.234,94.46
248,2000.2895,-173.24
249,2000.3172,-115.24
250,2000.3435,-149.74
251,2000.3706,-238.44
252,2000.3983,-126.94
253,2000.4248,20.66
254,2000.4527,76.96
255,2000.4776,57.66
