,time,sea_level_altitude
0,1992.8255,-165.33
1,1992.8497,-59.22
2,1992.8778,-13.09
3,1992.9047,85.81
4,1992.9305,81.57
5,1992.9615,158.99
6,1992.9857,151.6
7,1993.0128,-76.9
8,1993.0408,-31.32
9,1993.0639,287.06
10,1993.0973,412.37
11,1993.12,227.44
12,1993.15,129.65
13,1993.1768,-36.45
14,1993.2032,-134.41
15,1993.2309,170.41
16,1993.2853,-174.31
17,1993.3108,-96.51
18,1993.3395,-44.77
19,1993.3656,-123.68
20,1993.3941,-173.47
21,1993.4207,-83.18
22,1993.4469,-54.98
23,1993.4734,46.34
24,1993.502,90.02
25,1993.5293,108.68
26,1993.5832,77.83
27,1993.6108,56.05
28,1993.6383,75.65
29,1993.6649,54.26
30,1993.6923,-54.22
31,1993.7178,-141.11
32,1993.7464,-220.01
33,1993.7728,-377.31
34,1993.8012,-90.89
35,1993.8543,-160.19
36,1993.8826,-83.74
37,1993.9083,-229.53
38,1993.9364,-321.6
39,1993.9639,-196.54
40,1993.99,-77.16
41,1994.0172,-176.35
42,1994.0439,-204.72
43,1994.0726,17.93
44,1994.0968,169.55
45,1994.1256,-71.11
46,1994.153,-286.64
47,1994.1817,-339.98
48,1994.2356,108.23
49,1994.2622,88.2
50,1994.2885,52.74
51,1994.3167,-17.42
52,1994.3432,30.11
53,1994.3707,-138.96
54,1994.3985,-157.63
55,1994.4248,20.15
56,1994.4527,121.72
57,1994.5061,141.12
58,1994.5341,-11.54
59,1994.5608,-98.49
60,1994.588,-172.37
61,1994.6151,-166.34
62,1994.6422,-89.21
63,1994.6697,-69.46
64,1994.6961,-103.72
65,1994.7236,-25.45
66,1994.7516,49.98
67,1994.7777,219.67
68,1994.8046,50.52
69,1994.8324,1.06
70,1994.8869,-29.47
71,1994.9141,206.81
72,1994.9409,137.69
73,1994.9685,199.45
74,1994.9955,124.12
75,1995.0224,162.63
76,1995.0482,76.41
77,1995.0761,-71.51
78,1995.1035,78.75
79,1995.1315,130.02
80,1995.1579,189.1
81,1995.2128,-2.19
82,1995.2402,175.36
83,1995.2677,357.78
84,1995.2945,290.32
85,1995.3205,124.32
86,1995.3763,49.94
87,1995.4015,103.96
88,1995.4293,-0.2
89,1995.4574,-59.87
90,1995.484,23.51
91,1995.5382,-39.56
92,1995.5641,54.61
93,1995.5923,-88.35
94,1995.6196,-70.69
95,1995.6466,-119.6
96,1995.6739,-81.33
97,1995.7008,-152.86
98,1995.7283,-254.41
99,1995.7556,38.13
100,1995.7814,118.21
101,1995.8368,204.57
102,1995.8639,85.11
103,1995.8902,87.11
104,1995.9459,-148.03
105,1995.9707,-298.22
106,1995.9989,-176.41
107,1996.0265,-249.41
108,1996.0502,-216.05
109,1996.0804,-379.8
110,1996.1061,-401.4
111,1996.163,-288.63
112,1996.1913,-132.36
113,1996.2158,-317.68
114,1996.2436,-277.38
115,1996.2715,-67.41
116,1996.2986,-158.0
117,1996.3251,-132.67
118,1996.3533,-8.85
119,1996.3796,-67.43
120,1996.4078,-49.75
121,1996.4345,2.9
122,1996.4884,6.23
123,1996.5156,-5.03
124,1996.5432,183.74
125,1996.5694,37.16
126,1996.5967,37.7
127,1996.6238,-138.59
128,1996.651,-166.77
129,1996.6787,-170.86
130,1996.7057,-194.18
131,1996.7328,-277.67
132,1996.7606,-118.79
133,1996.8149,-21.73
134,1996.8409,-4.99
135,1996.8691,210.99
136,1996.8957,85.19
137,1996.9225,15.58
138,1996.9506,-98.95
139,1996.976,-84.71
140,1997.0037,-107.96
141,1997.032,-215.59
142,1997.0587,-66.69
143,1997.0854,-52.57
144,1997.1377,-28.52
145,1997.1673,212.17
146,1997.1944,273.75
147,1997.2202,48.0
148,1997.249,27.84
149,1997.2753,196.48
150,1997.3031,180.22
151,1997.3304,107.37
152,1997.3573,98.13
153,1997.3852,10.87
154,1997.4127,19.18
