,time,sea_level_altitude
0,1992.8255,-171.01
1,1992.8497,-60.61
2,1992.8778,-4.61
3,1992.9047,107.79
4,1992.9305,118.89
5,1992.9615,215.49
6,1992.9857,221.69
7,1993.0128,4.99
8,1993.0408,57.09
9,1993.0639,375.49
10,1993.0973,491.39
11,1993.12,293.79
12,1993.15,172.49
13,1993.1768,-19.51
14,1993.2032,-145.41
15,1993.2309,129.99
16,1993.2853,-262.91
17,1993.3108,-199.51
18,1993.3395,-155.81
19,1993.3656,-234.11
20,1993.3941,-275.01
21,1993.4207,-169.81
22,1993.4469,-122.31
23,1993.4734,1.19
24,1993.502,69.29
25,1993.5293,109.39
26,1993.5832,108.29
27,1993.6108,93.19
28,1993.6383,113.49
29,1993.6649,87.89
30,1993.6923,-28.61
31,1993.7178,-124.71
32,1993.7464,-213.91
33,1993.7728,-378.81
34,1993.8012,-96.81
35,1993.8543,-160.31
36,1993.8826,-73.11
37,1993.9083,-205.51
38,1993.9364,-280.61
39,1993.9639,-138.61
40,1993.99,-4.91
41,1994.0172,-93.01
42,1994.0439,-116.01
43,1994.0726,104.99
44,1994.0968,248.79
45,1994.1256,-8.61
46,1994.153,-246.51
47,1994.1817,-328.11
48,1994.2356,62.99
49,1994.2622,17.69
50,1994.2885,-38.01
51,1994.3167,-122.81
52,1994.3432,-81.31
53,1994.3707,-248.41
54,1994.3985,-257.11
55,1994.4248,-63.71
56,1994.4527,59.09
57,1994.5061,123.79
58,1994.5341,-7.41
59,1994.5608,-77.91
60,1994.588,-140.31
61,1994.6151,-128.71
62,1994.6422,-51.71
63,1994.6697,-37.01
64,1994.6961,-79.41
65,1994.7236,-11.21
66,1994.7516,54.39
67,1994.7777,217.09
68,1994.8046,44.39
69,1994.8324,-3.81
70,1994.8869,-16.81
71,1994.9141,234.19
72,1994.9409,181.49
73,1994.9685,260.09
74,1994.9955,198.99
75,1995.0224,247.49
76,1995.0482,165.39
77,1995.0761,14.79
78,1995.1035,154.79
79,1995.1315,188.19
80,1995.1579,224.69
81,1995.2128,-23.51
82,1995.2402,125.49
83,1995.2677,282.59
84,1995.2945,195.79
85,1995.3205,17.59
86,1995.3763,-58.11
87,1995.4015,5.99
88,1995.4293,-80.91
89,1995.4574,-118.61
90,1995.484,-12.51
91,1995.5382,-32.61
92,1995.5641,76.89
93,1995.5923,-55.01
94,1995.6196,-32.71
95,1995.6466,-82.61
96,1995.6739,-50.01
97,1995.7008,-130.21
98,1995.7283,-241.91
99,1995.7556,41.29
100,1995.7814,114.89
101,1995.8368,200.39
102,1995.8639,88.09
103,1995.8902,101.39
104,1995.9459,-101.11
105,1995.9707,-236.31
106,1995.9989,-100.01
107,1996.0265,-163.51
108,1996.0502,-127.01
109,1996.0804,-294.61
110,1996.1061,-326.71
111,1996.163,-257.91
112,1996.1913,-130.61
113,1996.2158,-342.21
114,1996.2436,-330.61
115,1996.2715,-145.71
116,1996.2986,-254.91
117,1996.3251,-240.81
118,1996.3533,-120.51
119,1996.3796,-174.51
120,1996.4078,-144.31
121,1996.4345,-74.01
122,1996.4884,-26.01
123,1996.5156,-14.71
124,1996.5432,193.99
125,1996.5694,61.99
126,1996.5967,72.19
127,1996.6238,-100.41
128,1996.651,-130.41
129,1996.6787,-140.91
130,1996.7057,-173.31
131,1996.7328,-266.81
132,1996.7606,-117.11
133,1996.8149,-28.01
134,1996.8409,-8.41
135,1996.8691,215.89
136,1996.8957,102.29
137,1996.9225,47.99
138,1996.9506,-49.11
139,1996.976,-19.81
140,1997.0037,-29.51
141,1997.032,-128.51
142,1997.0587,22.19
143,1997.0854,31.09
144,1997.1377,24.79
145,1997.1673,238.69
146,1997.1944,272.19
147,1997.2202,18.79
148,1997.249,-30.61
149,1997.2753,115.19
150,1997.3031,80.89
151,1997.3304,-2.11
152,1997.3573,-13.31
153,1997.3852,-94.31
154,1997.4127,-72.51
155,1997.4656,-164.61
156,1997.4939,-125.61
157,1997.5204,-81.61
158,1997.5471,-170.51
159,1997.574,-160.91
160,1997.6281,-117.11
161,1997.6551,-110.61
162,1997.6833,-26.61
163,1997.7098,264.89
164,1997.7379,257.59
165,1997.7917,195.89
166,1997.8191,247.39
167,1997.8463,116.29
168,1997.8735,12.59
169,1997.8991,-117.81
170,1997.927,-214.71
171,1997.954,-38.51
172,1997.9808,-190.21
173,1998.0095,-118.11
174,1998.0357,62.79
175,1998.0897,18.09
176,1998.1173,145.39
177,1998.1449,192.79
178,1998.1708,254.19
179,1998.1979,267.19
180,1998.2255,187.29
181,1998.2529,-107.51
182,1998.2791,-339.11
183,1998.3072,-292.61
184,1998.3374,-192.51
185,1998.3623,-59.61
186,1998.4158,-144.81
187,1998.4423,-160.01
188,1998.4702,29.49
189,1998.4978,-35.71
190,1998.5244,70.99
191,1998.5517,171.49
192,1998.6062,177.29
193,1998.6332,104.79
194,1998.6598,270.09
195,1998.6878,5.99
196,1998.7142,77.29
197,1998.7415,14.49
198,1998.7689,-272.21
199,1998.8231,108.49
200,1998.8509,291.99
201,1998.8778,242.89
202,1998.9048,108.09
203,1998.9317,-17.61
204,1998.9592,-10.11
205,1998.986,144.89
206,1999.0124,132.49
207,1999.0411,30.79
208,1999.0936,105.29
209,1999.1249,50.49
210,1999.1468,66.09
211,1999.1761,65.29
212,1999.2047,-75.61
213,1999.2301,-139.71
214,1999.2581,-97.91
215,1999.2841,-95.61
216,1999.3402,-23.61
217,1999.3672,-173.21
218,1999.3938,-165.51
219,1999.4205,-104.51
220,1999.4475,-96.51
221,1999.4752,-53.81
222,1999.5016,-73.11
223,1999.529,-63.41
224,1999.5558,15.39
225,1999.583,30.49
226,1999.6103,-108.61
227,1999.638,-22.41
228,1999.6918,28.69
229,1999.7188,-181.91
230,1999.7457,-152.31
231,1999.774,164.69
232,1999.8005,144.59
233,1999.8277,-14.41
234,1999.8551,164.39
235,1999.8819,24.19
236,1999.9089,-11.01
237,1999.9637,246.19
238,1999.9913,209.39
239,2000.0186,262.39
240,2000.045,251.59
241,2000.072,108.89
242,2000.0981,201.39
243,2000.1247,350.39
244,2000.1534,187.99
245,2000.1817,245.29
246,2000.2081,303.59
247,2000.234,94.99
248,2000.2895,-172.71
249,2000.3172,-114.71
250,2000.3435,-149.21
251,2000.3706,-237.91
252,2000.3983,-126.41
253,2000.4248,21.19
254,2000.4527,77.49
255,2000.4776,58.19
256,2000.5068,61.49
257,2000.5326,48.89
258,2000.5884,54.69
259,2000.6152,92.09
260,2000.6422,111.99
261,2000.669,50.79
262,2000.697,59.89
263,2000.7227,-69.21
264,2000.7495,-189.71
265,2000.7779,-146.51
266,2000.8046,-128.21
267,2000.8596,-85.01
268,2000.8863,-73.21
269,2000.9146,-91.21
270,2000.9406,-3.31
271,2000.9681,122.59
272,2000.995,-40.11
273,2001.0222,10.39
274,2001.0771,-132.91
275,2001.103,-154.31
276,2001.1311,-54.01
277,2001.1575,-108.81
278,2001.1836,-184.01
279,2001.2121,-168.51
280,2001.2394,-292.11
281,2001.2658,-206.91
282,2001.293,-136.51
283,2001.3208,-173.31
284,2001.348,-112.41
285,2001.3761,-161.21
286,2001.402,-46.61
287,2001.4291,13.69
288,2001.4564,71.79
289,2001.4833,50.99
290,2001.5108,-24.71
291,2001.5371,-66.91
292,2001.5652,-18.11
293,2001.5922,38.89
294,2001.619,129.09
295,2001.646,83.39
296,2001.6741,30.09
297,2001.7015,202.59
298,2001.7284,128.79
299,2001.7547,-81.71
300,2001.7812,104.99
301,2001.8096,23.89
302,2001.8369,77.99
303,2001.864,294.99
304,2001.8903,323.39
305,2001.9178,296.99
306,2001.9564,70.99
307,2001.9712,-58.91
308,2001.9991,61.39
309,2002.0249,190.69
310,2002.0531,75.44
311,2002.0806,231.29
312,2002.0808,214.09
313,2002.1076,305.09
314,2002.1089,302.59
315,2002.1348,276.29
316,2002.1354,260.59
317,2002.1625,251.49
318,2002.1628,232.69
319,2002.189,382.89
320,2002.1891,387.19
321,2002.2162,295.69
322,2002.2166,314.09
323,2002.2439,203.19
324,2002.2445,200.79
325,2002.2708,-44.41
326,2002.2709,-36.31
327,2002.2981,-125.91
328,2002.2987,-137.21
329,2002.3255,-104.81
330,2002.3256,-95.81
331,2002.3519,-98.71
332,2002.3523,-99.81
333,2002.3797,-143.51
334,2002.3798,-145.31
335,2002.4064,-127.06
336,2002.434,-188.91
337,2002.4353,-184.91
338,2002.4607,-90.01
339,2002.4608,-101.71
340,2002.4884,89.69
341,2002.489,95.59
342,2002.5149,131.99
343,2002.5413,28.39
344,2002.5421,25.89
345,2002.5688,116.49
346,2002.5691,111.19
347,2002.5967,-39.31
348,2002.5968,-29.51
349,2002.6234,-49.81
350,2002.6243,-41.51
351,2002.6516,-75.91
352,2002.6542,-83.71
353,2002.6764,-14.61
354,2002.6777,-11.11
355,2002.7055,-94.01
356,2002.7072,-100.91
357,2002.7323,-44.81
358,2002.7326,-53.91
359,2002.7591,22.69
360,2002.7603,47.59
361,2002.7859,-177.21
362,2002.7872,-180.21
363,2002.8115,-241.01
364,2002.8146,-224.41
365,2002.8415,-32.81
366,2002.8431,-35.31
367,2002.8675,-138.61
368,2002.8677,-159.71
369,2002.8942,-104.81
370,2002.8951,-113.41
371,2002.9213,-112.46
372,2002.9492,-251.31
373,2002.9498,-256.11
374,2002.9745,-316.71
375,2002.9755,-295.71
376,2003.0014,-273.91
377,2003.002,-268.81
378,2003.0295,-136.41
379,2003.0314,-111.71
380,2003.0575,34.59
381,2003.0579,56.69
382,2003.083,27.49
383,2003.0836,40.09
384,2003.1117,35.39
385,2003.1124,66.89
386,2003.1386,1.89
387,2003.141,2.69
388,2003.1645,-168.91
389,2003.1679,-230.31
390,2003.1918,-186.11
391,2003.1932,-201.71
392,2003.2193,-71.81
393,2003.2196,-65.51
394,2003.2487,-63.81
395,2003.2499,-48.71
396,2003.2718,55.29
397,2003.2804,42.39
398,2003.3021,-122.51
399,2003.3048,-147.21
400,2003.3293,-227.61
401,2003.3305,-234.01
402,2003.3542,-82.21
403,2003.3571,-77.71
404,2003.3831,-72.61
405,2003.3839,-74.71
406,2003.4108,-68.01
407,2003.4116,-71.51
408,2003.4378,-71.51
409,2003.4383,-76.11
410,2003.4643,38.79
411,2003.4655,51.69
412,2003.4922,65.79
413,2003.4931,56.89
414,2003.5197,81.19
415,2003.5462,66.29
416,2003.5473,55.59
417,2003.574,0.69
418,2003.5816,11.09
419,2003.6003,16.79
420,2003.6009,6.69
421,2003.6278,20.19
422,2003.629,15.29
423,2003.6547,137.69
424,2003.6561,131.99
425,2003.6819,126.29
426,2003.6828,127.99
427,2003.7087,31.79
428,2003.7103,41.89
429,2003.7361,115.39
430,2003.7374,123.89
431,2003.7644,111.49
432,2003.7645,101.79
433,2003.7912,236.49
434,2003.7916,239.19
435,2003.8174,-38.91
436,2003.8186,-59.71
437,2003.8458,88.79
438,2003.8459,114.09
439,2003.871,-47.41
440,2003.8715,-30.31
441,2003.9111,-7.66
442,2003.921,-38.01
443,2003.9273,-28.31
444,2003.954,17.09
445,2003.9541,18.49
446,2003.9811,213.69
447,2003.982,198.69
448,2004.0064,191.09
449,2004.0082,175.99
450,2004.0347,-74.41
451,2004.0349,-62.81
452,2004.0613,-53.71
453,2004.0616,-60.31
454,2004.0904,-61.16
455,2004.1125,134.49
456,2004.1153,152.09
457,2004.1435,51.49
458,2004.1476,5.89
459,2004.1696,77.84
460,2004.1961,-46.41
461,2004.1981,-67.61
462,2004.2252,-78.41
463,2004.2257,-81.31
464,2004.2514,-66.11
465,2004.2516,-67.71
466,2004.2792,-137.81
467,2004.2793,-146.31
468,2004.307,-112.31
469,2004.308,-112.31
470,2004.3343,-251.71
471,2004.336,-266.91
472,2004.361,-248.71
473,2004.3619,-256.21
474,2004.3878,-3.31
475,2004.3883,-5.21
476,2004.4152,80.19
477,2004.4431,-22.91
478,2004.4703,79.69
479,2004.4705,47.19
480,2004.4972,121.19
481,2004.4984,107.59
482,2004.5234,127.89
483,2004.5243,137.69
484,2004.5518,175.19
485,2004.5524,179.79
486,2004.578,86.29
487,2004.5785,88.69
488,2004.6042,-56.91
489,2004.6066,-73.01
490,2004.6321,-120.21
491,2004.6335,-117.31
492,2004.6595,59.29
493,2004.6596,66.39
494,2004.6865,112.99
495,2004.6873,111.69
496,2004.7136,46.19
497,2004.7141,42.59
