,time,sea_level_altitude
0,1992.8259,-23.39
1,1992.8488,-0.59
2,1992.8769,8.91
3,1992.9044,9.01
4,1992.9298,12.71
5,1992.9613,-1.69
6,1992.9856,3.01
7,1993.0115,8.81
8,1993.0386,-22.59
9,1993.0629,-56.29
10,1993.0975,-49.89
11,1993.119,-65.99
12,1993.1483,-71.99
13,1993.1758,-70.49
14,1993.2028,-68.99
15,1993.2301,-68.49
16,1993.2845,-44.89
17,1993.3117,-22.89
18,1993.3391,2.81
19,1993.3661,8.61
20,1993.3936,28.51
21,1993.4199,39.91
22,1993.4466,28.61
23,1993.4746,24.61
24,1993.5016,10.61
25,1993.5287,9.11
26,1993.5833,-30.19
27,1993.6125,-19.59
28,1993.6376,22.91
29,1993.6644,35.41
30,1993.6916,-1.79
31,1993.7175,9.71
32,1993.7453,-16.29
33,1993.7732,-12.39
34,1993.8004,-8.69
35,1993.8541,13.21
36,1993.8818,2.81
37,1993.9086,12.91
38,1993.9361,2.61
39,1993.9632,27.31
40,1993.9904,20.01
41,1994.0175,13.21
42,1994.0444,19.01
43,1994.0717,1.31
44,1994.0989,8.61
45,1994.1261,-0.79
46,1994.1534,-20.69
47,1994.1801,-32.69
48,1994.2347,-9.69
49,1994.2618,-16.69
50,1994.2889,2.71
51,1994.3159,-4.09
52,1994.3433,19.31
53,1994.3704,-0.29
54,1994.3974,29.21
55,1994.4242,13.71
56,1994.4522,14.81
57,1994.5064,1.51
58,1994.5331,-8.69
59,1994.5604,-9.59
60,1994.5878,-20.89
61,1994.615,-7.89
62,1994.641,-46.09
63,1994.6691,-35.39
64,1994.6963,-60.89
65,1994.7233,-58.69
66,1994.7505,-52.09
67,1994.7772,-33.59
68,1994.8048,-34.19
69,1994.8318,-36.89
70,1994.8848,-66.49
71,1994.9135,-71.19
72,1994.9405,-78.69
73,1994.9678,-57.39
74,1994.9947,-53.89
75,1995.0219,-48.19
76,1995.049,-72.09
77,1995.0761,-97.59
78,1995.1034,-68.59
79,1995.1306,-78.29
80,1995.1576,-57.39
81,1995.2118,-52.49
82,1995.241,-46.99
83,1995.2662,-10.69
84,1995.2934,-10.89
85,1995.3206,29.51
86,1995.3749,34.81
87,1995.4022,36.71
88,1995.429,61.51
89,1995.4561,49.61
90,1995.4835,48.51
91,1995.5375,50.81
92,1995.5648,61.21
93,1995.5921,49.41
94,1995.6193,50.31
95,1995.6463,50.91
96,1995.6735,12.91
97,1995.7005,2.61
98,1995.7286,-1.79
99,1995.7552,-14.59
100,1995.7821,6.91
101,1995.8357,26.51
102,1995.8643,8.91
103,1995.8903,5.41
104,1995.9453,14.11
105,1995.9722,5.51
106,1995.9995,7.41
107,1996.0264,-0.99
108,1996.0531,-13.19
109,1996.0805,-40.09
110,1996.1075,-41.29
111,1996.1623,-52.49
112,1996.1891,-38.69
113,1996.2137,-35.29
114,1996.2435,-38.99
115,1996.2706,-53.89
116,1996.2978,-23.59
117,1996.325,3.31
118,1996.3524,31.61
119,1996.3793,26.71
120,1996.4066,33.81
