,time,sea_level_altitude
0,1992.8259,-21.13
1,1992.8488,-0.23
2,1992.8769,7.76
3,1992.9044,7.76
4,1992.9298,12.88
5,1992.9613,2.35
6,1992.9856,11.48
7,1993.0115,23.02
8,1993.0386,-1.81
9,1993.0629,-29.71
10,1993.0975,-16.35
11,1993.119,-29.47
12,1993.1483,-33.74
13,1993.1758,-33.44
14,1993.2028,-35.92
15,1993.2301,-42.13
16,1993.2845,-38.01
17,1993.3117,-27.29
18,1993.3391,-12.79
19,1993.3661,-16.96
20,1993.3936,-5.3
21,1993.4199,0.61
22,1993.4466,-13.51
23,1993.4746,-17.4
24,1993.5016,-28.52
25,1993.5287,-24.82
26,1993.5833,-49.44
27,1993.6125,-30.48
28,1993.6376,18.55
29,1993.6644,36.75
30,1993.6916,3.62
31,1993.7175,17.22
32,1993.7453,-8.38
33,1993.7732,-5.65
34,1993.8004,-4.09
35,1993.8541,13.2
36,1993.8818,1.53
37,1993.9086,11.79
38,1993.9361,3.37
39,1993.9632,31.66
40,1993.9904,29.48
41,1994.0175,28.85
42,1994.0444,41.2
43,1994.0717,29.85
44,1994.0989,42.38
45,1994.1261,36.41
46,1994.1534,17.56
47,1994.1801,3.92
48,1994.2347,15.3
49,1994.2618,-0.93
50,1994.2889,7.8
51,1994.3159,-10.24
52,1994.3433,2.06
53,1994.3704,-27.29
54,1994.3974,-5.55
55,1994.4242,-26.24
56,1994.4522,-27.54
57,1994.5064,-36.85
58,1994.5331,-41.61
59,1994.5604,-35.41
60,1994.5878,-38.83
61,1994.615,-18.09
62,1994.641,-49.65
63,1994.6691,-33.21
64,1994.6963,-54.97
65,1994.7233,-50.95
66,1994.7505,-44.29
67,1994.7772,-27.12
68,1994.8048,-29.99
69,1994.8318,-35.15
70,1994.8848,-67.83
71,1994.9135,-72.1
72,1994.9405,-77.46
73,1994.9678,-52.27
74,1994.9947,-43.5
75,1995.0219,-31.49
76,1995.049,-48.79
77,1995.0761,-68.11
78,1995.1034,-34.11
79,1995.1306,-40.74
80,1995.1576,-19.22
81,1995.2118,-21.35
82,1995.241,-23.98
83,1995.2662,3.42
84,1995.2934,-7.66
85,1995.3206,21.4
86,1995.3749,6.36
87,1995.4022,0.83
88,1995.429,20.93
89,1995.4561,7.18
90,1995.4835,7.16
91,1995.5375,18.95
92,1995.5648,36.63
93,1995.5921,32.72
94,1995.6193,41.28
95,1995.6463,48.56
96,1995.6735,15.82
97,1995.7005,8.94
98,1995.7286,6.1
99,1995.7552,-6.93
100,1995.7821,13.03
101,1995.8357,27.91
102,1995.8643,8.29
103,1995.8903,4.02
104,1995.9453,15.9
105,1995.9722,11.4
106,1995.9995,18.86
107,1996.0264,16.8
108,1996.0531,11.1
109,1996.0805,-9.7
110,1996.1075,-6.21
111,1996.1623,-14.49
112,1996.1891,-3.25
113,1996.2137,-4.6
114,1996.2435,-16.79
115,1996.2706,-41.47
116,1996.2978,-22.19
117,1996.325,-6.61
118,1996.3524,10.91
119,1996.3793,-3.1
120,1996.4066,-3.03
121,1996.4328,11.99
122,1996.4881,22.32
123,1996.5149,6.88
124,1996.5419,-1.05
125,1996.5694,-4.86
126,1996.5965,10.59
127,1996.6235,9.59
128,1996.6506,19.01
129,1996.678,25.92
130,1996.7058,18.19
131,1996.7324,8.66
132,1996.7594,0.9
133,1996.8137,11.99
134,1996.841,18.77
135,1996.8684,19.99
136,1996.8952,33.52
137,1996.923,25.75
138,1996.9496,-0.75
139,1996.9767,-18.27
140,1997.0038,1.93
141,1997.0306,-1.07
142,1997.0581,6.78
143,1997.0851,-19.39
144,1997.1396,-40.64
145,1997.1667,-8.02
146,1997.1938,-0.79
147,1997.2211,27.26
148,1997.2483,3.6
149,1997.2752,-24.18
150,1997.3023,-41.46
151,1997.3295,-35.05
152,1997.3567,-18.36
153,1997.3841,7.58
154,1997.4111,-15.64
155,1997.4652,12.12
156,1997.4928,15.16
157,1997.5203,6.16
158,1997.5466,-14.84
159,1997.5739,-46.67
160,1997.6282,-19.99
161,1997.6553,-14.71
162,1997.6824,16.16
163,1997.7094,-14.05
164,1997.7372,-2.61
165,1997.7911,-26.89
166,1997.8178,-60.19
167,1997.8457,-56.9
168,1997.8723,-67.08
169,1997.8994,-100.04
170,1997.9269,-109.66
171,1997.9541,-100.83
172,1997.9812,-112.2
173,1998.0082,-100.15
174,1998.0353,-108.12
175,1998.0894,-80.27
176,1998.1168,-73.12
177,1998.1443,-51.5
178,1998.171,-55.72
179,1998.1982,-40.25
180,1998.2255,-66.23
181,1998.2542,-44.56
182,1998.2797,-39.87
183,1998.3066,-31.86
184,1998.3337,-22.24
