,time,sea_level_altitude
0,1992.8259,-23.43
1,1992.8488,-0.63
2,1992.8769,8.87
3,1992.9044,8.97
4,1992.9298,12.67
5,1992.9613,-1.73
6,1992.9856,2.97
7,1993.0115,8.77
8,1993.0386,-22.63
9,1993.0629,-56.33
10,1993.0975,-49.93
11,1993.119,-66.03
12,1993.1483,-72.03
13,1993.1758,-70.53
14,1993.2028,-69.03
15,1993.2301,-68.53
16,1993.2845,-44.93
17,1993.3117,-22.93
18,1993.3391,2.77
19,1993.3661,8.57
20,1993.3936,28.47
21,1993.4199,39.87
22,1993.4466,28.57
23,1993.4746,24.57
24,1993.5016,10.57
25,1993.5287,9.07
26,1993.5833,-30.23
27,1993.6125,-19.63
28,1993.6376,22.87
29,1993.6644,35.37
30,1993.6916,-1.83
31,1993.7175,9.67
32,1993.7453,-16.33
33,1993.7732,-12.43
34,1993.8004,-8.73
35,1993.8541,13.17
36,1993.8818,2.77
37,1993.9086,12.87
38,1993.9361,2.57
39,1993.9632,27.27
40,1993.9904,19.97
41,1994.0175,13.17
42,1994.0444,18.97
43,1994.0717,1.27
44,1994.0989,8.57
45,1994.1261,-0.83
46,1994.1534,-20.73
47,1994.1801,-32.73
48,1994.2347,-9.73
49,1994.2618,-16.73
50,1994.2889,2.67
51,1994.3159,-4.13
52,1994.3433,19.27
53,1994.3704,-0.33
54,1994.3974,29.17
55,1994.4242,13.67
56,1994.4522,14.77
57,1994.5064,1.47
58,1994.5331,-8.73
59,1994.5604,-9.63
60,1994.5878,-20.93
61,1994.615,-7.93
62,1994.641,-46.13
63,1994.6691,-35.43
64,1994.6963,-60.93
65,1994.7233,-58.73
66,1994.7505,-52.13
67,1994.7772,-33.63
68,1994.8048,-34.23
69,1994.8318,-36.93
70,1994.8848,-66.53
71,1994.9135,-71.23
72,1994.9405,-78.73
73,1994.9678,-57.43
74,1994.9947,-53.93
75,1995.0219,-48.23
76,1995.049,-72.13
77,1995.0761,-97.63
78,1995.1034,-68.63
79,1995.1306,-78.33
80,1995.1576,-57.43
81,1995.2118,-52.53
82,1995.241,-47.03
