,time,sea_level_altitude
0,1992.8256,0.55
1,1992.8499,33.85
2,1992.8777,3.75
3,1992.9045,-31.75
4,1992.9298,-64.35
5,1992.9612,-10.15
6,1992.9875,-39.95
7,1993.0131,-9.85
8,1993.0405,-52.15
9,1993.0637,-75.05
10,1993.0975,-4.95
11,1993.1222,-24.65
12,1993.1496,-11.15
13,1993.1759,-0.15
14,1993.2039,-8.25
15,1993.2303,-41.85
16,1993.2854,-28.95
17,1993.313,-17.85
18,1993.3392,-32.65
19,1993.3666,-14.55
20,1993.3936,-16.25
21,1993.4212,-19.55
22,1993.448,-9.85
23,1993.4738,17.65
24,1993.5019,14.35
25,1993.5293,5.65
26,1993.5828,42.25
27,1993.6117,15.15
28,1993.6378,11.45
29,1993.6652,32.25
30,1993.692,9.45
31,1993.7191,12.35
32,1993.7463,-7.85
33,1993.7734,22.45
34,1993.8009,14.45
35,1993.855,20.55
36,1993.8821,-4.85
37,1993.9096,-41.15
38,1993.9359,-46.95
39,1993.9633,-24.25
40,1993.991,3.85
41,1994.0181,11.25
42,1994.0449,-13.25
43,1994.0716,-30.15
44,1994.0997,1.05
45,1994.1263,-24.25
46,1994.153,-4.95
47,1994.1801,4.15
48,1994.2357,-55.35
49,1994.2622,-23.55
50,1994.2895,-35.55
51,1994.3168,-50.95
52,1994.3443,-48.95
53,1994.3709,-32.75
54,1994.3987,-49.15
55,1994.4257,-23.95
56,1994.4526,6.75
57,1994.5069,-10.45
58,1994.5339,5.25
59,1994.5608,17.85
60,1994.5883,1.95
61,1994.6153,30.95
62,1994.642,40.65
63,1994.6691,17.55
64,1994.6966,-0.95
65,1994.7239,1.35
66,1994.7505,14.95
67,1994.778,20.85
68,1994.8051,30.55
69,1994.8322,-22.45
70,1994.8865,-39.15
71,1994.9142,-28.25
72,1994.9408,-28.15
73,1994.9679,-16.65
74,1994.9954,0.75
75,1995.0216,1.25
76,1995.0495,-1.95
77,1995.076,24.75
78,1995.1044,35.35
79,1995.1303,22.45
80,1995.1593,11.15
81,1995.213,-3.25
82,1995.2394,-11.95
83,1995.2672,2.35
84,1995.2945,-13.35
85,1995.322,-4.65
86,1995.3763,-14.55
87,1995.403,-16.85
88,1995.43,-14.25
89,1995.4572,5.65
90,1995.4837,20.95
91,1995.5383,18.55
92,1995.5653,8.95
93,1995.5928,-14.45
94,1995.6198,29.25
95,1995.6462,30.45
96,1995.6739,39.05
97,1995.7011,39.55
98,1995.7285,59.55
99,1995.7556,14.35
100,1995.7825,-14.85
101,1995.8373,42.15
102,1995.8639,24.55
103,1995.8893,34.35
104,1995.9451,99.15
105,1995.9715,48.05
106,1996.0009,86.75
107,1996.0257,61.95
108,1996.0528,60.65
109,1996.0815,49.05
110,1996.1089,42.25
111,1996.1633,17.45
112,1996.1894,31.25
113,1996.2152,17.55
114,1996.2442,19.45
115,1996.2702,3.05
116,1996.299,-20.45
117,1996.3256,9.75
118,1996.3531,46.55
119,1996.38,-5.45
120,1996.4069,-4.15
121,1996.4342,15.35
122,1996.4889,7.95
123,1996.5155,33.25
124,1996.5428,32.25
125,1996.5697,34.65
126,1996.5968,39.65
127,1996.6245,29.65
128,1996.6511,27.25
129,1996.6787,47.85
130,1996.7048,30.75
131,1996.7337,50.05
132,1996.7599,56.15
133,1996.8134,51.45
134,1996.8412,34.45
135,1996.8685,63.95
136,1996.8954,74.45
137,1996.9221,46.65
138,1996.9499,15.15
139,1996.9772,108.65
140,1997.0038,99.45
141,1997.0316,71.15
142,1997.0583,60.15
143,1997.0859,79.65
144,1997.1399,57.25
145,1997.1676,56.05
146,1997.1948,26.85
147,1997.2219,38.05
148,1997.2494,40.45
149,1997.2763,24.55
150,1997.3033,8.95
151,1997.3306,22.95
152,1997.3577,48.85
153,1997.3842,27.95
154,1997.4114,27.45
155,1997.4658,30.85
156,1997.4928,36.35
157,1997.5201,50.35
158,1997.5469,58.05
159,1997.574,65.95
160,1997.6286,71.05
161,1997.6558,34.85
162,1997.6829,59.65
163,1997.7102,70.05
164,1997.7372,72.85
165,1997.7915,103.85
166,1997.8187,95.35
167,1997.8458,70.75
168,1997.8728,80.85
169,1997.8988,28.15
170,1997.9268,14.55
171,1997.954,48.95
172,1997.9812,56.85
173,1998.0088,51.65
174,1998.035,41.95
175,1998.0902,29.65
176,1998.1169,36.75
177,1998.1443,31.95
178,1998.1716,27.75
179,1998.1989,34.05
180,1998.2256,16.65
181,1998.2526,-20.05
182,1998.2808,-28.05
183,1998.3078,-7.65
184,1998.3347,-6.45
185,1998.3621,-49.45
186,1998.4165,3.45
187,1998.4428,2.35
188,1998.4701,-15.55
189,1998.4976,-3.35
190,1998.5244,1.15
191,1998.5517,21.55
192,1998.6058,39.55
193,1998.6329,31.65
194,1998.6601,4.55
195,1998.6876,13.15
196,1998.7143,23.25
197,1998.7416,29.65
198,1998.7682,8.65
199,1998.8231,8.35
200,1998.8504,44.65
201,1998.8773,22.65
202,1998.9031,-45.35
203,1998.9313,-18.35
204,1998.9595,46.65
205,1998.9857,50.75
206,1999.0131,16.05
207,1999.0402,12.25
208,1999.0947,-31.55
209,1999.1254,-41.45
210,1999.149,-27.85
211,1999.1758,-38.35
212,1999.2027,-62.65
213,1999.2311,-71.95
214,1999.2575,-67.65
215,1999.2842,-51.55
216,1999.3395,-60.05
217,1999.3664,-46.35
218,1999.3937,-39.55
219,1999.4207,-33.75
220,1999.4476,-46.45
221,1999.4749,-19.15
222,1999.5022,-14.55
223,1999.529,-18.85
224,1999.5569,-9.25
225,1999.5835,-17.15
226,1999.6106,-4.55
227,1999.638,-1.95
228,1999.6923,9.75
229,1999.7191,11.45
230,1999.7459,-4.65
231,1999.7733,-44.05
232,1999.8003,-8.55
233,1999.8275,-35.65
234,1999.8547,-41.55
235,1999.8818,-25.85
236,1999.9074,-22.05
237,1999.9628,-11.35
238,1999.9901,7.25
239,2000.0165,2.05
240,2000.0452,-34.35
241,2000.0717,-81.15
242,2000.0999,-69.15
243,2000.1258,-29.05
244,2000.1527,-66.75
245,2000.181,-58.35
246,2000.2074,-53.15
247,2000.2342,-71.65
248,2000.2902,-70.15
249,2000.3163,-57.45
250,2000.3437,-44.85
251,2000.3705,-40.25
252,2000.3981,-38.55
253,2000.4255,-50.45
254,2000.4524,-29.75
255,2000.4793,-5.15
256,2000.5063,-4.95
257,2000.5339,-18.25
258,2000.5877,6.35
259,2000.6147,-5.95
260,2000.6418,-2.55
261,2000.6696,-3.95
262,2000.6966,-17.35
263,2000.7235,17.25
264,2000.7506,7.75
265,2000.7778,-23.65
266,2000.8041,-25.15
267,2000.8595,-20.15
268,2000.8851,-45.85
269,2000.9136,-30.15
270,2000.9413,-13.05
271,2000.9677,-34.35
272,2000.995,-18.35
273,2001.0219,-27.65
274,2001.0764,-60.25
275,2001.1036,-43.35
276,2001.1311,-48.25
277,2001.1573,-61.45
278,2001.1848,-75.65
279,2001.2125,-78.55
280,2001.2394,-81.85
281,2001.2664,-86.15
282,2001.2944,-89.35
283,2001.3212,-105.75
284,2001.3488,-91.35
285,2001.3752,-38.35
286,2001.4023,-49.85
287,2001.4295,-55.65
288,2001.4562,-17.65
289,2001.484,-10.25
290,2001.5108,-44.35
291,2001.5377,-22.55
292,2001.5651,-9.85
293,2001.5918,-5.95
294,2001.6191,11.75
295,2001.6467,-35.45
296,2001.6736,-8.25
297,2001.7008,18.85
298,2001.728,-6.65
299,2001.7554,-0.05
300,2001.7822,-14.25
301,2001.8094,-44.55
302,2001.8361,-68.55
303,2001.8634,-41.65
304,2001.8916,1.65
305,2001.9171,18.25
306,2001.9574,-47.75
307,2001.9721,-61.55
308,2001.9994,-22.15
309,2002.0265,-10.95
310,2002.053,-33.45
311,2002.0541,-32.05
312,2002.081,-82.05
313,2002.0816,-79.85
314,2002.1078,-55.35
315,2002.1081,-45.35
316,2002.1347,-49.55
317,2002.1356,-50.35
318,2002.1629,-38.55
319,2002.1901,-26.75
320,2002.1902,-57.95
321,2002.2171,-47.85
322,2002.2174,-53.55
323,2002.2429,-42.25
324,2002.2435,-37.35
325,2002.2713,-39.95
326,2002.2978,-59.35
327,2002.2982,-61.15
328,2002.3257,-73.35
329,2002.3258,-76.85
330,2002.3523,-85.45
331,2002.3524,-83.05
332,2002.3796,-48.35
333,2002.3797,-47.35
334,2002.4067,-56.15
335,2002.4071,-61.15
336,2002.4338,-34.5
337,2002.4608,-30.15
338,2002.4609,-23.75
339,2002.4882,-4.85
340,2002.4884,-4.95
341,2002.515,12.15
342,2002.5426,17.15
343,2002.5427,19.25
344,2002.5698,13.6
345,2002.5962,-15.15
346,2002.5964,-7.55
347,2002.6241,4.55
348,2002.6242,3.55
349,2002.6509,-4.35
350,2002.6547,-3.25
351,2002.6781,21.1
352,2002.7053,10.85
353,2002.7062,18.05
354,2002.7325,23.75
355,2002.7596,-4.85
356,2002.7598,1.65
