,time,sea_level_altitude
0,1992.8256,-7.55
1,1992.8499,27.46
2,1992.8777,-1.48
3,1992.9045,-36.59
4,1992.9298,-69.3
5,1992.9612,-15.52
6,1992.9875,-45.56
7,1993.0131,-15.27
8,1993.0405,-56.63
9,1993.0637,-77.98
10,1993.0975,-4.25
11,1993.1222,-20.35
12,1993.1496,-2.09
13,1993.1759,13.9
14,1993.2039,11.14
15,1993.2303,-17.85
16,1993.2854,1.39
17,1993.313,13.25
18,1993.3392,-2.61
19,1993.3666,12.51
20,1993.3936,6.16
21,1993.4212,-3.35
22,1993.448,-0.64
23,1993.4738,19.71
24,1993.5019,8.71
25,1993.5293,-6.84
26,1993.5828,19.93
27,1993.6117,-9.92
28,1993.6378,-14.47
29,1993.6652,6.98
30,1993.692,-13.9
31,1993.7191,-8.14
32,1993.7463,-24.96
33,1993.7734,8.79
34,1993.8009,3.99
35,1993.855,14.43
36,1993.8821,-9.97
37,1993.9096,-45.98
38,1993.9359,-51.97
39,1993.9633,-29.65
40,1993.991,-1.76
41,1994.0181,5.94
42,1994.0449,-17.49
43,1994.0716,-32.37
44,1994.0997,2.04
45,1994.1263,-19.28
46,1994.153,4.74
47,1994.1801,19.01
48,1994.2357,-30.51
49,1994.2622,4.81
50,1994.2895,-4.98
51,1994.3168,-19.9
52,1994.3443,-19.33
53,1994.3709,-6.32
54,1994.3987,-27.79
55,1994.4257,-8.87
56,1994.4526,14.7
57,1994.5069,-17.4
58,1994.5339,-8.3
59,1994.5608,-1.11
60,1994.5883,-21.04
61,1994.6153,5.67
62,1994.642,14.73
63,1994.6691,-7.51
64,1994.6966,-23.87
65,1994.7239,-18.57
66,1994.7505,-1.62
67,1994.778,7.76
68,1994.8051,20.53
69,1994.8322,-30.02
70,1994.8865,-44.18
71,1994.9142,-33.09
72,1994.9408,-33.23
73,1994.9679,-22.1
74,1994.9954,-4.86
75,1995.0216,-3.97
76,1995.0495,-5.91
77,1995.076,22.95
78,1995.1044,36.98
79,1995.1303,28.09
80,1995.1593,22.02
81,1995.213,17.8
82,1995.2394,13.45
83,1995.2672,31.23
84,1995.2945,17.45
85,1995.322,26.28
86,1995.3763,11.02
87,1995.403,3.59
88,1995.43,-0.26
89,1995.4572,12.33
90,1995.4837,20.26
91,1995.5383,4.03
92,1995.5653,-10.78
93,1995.5928,-37.94
94,1995.6198,3.75
95,1995.6462,4.57
96,1995.6739,14.28
97,1995.7011,17.08
98,1995.7285,40.19
99,1995.7556,-1.56
100,1995.7825,-27.4
101,1995.8373,34.95
102,1995.8639,18.84
103,1995.8893,29.36
104,1995.9451,94.01
105,1995.9715,42.55
106,1996.0009,81.17
107,1996.0257,56.85
108,1996.0528,56.9
109,1996.0815,47.83
110,1996.1089,44.52
111,1996.1633,29.08
112,1996.1894,47.9
113,1996.2152,38.99
114,1996.2442,45.55
115,1996.2702,32.22
116,1996.299,10.5
117,1996.3256,40.56
118,1996.3531,75.31
119,1996.38,19.5
120,1996.4069,15.42
121,1996.4342,28.25
122,1996.4889,5.82
123,1996.5155,24.1
124,1996.5428,16.77
125,1996.5697,14.2
126,1996.5968,15.76
127,1996.6245,3.97
128,1996.6511,1.46
129,1996.6787,23.41
130,1996.7048,8.66
131,1996.7337,31.34
132,1996.7599,40.79
133,1996.8134,42.26
134,1996.8412,27.52
135,1996.8685,58.42
136,1996.8954,69.55
137,1996.9221,41.77
138,1996.9499,9.94
139,1996.9772,103.1
140,1997.0038,93.9
141,1997.0316,66.27
142,1997.0583,56.8
143,1997.0859,78.92
144,1997.1399,64.55
145,1997.1676,68.5
146,1997.1948,44.53
147,1997.2219,60.65
148,1997.2494,67.26
149,1997.2763,54.25
150,1997.3033,40.0
151,1997.3306,53.53
152,1997.3577,77.08
153,1997.3842,52.15
