,time,sea_level_altitude
0,1992.8256,0.43
1,1992.8499,33.73
2,1992.8777,3.63
3,1992.9045,-31.87
4,1992.9298,-64.47
5,1992.9612,-10.27
6,1992.9875,-40.07
7,1993.0131,-9.97
8,1993.0405,-52.27
9,1993.0637,-75.17
10,1993.0975,-5.07
11,1993.1222,-24.77
12,1993.1496,-11.27
13,1993.1759,-0.27
14,1993.2039,-8.37
15,1993.2303,-41.97
16,1993.2854,-29.07
17,1993.313,-17.97
18,1993.3392,-32.77
19,1993.3666,-14.67
20,1993.3936,-16.37
21,1993.4212,-19.67
22,1993.448,-9.97
23,1993.4738,17.53
24,1993.5019,14.23
25,1993.5293,5.53
26,1993.5828,42.13
27,1993.6117,15.03
28,1993.6378,11.33
29,1993.6652,32.13
30,1993.692,9.33
31,1993.7191,12.23
32,1993.7463,-7.97
33,1993.7734,22.33
34,1993.8009,14.33
35,1993.855,20.43
36,1993.8821,-4.97
37,1993.9096,-41.27
38,1993.9359,-47.07
39,1993.9633,-24.37
40,1993.991,3.73
41,1994.0181,11.13
42,1994.0449,-13.37
43,1994.0716,-30.27
44,1994.0997,0.93
45,1994.1263,-24.37
46,1994.153,-5.07
47,1994.1801,4.03
48,1994.2357,-55.47
49,1994.2622,-23.67
50,1994.2895,-35.67
51,1994.3168,-51.07
52,1994.3443,-49.07
53,1994.3709,-32.87
54,1994.3987,-49.27
55,1994.4257,-24.07
56,1994.4526,6.63
57,1994.5069,-10.57
58,1994.5339,5.13
59,1994.5608,17.73
60,1994.5883,1.83
61,1994.6153,30.83
62,1994.642,40.53
63,1994.6691,17.43
64,1994.6966,-1.07
65,1994.7239,1.23
66,1994.7505,14.83
67,1994.778,20.73
68,1994.8051,30.43
69,1994.8322,-22.57
70,1994.8865,-39.27
71,1994.9142,-28.37
72,1994.9408,-28.27
73,1994.9679,-16.77
74,1994.9954,0.63
75,1995.0216,1.13
76,1995.0495,-2.07
77,1995.076,24.63
78,1995.1044,35.23
79,1995.1303,22.33
80,1995.1593,11.03
81,1995.213,-3.37
82,1995.2394,-12.07
83,1995.2672,2.23
84,1995.2945,-13.47
85,1995.322,-4.77
86,1995.3763,-14.67
87,1995.403,-16.97
88,1995.43,-14.37
89,1995.4572,5.53
90,1995.4837,20.83
91,1995.5383,18.43
92,1995.5653,8.83
93,1995.5928,-14.57
94,1995.6198,29.13
95,1995.6462,30.33
96,1995.6739,38.93
97,1995.7011,39.43
98,1995.7285,59.43
99,1995.7556,14.23
100,1995.7825,-14.97
101,1995.8373,42.03
102,1995.8639,24.43
103,1995.8893,34.23
104,1995.9451,99.03
105,1995.9715,47.93
106,1996.0009,86.63
107,1996.0257,61.83
108,1996.0528,60.53
109,1996.0815,48.93
110,1996.1089,42.13
111,1996.1633,17.33
112,1996.1894,31.13
113,1996.2152,17.43
114,1996.2442,19.33
115,1996.2702,2.93
116,1996.299,-20.57
117,1996.3256,9.63
118,1996.3531,46.43
119,1996.38,-5.57
120,1996.4069,-4.27
121,1996.4342,15.23
122,1996.4889,7.83
123,1996.5155,33.13
124,1996.5428,32.13
125,1996.5697,34.53
126,1996.5968,39.53
127,1996.6245,29.53
128,1996.6511,27.13
129,1996.6787,47.73
130,1996.7048,30.63
131,1996.7337,49.93
132,1996.7599,56.03
133,1996.8134,51.33
134,1996.8412,34.33
135,1996.8685,63.83
136,1996.8954,74.33
137,1996.9221,46.53
138,1996.9499,15.03
139,1996.9772,108.53
140,1997.0038,99.33
141,1997.0316,71.03
142,1997.0583,60.03
143,1997.0859,79.53
144,1997.1399,57.13
145,1997.1676,55.93
146,1997.1948,26.73
147,1997.2219,37.93
148,1997.2494,40.33
149,1997.2763,24.43
150,1997.3033,8.83
151,1997.3306,22.83
152,1997.3577,48.73
153,1997.3842,27.83
154,1997.4114,27.33
155,1997.4658,30.73
156,1997.4928,36.23
157,1997.5201,50.23
158,1997.5469,57.93
159,1997.574,65.83
160,1997.6286,70.93
161,1997.6558,34.73
162,1997.6829,59.53
163,1997.7102,69.93
164,1997.7372,72.73
165,1997.7915,103.73
166,1997.8187,95.23
167,1997.8458,70.63
