,time,sea_level_altitude
0,1992.8265,47.32
1,1992.8498,48.52
2,1992.8795,47.52
3,1992.9058,26.32
4,1992.9309,3.22
5,1992.9615,-8.78
6,1992.987,-1.38
7,1993.0128,-18.28
8,1993.0414,-22.78
9,1993.0639,-26.18
10,1993.0992,-32.28
11,1993.1207,-32.88
12,1993.1507,-38.48
13,1993.1764,-60.48
14,1993.2043,-51.58
15,1993.231,-65.78
16,1993.2856,-41.68
17,1993.3129,-45.88
18,1993.3398,-46.28
19,1993.3675,-45.28
20,1993.3937,-36.08
21,1993.4218,-39.18
22,1993.4486,-16.78
23,1993.4743,-38.68
24,1993.5028,-29.18
25,1993.5296,-21.28
26,1993.5837,0.92
27,1993.6128,8.42
28,1993.6394,2.62
29,1993.6657,6.12
30,1993.6928,14.02
31,1993.7193,30.12
32,1993.747,35.02
33,1993.7739,38.72
34,1993.8009,35.22
35,1993.856,44.82
36,1993.8827,28.12
37,1993.9101,16.82
38,1993.9372,12.42
39,1993.9645,4.72
40,1993.9914,-1.48
41,1994.0189,-5.38
42,1994.0458,-19.18
43,1994.073,-35.48
44,1994.1002,-29.78
45,1994.1272,-28.68
46,1994.1546,-32.78
47,1994.1812,-43.78
48,1994.2357,-40.08
49,1994.2631,-32.38
50,1994.2905,-37.08
51,1994.3172,-27.38
52,1994.3445,-22.98
53,1994.3713,-5.58
54,1994.3988,6.12
55,1994.426,-14.28
56,1994.4524,-27.68
57,1994.5077,21.02
58,1994.5343,4.52
59,1994.5617,8.62
60,1994.5892,25.12
61,1994.6159,19.22
62,1994.6432,20.12
63,1994.6702,40.52
64,1994.6976,44.22
65,1994.7243,41.42
66,1994.751,60.52
67,1994.7789,45.12
68,1994.806,38.72
69,1994.8323,45.32
70,1994.8874,50.52
71,1994.9146,41.62
72,1994.9417,26.92
73,1994.9688,19.12
74,1994.996,10.02
75,1995.0232,1.12
76,1995.0506,-14.18
77,1995.0774,-19.08
78,1995.1047,-29.98
79,1995.1318,-11.58
80,1995.1584,-3.38
81,1995.2132,-55.68
82,1995.2412,-41.98
83,1995.2675,-17.48
84,1995.2947,-29.18
85,1995.3211,-39.48
86,1995.3758,-12.48
87,1995.4032,-11.18
88,1995.4306,-12.98
89,1995.4574,-8.98
90,1995.4844,-5.38
91,1995.539,12.52
92,1995.5661,-1.08
93,1995.5934,0.42
94,1995.6206,18.82
95,1995.6473,16.12
96,1995.6747,10.02
97,1995.7017,14.02
98,1995.7289,31.12
99,1995.756,27.22
100,1995.7835,18.62
101,1995.8377,13.12
102,1995.8647,13.92
103,1995.8907,14.82
104,1995.9462,10.32
105,1995.9732,-18.08
106,1996.0008,-39.68
107,1996.0272,-25.28
108,1996.0542,-22.38
109,1996.0811,-35.58
110,1996.1088,-51.48
111,1996.1637,-52.08
112,1996.1904,-46.78
113,1996.2158,-55.08
114,1996.2452,-70.18
115,1996.2722,-60.58
116,1996.2991,-76.98
117,1996.3265,-61.38
118,1996.3537,-42.28
119,1996.3811,-46.68
120,1996.408,-38.58
121,1996.4343,-41.58
122,1996.4894,-41.38
123,1996.5164,-29.98
124,1996.5439,-13.28
125,1996.5707,3.72
126,1996.5976,-13.18
127,1996.6249,8.52
128,1996.652,17.02
129,1996.6788,20.32
130,1996.7058,2.12
131,1996.7329,21.62
132,1996.7602,33.92
133,1996.815,33.02
134,1996.8423,45.72
135,1996.8689,42.62
136,1996.897,12.62
137,1996.9237,-2.68
138,1996.9504,4.32
139,1996.9779,-8.38
140,1997.005,-29.98
141,1997.0321,-25.08
142,1997.0596,-10.78
143,1997.0861,-24.48
144,1997.1406,-46.58
145,1997.1679,-45.28
146,1997.1951,-30.98
147,1997.2222,-52.88
148,1997.2493,-76.98
149,1997.2764,-50.08
150,1997.3037,-45.98
151,1997.3308,-29.98
152,1997.3574,-32.08
153,1997.3852,-17.08
154,1997.4117,-28.48
155,1997.4666,-3.48
156,1997.4938,6.12
157,1997.5209,2.52
158,1997.5478,-6.48
159,1997.5744,-7.68
160,1997.6294,21.92
161,1997.6559,46.62
162,1997.6836,39.62
163,1997.7107,50.32
164,1997.7375,45.22
165,1997.7922,49.52
166,1997.8194,61.22
167,1997.8464,42.42
168,1997.874,25.02
169,1997.9005,25.52
170,1997.9285,-8.08
171,1997.9552,-7.88
172,1997.9823,-4.48
173,1998.0097,-2.88
174,1998.0363,-10.28
175,1998.0919,-28.38
176,1998.118,-15.18
177,1998.1452,-12.88
178,1998.1724,-0.78
179,1998.1992,-10.28
180,1998.2267,-54.18
181,1998.254,-51.78
182,1998.2812,-32.58
183,1998.3081,-52.28
184,1998.3351,-41.78
185,1998.362,-19.38
186,1998.4165,-13.58
187,1998.4439,-19.68
188,1998.471,0.02
189,1998.4982,8.42
190,1998.5254,13.62
191,1998.5518,25.82
192,1998.6068,-1.78
193,1998.6339,12.62
194,1998.661,25.92
195,1998.6884,23.22
196,1998.7152,29.92
197,1998.7424,20.72
198,1998.7688,32.72
199,1998.8243,51.62
200,1998.8511,29.12
201,1998.8782,12.32
202,1998.9043,-11.98
203,1998.9323,-25.88
204,1998.9597,5.92
205,1998.9868,10.42
206,1999.014,7.32
207,1999.0406,-20.48
208,1999.0953,-19.88
209,1999.1259,-17.48
210,1999.1496,-31.28
211,1999.177,-44.88
212,1999.204,-51.28
213,1999.2311,-68.78
214,1999.258,-55.58
215,1999.2849,-29.68
216,1999.3404,-29.98
217,1999.3673,-34.48
218,1999.3943,-26.58
219,1999.4208,-18.88
220,1999.4483,-15.48
221,1999.4757,-18.48
222,1999.5029,-19.88
223,1999.5304,2.72
224,1999.5569,2.42
225,1999.584,12.52
226,1999.6116,13.72
227,1999.6374,12.42
228,1999.6926,34.22
229,1999.7197,32.62
230,1999.7468,55.22
231,1999.774,30.62
232,1999.8012,22.12
233,1999.829,22.92
234,1999.8553,35.82
235,1999.883,3.62
236,1999.9073,-5.08
237,1999.9639,-36.68
238,1999.9911,-35.78
239,2000.0179,-29.18
240,2000.0455,-24.48
241,2000.0726,-46.58
242,2000.0999,-59.58
243,2000.1271,-53.08
244,2000.1542,-84.88
245,2000.1814,-84.78
246,2000.2087,-87.88
247,2000.2352,-82.58
248,2000.2898,-71.98
249,2000.317,-61.78
250,2000.3443,-58.28
251,2000.3712,-41.68
252,2000.3982,-41.68
253,2000.4259,-28.88
254,2000.4527,-24.08
255,2000.4798,-15.88
256,2000.5071,-19.98
257,2000.5337,-8.98
258,2000.5883,-1.38
259,2000.6157,-4.98
260,2000.643,9.92
261,2000.6699,12.62
262,2000.697,26.32
263,2000.7237,21.72
264,2000.751,20.22
265,2000.7784,22.12
266,2000.805,42.02
267,2000.8601,28.62
268,2000.8873,22.82
269,2000.9156,6.72
270,2000.9415,10.52
271,2000.9685,1.42
272,2000.9959,-5.18
273,2001.0224,0.02
274,2001.0774,4.72
275,2001.1045,-15.28
276,2001.1315,-19.58
277,2001.1587,-43.38
278,2001.1857,-43.18
279,2001.2128,-40.28
280,2001.2402,-45.28
281,2001.267,-50.98
282,2001.2943,-22.58
283,2001.3213,-36.18
284,2001.3486,-17.38
285,2001.3758,-10.18
286,2001.4029,-13.88
287,2001.4302,-9.38
288,2001.4573,4.52
289,2001.4843,20.32
290,2001.5116,30.42
291,2001.539,12.62
292,2001.5659,17.62
293,2001.5928,9.42
294,2001.6201,20.92
295,2001.6477,34.82
296,2001.6746,58.02
297,2001.7003,43.52
298,2001.7293,68.82
299,2001.7561,61.52
300,2001.7831,72.62
301,2001.8103,63.32
302,2001.8376,69.02
303,2001.8644,45.52
304,2001.8912,37.82
305,2001.9188,23.62
306,2001.9565,6.62
307,2001.9727,35.12
308,2002.0005,19.62
309,2002.0269,3.42
310,2002.054,2.72
311,2002.0546,-4.38
312,2002.0811,2.42
313,2002.0823,4.92
314,2002.1088,-8.38
315,2002.1089,-0.68
316,2002.1356,-0.88
317,2002.1358,4.92
318,2002.1629,-3.68
319,2002.1635,-8.58
320,2002.19,-27.18
321,2002.1909,-25.48
322,2002.2174,-37.88
323,2002.2441,-31.78
324,2002.2445,-34.58
325,2002.2713,-20.08
326,2002.2717,-14.68
327,2002.2989,-24.28
328,2002.2998,-24.38
329,2002.3255,-18.68
330,2002.326,-11.88
331,2002.3531,-21.18
332,2002.3802,-6.08
333,2002.3803,-11.48
334,2002.4073,-0.08
335,2002.4074,7.72
336,2002.4338,10.42
337,2002.4346,15.32
338,2002.4615,5.02
339,2002.4618,6.52
340,2002.4887,-5.08
341,2002.4889,-2.58
342,2002.5159,4.62
343,2002.5431,16.17
344,2002.5703,24.32
345,2002.5704,32.22
346,2002.5968,36.22
347,2002.5976,41.32
