,time,sea_level_altitude
0,1992.8265,4.88
1,1992.8498,8.96
2,1992.8795,13.39
3,1992.9058,-1.57
4,1992.9309,-17.71
5,1992.9615,-20.33
6,1992.987,-4.76
7,1993.0128,-13.45
8,1993.0414,-9.33
9,1993.0639,-6.56
10,1993.0992,-4.5
11,1993.1207,-1.19
12,1993.1507,-2.79
13,1993.1764,-22.72
14,1993.2043,-12.89
15,1993.231,-27.37
16,1993.2856,-6.64
17,1993.3129,-13.55
18,1993.3398,-17.06
19,1993.3675,-19.62
20,1993.3937,-14.06
21,1993.4218,-21.32
22,1993.4486,-3.16
23,1993.4743,-29.4
24,1993.5028,-25.09
25,1993.5296,-22.44
26,1993.5837,-11.78
27,1993.6128,-10.79
28,1993.6394,-22.46
29,1993.6657,-24.46
30,1993.6928,-21.63
31,1993.7193,-9.6
32,1993.747,-7.74
33,1993.7739,-5.53
34,1993.8009,-8.92
35,1993.856,6.24
36,1993.8827,-5.32
37,1993.9101,-9.94
38,1993.9372,-6.65
39,1993.9645,-5.88
40,1993.9914,-3.45
41,1994.0189,1.34
42,1994.0458,-4.47
43,1994.073,-13.57
44,1994.1002,-1.8
45,1994.1272,4.02
46,1994.1546,3.3
47,1994.1812,-5.76
48,1994.2357,-1.83
49,1994.2631,4.43
50,1994.2905,-2.48
51,1994.3172,4.48
52,1994.3445,5.65
53,1994.3713,19.56
54,1994.3988,27.41
55,1994.426,2.94
56,1994.4524,-14.68
57,1994.5077,24.18
58,1994.5343,2.41
59,1994.5617,0.74
60,1994.5892,11.19
61,1994.6159,-0.68
62,1994.6432,-5.78
63,1994.6702,9.05
64,1994.6976,7.76
65,1994.7243,1.05
66,1994.751,17.45
67,1994.7789,0.76
68,1994.806,-5.21
69,1994.8323,3.48
70,1994.8874,18.13
71,1994.9146,16.07
72,1994.9417,9.21
73,1994.9688,9.89
74,1994.996,9.52
75,1995.0232,9.16
76,1995.0506,1.87
77,1995.0774,3.9
78,1995.1047,-1.12
79,1995.1318,21.79
80,1995.1584,33.06
81,1995.2132,-16.97
82,1995.2412,-3.94
83,1995.2675,19.02
84,1995.2947,5.02
85,1995.3211,-8.06
86,1995.3758,12.05
87,1995.4032,9.47
88,1995.4306,3.52
89,1995.4574,3.19
90,1995.4844,2.1
91,1995.539,9.44
92,1995.5661,-9.91
93,1995.5934,-14.44
94,1995.6206,-2.13
95,1995.6473,-10.66
96,1995.6747,-22.32
97,1995.7017,-23.11
98,1995.7289,-9.81
99,1995.756,-16.21
100,1995.7835,-25.79
101,1995.8377,-28.09
102,1995.8647,-23.15
103,1995.8907,-16.8
104,1995.9462,-6.01
105,1995.9732,-25.9
106,1996.0008,-38.64
107,1996.0272,-16.02
108,1996.0542,-5.34
109,1996.0811,-11.73
110,1996.1088,-21.85
111,1996.1637,-15.19
112,1996.1904,-8.39
113,1996.2158,-16.39
114,1996.2452,-32.33
115,1996.2722,-24.43
116,1996.2991,-43.21
117,1996.3265,-30.58
118,1996.3537,-14.81
119,1996.3811,-22.88
120,1996.408,-18.64
121,1996.4343,-25.66
122,1996.4894,-34.8
123,1996.5164,-28.51
124,1996.5439,-17.38
125,1996.5707,-6.12
126,1996.5976,-28.98
127,1996.6249,-13.38
128,1996.652,-10.75
129,1996.6788,-12.8
130,1996.7058,-35.65
131,1996.7329,-19.77
132,1996.7602,-9.76
133,1996.815,-10.38
134,1996.8423,5.1
135,1996.8689,6.34
136,1996.897,-17.49
137,1996.9237,-25.69
138,1996.9504,-10.72
139,1996.9779,-14.69
140,1997.005,-27.61
141,1997.0321,-14.35
142,1997.0596,7.71
143,1997.0861,0.51
144,1997.1406,-12.05
145,1997.1679,-8.07
146,1997.1951,7.55
147,1997.2222,-14.27
148,1997.2493,-39.33
149,1997.2764,-14.26
150,1997.3037,-12.68
151,1997.3308,0.32
152,1997.3574,-5.09
153,1997.3852,6.15
154,1997.4117,-9.09
155,1997.4666,7.13
156,1997.4938,11.89
157,1997.5209,3.1
158,1997.5478,-11.4
159,1997.5744,-18.33
160,1997.6294,-0.97
161,1997.6559,18.04
162,1997.6836,5.61
163,1997.7107,11.81
164,1997.7375,3.35
165,1997.7922,5.16
166,1997.8194,18.15
167,1997.8464,2.36
168,1997.874,-10.25
169,1997.9005,-3.72
170,1997.9285,-29.71
171,1997.9552,-21.42
172,1997.9823,-9.38
173,1998.0097,0.97
174,1998.0363,1.69
175,1998.0919,-2.12
176,1998.118,16.06
177,1998.1452,22.2
178,1998.1724,36.74
179,1998.1992,28.33
180,1998.2267,-15.66
181,1998.254,-14.39
182,1998.2812,2.84
183,1998.3081,-19.43
184,1998.3351,-11.99
185,1998.362,7.01
186,1998.4165,5.09
187,1998.4439,-5.29
188,1998.471,9.87
189,1998.4982,13.37
190,1998.5254,13.31
191,1998.5518,20.06
192,1998.6068,-19.64
193,1998.6339,-11.26
194,1998.661,-3.71
195,1998.6884,-11.66
196,1998.7152,-9.24
197,1998.7424,-21.63
198,1998.7688,-11.37
199,1998.8243,8.97
200,1998.8511,-10.24
201,1998.8782,-22.09
202,1998.9043,-40.26
203,1998.9323,-46.4
204,1998.9597,-6.2
205,1998.9868,6.97
206,1999.014,12.52
207,1999.0406,-7.26
208,1999.0953,7.1
209,1999.1259,15.02
210,1999.1496,4.29
211,1999.177,-7.08
212,1999.204,-12.6
213,1999.2311,-30.38
214,1999.258,-18.43
215,1999.2849,5.42
216,1999.3404,-0.84
217,1999.3673,-8.8
218,1999.3943,-4.64
219,1999.4208,-0.86
220,1999.4483,-1.81
221,1999.4757,-9.45
222,1999.5029,-15.81
223,1999.5304,1.4
224,1999.5569,-4.43
225,1999.584,-0.25
226,1999.6116,-5.22
227,1999.6374,-12.23
228,1999.6926,-1.39
229,1999.7197,-7.15
230,1999.7468,12.48
231,1999.774,-13.64
232,1999.8012,-22.01
233,1999.829,-19.27
