,time,sea_level_altitude
0,1992.8265,5.85
1,1992.8498,9.94
2,1992.8795,14.36
3,1992.9058,-0.6
4,1992.9309,-16.74
5,1992.9615,-19.36
6,1992.987,-3.79
7,1993.0128,-12.48
8,1993.0414,-8.36
9,1993.0639,-5.59
10,1993.0992,-3.53
11,1993.1207,-0.22
12,1993.1507,-1.82
13,1993.1764,-21.74
14,1993.2043,-11.92
15,1993.231,-26.4
16,1993.2856,-5.67
17,1993.3129,-12.57
18,1993.3398,-16.09
19,1993.3675,-18.65
20,1993.3937,-13.08
21,1993.4218,-20.34
22,1993.4486,-2.18
23,1993.4743,-28.43
24,1993.5028,-24.12
25,1993.5296,-21.46
26,1993.5837,-10.81
27,1993.6128,-9.81
28,1993.6394,-21.49
29,1993.6657,-23.49
30,1993.6928,-20.65
31,1993.7193,-8.63
32,1993.747,-6.76
33,1993.7739,-4.56
34,1993.8009,-7.95
35,1993.856,7.21
36,1993.8827,-4.34
37,1993.9101,-8.97
38,1993.9372,-5.67
39,1993.9645,-4.91
40,1993.9914,-2.48
41,1994.0189,2.32
42,1994.0458,-3.5
43,1994.073,-12.59
44,1994.1002,-0.83
45,1994.1272,4.99
46,1994.1546,4.27
47,1994.1812,-4.79
48,1994.2357,-0.85
49,1994.2631,5.41
50,1994.2905,-1.51
51,1994.3172,5.46
52,1994.3445,6.63
53,1994.3713,20.54
54,1994.3988,28.38
55,1994.426,3.91
56,1994.4524,-13.71
57,1994.5077,25.15
58,1994.5343,3.38
59,1994.5617,1.71
60,1994.5892,12.17
61,1994.6159,0.29
62,1994.6432,-4.81
63,1994.6702,10.02
64,1994.6976,8.74
65,1994.7243,2.02
66,1994.751,18.42
67,1994.7789,1.73
68,1994.806,-4.23
69,1994.8323,4.45
70,1994.8874,19.11
71,1994.9146,17.05
72,1994.9417,10.18
73,1994.9688,10.86
74,1994.996,10.5
75,1995.0232,10.14
76,1995.0506,2.84
77,1995.0774,4.87
78,1995.1047,-0.15
79,1995.1318,22.76
80,1995.1584,34.03
81,1995.2132,-16.0
82,1995.2412,-2.97
83,1995.2675,20.0
84,1995.2947,5.99
85,1995.3211,-7.08
86,1995.3758,13.02
87,1995.4032,10.44
88,1995.4306,4.5
89,1995.4574,4.16
90,1995.4844,3.08
91,1995.539,10.41
92,1995.5661,-8.94
93,1995.5934,-13.47
94,1995.6206,-1.15
95,1995.6473,-9.68
96,1995.6747,-21.35
97,1995.7017,-22.13
98,1995.7289,-8.84
99,1995.756,-15.23
100,1995.7835,-24.81
101,1995.8377,-27.12
102,1995.8647,-22.17
103,1995.8907,-15.83
104,1995.9462,-5.04
105,1995.9732,-24.93
