,time,sea_level_altitude
0,1992.8265,48.3
1,1992.8498,49.5
2,1992.8795,48.5
3,1992.9058,27.3
4,1992.9309,4.2
5,1992.9615,-7.8
6,1992.987,-0.4
7,1993.0128,-17.3
8,1993.0414,-21.8
9,1993.0639,-25.2
10,1993.0992,-31.3
11,1993.1207,-31.9
12,1993.1507,-37.5
13,1993.1764,-59.5
14,1993.2043,-50.6
15,1993.231,-64.8
16,1993.2856,-40.7
17,1993.3129,-44.9
18,1993.3398,-45.3
19,1993.3675,-44.3
20,1993.3937,-35.1
21,1993.4218,-38.2
22,1993.4486,-15.8
23,1993.4743,-37.7
24,1993.5028,-28.2
25,1993.5296,-20.3
26,1993.5837,1.9
27,1993.6128,9.4
28,1993.6394,3.6
29,1993.6657,7.1
30,1993.6928,15.0
31,1993.7193,31.1
32,1993.747,36.0
33,1993.7739,39.7
34,1993.8009,36.2
35,1993.856,45.8
36,1993.8827,29.1
37,1993.9101,17.8
38,1993.9372,13.4
39,1993.9645,5.7
40,1993.9914,-0.5
41,1994.0189,-4.4
42,1994.0458,-18.2
43,1994.073,-34.5
44,1994.1002,-28.8
45,1994.1272,-27.7
46,1994.1546,-31.8
47,1994.1812,-42.8
48,1994.2357,-39.1
49,1994.2631,-31.4
50,1994.2905,-36.1
51,1994.3172,-26.4
52,1994.3445,-22.0
53,1994.3713,-4.6
54,1994.3988,7.1
55,1994.426,-13.3
56,1994.4524,-26.7
57,1994.5077,22.0
58,1994.5343,5.5
59,1994.5617,9.6
60,1994.5892,26.1
61,1994.6159,20.2
62,1994.6432,21.1
63,1994.6702,41.5
64,1994.6976,45.2
65,1994.7243,42.4
66,1994.751,61.5
67,1994.7789,46.1
68,1994.806,39.7
69,1994.8323,46.3
70,1994.8874,51.5
71,1994.9146,42.6
72,1994.9417,27.9
73,1994.9688,20.1
74,1994.996,11.0
75,1995.0232,2.1
76,1995.0506,-13.2
77,1995.0774,-18.1
78,1995.1047,-29.0
79,1995.1318,-10.6
80,1995.1584,-2.4
81,1995.2132,-54.7
