,time,sea_level_altitude
0,1992.825,66.52
1,1992.8484,44.02
2,1992.8769,23.92
3,1992.9043,12.52
4,1992.9301,-17.38
5,1992.9606,-3.08
6,1992.9857,-12.78
7,1993.0113,-26.68
8,1993.0396,-23.78
9,1993.063,-21.68
10,1993.0971,-14.38
11,1993.1202,-34.58
12,1993.1482,-22.98
13,1993.1758,-69.48
14,1993.2033,-91.98
15,1993.2302,-85.98
16,1993.2845,-45.78
17,1993.3115,-64.18
18,1993.3387,-57.28
19,1993.366,-48.78
20,1993.393,-30.18
21,1993.4201,-37.68
22,1993.4473,-14.98
23,1993.4749,7.92
24,1993.5016,-17.58
25,1993.5287,-12.78
26,1993.5832,5.62
27,1993.6123,3.02
28,1993.6375,0.12
29,1993.6644,18.62
30,1993.6921,35.82
31,1993.7186,62.12
32,1993.7459,77.72
33,1993.7733,75.72
34,1993.8002,72.62
35,1993.8545,62.82
36,1993.8819,29.12
37,1993.9089,16.62
38,1993.936,21.22
39,1993.9629,-16.98
40,1993.9901,-38.38
41,1994.0169,-49.28
42,1994.0443,-65.78
43,1994.0713,-87.98
44,1994.0988,-71.68
45,1994.1264,-48.98
46,1994.1531,-37.18
47,1994.1804,-70.58
48,1994.2346,-92.58
49,1994.2616,-52.18
50,1994.2888,-42.18
51,1994.316,-39.88
52,1994.3429,-50.58
53,1994.3701,-51.28
54,1994.3972,-14.88
55,1994.4242,-28.08
56,1994.4516,-43.58
57,1994.506,-14.28
58,1994.5331,-26.58
59,1994.5603,-47.28
60,1994.5874,-0.98
61,1994.6147,14.12
62,1994.6419,12.82
63,1994.6694,35.22
64,1994.696,42.52
65,1994.7235,34.72
66,1994.7507,31.42
67,1994.7775,41.82
68,1994.8046,52.42
69,1994.8323,41.42
70,1994.8861,34.42
71,1994.913,48.02
72,1994.9403,16.22
73,1994.9677,0.02
74,1994.9947,-19.58
75,1995.0222,-31.88
76,1995.0489,-67.38
77,1995.0761,-94.18
78,1995.1034,-105.58
79,1995.1308,-91.38
80,1995.1576,-80.78
81,1995.2119,-43.38
82,1995.239,-43.28
83,1995.2662,-14.48
84,1995.293,-29.08
85,1995.3204,-53.48
86,1995.3748,-5.78
87,1995.4019,-13.78
88,1995.4293,-17.08
89,1995.456,-33.38
90,1995.4831,-5.68
91,1995.5376,4.12
92,1995.5647,1.32
93,1995.592,49.52
94,1995.6191,61.02
95,1995.6462,69.52
96,1995.6734,74.62
97,1995.7006,81.32
98,1995.7278,88.82
99,1995.7548,123.32
100,1995.7815,106.22
101,1995.837,57.32
102,1995.8637,44.72
103,1995.8903,19.22
104,1995.9451,-14.58
105,1995.972,-35.18
106,1995.9999,-49.98
107,1996.0262,-71.98
108,1996.0532,-46.58
109,1996.0803,-46.58
110,1996.1075,-76.58
111,1996.162,-94.48
112,1996.1891,-75.08
113,1996.2117,-75.98
114,1996.2438,-90.08
115,1996.2709,-89.48
116,1996.2978,-100.58
117,1996.3249,-89.48
118,1996.3519,-69.48
119,1996.3792,-66.78
120,1996.4064,-61.38
121,1996.4335,-74.58
122,1996.4881,-91.48
123,1996.5151,-56.08
124,1996.5427,-27.18
125,1996.5691,-13.28
126,1996.5966,-13.68
127,1996.6237,-8.78
128,1996.6513,1.82
129,1996.6778,-8.28
130,1996.7051,-8.88
131,1996.732,19.52
132,1996.7594,85.62
133,1996.8138,51.82
134,1996.8408,64.02
135,1996.868,62.22
136,1996.895,41.72
137,1996.9221,10.02
138,1996.9493,-22.18
139,1996.9767,-25.18
140,1997.0041,-46.08
141,1997.0309,-25.48
142,1997.0583,-30.98
143,1997.0855,-47.08
144,1997.1396,-63.98
145,1997.1666,-51.38
146,1997.1937,-24.68
147,1997.2208,-39.88
148,1997.248,-59.58
149,1997.2752,-26.78
150,1997.3024,-35.88
151,1997.3312,-30.78
152,1997.357,-24.58
153,1997.3838,-47.48
154,1997.4109,-47.08
155,1997.4651,-10.78
156,1997.4924,-13.68
157,1997.5195,-16.58
158,1997.5468,-0.88
159,1997.5736,7.82
160,1997.628,11.72
161,1997.6554,32.52
162,1997.6823,36.42
163,1997.7094,56.12
164,1997.7366,37.42
165,1997.791,87.12
166,1997.8182,59.62
167,1997.8454,0.22
168,1997.8725,4.42
169,1997.8994,23.12
170,1997.927,-46.78
171,1997.9536,-74.28
172,1997.9811,-79.38
173,1998.0084,-77.68
174,1998.0349,-77.38
175,1998.0904,-33.28
176,1998.1168,-42.08
177,1998.144,-51.38
178,1998.1713,-38.78
179,1998.1982,-20.48
180,1998.2255,-45.98
181,1998.2524,-71.58
182,1998.2796,-42.78
183,1998.307,-41.78
184,1998.3338,-44.08
185,1998.3611,-13.28
186,1998.4142,-12.38
187,1998.4415,-20.98
188,1998.4696,-9.48
189,1998.4968,-27.58
190,1998.524,-12.08
191,1998.5511,-15.08
192,1998.6053,-2.58
193,1998.6326,16.22
194,1998.6593,58.42
195,1998.6868,86.72
196,1998.714,96.42
197,1998.7409,72.92
198,1998.7686,65.82
199,1998.8227,105.52
200,1998.85,56.82
201,1998.877,7.42
202,1998.9042,-14.08
203,1998.9314,-33.08
204,1998.9585,-5.88
205,1998.9854,-0.58
206,1999.0127,-11.18
207,1999.0398,-40.78
208,1999.0941,-9.88
209,1999.1261,4.02
210,1999.1482,-17.98
211,1999.1759,-35.18
212,1999.2029,-39.38
213,1999.2299,-58.98
214,1999.257,-42.38
215,1999.2831,-23.18
216,1999.3384,7.32
217,1999.3658,-11.98
218,1999.3926,-11.18
219,1999.4198,2.42
220,1999.4468,-5.98
221,1999.4745,-10.08
222,1999.5013,-0.08
