,time,sea_level_altitude
0,1992.825,67.35
1,1992.8484,44.85
2,1992.8769,24.75
3,1992.9043,13.35
4,1992.9301,-16.55
5,1992.9606,-2.25
6,1992.9857,-11.95
7,1993.0113,-25.85
8,1993.0396,-22.95
9,1993.063,-20.85
10,1993.0971,-13.55
11,1993.1202,-33.75
12,1993.1482,-22.15
13,1993.1758,-68.65
14,1993.2033,-91.15
15,1993.2302,-85.15
16,1993.2845,-44.95
17,1993.3115,-63.35
18,1993.3387,-56.45
19,1993.366,-47.95
20,1993.393,-29.35
21,1993.4201,-36.85
22,1993.4473,-14.15
23,1993.4749,8.75
24,1993.5016,-16.75
25,1993.5287,-11.95
26,1993.5832,6.45
27,1993.6123,3.85
28,1993.6375,0.95
29,1993.6644,19.45
30,1993.6921,36.65
31,1993.7186,62.95
32,1993.7459,78.55
33,1993.7733,76.55
34,1993.8002,73.45
35,1993.8545,63.65
36,1993.8819,29.95
37,1993.9089,17.45
38,1993.936,22.05
39,1993.9629,-16.15
40,1993.9901,-37.55
41,1994.0169,-48.45
42,1994.0443,-64.95
43,1994.0713,-87.15
44,1994.0988,-70.85
45,1994.1264,-48.15
46,1994.1531,-36.35
47,1994.1804,-69.75
48,1994.2346,-91.75
49,1994.2616,-51.35
50,1994.2888,-41.35
51,1994.316,-39.05
52,1994.3429,-49.75
53,1994.3701,-50.45
54,1994.3972,-14.05
55,1994.4242,-27.25
56,1994.4516,-42.75
57,1994.506,-13.45
58,1994.5331,-25.75
59,1994.5603,-46.45
60,1994.5874,-0.15
61,1994.6147,14.95
62,1994.6419,13.65
63,1994.6694,36.05
64,1994.696,43.35
65,1994.7235,35.55
66,1994.7507,32.25
67,1994.7775,42.65
68,1994.8046,53.25
69,1994.8323,42.25
70,1994.8861,35.25
71,1994.913,48.85
72,1994.9403,17.05
73,1994.9677,0.85
74,1994.9947,-18.75
75,1995.0222,-31.05
76,1995.0489,-66.55
77,1995.0761,-93.35
78,1995.1034,-104.75
79,1995.1308,-90.55
80,1995.1576,-79.95
81,1995.2119,-42.55
82,1995.239,-42.45
83,1995.2662,-13.65
84,1995.293,-28.25
85,1995.3204,-52.65
86,1995.3748,-4.95
87,1995.4019,-12.95
88,1995.4293,-16.25
89,1995.456,-32.55
90,1995.4831,-4.85
91,1995.5376,4.95
92,1995.5647,2.15
93,1995.592,50.35
94,1995.6191,61.85
95,1995.6462,70.35
96,1995.6734,75.45
97,1995.7006,82.15
98,1995.7278,89.65
99,1995.7548,124.15
100,1995.7815,107.05
101,1995.837,58.15
102,1995.8637,45.55
103,1995.8903,20.05
104,1995.9451,-13.75
105,1995.972,-34.35
106,1995.9999,-49.15
107,1996.0262,-71.15
108,1996.0532,-45.75
109,1996.0803,-45.75
110,1996.1075,-75.75
111,1996.162,-93.65
112,1996.1891,-74.25
113,1996.2117,-75.15
114,1996.2438,-89.25
115,1996.2709,-88.65
116,1996.2978,-99.75
117,1996.3249,-88.65
118,1996.3519,-68.65
119,1996.3792,-65.95
120,1996.4064,-60.55
121,1996.4335,-73.75
122,1996.4881,-90.65
123,1996.5151,-55.25
124,1996.5427,-26.35
125,1996.5691,-12.45
126,1996.5966,-12.85
127,1996.6237,-7.95
128,1996.6513,2.65
129,1996.6778,-7.45
130,1996.7051,-8.05
131,1996.732,20.35
132,1996.7594,86.45
133,1996.8138,52.65
134,1996.8408,64.85
135,1996.868,63.05
136,1996.895,42.55
137,1996.9221,10.85
138,1996.9493,-21.35
139,1996.9767,-24.35
140,1997.0041,-45.25
141,1997.0309,-24.65
142,1997.0583,-30.15
143,1997.0855,-46.25
144,1997.1396,-63.15
145,1997.1666,-50.55
146,1997.1937,-23.85
147,1997.2208,-39.05
148,1997.248,-58.75
149,1997.2752,-25.95
150,1997.3024,-35.05
151,1997.3312,-29.95
152,1997.357,-23.75
