,time,sea_level_altitude
0,1992.8259,-22.81
1,1992.8492,-13.21
2,1992.8776,-12.31
3,1992.905,-29.51
4,1992.93,-12.51
5,1992.9614,-26.71
6,1992.9865,-11.51
7,1993.0121,-4.91
8,1993.0404,-2.91
9,1993.0642,-10.01
10,1993.0975,-19.21
11,1993.1202,-12.81
12,1993.149,-12.21
13,1993.1763,-15.51
14,1993.2035,-12.21
15,1993.2306,-14.91
16,1993.2849,-29.71
17,1993.312,-20.21
18,1993.3391,-2.31
19,1993.3663,-11.51
20,1993.3935,-9.31
21,1993.4205,-7.51
22,1993.4478,-13.01
23,1993.4741,-20.81
24,1993.5021,-10.91
25,1993.5292,-14.11
26,1993.5834,-39.81
27,1993.6118,-43.91
28,1993.6378,-25.31
29,1993.6649,-16.41
30,1993.6921,-19.71
31,1993.7187,-29.91
32,1993.7464,-29.91
33,1993.7736,-24.11
34,1993.8007,-24.11
35,1993.8553,-9.41
36,1993.8822,-22.21
37,1993.9097,-38.01
38,1993.9367,-27.31
39,1993.9637,-21.51
40,1993.9908,-23.21
41,1994.0179,-24.41
42,1994.0451,-16.31
43,1994.0721,-6.31
44,1994.0993,-11.01
45,1994.1265,-16.51
46,1994.1536,-18.01
47,1994.1807,-15.51
48,1994.2351,-5.41
49,1994.2622,-13.21
50,1994.2894,-14.51
51,1994.3166,-21.01
52,1994.3436,-5.61
53,1994.3708,-7.31
54,1994.3982,-13.61
55,1994.4251,-11.31
56,1994.4522,-11.61
57,1994.5065,-31.11
58,1994.5336,-27.31
59,1994.5608,-20.91
60,1994.588,-6.61
61,1994.6151,-11.71
62,1994.6422,-31.21
63,1994.6694,-22.21
64,1994.6966,-17.71
65,1994.7238,-23.81
66,1994.7508,-19.91
67,1994.778,-14.11
68,1994.8052,-19.91
69,1994.8323,-19.21
70,1994.8867,-12.91
71,1994.9138,-11.81
72,1994.9409,-15.71
73,1994.9681,-18.61
74,1994.9952,-6.51
75,1995.0224,12.09
76,1995.0496,2.89
77,1995.0767,-8.01
78,1995.1038,-18.71
79,1995.1309,-20.21
80,1995.158,-1.31
81,1995.2124,-7.01
82,1995.2397,2.39
83,1995.2667,-2.11
84,1995.2938,-5.01
85,1995.321,3.69
86,1995.3753,-5.31
87,1995.4027,-10.81
88,1995.4298,18.29
89,1995.4569,-0.01
90,1995.4838,-15.11
91,1995.5382,-25.21
92,1995.5653,-11.71
