,time,sea_level_altitude
0,1992.8259,-16.35
1,1992.8492,-8.23
2,1992.8776,-9.16
3,1992.905,-28.06
4,1992.93,-12.5
5,1992.9614,-28.3
6,1992.9865,-14.19
7,1993.0121,-8.54
8,1993.0404,-7.42
9,1993.0642,-15.15
10,1993.0975,-25.1
11,1993.1202,-19.16
12,1993.149,-19.11
13,1993.1763,-22.89
14,1993.2035,-20.03
15,1993.2306,-23.1
16,1993.2849,-38.22
17,1993.312,-28.56
18,1993.3391,-10.22
19,1993.3663,-18.64
20,1993.3935,-15.32
21,1993.4205,-12.06
22,1993.4478,-15.79
23,1993.4741,-21.64
24,1993.5021,-9.51
25,1993.5292,-10.52
26,1993.5834,-32.17
27,1993.6118,-34.59
28,1993.6378,-14.84
29,1993.6649,-5.2
30,1993.6921,-8.25
31,1993.7187,-18.69
32,1993.7464,-19.41
33,1993.7736,-14.72
34,1993.8007,-16.14
35,1993.8553,-4.82
36,1993.8822,-19.35
37,1993.9097,-36.84
38,1993.9367,-27.66
39,1993.9637,-23.21
40,1993.9908,-26.07
41,1994.0179,-28.24
42,1994.0451,-20.95
43,1994.0721,-11.64
44,1994.0993,-16.94
45,1994.1265,-22.98
46,1994.1536,-24.99
47,1994.1807,-22.97
48,1994.2351,-13.65
49,1994.2622,-21.67
50,1994.2894,-23.01
51,1994.3166,-29.31
52,1994.3436,-13.41
53,1994.3708,-14.28
54,1994.3982,-19.39
55,1994.4251,-15.58
56,1994.4522,-14.07
57,1994.5065,-29.36
58,1994.5336,-23.36
59,1994.5608,-14.86
60,1994.588,1.32
61,1994.6151,-2.23
62,1994.6422,-20.59
63,1994.6694,-10.92
64,1994.6966,-6.26
65,1994.7238,-12.69
66,1994.7508,-9.56
67,1994.778,-4.93
68,1994.8052,-12.2
69,1994.8323,-13.15
70,1994.8867,-10.34
71,1994.9138,-10.88
72,1994.9409,-16.28
73,1994.9681,-20.51
74,1994.9952,-9.54
75,1995.0224,8.12
76,1995.0496,-1.88
77,1995.0767,-13.44
78,1995.1038,-24.73
79,1995.1309,-26.77
80,1995.158,-8.37
81,1995.2124,-14.96
82,1995.2397,-5.9
83,1995.2667,-10.59
84,1995.2938,-13.5
85,1995.321,-4.55
86,1995.3753,-12.11
87,1995.4027,-16.36
88,1995.4298,14.31
89,1995.4569,-2.13
90,1995.4838,-15.18
91,1995.5382,-20.9
92,1995.5653,-5.33
93,1995.5925,-4.69
94,1995.6195,-16.11
95,1995.6466,-19.75
96,1995.6741,-5.66
97,1995.7009,-5.28
98,1995.7282,5.32
99,1995.7554,-10.74
100,1995.7825,-15.86
101,1995.8369,-1.24
102,1995.8641,-10.09
103,1995.8898,-18.73
104,1995.9454,-21.32
