,time,sea_level_altitude
0,1992.8259,-16.85
1,1992.8492,-8.74
2,1992.8776,-9.67
3,1992.905,-28.57
4,1992.93,-13.01
5,1992.9614,-28.81
6,1992.9865,-14.7
7,1993.0121,-9.05
8,1993.0404,-7.93
9,1993.0642,-15.65
10,1993.0975,-25.61
11,1993.1202,-19.67
12,1993.149,-19.61
13,1993.1763,-23.4
14,1993.2035,-20.54
15,1993.2306,-23.6
16,1993.2849,-38.73
17,1993.312,-29.07
18,1993.3391,-10.73
19,1993.3663,-19.15
20,1993.3935,-15.83
21,1993.4205,-12.57
22,1993.4478,-16.29
23,1993.4741,-22.15
24,1993.5021,-10.02
25,1993.5292,-11.02
26,1993.5834,-32.68
27,1993.6118,-35.1
28,1993.6378,-15.35
29,1993.6649,-5.7
30,1993.6921,-8.75
31,1993.7187,-19.19
32,1993.7464,-19.92
33,1993.7736,-15.23
34,1993.8007,-16.64
35,1993.8553,-5.33
36,1993.8822,-19.86
37,1993.9097,-37.35
38,1993.9367,-28.17
39,1993.9637,-23.71
40,1993.9908,-26.57
41,1994.0179,-28.74
42,1994.0451,-21.46
43,1994.0721,-12.14
44,1994.0993,-17.44
45,1994.1265,-23.49
46,1994.1536,-25.5
47,1994.1807,-23.47
48,1994.2351,-14.16
49,1994.2622,-22.18
50,1994.2894,-23.52
51,1994.3166,-29.82
52,1994.3436,-13.92
53,1994.3708,-14.79
54,1994.3982,-19.9
55,1994.4251,-16.09
56,1994.4522,-14.58
57,1994.5065,-29.86
58,1994.5336,-23.87
59,1994.5608,-15.37
60,1994.588,0.82
61,1994.6151,-2.73
62,1994.6422,-21.09
63,1994.6694,-11.43
64,1994.6966,-6.76
65,1994.7238,-13.19
66,1994.7508,-10.07
67,1994.778,-5.44
68,1994.8052,-12.7
69,1994.8323,-13.65
70,1994.8867,-10.84
71,1994.9138,-11.39
72,1994.9409,-16.79
73,1994.9681,-21.01
74,1994.9952,-10.04
75,1995.0224,7.61
76,1995.0496,-2.38
77,1995.0767,-13.95
78,1995.1038,-25.24
79,1995.1309,-27.27
80,1995.158,-8.87
81,1995.2124,-15.47
82,1995.2397,-6.4
83,1995.2667,-11.1
84,1995.2938,-14.01
85,1995.321,-5.06
86,1995.3753,-12.62
87,1995.4027,-16.87
88,1995.4298,13.8
89,1995.4569,-2.64
90,1995.4838,-15.69
91,1995.5382,-21.4
92,1995.5653,-5.84
93,1995.5925,-5.2
94,1995.6195,-16.62
95,1995.6466,-20.25
96,1995.6741,-6.16
97,1995.7009,-5.78
98,1995.7282,4.81
99,1995.7554,-11.24
100,1995.7825,-16.36
101,1995.8369,-1.75
102,1995.8641,-10.6
103,1995.8898,-19.24
104,1995.9454,-21.82
105,1995.9726,-2.62
106,1996.0002,3.17
107,1996.0268,2.27
108,1996.0532,-9.88
109,1996.0813,-19.26
110,1996.1082,-2.83
111,1996.1629,-9.26
112,1996.1898,-9.82
113,1996.2153,-1.71
114,1996.2442,-3.55
115,1996.2712,-14.72
116,1996.2983,-12.18
117,1996.3255,-18.59
118,1996.3526,-12.28
119,1996.3798,-20.84
120,1996.407,-0.34
121,1996.4341,-10.22
122,1996.4884,-5.22
123,1996.5156,5.78
124,1996.5427,-14.95
125,1996.5701,-25.39
126,1996.597,-7.73
127,1996.6242,-7.1
128,1996.6513,-18.51
129,1996.6784,-31.32
130,1996.7052,-15.51
131,1996.7332,-9.02
132,1996.7598,-10.92
133,1996.8142,-6.03
134,1996.8413,-7.23
135,1996.8685,-21.18
136,1996.8957,-1.9
137,1996.9228,-0.61
138,1996.95,-0.55
139,1996.9767,-24.19
140,1997.0041,-24.57
141,1997.0313,-2.96
142,1997.0585,-0.51
143,1997.0857,-10.15
144,1997.14,-15.64
145,1997.1671,-25.84
146,1997.1942,-28.59
147,1997.2214,-9.99
148,1997.2485,-4.19
149,1997.2757,-8.63
150,1997.303,-12.15
151,1997.33,-12.81
152,1997.3571,3.55
153,1997.3842,-9.65
154,1997.4113,-27.3
155,1997.4658,-9.08
156,1997.4927,3.52
157,1997.5199,-0.37
158,1997.5472,-2.4
159,1997.5743,-7.2
160,1997.6287,-11.1
161,1997.6557,5.8
162,1997.6828,10.22
163,1997.7099,-0.36
164,1997.7373,-2.93
165,1997.7916,-4.24
166,1997.8186,6.2
167,1997.8458,6.68
168,1997.8729,0.04
169,1997.8998,-8.35
170,1997.9272,0.15
171,1997.9545,4.32
172,1997.9816,-3.3
173,1998.0087,-5.53
174,1998.0359,-8.6
175,1998.0901,0.15
176,1998.1173,-3.21
177,1998.1445,3.47
