,time,sea_level_altitude
0,1992.8259,-23.31
1,1992.8492,-13.71
2,1992.8776,-12.81
3,1992.905,-30.01
4,1992.93,-13.01
5,1992.9614,-27.21
6,1992.9865,-12.01
7,1993.0121,-5.41
8,1993.0404,-3.41
9,1993.0642,-10.51
10,1993.0975,-19.71
11,1993.1202,-13.31
12,1993.149,-12.71
13,1993.1763,-16.01
14,1993.2035,-12.71
15,1993.2306,-15.41
16,1993.2849,-30.21
17,1993.312,-20.71
18,1993.3391,-2.81
19,1993.3663,-12.01
20,1993.3935,-9.81
21,1993.4205,-8.01
22,1993.4478,-13.51
23,1993.4741,-21.31
24,1993.5021,-11.41
25,1993.5292,-14.61
26,1993.5834,-40.31
27,1993.6118,-44.41
28,1993.6378,-25.81
29,1993.6649,-16.91
30,1993.6921,-20.21
31,1993.7187,-30.41
32,1993.7464,-30.41
33,1993.7736,-24.61
34,1993.8007,-24.61
35,1993.8553,-9.91
36,1993.8822,-22.71
37,1993.9097,-38.51
38,1993.9367,-27.81
39,1993.9637,-22.01
40,1993.9908,-23.71
41,1994.0179,-24.91
42,1994.0451,-16.81
43,1994.0721,-6.81
44,1994.0993,-11.51
45,1994.1265,-17.01
46,1994.1536,-18.51
47,1994.1807,-16.01
48,1994.2351,-5.91
49,1994.2622,-13.71
50,1994.2894,-15.01
51,1994.3166,-21.51
52,1994.3436,-6.11
53,1994.3708,-7.81
54,1994.3982,-14.11
55,1994.4251,-11.81
56,1994.4522,-12.11
57,1994.5065,-31.61
58,1994.5336,-27.81
59,1994.5608,-21.41
60,1994.588,-7.11
61,1994.6151,-12.21
62,1994.6422,-31.71
63,1994.6694,-22.71
64,1994.6966,-18.21
65,1994.7238,-24.31
66,1994.7508,-20.41
67,1994.778,-14.61
68,1994.8052,-20.41
69,1994.8323,-19.71
70,1994.8867,-13.41
71,1994.9138,-12.31
72,1994.9409,-16.21
73,1994.9681,-19.11
74,1994.9952,-7.01
75,1995.0224,11.59
76,1995.0496,2.39
77,1995.0767,-8.51
78,1995.1038,-19.21
79,1995.1309,-20.71
80,1995.158,-1.81
81,1995.2124,-7.51
82,1995.2397,1.89
83,1995.2667,-2.61
84,1995.2938,-5.51
85,1995.321,3.19
86,1995.3753,-5.81
87,1995.4027,-11.31
88,1995.4298,17.79
89,1995.4569,-0.51
90,1995.4838,-15.61
91,1995.5382,-25.71
92,1995.5653,-12.21
93,1995.5925,-13.41
94,1995.6195,-26.31
95,1995.6466,-31.01
96,1995.6741,-17.51
97,1995.7009,-17.21
98,1995.7282,-6.21
99,1995.7554,-21.41
100,1995.7825,-25.31
101,1995.8369,-7.51
102,1995.8641,-14.61
103,1995.8898,-21.61
104,1995.9454,-21.01
105,1995.9726,-0.51
106,1996.0002,6.39
107,1996.0268,6.39
108,1996.0532,-5.01
109,1996.0813,-13.71
110,1996.1082,3.29
111,1996.1629,-2.11
112,1996.1898,-2.21
113,1996.2153,6.29
114,1996.2442,4.79
115,1996.2712,-6.21
116,1996.2983,-3.71
117,1996.3255,-10.41
118,1996.3526,-4.71
119,1996.3798,-14.21
120,1996.407,4.99
121,1996.4341,-6.51
122,1996.4884,-5.51
123,1996.5156,3.29
124,1996.5427,-19.61
125,1996.5701,-32.11
126,1996.597,-16.21
127,1996.6242,-17.01
128,1996.6513,-29.41
129,1996.6784,-42.71
130,1996.7052,-26.91
131,1996.7332,-19.91
132,1996.7598,-20.91
133,1996.8142,-13.21
134,1996.8413,-12.71
135,1996.8685,-24.91
136,1996.8957,-3.91
137,1996.9228,-1.01
138,1996.95,0.49
139,1996.9767,-21.91
140,1997.0041,-21.21
141,1997.0313,1.29
142,1997.0585,4.49
143,1997.0857,-4.51
144,1997.14,-8.91
145,1997.1671,-18.61
146,1997.1942,-20.91
147,1997.2214,-1.91
148,1997.2485,4.19
149,1997.2757,-0.11
150,1997.303,-3.71
151,1997.33,-4.71
152,1997.3571,10.99
153,1997.3842,-3.21
154,1997.4113,-22.21
155,1997.4658,-7.61
156,1997.4927,2.89
157,1997.5199,-3.21
158,1997.5472,-7.41
159,1997.5743,-14.21
160,1997.6287,-21.21
161,1997.6557,-5.21
162,1997.6828,-1.21
163,1997.7099,-11.71
164,1997.7373,-13.71
165,1997.7916,-12.71
166,1997.8186,-0.71
167,1997.8458,1.49
168,1997.8729,-3.41
169,1997.8998,-10.11
170,1997.9272,-0.01
171,1997.9545,5.59
172,1997.9816,-0.81
173,1998.0087,-2.01
174,1998.0359,-4.21
175,1998.0901,5.89
176,1998.1173,3.09
177,1998.1445,10.29
178,1998.1715,16.49
179,1998.1988,17.59
180,1998.2259,23.69
181,1998.253,26.19
