,time,sea_level_altitude
0,1992.8258,-33.44
1,1992.849,-24.54
2,1992.8777,-21.64
3,1992.9046,-24.54
4,1992.9303,-3.34
5,1992.9614,-14.74
6,1992.9864,-14.84
7,1993.0121,-28.24
8,1993.0404,-43.84
9,1993.0635,-15.34
10,1993.0972,14.36
11,1993.1209,4.46
12,1993.1492,-4.24
13,1993.176,-44.94
14,1993.2035,-47.54
15,1993.2304,-43.14
16,1993.2851,-55.04
17,1993.3119,-69.84
18,1993.3391,-95.64
19,1993.3663,-101.84
20,1993.3934,-114.14
21,1993.4204,-96.74
22,1993.4479,-102.14
23,1993.4739,-111.34
24,1993.5018,-118.64
25,1993.5291,-118.04
26,1993.583,-121.44
27,1993.6115,-131.14
28,1993.6379,-138.84
29,1993.665,-127.34
30,1993.6921,-128.84
31,1993.719,-133.74
32,1993.7462,-123.64
33,1993.7731,-101.34
34,1993.8006,-87.74
35,1993.8544,-86.54
36,1993.8817,-66.24
37,1993.9096,-52.24
38,1993.9368,-41.14
39,1993.9636,0.76
40,1993.9906,16.06
41,1994.0176,0.96
42,1994.0448,-6.34
43,1994.0715,15.36
44,1994.099,-7.44
45,1994.1268,15.16
46,1994.1536,31.16
47,1994.1803,21.66
48,1994.2351,25.46
49,1994.2619,22.66
50,1994.2893,-5.74
51,1994.3169,-31.24
52,1994.3439,-36.94
53,1994.3706,-62.54
54,1994.3975,-76.74
55,1994.425,-75.04
56,1994.4521,-83.14
57,1994.5066,-126.74
58,1994.5335,-106.04
59,1994.5606,-146.44
60,1994.5876,-147.94
61,1994.6152,-177.14
62,1994.6422,-171.34
63,1994.6692,-162.04
64,1994.6966,-156.44
65,1994.7237,-142.24
66,1994.7503,-111.84
67,1994.7779,-106.34
68,1994.805,-107.74
69,1994.8323,-83.44
70,1994.8868,-79.14
71,1994.9134,-68.74
72,1994.9413,-39.94
73,1994.968,-46.94
74,1994.9948,-58.24
75,1995.0221,-42.34
76,1995.049,-14.74
77,1995.0766,4.76
78,1995.1034,-6.24
79,1995.1308,-24.84
80,1995.1578,2.86
81,1995.2122,-5.34
82,1995.2393,-8.84
83,1995.2664,0.16
84,1995.2938,-9.04
85,1995.3206,-23.54
86,1995.3755,-31.14
87,1995.4022,-49.24
88,1995.4296,-58.54
89,1995.4567,-74.24
90,1995.4839,-94.14
91,1995.5382,-65.34
92,1995.5655,-86.74
93,1995.5924,-117.04
94,1995.6198,-115.14
95,1995.6468,-97.04
96,1995.6729,-65.34
97,1995.7008,-71.54
98,1995.7282,-42.84
99,1995.7556,-35.44
100,1995.7825,-34.54
101,1995.8369,4.96
102,1995.8639,20.76
103,1995.89,55.86
104,1995.9458,107.56
105,1995.9725,93.36
106,1995.9998,74.06
107,1996.0262,66.36
108,1996.0529,44.36
109,1996.0807,47.06
110,1996.1083,40.36
111,1996.1627,61.46
112,1996.1899,42.06
113,1996.2153,28.26
114,1996.2441,15.16
115,1996.271,35.96
116,1996.2982,38.86
117,1996.3254,41.86
118,1996.3525,45.66
119,1996.3796,22.36
120,1996.4071,4.76
121,1996.434,-5.54
122,1996.4882,-12.64
123,1996.5154,-20.24
124,1996.5434,-7.34
125,1996.5699,-19.44
126,1996.5974,-34.94
127,1996.6238,-37.14
128,1996.6513,-13.44
129,1996.6784,-20.64
130,1996.7051,-6.24
131,1996.7335,-9.04
132,1996.7598,3.86
133,1996.8142,34.36
134,1996.8411,48.56
135,1996.8682,48.76
136,1996.8954,52.36
137,1996.9226,63.66
138,1996.9496,74.76
139,1996.9771,103.66
140,1997.004,98.16
141,1997.031,61.36
142,1997.0582,43.16
143,1997.0858,55.76
144,1997.1397,89.76
145,1997.1673,100.46
146,1997.1942,34.86
147,1997.2213,10.36
148,1997.2483,-1.84
149,1997.2758,-34.44
150,1997.3025,-46.64
151,1997.3298,-46.14
152,1997.357,-42.74
153,1997.3845,-43.54
154,1997.4113,-34.94
155,1997.4656,-96.34
156,1997.4929,-110.94
157,1997.5199,-116.54
158,1997.5472,-147.74
159,1997.5742,-158.14
160,1997.6283,-169.84
161,1997.6555,-163.54
162,1997.6825,-156.84
163,1997.7097,-174.94
164,1997.7369,-153.94
165,1997.7913,-160.14
166,1997.8187,-152.34
167,1997.8455,-149.84
168,1997.873,-150.84
169,1997.9002,-151.94
170,1997.9273,-145.24
171,1997.9542,-130.54
172,1997.9815,-93.24
173,1998.0085,-84.74
174,1998.0352,-100.74
175,1998.09,-83.44
176,1998.1172,-77.84
177,1998.1444,-59.64
178,1998.1715,-40.04
179,1998.1991,-68.84
180,1998.2255,-39.54
181,1998.2526,-49.64
182,1998.28,-37.74
183,1998.3075,-15.34
184,1998.3344,-22.84
185,1998.361,-36.04
186,1998.4152,10.36
187,1998.443,6.56
188,1998.4702,-2.34
189,1998.4973,-13.24
190,1998.5242,-30.84
191,1998.5513,-23.24
192,1998.6058,-12.44
193,1998.6329,-21.84
194,1998.6603,-8.94
195,1998.687,-15.24
196,1998.7143,-1.74
197,1998.7416,28.76
198,1998.7683,56.96
199,1998.8229,81.96
200,1998.85,95.86
201,1998.8773,123.86
202,1998.9039,122.86
203,1998.9315,132.86
204,1998.9585,112.46
205,1998.9858,110.86
206,1999.013,96.86
207,1999.0402,116.46
208,1999.0945,122.86
209,1999.1258,139.16
210,1999.1485,130.66
211,1999.1759,95.76
212,1999.2031,92.06
213,1999.2307,125.66
214,1999.257,126.46
215,1999.2842,114.66
216,1999.3385,74.86
217,1999.3658,72.86
218,1999.3933,74.86
219,1999.4201,68.06
220,1999.4473,50.56
221,1999.4748,20.36
222,1999.5017,-10.34
223,1999.5291,-11.94
224,1999.5563,-29.84
225,1999.5832,-25.84
226,1999.6099,-43.84
227,1999.6373,-36.14
228,1999.6918,-18.94
229,1999.719,-14.94
230,1999.7458,9.16
231,1999.7733,35.76
232,1999.8004,58.06
233,1999.8273,72.16
234,1999.8545,98.76
235,1999.8815,109.06
236,1999.9083,98.36
237,1999.963,117.96
238,1999.9902,129.76
239,2000.0172,104.06
240,2000.0446,94.36
241,2000.072,105.16
242,2000.0992,113.36
243,2000.1262,124.56
244,2000.153,150.66
245,2000.1803,157.46
246,2000.2075,147.36
247,2000.2345,142.66
248,2000.2888,132.56
249,2000.3162,145.26
250,2000.3431,105.06
251,2000.3705,95.76
252,2000.3973,73.16
253,2000.4245,25.86
254,2000.4519,20.46
255,2000.4793,15.46
256,2000.5058,13.46
257,2000.5334,40.76
258,2000.587,-7.74
259,2000.6147,-1.74
260,2000.6419,7.56
261,2000.669,9.46
262,2000.6962,-2.04
263,2000.7236,12.06
264,2000.7507,24.16
265,2000.7776,42.76
266,2000.8042,39.56
267,2000.8592,81.06
268,2000.8852,75.16
269,2000.9143,105.46
270,2000.9406,128.26
271,2000.9676,114.06
272,2000.995,100.06
273,2001.0221,102.26
274,2001.0763,95.96
275,2001.1038,138.26
276,2001.1306,178.36
277,2001.1579,164.56
278,2001.1845,138.96
279,2001.2121,115.76
280,2001.239,93.06
281,2001.2663,102.76
282,2001.2932,93.96
283,2001.3206,77.56
284,2001.3478,87.66
285,2001.3751,57.56
286,2001.4021,28.56
287,2001.4288,32.96
288,2001.4559,33.56
289,2001.4834,10.06
290,2001.5106,7.76
291,2001.5375,-13.54
292,2001.5649,-32.04
293,2001.5921,-31.14
294,2001.6195,-36.74
295,2001.6464,-48.64
296,2001.6735,-18.04
297,2001.7005,-11.74
298,2001.7279,-16.94
299,2001.7554,-8.74
300,2001.782,9.86
301,2001.8094,21.36
302,2001.8365,39.06
303,2001.864,42.66
304,2001.8912,60.26
305,2001.918,62.46
306,2001.957,73.56
307,2001.9722,48.46
308,2001.9992,53.96
309,2002.0259,52.46
310,2002.0531,18.24
311,2002.0536,20.96
312,2002.0807,44.16
313,2002.0815,43.04
314,2002.1079,74.24
315,2002.1081,78.26
316,2002.135,98.24
317,2002.1354,100.06
318,2002.1619,65.06
319,2002.162,70.64
320,2002.1892,47.56
321,2002.1902,47.24
322,2002.2161,28.64
323,2002.2164,27.46
324,2002.2428,22.34
325,2002.2436,13.96
326,2002.2703,19.06
327,2002.2708,17.24
328,2002.2978,16.84
329,2002.2985,5.96
330,2002.3249,-16.85
331,2002.3521,-10.26
332,2002.3523,-6.34
333,2002.3792,6.26
334,2002.3793,9.14
335,2002.4066,-5.26
336,2002.4067,-14.84
337,2002.4336,-25.450000000000003
338,2002.4608,-16.04
339,2002.4611,-15.36
340,2002.4881,-32.24
341,2002.4882,-26.16
342,2002.515,-62.86
343,2002.5421,-42.66
344,2002.5422,-50.14
345,2002.5692,-56.6
346,2002.5966,-57.56
347,2002.5967,-54.44
348,2002.6236,-82.04
349,2002.6237,-71.96
350,2002.6511,-85.56
351,2002.6549,-76.94
352,2002.6777,-94.44
353,2002.6778,-98.06
354,2002.7052,-81.56
355,2002.7064,-85.54
356,2002.7321,-81.4
357,2002.7594,-96.34
358,2002.7595,-72.96
359,2002.785,-81.24
360,2002.7863,-73.46
361,2002.8139,-43.76
362,2002.8142,-60.74
363,2002.841,-70.66
364,2002.8411,-68.54
365,2002.8678,-63.66
366,2002.868,-72.04
367,2002.8938,-65.56
368,2002.8963,-72.74
369,2002.9218,-33.55
370,2002.9491,-29.94
371,2002.9497,-30.56
372,2002.976,-30.74
373,2002.9769,-27.96
374,2003.0037,3.46
375,2003.0038,7.64
376,2003.0307,54.06
377,2003.0308,62.24
378,2003.0577,11.64
379,2003.0579,15.96
380,2003.085,-2.34
381,2003.0853,6.84
382,2003.1124,21.86
383,2003.1126,27.94
384,2003.1393,38.96
385,2003.1394,31.14
386,2003.1664,42.46
387,2003.1666,40.64
388,2003.1934,16.76
389,2003.1936,34.64
390,2003.2211,2.75
391,2003.2473,16.34
392,2003.2486,0.36
393,2003.2754,11.76
394,2003.2795,5.94
395,2003.3022,-9.24
396,2003.3027,-18.86
397,2003.3294,-39.16
398,2003.3295,-23.14
399,2003.3564,-11.24
400,2003.3567,-10.66
401,2003.3839,12.8
402,2003.4107,-4.54
403,2003.411,-11.26
404,2003.4381,-36.54
405,2003.4382,-35.66
406,2003.4654,-46.46
407,2003.4657,-61.34
