,time,sea_level_altitude
0,1992.8258,-23.54
1,1992.849,-24.56
2,1992.8777,-33.26
3,1992.9046,-45.95
4,1992.9303,-32.88
5,1992.9614,-52.3
6,1992.9864,-57.36
7,1993.0121,-74.53
8,1993.0404,-92.85
9,1993.0635,-65.58
10,1993.0972,-36.35
11,1993.1209,-45.78
12,1993.1492,-53.18
13,1993.176,-91.96
14,1993.2035,-91.88
15,1993.2304,-84.11
16,1993.2851,-86.41
17,1993.3119,-94.95
18,1993.3391,-113.29
19,1993.3663,-110.92
20,1993.3934,-113.73
21,1993.4204,-86.15
22,1993.4479,-80.8
23,1993.4739,-79.89
24,1993.5018,-76.89
25,1993.5291,-67.31
26,1993.583,-58.13
27,1993.6115,-64.79
28,1993.6379,-72.24
29,1993.665,-63.11
30,1993.6921,-69.54
31,1993.719,-81.61
32,1993.7462,-80.69
33,1993.7731,-68.89
34,1993.8006,-66.91
35,1993.8544,-88.81
36,1993.8817,-79.39
37,1993.9096,-75.34
38,1993.9368,-72.53
39,1993.9636,-37.29
40,1993.9906,-27.17
41,1994.0176,-45.97
42,1994.0448,-55.65
43,1994.0715,-35.13
44,1994.099,-58.14
45,1994.1268,-34.88
46,1994.1536,-17.51
47,1994.1803,-24.99
48,1994.2351,-14.83
49,1994.2619,-13.27
50,1994.2893,-36.2
51,1994.3169,-55.07
52,1994.3439,-53.15
53,1994.3706,-70.18
54,1994.3975,-74.82
55,1994.425,-62.67
56,1994.4521,-60.15
57,1994.5066,-83.32
58,1994.5335,-54.0
59,1994.5606,-87.37
60,1994.5876,-83.95
61,1994.6152,-110.6
62,1994.6422,-104.94
63,1994.6692,-98.41
64,1994.6966,-98.19
65,1994.7237,-91.57
66,1994.7503,-70.41
67,1994.7779,-75.87
68,1994.805,-88.81
69,1994.8323,-76.35
70,1994.8868,-94.2
71,1994.9134,-93.08
72,1994.9413,-72.55
73,1994.968,-85.94
74,1994.9948,-102.14
75,1995.0221,-89.75
76,1995.049,-64.3
77,1995.0766,-45.84
78,1995.1034,-56.89
79,1995.1308,-74.72
80,1995.1578,-45.54
81,1995.2122,-48.68
82,1995.2393,-48.51
83,1995.2664,-34.94
84,1995.2938,-38.5
85,1995.3206,-46.39
86,1995.3755,-37.1
87,1995.4022,-45.58
88,1995.4296,-44.38
89,1995.4567,-49.45
90,1995.4839,-58.9
91,1995.5382,-11.95
92,1995.5655,-26.61
93,1995.5924,-52.42
94,1995.6198,-48.44
95,1995.6468,-30.93
96,1995.6729,-2.29
97,1995.7008,-14.33
98,1995.7282,6.38
99,1995.7556,3.97
100,1995.7825,-5.99
101,1995.8369,10.07
102,1995.8639,14.6
103,1995.89,39.62
104,1995.9458,73.76
105,1995.9725,53.43
106,1995.9998,29.41
107,1996.0262,18.54
108,1996.0529,-5.42
109,1996.0807,-3.6
110,1996.1083,-10.21
111,1996.1627,13.4
112,1996.1899,-3.7
113,1996.2153,-14.7
114,1996.2441,-23.77
115,1996.271,1.73
116,1996.2982,10.41
117,1996.3254,20.31
118,1996.3525,32.1
119,1996.3796,17.83
120,1996.4071,10.26
121,1996.434,10.34
122,1996.4882,24.2
123,1996.5154,26.15
124,1996.5434,47.48
125,1996.5699,41.58
126,1996.5974,30.26
127,1996.6238,29.64
128,1996.6513,52.32
129,1996.6784,41.46
130,1996.7051,49.86
131,1996.7335,38.4
132,1996.7598,41.64
133,1996.8142,49.29
134,1996.8411,51.88
135,1996.8682,40.87
136,1996.8954,34.16
137,1996.9226,36.42
138,1996.9496,40.0
139,1996.9771,62.83
140,1997.004,52.92
141,1997.031,13.1
142,1997.0582,-6.87
143,1997.0858,5.05
144,1997.1397,40.3
145,1997.1673,52.74
146,1997.1942,-10.47
147,1997.2213,-31.84
148,1997.2483,-40.1
149,1997.2758,-67.73
150,1997.3025,-74.07
151,1997.3298,-66.47
152,1997.357,-54.87
153,1997.3845,-46.34
154,1997.4113,-27.84
155,1997.4656,-68.09
156,1997.4929,-72.38
157,1997.5199,-68.68
158,1997.5472,-91.91
159,1997.5742,-96.31
160,1997.6283,-103.04
161,1997.6555,-98.18
162,1997.6825,-95.51
163,1997.7097,-120.1
164,1997.7369,-107.67
165,1997.7913,-135.31
166,1997.8187,-139.36
167,1997.8455,-148.39
168,1997.873,-160.63
169,1997.9002,-171.84
170,1997.9273,-173.9
171,1997.9542,-166.43
172,1997.9815,-134.9
173,1998.0085,-130.58
174,1998.0352,-149.35
175,1998.09,-134.17
176,1998.1172,-128.2
177,1998.1444,-108.86
178,1998.1715,-87.43
179,1998.1991,-113.66
180,1998.2255,-81.18
181,1998.2526,-87.19
182,1998.28,-70.18
183,1998.3075,-41.56
184,1998.3344,-41.86
185,1998.361,-46.87
186,1998.4152,18.95
187,1998.443,25.97
188,1998.4702,27.69
189,1998.4973,26.91
190,1998.5242,18.38
191,1998.5513,33.63
192,1998.6058,53.53
193,1998.6329,44.91
194,1998.6603,55.89
195,1998.687,45.17
196,1998.7143,51.79
197,1998.7416,73.38
198,1998.7683,91.36
199,1998.8229,93.11
200,1998.85,95.42
201,1998.8773,112.4
202,1998.9039,101.69
203,1998.9315,102.97
204,1998.9585,75.56
205,1998.9858,68.44
206,1999.013,50.46
207,1999.0402,67.47
208,1999.0945,72.13
209,1999.1258,89.09
210,1999.1485,81.68
211,1999.1759,48.73
212,1999.2031,47.67
213,1999.2307,84.73
214,1999.257,89.66
215,1999.2842,83.1
216,1999.3385,57.04
217,1999.3658,63.61
218,1999.3933,75.23
219,1999.4201,78.53
220,1999.4473,71.66
221,1999.4748,52.16
222,1999.5017,31.37
223,1999.5291,38.79
224,1999.5563,28.24
225,1999.5832,37.5
226,1999.6099,22.41
227,1999.6373,30.48
228,1999.6918,40.43
229,1999.719,37.19
230,1999.7458,52.25
231,1999.7733,68.13
232,1999.8004,78.98
233,1999.8273,81.41
234,1999.8545,96.45
235,1999.8815,95.99
236,1999.9083,75.7
237,1999.963,80.04
238,1999.9902,86.6
239,2000.0172,57.17
240,2000.0446,45.07
241,2000.072,54.66
242,2000.0992,62.66
243,2000.1262,74.5
244,2000.153,101.95
245,2000.1803,110.81
246,2000.2075,103.47
247,2000.2345,102.28
248,2000.2888,101.99
249,2000.3162,121.25
250,2000.3431,88.6
251,2000.3705,88.09
252,2000.3973,75.0
