,time,sea_level_altitude
0,1992.8258,-23.67
1,1992.849,-24.69
2,1992.8777,-33.38
3,1992.9046,-46.08
4,1992.9303,-33.01
5,1992.9614,-52.43
6,1992.9864,-57.49
7,1993.0121,-74.66
8,1993.0404,-92.98
9,1993.0635,-65.71
10,1993.0972,-36.48
11,1993.1209,-45.91
12,1993.1492,-53.31
13,1993.176,-92.09
14,1993.2035,-92.01
15,1993.2304,-84.24
16,1993.2851,-86.54
17,1993.3119,-95.08
18,1993.3391,-113.42
19,1993.3663,-111.05
20,1993.3934,-113.86
21,1993.4204,-86.28
22,1993.4479,-80.93
23,1993.4739,-80.02
24,1993.5018,-77.02
25,1993.5291,-67.44
26,1993.583,-58.25
27,1993.6115,-64.92
28,1993.6379,-72.37
29,1993.665,-63.24
30,1993.6921,-69.67
31,1993.719,-81.74
32,1993.7462,-80.82
33,1993.7731,-69.02
34,1993.8006,-67.04
35,1993.8544,-88.94
36,1993.8817,-79.51
37,1993.9096,-75.46
38,1993.9368,-72.66
39,1993.9636,-37.42
40,1993.9906,-27.3
41,1994.0176,-46.1
42,1994.0448,-55.78
43,1994.0715,-35.26
44,1994.099,-58.27
45,1994.1268,-35.0
46,1994.1536,-17.64
47,1994.1803,-25.12
48,1994.2351,-14.96
49,1994.2619,-13.4
50,1994.2893,-36.33
51,1994.3169,-55.2
52,1994.3439,-53.28
53,1994.3706,-70.31
54,1994.3975,-74.95
55,1994.425,-62.8
56,1994.4521,-60.28
57,1994.5066,-83.45
58,1994.5335,-54.13
59,1994.5606,-87.5
60,1994.5876,-84.08
61,1994.6152,-110.73
62,1994.6422,-105.07
63,1994.6692,-98.54
64,1994.6966,-98.32
65,1994.7237,-91.7
66,1994.7503,-70.54
67,1994.7779,-76.0
68,1994.805,-88.94
69,1994.8323,-76.48
70,1994.8868,-94.33
71,1994.9134,-93.21
72,1994.9413,-72.68
73,1994.968,-86.07
74,1994.9948,-102.27
75,1995.0221,-89.88
76,1995.049,-64.43
77,1995.0766,-45.97
78,1995.1034,-57.02
79,1995.1308,-74.84
80,1995.1578,-45.67
81,1995.2122,-48.81
82,1995.2393,-48.64
83,1995.2664,-35.07
84,1995.2938,-38.63
85,1995.3206,-46.52
86,1995.3755,-37.23
87,1995.4022,-45.71
88,1995.4296,-44.51
89,1995.4567,-49.58
90,1995.4839,-59.03
91,1995.5382,-12.08
92,1995.5655,-26.74
93,1995.5924,-52.55
94,1995.6198,-48.57
95,1995.6468,-31.06
96,1995.6729,-2.42
97,1995.7008,-14.46
98,1995.7282,6.25
99,1995.7556,3.84
100,1995.7825,-6.12
101,1995.8369,9.94
102,1995.8639,14.47
103,1995.89,39.49
104,1995.9458,73.64
105,1995.9725,53.3
106,1995.9998,29.28
107,1996.0262,18.41
108,1996.0529,-5.55
109,1996.0807,-3.73
110,1996.1083,-10.34
111,1996.1627,13.28
112,1996.1899,-3.83
113,1996.2153,-14.83
114,1996.2441,-23.9
115,1996.271,1.6
116,1996.2982,10.28
117,1996.3254,20.18
118,1996.3525,31.97
119,1996.3796,17.7
120,1996.4071,10.13
121,1996.434,10.21
122,1996.4882,24.07
123,1996.5154,26.02
124,1996.5434,47.36
125,1996.5699,41.45
126,1996.5974,30.13
127,1996.6238,29.51
128,1996.6513,52.19
129,1996.6784,41.33
130,1996.7051,49.73
131,1996.7335,38.28
132,1996.7598,41.52
133,1996.8142,49.16
134,1996.8411,51.75
135,1996.8682,40.74
136,1996.8954,34.03
137,1996.9226,36.29
138,1996.9496,39.87
139,1996.9771,62.7
140,1997.004,52.79
141,1997.031,12.97
142,1997.0582,-7.0
