,time,sea_level_altitude
0,1992.8257,-30.57
1,1992.8488,-62.72
2,1992.8781,-54.23
3,1992.9041,24.25
4,1992.9296,-17.93
5,1992.9612,10.36
6,1992.9854,-43.4
7,1993.0119,-98.73
8,1993.0406,-47.68
9,1993.0637,-77.47
10,1993.0976,-34.74
11,1993.1197,-108.05
12,1993.1491,-71.63
13,1993.1758,4.42
14,1993.2028,-16.7
15,1993.2302,-68.63
16,1993.2843,-27.3
17,1993.3115,-14.72
18,1993.3385,-8.69
19,1993.3662,-12.81
20,1993.393,-1.73
21,1993.4199,-6.59
22,1993.4479,-13.39
23,1993.4733,-22.75
24,1993.5012,-21.59
25,1993.5287,-48.38
26,1993.5827,-25.37
27,1993.6102,-37.32
28,1993.6371,-25.52
29,1993.6642,-3.61
30,1993.6916,-12.52
31,1993.7182,8.98
32,1993.7459,-20.65
33,1993.7728,28.79
34,1993.8001,20.57
35,1993.8547,-8.87
36,1993.8813,-102.16
37,1993.9086,-70.71
38,1993.9358,-26.02
39,1993.9627,-25.69
40,1993.9895,-16.38
41,1994.0171,23.46
42,1994.0443,13.1
43,1994.0716,-102.44
44,1994.0983,-65.29
45,1994.1258,50.62
46,1994.1528,34.07
47,1994.1801,-28.88
48,1994.2344,-71.32
49,1994.2614,-51.92
50,1994.2886,-7.23
51,1994.3159,28.22
52,1994.343,-6.41
53,1994.3699,-2.49
54,1994.3972,42.23
55,1994.4242,1.93
56,1994.4516,-24.01
57,1994.5058,-22.83
58,1994.5332,-11.96
59,1994.5601,-25.87
60,1994.5872,-1.06
61,1994.6146,-6.36
62,1994.6417,-13.6
63,1994.6686,-7.11
64,1994.6959,-28.9
65,1994.7231,-7.63
66,1994.7503,-6.22
67,1994.7765,-51.59
68,1994.8044,-24.57
69,1994.8317,-1.65
70,1994.8854,0.02
71,1994.9131,-11.28
72,1994.9399,-35.05
73,1994.9676,-35.16
74,1994.9945,-2.47
75,1995.0217,-28.63
76,1995.0487,-45.41
77,1995.0758,-9.39
78,1995.1029,2.23
79,1995.1304,32.5
80,1995.1576,-21.09
81,1995.2115,-45.29
82,1995.2387,-56.57
83,1995.266,-42.05
84,1995.2934,-20.89
85,1995.3203,-3.57
86,1995.3745,-14.22
87,1995.4015,-25.15
88,1995.429,-25.99
89,1995.4558,8.72
90,1995.4827,-7.49
91,1995.5375,4.7
92,1995.5647,-7.11
93,1995.5918,-15.6
94,1995.6187,-24.1
95,1995.6462,-14.34
96,1995.673,-7.0
97,1995.7004,7.87
98,1995.7275,-19.13
