,time,sea_level_altitude
0,1992.8257,-30.05
1,1992.8488,-62.2
2,1992.8781,-53.72
3,1992.9041,24.77
4,1992.9296,-17.41
5,1992.9612,10.87
6,1992.9854,-42.88
7,1993.0119,-98.21
8,1993.0406,-47.17
9,1993.0637,-76.95
10,1993.0976,-34.22
11,1993.1197,-107.54
12,1993.1491,-71.11
13,1993.1758,4.94
14,1993.2028,-16.18
15,1993.2302,-68.12
16,1993.2843,-26.78
17,1993.3115,-14.2
18,1993.3385,-8.17
19,1993.3662,-12.29
20,1993.393,-1.21
21,1993.4199,-6.07
22,1993.4479,-12.87
23,1993.4733,-22.23
24,1993.5012,-21.07
25,1993.5287,-47.86
26,1993.5827,-24.86
27,1993.6102,-36.8
28,1993.6371,-25.0
29,1993.6642,-3.09
30,1993.6916,-12.0
31,1993.7182,9.5
32,1993.7459,-20.13
33,1993.7728,29.31
34,1993.8001,21.09
35,1993.8547,-8.35
36,1993.8813,-101.65
37,1993.9086,-70.19
38,1993.9358,-25.5
39,1993.9627,-25.17
40,1993.9895,-15.86
41,1994.0171,23.98
42,1994.0443,13.62
43,1994.0716,-101.92
44,1994.0983,-64.78
45,1994.1258,51.14
46,1994.1528,34.59
47,1994.1801,-28.36
48,1994.2344,-70.8
49,1994.2614,-51.4
50,1994.2886,-6.72
51,1994.3159,28.74
52,1994.343,-5.89
53,1994.3699,-1.98
54,1994.3972,42.75
55,1994.4242,2.45
56,1994.4516,-23.5
57,1994.5058,-22.31
58,1994.5332,-11.45
59,1994.5601,-25.36
60,1994.5872,-0.54
61,1994.6146,-5.84
62,1994.6417,-13.08
63,1994.6686,-6.59
64,1994.6959,-28.38
65,1994.7231,-7.11
66,1994.7503,-5.7
67,1994.7765,-51.07
68,1994.8044,-24.05
69,1994.8317,-1.13
70,1994.8854,0.54
71,1994.9131,-10.77
72,1994.9399,-34.53
73,1994.9676,-34.64
74,1994.9945,-1.96
75,1995.0217,-28.11
76,1995.0487,-44.89
77,1995.0758,-8.87
78,1995.1029,2.75
79,1995.1304,33.02
80,1995.1576,-20.58
81,1995.2115,-44.78
82,1995.2387,-56.05
83,1995.266,-41.54
84,1995.2934,-20.38
85,1995.3203,-3.05
86,1995.3745,-13.7
87,1995.4015,-24.63
88,1995.429,-25.47
89,1995.4558,9.24
90,1995.4827,-6.98
91,1995.5375,5.22
92,1995.5647,-6.59
93,1995.5918,-15.08
94,1995.6187,-23.58
95,1995.6462,-13.82
96,1995.673,-6.48
97,1995.7004,8.39
98,1995.7275,-18.62
99,1995.7546,-37.5
100,1995.782,-61.19
101,1995.8362,-26.06
102,1995.8632,10.15
103,1995.8886,27.31
104,1995.9447,-8.65
105,1995.9721,38.0
106,1995.9987,122.47
107,1996.0262,122.53
108,1996.053,3.11
109,1996.0807,66.92
110,1996.1079,37.99
111,1996.1622,3.62
112,1996.1886,-19.21
113,1996.2159,39.02
114,1996.2432,28.22
115,1996.2705,14.49
116,1996.2977,-24.59
117,1996.3253,-38.0
118,1996.3519,55.14
119,1996.3793,77.7
120,1996.4061,12.11
121,1996.434,-21.85
122,1996.4876,-37.47
123,1996.5151,-13.95
124,1996.5419,-0.17
125,1996.5691,9.43
126,1996.5966,-3.31
127,1996.6235,13.5
128,1996.6505,-2.39
129,1996.6779,-36.75
130,1996.7046,-1.11
131,1996.733,30.48
132,1996.7589,-4.93
133,1996.8135,-3.9
134,1996.8406,-21.0
135,1996.8677,14.08
136,1996.8948,48.13
137,1996.9216,19.2
138,1996.9495,10.4
139,1996.976,72.32
140,1997.0036,109.75
141,1997.0307,94.16
142,1997.0578,67.38
143,1997.0848,-12.58
144,1997.1392,-16.61
145,1997.1664,-30.47
146,1997.1936,-18.54
147,1997.2207,-16.94
148,1997.2479,-62.88
149,1997.275,-61.14
150,1997.3022,-55.47
151,1997.3293,14.66
152,1997.3563,39.01
153,1997.3839,18.26
154,1997.4107,11.65
155,1997.4651,29.06
156,1997.4923,27.89
157,1997.5195,23.43
158,1997.5463,-19.07
159,1997.5736,-1.1
160,1997.6279,-11.17
161,1997.6552,-7.91
162,1997.6821,11.95
163,1997.7094,5.0
