,time,sea_level_altitude
0,1992.8257,52.08
1,1992.8488,18.18
2,1992.8781,20.88
3,1992.9041,90.98
4,1992.9296,37.88
5,1992.9612,49.58
6,1992.9854,-18.52
7,1993.0119,-90.42
8,1993.0406,-57.42
9,1993.0637,-101.12
10,1993.0976,-76.72
11,1993.1197,-160.12
12,1993.1491,-134.32
13,1993.1758,-64.92
14,1993.2028,-89.82
15,1993.2302,-142.72
16,1993.2843,-96.22
17,1993.3115,-78.42
18,1993.3385,-66.12
19,1993.3662,-63.12
20,1993.393,-44.82
21,1993.4199,-42.32
22,1993.4479,-41.42
23,1993.4733,-43.72
24,1993.5012,-34.62
25,1993.5287,-53.22
26,1993.5827,-12.52
27,1993.6102,-14.52
28,1993.6371,7.48
29,1993.6642,39.88
30,1993.6916,41.38
31,1993.7182,72.28
32,1993.7459,51.08
33,1993.7728,106.78
34,1993.8001,102.38
35,1993.8547,71.18
36,1993.8813,-27.92
37,1993.9086,-5.72
38,1993.9358,26.78
39,1993.9627,12.68
40,1993.9895,5.98
41,1994.0171,28.48
42,1994.0443,1.08
43,1994.0716,-130.62
44,1994.0983,-107.62
45,1994.1258,-3.92
46,1994.1528,-29.72
47,1994.1801,-99.02
48,1994.2344,-145.32
49,1994.2614,-124.02
50,1994.2886,-75.42
51,1994.3159,-34.52
52,1994.343,-62.72
53,1994.3699,-51.82
54,1994.3972,0.28
55,1994.4242,-32.62
56,1994.4516,-51.02
57,1994.5058,-34.52
58,1994.5332,-15.42
59,1994.5601,-20.72
60,1994.5872,13.38
61,1994.6146,18.08
62,1994.6417,21.18
63,1994.6686,38.08
64,1994.6959,26.58
65,1994.7231,57.28
66,1994.7503,66.68
67,1994.7765,27.08
68,1994.8044,57.58
69,1994.8317,80.78
70,1994.8854,73.08
71,1994.9131,51.88
72,1994.9399,15.68
73,1994.9676,0.38
74,1994.9945,16.78
75,1995.0217,-26.52
76,1995.0487,-60.12
77,1995.0758,-39.92
78,1995.1029,-42.32
79,1995.1304,-23.82
80,1995.1576,-86.22
81,1995.2115,-119.02
82,1995.2387,-130.42
83,1995.266,-113.62
84,1995.2934,-88.22
85,1995.3203,-65.32
86,1995.3745,-62.32
87,1995.4015,-65.92
88,1995.429,-59.22
89,1995.4558,-17.12
90,1995.4827,-25.82
91,1995.5375,2.58
92,1995.5647,-0.42
93,1995.5918,0.48
94,1995.6187,1.88
95,1995.6462,22.18
96,1995.673,39.88
97,1995.7004,64.98
98,1995.7275,47.18
99,1995.7546,35.98
100,1995.782,17.88
101,1995.8362,55.58
102,1995.8632,88.18
103,1995.8886,98.88
104,1995.9447,39.08
105,1995.9721,70.38
106,1995.9987,138.58
107,1996.0262,121.28
108,1996.053,-14.72
109,1996.0807,33.18
110,1996.1079,-9.42
111,1996.1622,-63.22
112,1996.1886,-91.22
113,1996.2159,-35.42
114,1996.2432,-45.92
115,1996.2705,-57.02
116,1996.2977,-91.62
117,1996.3253,-99.12
118,1996.3519,0.58
119,1996.3793,30.38
120,1996.4061,-27.92
121,1996.434,-54.22
122,1996.4876,-54.92
123,1996.5151,-23.42
124,1996.5419,-1.42
125,1996.5691,17.08
126,1996.5966,13.98
127,1996.6235,40.78
128,1996.6505,35.28
129,1996.6779,11.48
130,1996.7046,56.98
131,1996.733,97.98
132,1996.7589,69.58
133,1996.8135,78.18
134,1996.8406,60.28
135,1996.8677,91.18
136,1996.8948,117.68
137,1996.9216,78.18
138,1996.9495,55.58
139,1996.976,102.38
140,1997.0036,122.78
141,1997.0307,90.08
142,1997.0578,46.68
143,1997.0848,-48.52
144,1997.1392,-76.62
145,1997.1664,-98.32
146,1997.1936,-91.22
147,1997.2207,-91.52
148,1997.2479,-136.72
149,1997.275,-132.02
150,1997.3022,-121.62
151,1997.3293,-45.52
152,1997.3563,-14.42
153,1997.3839,-27.82
154,1997.4107,-27.12
