,time,sea_level_altitude
0,1992.8262,-38.18
1,1992.8502,-23.69
2,1992.8788,-10.64
3,1992.9056,-3.44
4,1992.9307,0.08
5,1992.9621,-15.35
6,1992.9873,-14.23
7,1993.0129,-18.38
8,1993.0412,-1.89
9,1993.0644,-20.29
10,1993.0978,-10.93
11,1993.1213,-8.04
12,1993.1501,-13.05
13,1993.1772,-22.19
14,1993.2042,-15.43
15,1993.2315,-30.81
16,1993.2856,-8.53
17,1993.313,-16.79
18,1993.34,-22.19
19,1993.3673,-16.01
20,1993.3944,-14.6
21,1993.4215,-25.82
22,1993.4486,-16.19
23,1993.4744,-27.83
24,1993.503,-22.25
25,1993.5301,-22.37
26,1993.5844,-19.67
27,1993.6121,-22.38
28,1993.6389,-16.01
29,1993.666,-26.95
30,1993.6929,-23.36
31,1993.7196,-13.04
32,1993.7471,-17.94
33,1993.7744,-13.05
34,1993.8016,-21.23
35,1993.8559,-14.03
36,1993.8829,-18.31
37,1993.9102,-5.11
38,1993.9372,-10.38
39,1993.9645,-15.97
40,1993.9912,-7.23
41,1994.0187,-21.09
42,1994.0455,-21.35
43,1994.0728,-27.02
44,1994.1001,-19.12
45,1994.1273,-12.61
46,1994.1545,-17.65
47,1994.1817,-15.12
48,1994.2358,-18.13
49,1994.2632,-9.25
50,1994.2902,-23.73
51,1994.3175,-15.12
52,1994.3444,-4.83
53,1994.3717,-2.58
54,1994.3989,-3.51
55,1994.426,-14.45
56,1994.4531,-15.51
57,1994.5074,-5.11
58,1994.5345,-26.0
59,1994.5617,-28.73
60,1994.5889,-7.29
61,1994.616,-12.88
62,1994.6432,-18.88
63,1994.6704,-14.33
64,1994.6974,-7.09
65,1994.7246,-9.92
66,1994.7515,-5.24
67,1994.7787,-10.54
68,1994.8063,-17.18
69,1994.8332,-19.68
70,1994.8876,-2.89
71,1994.9146,-1.11
72,1994.9419,1.91
73,1994.969,-8.38
74,1994.9963,-10.14
75,1995.0234,-11.26
76,1995.0502,-8.29
77,1995.0771,-15.57
78,1995.1043,-12.12
79,1995.1316,-1.21
80,1995.1587,16.69
81,1995.2132,-7.28
82,1995.2406,-4.03
83,1995.2675,9.62
84,1995.2947,6.73
85,1995.3219,0.93
86,1995.3762,13.8
87,1995.4034,11.15
88,1995.4304,-4.08
89,1995.4576,-6.86
90,1995.4847,-16.23
91,1995.5391,-0.91
92,1995.5662,-9.9
93,1995.5933,-7.46
94,1995.6205,11.24
95,1995.6477,2.82
96,1995.6746,-0.11
97,1995.7019,-4.56
98,1995.7291,1.81
99,1995.7563,3.7
100,1995.7835,2.45
101,1995.8377,-9.42
102,1995.8648,-2.38
103,1995.8904,-5.65
104,1995.9462,-1.92
105,1995.9735,-5.9
106,1996.0006,-17.92
107,1996.0277,-8.68
108,1996.0544,-15.7
109,1996.0817,-19.26
110,1996.1091,-14.88
111,1996.1637,-4.24
112,1996.1903,-4.84
113,1996.217,-14.63
114,1996.2449,-22.9
115,1996.2719,-8.25
116,1996.2993,-15.44
117,1996.3263,-3.86
118,1996.3537,-9.18
119,1996.3807,-7.36
120,1996.4077,0.91
121,1996.4348,-14.54
122,1996.4892,-21.96
123,1996.5164,-0.65
124,1996.5435,5.85
125,1996.5707,4.74
126,1996.598,-16.02
127,1996.6251,-11.04
128,1996.6521,-7.21
129,1996.6793,2.23
130,1996.7057,-8.18
131,1996.7338,-6.63
132,1996.7607,-0.89
133,1996.8151,3.61
134,1996.8422,4.48
135,1996.8691,10.41
136,1996.8965,-8.19
137,1996.9236,-10.91
138,1996.9509,-5.0
139,1996.9773,-4.34
140,1997.005,-3.47
141,1997.0324,16.93
142,1997.0592,19.75
143,1997.0863,0.73
144,1997.141,-9.49
145,1997.1676,-1.61
146,1997.1951,18.08
147,1997.2222,2.05
148,1997.2493,-12.5
149,1997.2765,-9.14
150,1997.3037,-2.55
151,1997.3309,5.7
152,1997.3579,7.09
153,1997.3852,3.55
154,1997.4121,1.61
155,1997.4664,-5.87
156,1997.4937,-3.9
157,1997.5207,-11.62
158,1997.548,-17.22
159,1997.5752,-13.12
160,1997.6294,-14.1
161,1997.6567,-6.45
162,1997.6835,1.32
163,1997.7109,-7.07
164,1997.7381,-9.08
165,1997.7923,4.84
166,1997.8194,-1.44
167,1997.8466,-3.1
168,1997.8737,-1.0
169,1997.9009,-14.87
170,1997.9279,-19.79
171,1997.955,-17.97
172,1997.9823,-9.38
173,1998.0097,1.37
174,1998.0369,9.06
175,1998.091,-14.47
176,1998.1181,2.78
177,1998.1452,4.92
178,1998.1723,5.35
179,1998.1994,3.9
180,1998.2266,-12.49
181,1998.254,11.09
182,1998.2811,4.13
183,1998.3081,-1.79
184,1998.3353,6.13
185,1998.3625,12.27
186,1998.4165,-1.81
187,1998.4439,-5.75
188,1998.4711,4.73
189,1998.4982,10.04
190,1998.5253,19.4
191,1998.5525,24.6
192,1998.6068,-0.48
193,1998.634,0.87
194,1998.661,10.02
195,1998.6881,16.88
196,1998.7153,18.01
197,1998.7425,-1.18
198,1998.7694,3.37
199,1998.824,23.8
200,1998.851,13.97
201,1998.8782,-0.69
202,1998.9052,3.05
203,1998.9324,-0.99
204,1998.9599,22.03
205,1998.9867,26.68
206,1999.0142,18.75
207,1999.0411,8.78
208,1999.0955,25.45
209,1999.1255,17.87
210,1999.1496,23.15
211,1999.1767,7.63
212,1999.2042,9.97
213,1999.231,-14.76
214,1999.2585,3.43
215,1999.2852,17.97
216,1999.3396,12.64
217,1999.3669,1.85
218,1999.3939,3.0
219,1999.4212,20.25
220,1999.4483,12.49
221,1999.4755,8.11
222,1999.5026,10.79
223,1999.5298,17.64
224,1999.557,15.32
225,1999.5842,16.6
226,1999.6113,9.39
227,1999.6383,13.07
228,1999.6926,12.6
229,1999.7197,15.65
230,1999.7466,21.98
231,1999.7741,0.04
232,1999.8011,8.53
233,1999.8285,4.77
234,1999.8556,18.41
235,1999.8828,13.87
236,1999.9087,12.86
237,1999.9642,4.04
238,1999.9912,12.37
239,2000.0184,39.42
240,2000.0455,26.25
241,2000.0727,21.85
242,2000.0996,26.25
243,2000.1273,35.49
244,2000.1542,15.49
245,2000.1814,13.23
246,2000.2084,6.62
247,2000.2356,8.06
248,2000.2898,23.87
249,2000.3172,20.2
250,2000.3443,18.48
251,2000.3714,29.07
252,2000.3985,28.48
253,2000.4256,18.55
254,2000.4529,24.05
255,2000.4799,14.97
256,2000.5072,12.06
257,2000.5342,11.31
258,2000.5886,15.81
259,2000.6157,8.22
260,2000.6428,6.03
261,2000.6699,0.99
262,2000.6972,14.65
263,2000.7239,15.55
264,2000.7514,12.76
265,2000.7786,-5.14
266,2000.8057,18.36
267,2000.8601,11.67
268,2000.8862,12.15
269,2000.915,6.91
270,2000.9415,3.78
271,2000.9686,3.58
272,2000.9956,6.62
273,2001.0228,9.44
274,2001.0776,13.97
275,2001.1046,5.36
276,2001.1313,8.23
277,2001.1587,-0.61
278,2001.1858,-0.85
279,2001.2129,-14.52
280,2001.2402,-15.86
281,2001.2673,-13.09
282,2001.2945,-2.87
283,2001.3215,-0.85
284,2001.3487,5.4
285,2001.3759,0.95
286,2001.403,-7.47
287,2001.4302,-6.13
288,2001.4572,-2.54
289,2001.4846,0.6
290,2001.5117,2.45
291,2001.5387,-0.36
292,2001.566,5.48
293,2001.593,-2.56
294,2001.6202,-16.46
295,2001.6473,0.54
296,2001.6744,8.83
297,2001.7016,8.69
298,2001.7288,12.24
299,2001.7559,1.11
300,2001.7832,6.03
301,2001.8103,14.45
302,2001.8374,25.02
303,2001.8646,10.37
304,2001.8922,-6.76
305,2001.9189,-3.93
306,2001.9567,-9.32
307,2001.9732,4.2
308,2002.0001,6.31
