,time,sea_level_altitude
0,1992.8262,-37.7
1,1992.8502,-23.21
2,1992.8788,-10.16
3,1992.9056,-2.95
4,1992.9307,0.56
5,1992.9621,-14.87
6,1992.9873,-13.74
7,1993.0129,-17.89
8,1993.0412,-1.41
9,1993.0644,-19.8
10,1993.0978,-10.45
11,1993.1213,-7.56
12,1993.1501,-12.57
13,1993.1772,-21.7
14,1993.2042,-14.95
15,1993.2315,-30.33
16,1993.2856,-8.05
17,1993.313,-16.31
18,1993.34,-21.71
19,1993.3673,-15.53
20,1993.3944,-14.11
21,1993.4215,-25.34
22,1993.4486,-15.71
23,1993.4744,-27.35
24,1993.503,-21.77
25,1993.5301,-21.89
26,1993.5844,-19.19
27,1993.6121,-21.89
28,1993.6389,-15.53
29,1993.666,-26.47
30,1993.6929,-22.88
31,1993.7196,-12.56
32,1993.7471,-17.46
33,1993.7744,-12.57
34,1993.8016,-20.75
35,1993.8559,-13.54
36,1993.8829,-17.82
37,1993.9102,-4.62
38,1993.9372,-9.9
39,1993.9645,-15.48
40,1993.9912,-6.75
41,1994.0187,-20.6
42,1994.0455,-20.86
43,1994.0728,-26.53
44,1994.1001,-18.64
45,1994.1273,-12.12
46,1994.1545,-17.16
47,1994.1817,-14.64
48,1994.2358,-17.64
49,1994.2632,-8.77
50,1994.2902,-23.25
51,1994.3175,-14.63
52,1994.3444,-4.35
53,1994.3717,-2.1
54,1994.3989,-3.02
55,1994.426,-13.96
56,1994.4531,-15.03
57,1994.5074,-4.63
58,1994.5345,-25.52
59,1994.5617,-28.25
60,1994.5889,-6.81
61,1994.616,-12.4
62,1994.6432,-18.4
63,1994.6704,-13.84
64,1994.6974,-6.6
65,1994.7246,-9.44
66,1994.7515,-4.76
67,1994.7787,-10.06
68,1994.8063,-16.69
69,1994.8332,-19.2
70,1994.8876,-2.4
71,1994.9146,-0.63
72,1994.9419,2.39
73,1994.969,-7.9
74,1994.9963,-9.66
75,1995.0234,-10.78
76,1995.0502,-7.81
77,1995.0771,-15.09
78,1995.1043,-11.63
79,1995.1316,-0.72
80,1995.1587,17.17
81,1995.2132,-6.8
82,1995.2406,-3.54
83,1995.2675,10.1
84,1995.2947,7.22
85,1995.3219,1.41
86,1995.3762,14.28
87,1995.4034,11.63
88,1995.4304,-3.6
89,1995.4576,-6.38
90,1995.4847,-15.75
91,1995.5391,-0.43
92,1995.5662,-9.42
93,1995.5933,-6.98
94,1995.6205,11.72
95,1995.6477,3.31
96,1995.6746,0.37
97,1995.7019,-4.08
98,1995.7291,2.29
99,1995.7563,4.18
100,1995.7835,2.93
101,1995.8377,-8.94
102,1995.8648,-1.9
103,1995.8904,-5.16
104,1995.9462,-1.44
105,1995.9735,-5.42
106,1996.0006,-17.44
107,1996.0277,-8.19
108,1996.0544,-15.22
109,1996.0817,-18.78
110,1996.1091,-14.39
111,1996.1637,-3.76
112,1996.1903,-4.36
113,1996.217,-14.15
114,1996.2449,-22.42
115,1996.2719,-7.76
116,1996.2993,-14.96
117,1996.3263,-3.38
118,1996.3537,-8.7
119,1996.3807,-6.87
120,1996.4077,1.39
121,1996.4348,-14.06
122,1996.4892,-21.47
123,1996.5164,-0.17
124,1996.5435,6.34
125,1996.5707,5.22
126,1996.598,-15.54
127,1996.6251,-10.56
128,1996.6521,-6.72
129,1996.6793,2.71
130,1996.7057,-7.7
131,1996.7338,-6.15
132,1996.7607,-0.41
133,1996.8151,4.1
134,1996.8422,4.96
