,time,sea_level_altitude
0,1992.8262,15.57
1,1992.8502,25.87
2,1992.8788,32.47
3,1992.9056,32.47
4,1992.9307,28.47
5,1992.9621,2.97
6,1992.9873,-4.23
7,1993.0129,-16.83
8,1993.0412,-9.43
9,1993.0644,-34.93
10,1993.0978,-35.03
11,1993.1213,-38.13
12,1993.1501,-49.63
13,1993.1772,-63.93
14,1993.2042,-61.33
15,1993.2315,-79.83
16,1993.2856,-60.23
17,1993.313,-67.93
18,1993.34,-71.43
19,1993.3673,-61.93
20,1993.3944,-55.83
21,1993.4215,-61.03
22,1993.4486,-44.13
23,1993.4744,-47.83
24,1993.503,-32.53
25,1993.5301,-22.83
26,1993.5844,-0.03
27,1993.6121,6.97
28,1993.6389,21.87
29,1993.666,18.37
30,1993.6929,27.87
31,1993.7196,42.37
32,1993.7471,39.87
33,1993.7744,45.17
34,1993.8016,35.47
35,1993.8559,34.37
36,1993.8829,23.77
37,1993.9102,29.47
38,1993.9372,15.97
39,1993.9645,1.57
40,1993.9912,1.47
41,1994.0187,-21.43
42,1994.0455,-30.23
43,1994.0728,-44.13
44,1994.1001,-43.83
45,1994.1273,-44.13
46,1994.1545,-55.13
47,1994.1817,-57.63
48,1994.2358,-67.53
49,1994.2632,-60.43
50,1994.2902,-75.43
51,1994.3175,-66.03
52,1994.3444,-53.63
53,1994.3717,-47.83
54,1994.3989,-43.83
55,1994.426,-48.53
56,1994.4531,-42.13
57,1994.5074,-13.83
58,1994.5345,-24.83
59,1994.5617,-17.43
60,1994.5889,13.97
61,1994.616,17.77
62,1994.6432,20.27
63,1994.6704,32.07
64,1994.6974,44.97
65,1994.7246,46.07
66,1994.7515,52.77
67,1994.7787,47.57
68,1994.8063,39.07
69,1994.8332,32.97
70,1994.8876,37.97
71,1994.9146,32.17
72,1994.9419,26.77
73,1994.969,7.67
74,1994.9963,-3.13
75,1995.0234,-13.13
76,1995.0502,-18.63
77,1995.0771,-33.93
78,1995.1043,-37.93
79,1995.1316,-33.73
80,1995.1587,-21.63
81,1995.2132,-54.33
82,1995.2406,-53.83
83,1995.2675,-41.73
84,1995.2947,-44.93
85,1995.3219,-49.73
86,1995.3762,-30.73
87,1995.4034,-28.23
88,1995.4304,-37.03
89,1995.4576,-32.13
90,1995.4847,-32.83
91,1995.5391,1.97
92,1995.5662,3.07
93,1995.5933,15.37
94,1995.6205,43.37
95,1995.6477,43.27
96,1995.6746,47.27
97,1995.7019,48.27
98,1995.7291,58.27
99,1995.7563,61.87
100,1995.7835,60.37
101,1995.8377,42.47
102,1995.8648,44.07
103,1995.8904,34.47
104,1995.9462,21.57
105,1995.9735,8.67
106,1996.0006,-12.33
107,1996.0277,-11.93
108,1996.0544,-27.33
109,1996.0817,-38.93
110,1996.1091,-41.93
111,1996.1637,-43.53
112,1996.1903,-48.73
113,1996.217,-62.13
114,1996.2449,-73.03
115,1996.2719,-59.73
116,1996.2993,-67.03
117,1996.3263,-54.23
118,1996.3537,-56.93
119,1996.3807,-51.13
120,1996.4077,-37.53
121,1996.4348,-46.33
122,1996.4892,-37.03
123,1996.5164,-6.13
124,1996.5435,10.37
125,1996.5707,19.37
126,1996.598,8.47
127,1996.6251,22.57
128,1996.6521,34.47
129,1996.6793,50.67
130,1996.7057,45.27
131,1996.7338,50.27
132,1996.7607,57.37
