,time,sea_level_altitude
0,1992.8257,46.87
1,1992.8498,44.67
2,1992.8779,24.37
3,1992.9053,39.67
4,1992.9302,27.97
5,1992.9611,15.27
6,1992.9864,-14.93
7,1993.0125,-20.23
8,1993.0409,-50.03
9,1993.064,-55.83
10,1993.0973,-76.13
11,1993.1211,-66.83
12,1993.1496,-57.13
13,1993.1766,-47.63
14,1993.204,-61.33
15,1993.2308,-52.23
16,1993.2851,-44.93
17,1993.3125,-40.93
18,1993.3395,-44.73
19,1993.3667,-49.03
20,1993.3937,-56.93
21,1993.4209,-54.53
22,1993.448,-37.83
23,1993.4742,-20.53
24,1993.5023,-21.43
25,1993.5295,-11.23
26,1993.5836,18.77
27,1993.6118,28.77
28,1993.6381,45.27
29,1993.6652,38.87
30,1993.6925,26.87
31,1993.7193,24.37
32,1993.7467,45.37
33,1993.7739,43.57
34,1993.801,42.47
35,1993.8553,14.07
36,1993.8825,14.87
37,1993.9099,4.47
38,1993.9365,10.87
39,1993.9638,15.87
40,1993.9905,-1.53
41,1994.018,-14.83
42,1994.0454,-25.13
43,1994.0722,-34.13
44,1994.0995,-46.23
45,1994.1268,-37.23
46,1994.1541,-50.13
47,1994.1808,-47.63
48,1994.2353,-61.33
49,1994.2626,-43.83
50,1994.2897,-40.73
51,1994.3169,-44.13
52,1994.344,-52.23
53,1994.3712,-53.13
54,1994.3981,-56.23
55,1994.4253,-43.23
56,1994.4525,-25.73
57,1994.5069,-16.63
58,1994.534,12.17
59,1994.5611,14.27
60,1994.5882,11.17
61,1994.6154,32.47
62,1994.6425,59.47
63,1994.6697,61.67
64,1994.6968,68.77
65,1994.724,72.47
66,1994.7511,40.67
67,1994.7781,51.17
68,1994.8054,51.87
69,1994.8324,55.77
70,1994.8869,32.67
71,1994.914,8.87
72,1994.9411,20.37
73,1994.9685,19.47
74,1994.9953,-2.73
75,1995.0226,-45.23
76,1995.0497,-31.93
77,1995.0769,-43.83
78,1995.104,-38.53
79,1995.1313,-39.73
80,1995.1584,-64.53
81,1995.2128,-67.33
82,1995.2398,-59.53
83,1995.267,-51.53
84,1995.2942,-38.73
85,1995.3213,-40.13
86,1995.3756,-44.83
87,1995.4027,-40.03
88,1995.4299,-39.03
89,1995.457,-26.73
90,1995.4843,-23.93
91,1995.5383,-11.43
92,1995.5657,-3.03
93,1995.5928,-5.33
94,1995.6199,11.97
95,1995.647,25.87
96,1995.6741,36.97
97,1995.7013,46.27
98,1995.7287,57.67
99,1995.7556,53.97
100,1995.7828,54.57
