,time,sea_level_altitude
0,1992.8257,-6.13
1,1992.8498,-2.5
2,1992.8779,-14.38
3,1992.9053,10.39
4,1992.9302,8.01
5,1992.9611,7.26
6,1992.9864,-13.27
7,1993.0125,-9.06
8,1993.0409,-29.38
9,1993.064,-28.34
10,1993.0973,-40.37
11,1993.1211,-26.37
12,1993.1496,-12.37
13,1993.1766,-0.1
14,1993.204,-12.18
15,1993.2308,-2.56
16,1993.2851,2.87
17,1993.3125,4.56
18,1993.3395,-2.4
19,1993.3667,-10.8
20,1993.3937,-23.68
21,1993.4209,-27.27
22,1993.448,-17.48
23,1993.4742,-7.73
24,1993.5023,-17.54
25,1993.5295,-16.58
26,1993.5836,-5.68
27,1993.6118,-5.26
28,1993.6381,3.06
29,1993.6652,-10.6
30,1993.6925,-28.35
31,1993.7193,-34.63
32,1993.7467,-15.36
33,1993.7739,-16.62
34,1993.801,-14.93
35,1993.8553,-31.58
36,1993.8825,-22.37
37,1993.9099,-23.13
38,1993.9365,-6.67
39,1993.9638,8.9
40,1993.9905,1.66
41,1994.018,-1.74
42,1994.0454,-3.09
43,1994.0722,-4.43
44,1994.0995,-9.99
45,1994.1268,4.21
46,1994.1541,-4.83
47,1994.1808,0.23
48,1994.2353,-11.67
49,1994.2626,5.19
50,1994.2897,6.75
51,1994.3169,0.9
52,1994.344,-10.52
53,1994.3712,-15.66
54,1994.3981,-23.89
55,1994.4253,-17.03
56,1994.4525,-6.62
57,1994.5069,-14.26
58,1994.534,5.25
59,1994.5611,-2.23
60,1994.5882,-14.88
61,1994.6154,-2.73
62,1994.6425,15.99
63,1994.6697,11.13
64,1994.6968,12.82
65,1994.724,13.02
66,1994.7511,-20.13
67,1994.7781,-8.73
68,1994.8054,-4.87
69,1994.8324,4.25
70,1994.8869,-3.09
71,1994.914,-17.21
72,1994.9411,4.6
73,1994.9685,14.31
74,1994.9953,2.24
75,1995.0226,-30.57
76,1995.0497,-8.58
77,1995.0769,-12.91
78,1995.104,-1.34
79,1995.1313,2.43
80,1995.1584,-18.74
81,1995.2128,-17.9
82,1995.2398,-9.91
83,1995.267,-2.7
84,1995.2942,8.4
85,1995.3213,4.43
86,1995.3756,-8.14
87,1995.4027,-8.66
88,1995.4299,-13.96
89,1995.457,-8.88
90,1995.4843,-14.24
91,1995.5383,-19.86
92,1995.5657,-21.17
93,1995.5928,-32.97
94,1995.6199,-24.67
95,1995.647,-18.87
96,1995.6741,-14.57
97,1995.7013,-10.4
98,1995.7287,-2.18
99,1995.7556,-6.83
100,1995.7828,-4.94
101,1995.8373,-24.5
102,1995.8645,-21.79
103,1995.89,-2.13
104,1995.9456,-9.95
105,1995.9725,-9.65
106,1996.0001,-19.1
107,1996.0267,-19.59
108,1996.0536,1.38
109,1996.0813,-15.0
110,1996.1087,-22.59
111,1996.1635,-17.39
112,1996.1898,-21.57
113,1996.2155,4.07
114,1996.2444,-21.58
115,1996.2715,-19.01
116,1996.2985,0.05
117,1996.3258,5.71
118,1996.353,-4.92
119,1996.3799,-18.02
120,1996.4071,-17.71
121,1996.4344,-2.6
122,1996.4888,-10.06
123,1996.5157,-12.03
124,1996.5431,-10.05
125,1996.5701,-13.03
126,1996.5973,-6.91
127,1996.6246,-13.75
128,1996.6515,-18.1
129,1996.6787,-15.16
130,1996.7051,-10.17
131,1996.7337,-4.62
132,1996.7602,-13.18
133,1996.8143,-4.27
134,1996.8416,0.36
135,1996.869,0.99
136,1996.8959,-17.57
137,1996.9229,0.13
138,1996.95,-9.05
139,1996.9769,-11.67
140,1997.0045,0.2
141,1997.0317,-5.43
142,1997.0586,-25.27
143,1997.0857,-16.43
144,1997.14,5.84
145,1997.1675,31.9
146,1997.1944,-0.72
147,1997.2216,-11.43
148,1997.2488,-5.87
149,1997.276,-9.56
150,1997.3031,-12.05
151,1997.3303,6.27
152,1997.3573,6.62
153,1997.3847,-10.02
154,1997.4117,-4.74
155,1997.4659,-17.45
156,1997.4931,-7.44
157,1997.5203,0.0
158,1997.5475,9.79
159,1997.5746,7.58
160,1997.6288,3.85
161,1997.6561,-8.62
162,1997.6832,2.21
163,1997.7101,7.65
164,1997.7374,14.47
165,1997.7917,-13.43
166,1997.8189,-16.61
167,1997.846,-8.51
168,1997.8731,-25.23
169,1997.9003,-6.51
170,1997.9274,9.14
171,1997.9546,-3.56
172,1997.9818,3.3
173,1998.0087,-5.0
174,1998.036,2.36
175,1998.0906,-25.68
176,1998.1175,-14.51
177,1998.1446,14.68
178,1998.1718,-2.5
179,1998.1991,-1.38
180,1998.2262,-6.08
181,1998.2533,-8.38
182,1998.2804,-19.22
183,1998.3076,-3.96
184,1998.3347,-0.48
185,1998.3617,-14.97
186,1998.4158,-7.57
187,1998.4433,-1.62
188,1998.4706,-3.54
189,1998.4978,-10.76
190,1998.5248,-11.35
191,1998.5519,-4.67
192,1998.6062,-2.81
193,1998.6333,-20.02
194,1998.6603,-10.39
195,1998.6877,-18.97
196,1998.7148,-21.43
197,1998.7418,-13.32
198,1998.7688,-8.49
199,1998.8235,-16.99
200,1998.8505,-17.21
201,1998.8777,-2.95
202,1998.9044,3.07
203,1998.9319,13.46
204,1998.9593,-13.64
205,1998.9861,-7.08
206,1999.0134,-15.14
207,1999.0404,-0.04
208,1999.0949,1.5
209,1999.1256,-2.29
210,1999.149,-9.15
211,1999.1762,-4.53
212,1999.2034,10.5
213,1999.2311,29.04
214,1999.2577,19.38
215,1999.285,6.58
216,1999.3392,2.14
217,1999.3666,5.02
218,1999.3934,2.38
219,1999.4206,4.8
220,1999.4476,-2.28
221,1999.4748,3.79
222,1999.5022,1.8
223,1999.5292,-3.18
224,1999.5566,1.36
225,1999.5836,6.12
226,1999.6107,4.7
227,1999.6379,4.92
228,1999.6922,-7.69
229,1999.7192,3.68
230,1999.7464,3.65
231,1999.7734,4.65
232,1999.8007,5.13
233,1999.8279,9.75
234,1999.8549,11.41
235,1999.8823,9.86
236,1999.9078,16.9
237,1999.9635,8.08
238,1999.9909,9.21
239,2000.0177,30.85
240,2000.045,10.09
241,2000.0721,5.75
242,2000.0991,-11.08
243,2000.1266,-2.53
244,2000.1534,4.29
245,2000.1809,10.13
246,2000.2078,11.66
247,2000.2352,10.03
248,2000.2895,-1.94
249,2000.3167,-3.37
250,2000.3436,3.44
251,2000.3708,-2.29
252,2000.398,-5.07
253,2000.4251,-12.78
254,2000.4523,13.13
255,2000.4795,-0.55
256,2000.5066,5.64
257,2000.5338,11.42
258,2000.5881,9.06
259,2000.6152,6.14
260,2000.6424,13.52
261,2000.6696,13.25
262,2000.6965,2.57
263,2000.7234,-0.43
264,2000.7508,-3.52
265,2000.7781,-4.53
266,2000.8051,2.69
267,2000.8596,3.56
268,2000.8859,2.17
269,2000.9142,9.97
270,2000.9408,6.79
271,2000.968,14.22
272,2000.9951,11.57
273,2001.0221,-0.64
274,2001.0768,-1.63
275,2001.1039,17.14
276,2001.1309,7.77
277,2001.1581,-0.97
278,2001.1852,-2.67
279,2001.2125,-10.0
280,2001.2397,5.79
281,2001.2666,15.92
282,2001.2938,0.94
283,2001.3211,5.35
284,2001.3481,0.9
285,2001.3753,3.02
286,2001.4027,-3.36
287,2001.4296,-5.99
288,2001.4567,-0.7
289,2001.4841,11.12
290,2001.511,8.06
291,2001.5381,11.61
292,2001.5653,7.67
293,2001.5924,19.57
294,2001.6196,18.22
295,2001.6469,14.85
296,2001.6738,12.0
297,2001.701,18.84
298,2001.7283,10.16
299,2001.7554,4.27
300,2001.7825,10.53
301,2001.8096,11.41
302,2001.8369,1.21
303,2001.864,-9.64
304,2001.8921,-5.6
305,2001.9181,19.82
306,2001.9569,32.03
307,2001.9721,4.8
308,2001.9997,-10.54
309,2002.0264,-11.99
310,2002.0536,9.34
311,2002.0541,10.23
312,2002.0812,21.17
313,2002.0817,16.18
314,2002.1084,15.675
315,2002.1352,10.08
316,2002.1355,7.58
317,2002.1626,5.01
318,2002.1627,-0.81
319,2002.1898,-5.87
320,2002.1899,-11.16
321,2002.2169,6.075
322,2002.2438,5.64
323,2002.2441,10.43
324,2002.2712,5.2
325,2002.2714,11.25
326,2002.2984,18.87
327,2002.299,16.81
328,2002.3255,13.4
329,2002.3256,12.74
330,2002.3526,17.35
331,2002.3527,14.33
332,2002.3797,20.75
333,2002.4069,6.9
334,2002.4339,7.23
335,2002.434,11.14
336,2002.4611,5.74
337,2002.4612,13.17
338,2002.4883,35.5
339,2002.4884,33.67
340,2002.5156,42.38
341,2002.5427,48.15
342,2002.5428,45.15
343,2002.5698,34.88
344,2002.5699,33.41
345,2002.5968,16.73
346,2002.597,10.7
347,2002.6241,18.56
348,2002.6243,17.94
349,2002.6512,19.4
350,2002.6549,17.79
351,2002.6783,23.68
352,2002.6785,27.88
353,2002.7056,15.4
354,2002.7063,20.06
355,2002.7328,1.62
356,2002.7599,-2.75
357,2002.7601,-3.98
358,2002.7865,10.01
359,2002.7869,15.28
360,2002.814,32.27
361,2002.8149,29.64
362,2002.8411,3.33
363,2002.8419,3.04
364,2002.8685,16.465
365,2002.8942,19.36
366,2002.896,8.76
367,2002.9228,21.52
368,2002.9497,23.05
369,2002.95,24.55
370,2002.977,15.865
371,2003.0041,-3.35
372,2003.0042,-0.61
373,2003.0314,-0.48
374,2003.0316,-4.97
375,2003.0583,0.89
376,2003.0584,4.18
377,2003.0856,20.285
378,2003.1129,10.655000000000001
379,2003.1399,0.88
380,2003.1401,8.75
381,2003.1672,10.26
