,time,sea_level_altitude
0,1992.8257,-5.99
1,1992.8498,-2.36
2,1992.8779,-14.25
3,1992.9053,10.53
4,1992.9302,8.14
5,1992.9611,7.39
6,1992.9864,-13.14
7,1993.0125,-8.92
8,1993.0409,-29.25
9,1993.064,-28.21
10,1993.0973,-40.24
11,1993.1211,-26.23
12,1993.1496,-12.24
13,1993.1766,0.03
14,1993.204,-12.05
15,1993.2308,-2.43
16,1993.2851,3.01
17,1993.3125,4.69
18,1993.3395,-2.27
19,1993.3667,-10.66
20,1993.3937,-23.55
21,1993.4209,-27.14
22,1993.448,-17.35
23,1993.4742,-7.59
24,1993.5023,-17.4
25,1993.5295,-16.45
26,1993.5836,-5.54
27,1993.6118,-5.12
28,1993.6381,3.19
29,1993.6652,-10.47
30,1993.6925,-28.21
31,1993.7193,-34.5
32,1993.7467,-15.23
33,1993.7739,-16.48
34,1993.801,-14.79
35,1993.8553,-31.44
36,1993.8825,-22.24
37,1993.9099,-22.99
38,1993.9365,-6.54
39,1993.9638,9.03
40,1993.9905,1.8
41,1994.018,-1.61
42,1994.0454,-2.95
43,1994.0722,-4.29
44,1994.0995,-9.86
45,1994.1268,4.34
46,1994.1541,-4.69
47,1994.1808,0.36
48,1994.2353,-11.54
49,1994.2626,5.33
50,1994.2897,6.88
51,1994.3169,1.04
52,1994.344,-10.38
53,1994.3712,-15.53
54,1994.3981,-23.75
55,1994.4253,-16.9
56,1994.4525,-6.49
57,1994.5069,-14.13
58,1994.534,5.38
59,1994.5611,-2.1
60,1994.5882,-14.74
61,1994.6154,-2.6
62,1994.6425,16.12
63,1994.6697,11.26
64,1994.6968,12.95
65,1994.724,13.15
66,1994.7511,-19.99
67,1994.7781,-8.6
68,1994.8054,-4.74
69,1994.8324,4.38
70,1994.8869,-2.96
71,1994.914,-17.08
72,1994.9411,4.74
73,1994.9685,14.45
74,1994.9953,2.38
75,1995.0226,-30.43
76,1995.0497,-8.45
77,1995.0769,-12.78
78,1995.104,-1.21
79,1995.1313,2.57
80,1995.1584,-18.6
81,1995.2128,-17.76
82,1995.2398,-9.78
83,1995.267,-2.56
84,1995.2942,8.54
85,1995.3213,4.56
86,1995.3756,-8.0
87,1995.4027,-8.53
88,1995.4299,-13.83
89,1995.457,-8.75
90,1995.4843,-14.11
91,1995.5383,-19.73
92,1995.5657,-21.03
93,1995.5928,-32.83
94,1995.6199,-24.54
95,1995.647,-18.74
96,1995.6741,-14.43
97,1995.7013,-10.27
98,1995.7287,-2.04
99,1995.7556,-6.7
100,1995.7828,-4.81
101,1995.8373,-24.36
102,1995.8645,-21.66
