,time,sea_level_altitude
0,1992.8257,-67.69
1,1992.8509,66.11
2,1992.8779,24.01
3,1992.9055,96.71
4,1992.9312,22.71
5,1992.9613,46.21
6,1992.9872,50.51
7,1993.013,93.51
8,1993.0402,258.91
9,1993.0645,143.61
10,1993.0972,65.41
11,1993.1205,43.51
12,1993.1483,19.21
13,1993.1769,-115.99
14,1993.2039,58.31
15,1993.2311,-6.89
16,1993.2853,-146.09
17,1993.3127,-101.49
18,1993.3401,-109.69
19,1993.3674,-149.59
20,1993.3943,-80.29
21,1993.4216,-73.99
22,1993.4484,-75.49
23,1993.4749,-55.69
24,1993.5028,-15.39
25,1993.5296,-64.39
26,1993.5842,-21.69
27,1993.6125,-6.09
28,1993.6385,20.81
29,1993.6653,19.61
30,1993.6922,-41.19
31,1993.7186,11.91
32,1993.7475,-83.19
33,1993.7741,-95.99
34,1993.8019,96.81
35,1993.8558,37.71
36,1993.8833,94.71
37,1993.9095,3.71
38,1993.9382,-9.69
39,1993.964,-59.09
40,1993.9917,-80.59
41,1994.0184,-143.99
42,1994.0459,0.11
43,1994.0727,58.51
44,1994.1006,-157.89
45,1994.1274,-142.09
46,1994.1534,-119.39
47,1994.1817,-3.29
48,1994.2358,-62.99
49,1994.2627,-146.19
50,1994.2901,-147.09
51,1994.3176,-125.39
52,1994.3444,-80.69
53,1994.3716,-77.19
54,1994.3988,-17.99
55,1994.4259,-31.49
56,1994.4535,-20.19
57,1994.5077,-28.99
58,1994.5345,-56.69
59,1994.5621,-39.69
60,1994.5889,-14.29
61,1994.6156,29.21
62,1994.6427,-19.79
63,1994.6702,-0.89
64,1994.6971,-3.59
65,1994.7243,22.01
66,1994.7514,104.61
67,1994.7789,106.41
68,1994.8055,-63.09
69,1994.8326,-46.39
70,1994.8879,163.81
71,1994.9145,127.61
72,1994.942,165.01
73,1994.9692,99.11
74,1994.9965,49.51
75,1995.0233,83.71
76,1995.05,-67.49
77,1995.0767,-24.69
78,1995.1047,48.31
79,1995.1321,-3.19
80,1995.1586,-29.79
81,1995.2129,3.51
82,1995.2404,72.01
83,1995.2679,-4.89
84,1995.2937,-111.89
85,1995.3217,-129.69
86,1995.376,-58.69
87,1995.4034,-51.49
88,1995.4296,-109.99
89,1995.4577,-31.19
90,1995.4847,-15.59
91,1995.539,-11.89
92,1995.5662,-2.99
93,1995.5933,-8.69
94,1995.6205,14.71
95,1995.6476,44.01
96,1995.6744,-40.19
97,1995.7021,-36.19
98,1995.7291,90.51
99,1995.7563,75.41
100,1995.7838,132.11
101,1995.8374,177.01
102,1995.8646,50.61
103,1995.8909,40.51
104,1995.9465,33.21
105,1995.9733,-0.79
106,1995.9997,-15.29
107,1996.0275,-1.39
108,1996.0534,-54.99
109,1996.0821,-83.19
110,1996.1087,-216.79
111,1996.1639,-53.09
112,1996.1901,-178.19
113,1996.2162,-160.89
114,1996.2449,-29.89
115,1996.2718,-45.79
116,1996.2984,-136.09
117,1996.3264,-91.99
118,1996.3536,-62.59
119,1996.38,-102.49
120,1996.4075,-25.79
121,1996.435,-4.59
122,1996.4892,-59.99
123,1996.5163,-47.29
124,1996.544,14.71
125,1996.5709,-12.69
126,1996.5982,-55.89
127,1996.6251,-48.99
128,1996.6522,-22.89
129,1996.6792,14.91
130,1996.7062,21.01
131,1996.7328,15.11
132,1996.761,80.41
133,1996.8141,55.81
134,1996.8421,97.41
135,1996.8689,63.41
136,1996.8965,-4.19
137,1996.9239,-21.89
138,1996.95,3.81
139,1996.9779,22.21
140,1997.0049,9.01
141,1997.0324,47.41
142,1997.0593,90.71
143,1997.0864,97.21
144,1997.1407,55.31
145,1997.1679,114.51
146,1997.1946,25.31
147,1997.2218,-70.19
148,1997.2494,29.71
149,1997.2766,18.11
150,1997.3033,-27.19
151,1997.3307,-84.99
152,1997.3581,-164.29
153,1997.3852,-86.89
154,1997.4122,-9.39
155,1997.4665,-60.39
156,1997.4932,-117.99
157,1997.5208,-64.09
158,1997.5482,-45.49
159,1997.5752,-37.59
160,1997.6297,20.51
161,1997.6571,17.91
162,1997.6833,129.31
163,1997.7109,128.91
164,1997.7376,121.31
165,1997.7924,110.51
166,1997.8194,144.71
167,1997.8463,-10.09
168,1997.8735,-77.29
169,1997.9006,-49.39
170,1997.9285,22.31
171,1997.9553,23.21
172,1997.982,3.91
173,1998.0093,23.31
174,1998.0365,98.11
175,1998.0907,51.71
176,1998.1184,116.71
177,1998.1453,140.91
178,1998.1723,14.51
179,1998.1995,3.61
180,1998.2265,-31.39
181,1998.254,-141.99
182,1998.2808,-174.49
183,1998.3082,-124.59
184,1998.3352,-87.09
185,1998.3621,-61.89
186,1998.4163,-73.49
187,1998.444,-80.19
188,1998.4704,-45.79
189,1998.4978,-27.59
190,1998.5251,7.51
191,1998.5523,-11.89
192,1998.6069,9.31
193,1998.6338,59.71
194,1998.6608,10.21
195,1998.6882,-5.99
196,1998.7152,57.91
197,1998.7424,-31.19
198,1998.7695,45.31
199,1998.8238,110.11
200,1998.8508,83.51
201,1998.878,61.51
202,1998.9052,16.01
203,1998.9323,37.01
204,1998.9595,180.21
205,1998.987,30.11
206,1999.0142,-14.29
207,1999.0411,9.51
208,1999.095,84.71
209,1999.1255,66.61
210,1999.1489,13.81
211,1999.1764,-182.69
212,1999.2044,-65.99
213,1999.2315,-66.39
214,1999.2576,-49.19
215,1999.2855,-128.09
216,1999.3398,-83.39
217,1999.3669,-85.09
218,1999.3941,-42.99
219,1999.4216,-84.19
220,1999.448,-49.69
221,1999.4758,-43.39
222,1999.5018,-52.79
223,1999.5297,-16.49
224,1999.5572,20.91
225,1999.583,-21.09
226,1999.6111,-29.39
227,1999.6378,13.91
228,1999.6926,68.21
229,1999.7201,21.41
230,1999.7465,52.11
231,1999.7741,123.11
232,1999.8009,-4.69
233,1999.8282,150.71
234,1999.8557,146.71
235,1999.8825,66.51
236,1999.9086,108.01
237,1999.9642,15.11
238,1999.9918,7.81
239,2000.0181,91.61
240,2000.0455,41.51
241,2000.0723,54.41
242,2000.0997,112.61
243,2000.1274,43.51
244,2000.1538,15.41
245,2000.1819,50.91
246,2000.2087,25.81
247,2000.2352,-99.59
248,2000.29,-153.29
249,2000.3176,-113.29
250,2000.3438,-71.69
