,time,sea_level_altitude
0,1992.8257,-120.68
1,1992.8509,12.4
2,1992.8779,-30.05
3,1992.9055,42.87
4,1992.9312,-30.21
5,1992.9613,-4.42
6,1992.9872,3.22
7,1993.013,51.06
8,1993.0402,223.38
9,1993.0645,115.91
10,1993.0972,50.59
11,1993.1205,39.28
12,1993.1483,28.72
13,1993.1769,-91.71
14,1993.2039,96.37
15,1993.2311,44.12
16,1993.2853,-75.01
17,1993.3127,-24.43
18,1993.3401,-30.01
19,1993.3674,-70.79
20,1993.3943,-5.67
21,1993.4216,-6.68
22,1993.4484,-17.88
23,1993.4749,-9.51
24,1993.5028,17.52
25,1993.5296,-44.69
26,1993.5842,-27.57
27,1993.6125,-23.4
28,1993.6385,-5.48
29,1993.6653,-14.31
30,1993.6922,-81.13
31,1993.7186,-32.52
32,1993.7475,-131.17
33,1993.7741,-146.28
34,1993.8019,44.83
35,1993.8558,-16.09
36,1993.8833,40.65
37,1993.9095,-50.04
38,1993.9382,-62.21
39,1993.964,-109.43
40,1993.9917,-127.15
41,1994.0184,-185.22
42,1994.0459,-33.73
43,1994.0727,33.79
44,1994.1006,-171.24
45,1994.1274,-143.0
46,1994.1534,-107.27
47,1994.1817,23.47
48,1994.2358,-9.89
49,1994.2627,-82.31
50,1994.2901,-74.74
51,1994.3176,-47.61
52,1994.3444,-0.92
53,1994.3716,1.17
54,1994.3988,55.62
55,1994.4259,34.42
56,1994.4535,35.35
57,1994.5077,1.52
58,1994.5345,-39.4
59,1994.5621,-35.64
60,1994.5889,-22.18
61,1994.6156,10.75
62,1994.6427,-47.39
63,1994.6702,-36.02
64,1994.6971,-44.46
65,1994.7243,-23.22
66,1994.7514,56.24
67,1994.7789,55.78
68,1994.8055,-115.24
69,1994.8326,-99.61
70,1994.8879,109.76
71,1994.9145,74.0
72,1994.942,112.74
73,1994.9692,49.35
74,1994.9965,3.78
75,1995.0233,43.65
76,1995.05,-100.05
77,1995.0767,-47.89
78,1995.1047,36.78
79,1995.1321,-1.8
80,1995.1586,-14.99
81,1995.2129,46.0
82,1995.2404,127.1
83,1995.2679,60.81
84,1995.2937,-38.64
85,1995.3217,-51.39
86,1995.376,19.12
87,1995.4034,21.01
88,1995.4296,-45.34
89,1995.4577,22.59
90,1995.4847,26.04
91,1995.539,3.2
92,1995.5662,-0.84
93,1995.5933,-18.42
94,1995.6205,-5.53
95,1995.6476,14.94
96,1995.6744,-76.32
97,1995.7021,-77.97
98,1995.7291,44.64
99,1995.7563,26.57
100,1995.7838,81.16
101,1995.8374,123.64
102,1995.8646,-3.33
103,1995.8909,-13.53
104,1995.9465,-18.73
105,1995.9733,-50.04
106,1995.9997,-60.44
107,1996.0275,-40.39
108,1996.0534,-86.46
109,1996.0821,-104.28
110,1996.1087,-226.52
111,1996.1639,-35.55
112,1996.1901,-147.11
113,1996.2162,-116.81
114,1996.2449,27.09
