,time,sea_level_altitude
0,1992.8257,-120.61
1,1992.8509,12.47
2,1992.8779,-29.98
3,1992.9055,42.94
4,1992.9312,-30.14
5,1992.9613,-4.35
6,1992.9872,3.29
7,1993.013,51.13
8,1993.0402,223.45
9,1993.0645,115.98
10,1993.0972,50.65
11,1993.1205,39.35
12,1993.1483,28.79
13,1993.1769,-91.64
14,1993.2039,96.44
15,1993.2311,44.19
16,1993.2853,-74.94
17,1993.3127,-24.36
18,1993.3401,-29.94
19,1993.3674,-70.72
20,1993.3943,-5.6
21,1993.4216,-6.61
22,1993.4484,-17.81
23,1993.4749,-9.44
24,1993.5028,17.59
25,1993.5296,-44.62
26,1993.5842,-27.5
27,1993.6125,-23.33
28,1993.6385,-5.41
29,1993.6653,-14.24
30,1993.6922,-81.06
31,1993.7186,-32.45
32,1993.7475,-131.1
33,1993.7741,-146.21
34,1993.8019,44.9
35,1993.8558,-16.02
36,1993.8833,40.71
37,1993.9095,-49.97
38,1993.9382,-62.14
39,1993.964,-109.36
40,1993.9917,-127.08
41,1994.0184,-185.15
42,1994.0459,-33.66
43,1994.0727,33.86
44,1994.1006,-171.17
45,1994.1274,-142.93
46,1994.1534,-107.2
47,1994.1817,23.54
48,1994.2358,-9.82
49,1994.2627,-82.24
50,1994.2901,-74.67
51,1994.3176,-47.54
52,1994.3444,-0.85
53,1994.3716,1.24
54,1994.3988,55.69
55,1994.4259,34.49
56,1994.4535,35.42
57,1994.5077,1.59
58,1994.5345,-39.33
59,1994.5621,-35.57
60,1994.5889,-22.11
61,1994.6156,10.82
62,1994.6427,-47.32
63,1994.6702,-35.95
64,1994.6971,-44.4
65,1994.7243,-23.15
66,1994.7514,56.31
67,1994.7789,55.85
68,1994.8055,-115.17
69,1994.8326,-99.54
70,1994.8879,109.82
71,1994.9145,74.07
72,1994.942,112.81
73,1994.9692,49.42
74,1994.9965,3.85
75,1995.0233,43.72
76,1995.05,-99.98
77,1995.0767,-47.82
78,1995.1047,36.85
79,1995.1321,-1.73
80,1995.1586,-14.92
81,1995.2129,46.07
82,1995.2404,127.17
83,1995.2679,60.88
84,1995.2937,-38.57
85,1995.3217,-51.32
86,1995.376,19.19
87,1995.4034,21.08
88,1995.4296,-45.27
89,1995.4577,22.66
90,1995.4847,26.11
91,1995.539,3.27
92,1995.5662,-0.77
93,1995.5933,-18.35
94,1995.6205,-5.46
95,1995.6476,15.01
96,1995.6744,-76.25
97,1995.7021,-77.9
98,1995.7291,44.71
99,1995.7563,26.64
100,1995.7838,81.23
101,1995.8374,123.71
102,1995.8646,-3.26
103,1995.8909,-13.46
104,1995.9465,-18.66
105,1995.9733,-49.97
106,1995.9997,-60.37
107,1996.0275,-40.32
108,1996.0534,-86.39
109,1996.0821,-104.21
110,1996.1087,-226.45
111,1996.1639,-35.48
112,1996.1901,-147.04
113,1996.2162,-116.74
114,1996.2449,27.16
115,1996.2718,21.28
116,1996.2984,-61.69
117,1996.3264,-13.12
118,1996.3536,17.16
119,1996.38,-25.18
120,1996.4075,45.72
121,1996.435,58.22
122,1996.4892,-20.43
123,1996.5163,-20.95
124,1996.544,27.44
125,1996.5709,-12.62
126,1996.5982,-67.56
127,1996.6251,-70.78
128,1996.6522,-53.22
129,1996.6792,-22.25
130,1996.7062,-21.4
131,1996.7328,-31.15
132,1996.761,31.23
133,1996.8141,3.34
134,1996.8421,43.98
135,1996.8689,9.49
136,1996.8965,-58.11
137,1996.9239,-75.09
138,1996.95,-47.79
139,1996.9779,-26.37
140,1997.0049,-35.07
141,1997.0324,9.76
142,1997.0593,61.27
143,1997.0864,77.92
144,1997.1407,61.05
145,1997.1679,134.19
146,1997.1946,58.76
147,1997.2218,-23.38
148,1997.2494,88.59
149,1997.2766,86.71
150,1997.3033,48.25
151,1997.3307,-5.75
152,1997.3581,-84.73
153,1997.3852,-10.43
154,1997.4122,60.83
155,1997.4665,-10.35
156,1997.4932,-80.35
157,1997.5208,-39.98
158,1997.5482,-34.79
159,1997.5752,-39.45
160,1997.6297,-2.85
161,1997.6571,-13.78
162,1997.6833,91.26
163,1997.7109,85.73
164,1997.7376,74.47
165,1997.7924,59.11
166,1997.8194,92.02
167,1997.8463,-63.62
168,1997.8735,-131.25
169,1997.9006,-103.25
170,1997.9285,-30.68
171,1997.9553,-27.93
172,1997.982,-44.09
173,1998.0093,-19.87
174,1998.0365,61.59
175,1998.0907,34.2
176,1998.1184,111.55
177,1998.1453,148.97
178,1998.1723,36.47
179,1998.1995,39.54
180,1998.2265,17.6
181,1998.254,-81.29
182,1998.2808,-104.62
183,1998.3082,-48.22
184,1998.3352,-7.55
185,1998.3621,17.42
186,1998.4163,-4.47
187,1998.444,-20.77
188,1998.4704,2.51
189,1998.4978,7.83
190,1998.5251,29.5
191,1998.5523,-3.15
192,1998.6069,-5.8
193,1998.6338,35.0
194,1998.6608,-22.47
195,1998.6882,-45.06
196,1998.7152,14.06
197,1998.7424,-78.57
198,1998.7695,-4.57
199,1998.8238,57.26
200,1998.8508,29.88
201,1998.878,7.52
202,1998.9052,-37.77
203,1998.9323,-15.79
204,1998.9595,129.47
205,1998.987,-17.14
206,1999.0142,-56.41
207,1999.0411,-25.69
208,1999.095,69.01
209,1999.1255,64.84
210,1999.1489,23.7
211,1999.1764,-158.6
212,1999.2044,-27.61
213,1999.2315,-15.13
214,1999.2576,12.88
215,1999.2855,-56.89
216,1999.3398,-3.65
217,1999.3669,-6.17
218,1999.3941,31.74
219,1999.4216,-16.81
220,1999.448,8.15
221,1999.4758,2.45
222,1999.5018,-19.32
223,1999.5297,3.23
224,1999.5572,27.32
225,1999.583,-26.38
226,1999.6111,-46.11
227,1999.6378,-12.09
228,1999.6926,28.26
229,1999.7201,-23.16
230,1999.7465,4.3
231,1999.7741,72.89
232,1999.8009,-56.55
233,1999.8282,97.7
234,1999.8557,92.98
235,1999.8825,12.51
236,1999.9086,54.31
237,1999.9642,-35.14
238,1999.9918,-38.66
239,2000.0181,50.38
240,2000.0455,7.62
241,2000.0723,29.61
242,2000.0997,98.94
243,2000.1274,42.67
244,2000.1538,27.81
245,2000.1819,77.84
246,2000.2087,66.32
247,2000.2352,-46.69
248,2000.29,-80.89
249,2000.3176,-35.44
250,2000.3438,8.14
251,2000.3713,44.48
252,2000.3983,33.91
253,2000.4259,9.19
254,2000.4529,46.06
255,2000.4793,23.44
256,2000.5072,1.03
257,2000.5346,-14.08
258,2000.5894,-21.92
259,2000.6157,-28.52
260,2000.6427,-29.52
261,2000.6699,-21.38
262,2000.6966,-17.1
263,2000.7241,-87.32
264,2000.7516,-44.61
265,2000.7787,-140.83
266,2000.8055,21.03
267,2000.8601,-153.6
268,2000.8868,-121.98
269,2000.9144,-32.44
270,2000.9418,54.8
271,2000.9686,1.05
272,2000.9951,-51.2
273,2001.023,27.45
274,2001.078,-68.12
275,2001.1046,-123.19
276,2001.1317,98.67
277,2001.1587,-59.27
278,2001.1857,0.1
279,2001.2128,-15.98
280,2001.2398,-69.89
281,2001.2671,9.2
282,2001.294,-29.2
283,2001.3215,-73.04
284,2001.3484,-0.94
285,2001.3761,-0.92
286,2001.403,45.48
287,2001.4306,23.48
288,2001.4574,-14.21
289,2001.4848,-11.34
290,2001.5116,-45.73
291,2001.5387,-41.68
292,2001.5657,-23.94
293,2001.5928,-0.24
294,2001.6204,-20.32
295,2001.6476,20.71
296,2001.6744,55.95
297,2001.7012,23.66
298,2001.7294,-5.63
299,2001.7562,29.35
300,2001.7833,42.66
301,2001.8103,56.5
302,2001.8371,178.82
303,2001.8639,102.55
304,2001.8911,42.74
305,2001.9182,18.19
306,2001.9574,60.97
307,2001.9725,37.73
308,2002.0,28.39
309,2002.0262,98.44
310,2002.0544,22.73
311,2002.0547,51.47
312,2002.0817,77.33
313,2002.0823,117.89
314,2002.1085,129.65
315,2002.1089,92.64
316,2002.1356,35.2
317,2002.1362,50.87
318,2002.1629,29.6
319,2002.1637,38.01
320,2002.1907,53.975
321,2002.2174,7.18
322,2002.2178,6.52
323,2002.2445,33.91
324,2002.2447,36.68
325,2002.2715,29.18
326,2002.2719,31.17
327,2002.2991,69.06
328,2002.2993,54.11
329,2002.326,31.54
330,2002.3261,30.7
331,2002.3534,0.47
332,2002.3536,5.62
333,2002.3802,3.37
334,2002.3804,18.86
335,2002.4074,4.59
336,2002.4344,-10.37
337,2002.4345,-9.47
338,2002.4616,72.99
339,2002.4617,79.37
340,2002.4885,21.9
341,2002.4887,19.91
342,2002.516,-11.43
343,2002.5435,28.38
344,2002.5437,20.16
345,2002.5702,-14.3
346,2002.5704,-22.03
347,2002.5973,-39.68
348,2002.5976,-38.11
349,2002.6247,10.65
350,2002.6249,12.29
351,2002.6518,37.34
352,2002.6551,34.07
353,2002.6792,16.77
354,2002.7059,28.35
355,2002.709,61.23
356,2002.7335,92.16
357,2002.7337,111.34
358,2002.7607,16.7
359,2002.7614,22.49
360,2002.7877,-91.13
361,2002.7883,-68.65
362,2002.8143,-5.19
363,2002.8161,24.96
364,2002.8419,-48.41
365,2002.8422,-14.62
366,2002.8676,-92.8
367,2002.8691,-88.23
368,2002.894,-128.31
369,2002.8989,-103.78
370,2002.9235,-108.73
371,2002.9242,-91.08
372,2002.9505,-38.54
373,2002.9514,-48.67
374,2002.9777,-67.59
375,2002.9784,-53.8
376,2003.0046,27.61
377,2003.0054,13.73
378,2003.0322,180.15
379,2003.0331,135.65
380,2003.059,24.83
381,2003.0594,20.1
382,2003.0863,-46.15
383,2003.0868,-67.51
384,2003.1132,31.29
385,2003.1138,-6.5
386,2003.1406,32.84
387,2003.141,4.8
388,2003.168,-37.15
389,2003.1692,-40.33
390,2003.1941,105.79
391,2003.1952,86.76
392,2003.2215,76.95
393,2003.2221,88.26
394,2003.2493,112.91
395,2003.2502,115.51
396,2003.2757,48.43
397,2003.2804,9.81
398,2003.3031,8.01
399,2003.3045,25.38
400,2003.3307,29.02
401,2003.3316,64.42
402,2003.3578,47.69
403,2003.3579,23.67
404,2003.3843,-3.12
405,2003.3853,14.95
406,2003.4122,28.02
407,2003.4125,17.14
408,2003.4388,77.72
409,2003.4402,91.19
410,2003.466,87.79
411,2003.4665,93.55
412,2003.4937,75.81
413,2003.4939,25.72
414,2003.5203,64.54
415,2003.548,15.17
416,2003.5481,15.46
417,2003.575,9.35
418,2003.5822,17.56
419,2003.6017,35.8
420,2003.603,50.12
421,2003.6294,86.18
422,2003.6298,65.42
423,2003.6562,67.72
424,2003.6576,84.78
425,2003.6834,25.81
426,2003.6837,37.17
427,2003.7108,59.41
428,2003.7111,67.4
429,2003.7377,77.59
430,2003.7386,89.86
431,2003.765,104.14
432,2003.7655,102.35
433,2003.792,29.93
434,2003.7921,24.82
435,2003.8194,-25.9
436,2003.8203,-10.51
437,2003.8464,9.82
438,2003.8468,30.27
439,2003.8723,8.02
440,2003.874,22.54
441,2003.9112,-134.05
442,2003.912,-135.01
443,2003.9213,-38.7
444,2003.9279,14.34
445,2003.9551,183.75
446,2003.956,150.04
447,2003.982,19.04
448,2003.9828,-3.78
449,2004.0096,-114.205
450,2004.0366,-1.1
451,2004.0369,-29.2
452,2004.063,-12.93
453,2004.0643,-35.4
454,2004.0909,62.06
455,2004.0913,47.45
456,2004.1136,107.74
457,2004.1188,61.74
458,2004.1445,29.86
459,2004.1484,43.08
460,2004.1722,15.24
461,2004.173,-16.96
462,2004.1993,49.77
463,2004.1995,46.94
464,2004.2261,6.83
465,2004.2266,2.55
466,2004.2523,-54.73
467,2004.2549,-81.74
468,2004.2802,-13.52
469,2004.2816,-39.29
470,2004.3069,1.3
471,2004.3085,-1.27
472,2004.3352,-91.22
473,2004.3354,-72.84
474,2004.3623,38.84
475,2004.3628,32.97
476,2004.3894,94.15
477,2004.3903,105.12
478,2004.4165,38.27
479,2004.4439,48.69
480,2004.4707,12.0
481,2004.4713,31.6
482,2004.4979,36.73
483,2004.499,11.54
484,2004.5237,12.89
485,2004.5249,-2.35
486,2004.5508,25.66
487,2004.5524,12.32
488,2004.5784,6.73
489,2004.579,-11.96
490,2004.6064,-12.61
491,2004.6066,-27.33
492,2004.6334,-20.37
493,2004.6345,9.07
494,2004.6607,4.11
495,2004.6614,23.77
496,2004.6882,26.61
497,2004.6886,32.25
498,2004.7148,96.62
499,2004.7155,116.91
500,2004.7422,81.245
501,2004.7695,-42.38
502,2004.77,-30.81
503,2004.7964,-93.89
504,2004.7975,-80.47
505,2004.8235,-41.73
506,2004.8243,-34.46
507,2004.851,54.61
508,2004.8511,48.17
509,2004.8778,84.62
510,2004.8789,85.82
511,2004.9051,35.19
512,2004.9056,31.34
513,2004.9322,93.61
514,2004.9324,68.42
515,2004.9538,69.64
516,2004.9605,86.11
517,2004.9864,43.72
518,2004.9867,18.61
519,2005.0138,166.0
520,2005.0144,120.54
521,2005.0408,136.58
522,2005.0414,119.6
523,2005.0675,79.32
