,time,sea_level_altitude
0,1992.8257,-67.62
1,1992.8509,66.18
2,1992.8779,24.08
3,1992.9055,96.78
4,1992.9312,22.78
5,1992.9613,46.28
6,1992.9872,50.58
7,1993.013,93.58
8,1993.0402,258.98
9,1993.0645,143.68
10,1993.0972,65.48
11,1993.1205,43.58
12,1993.1483,19.28
13,1993.1769,-115.92
14,1993.2039,58.38
15,1993.2311,-6.82
16,1993.2853,-146.02
17,1993.3127,-101.42
18,1993.3401,-109.62
19,1993.3674,-149.52
20,1993.3943,-80.22
21,1993.4216,-73.92
22,1993.4484,-75.42
23,1993.4749,-55.62
24,1993.5028,-15.32
25,1993.5296,-64.32
26,1993.5842,-21.62
27,1993.6125,-6.02
28,1993.6385,20.88
29,1993.6653,19.68
30,1993.6922,-41.12
31,1993.7186,11.98
32,1993.7475,-83.12
33,1993.7741,-95.92
34,1993.8019,96.88
35,1993.8558,37.78
36,1993.8833,94.78
37,1993.9095,3.78
38,1993.9382,-9.62
39,1993.964,-59.02
40,1993.9917,-80.52
41,1994.0184,-143.92
42,1994.0459,0.18
43,1994.0727,58.58
44,1994.1006,-157.82
45,1994.1274,-142.02
46,1994.1534,-119.32
47,1994.1817,-3.22
48,1994.2358,-62.92
49,1994.2627,-146.12
50,1994.2901,-147.02
51,1994.3176,-125.32
52,1994.3444,-80.62
53,1994.3716,-77.12
54,1994.3988,-17.92
55,1994.4259,-31.42
56,1994.4535,-20.12
57,1994.5077,-28.92
58,1994.5345,-56.62
59,1994.5621,-39.62
60,1994.5889,-14.22
61,1994.6156,29.28
62,1994.6427,-19.72
63,1994.6702,-0.82
64,1994.6971,-3.52
65,1994.7243,22.08
66,1994.7514,104.68
67,1994.7789,106.48
68,1994.8055,-63.02
69,1994.8326,-46.32
70,1994.8879,163.88
71,1994.9145,127.68
72,1994.942,165.08
73,1994.9692,99.18
74,1994.9965,49.58
75,1995.0233,83.78
76,1995.05,-67.42
77,1995.0767,-24.62
78,1995.1047,48.38
79,1995.1321,-3.12
80,1995.1586,-29.72
81,1995.2129,3.58
82,1995.2404,72.08
83,1995.2679,-4.82
84,1995.2937,-111.82
85,1995.3217,-129.62
86,1995.376,-58.62
87,1995.4034,-51.42
88,1995.4296,-109.92
89,1995.4577,-31.12
90,1995.4847,-15.52
91,1995.539,-11.82
92,1995.5662,-2.92
93,1995.5933,-8.62
94,1995.6205,14.78
95,1995.6476,44.08
96,1995.6744,-40.12
97,1995.7021,-36.12
98,1995.7291,90.58
99,1995.7563,75.48
100,1995.7838,132.18
101,1995.8374,177.08
102,1995.8646,50.68
103,1995.8909,40.58
104,1995.9465,33.28
105,1995.9733,-0.72
106,1995.9997,-15.22
107,1996.0275,-1.32
108,1996.0534,-54.92
109,1996.0821,-83.12
110,1996.1087,-216.72
111,1996.1639,-53.02
112,1996.1901,-178.12
113,1996.2162,-160.82
114,1996.2449,-29.82
115,1996.2718,-45.72
116,1996.2984,-136.02
117,1996.3264,-91.92
118,1996.3536,-62.52
119,1996.38,-102.42
120,1996.4075,-25.72
121,1996.435,-4.52
122,1996.4892,-59.92
123,1996.5163,-47.22
124,1996.544,14.78
125,1996.5709,-12.62
126,1996.5982,-55.82
127,1996.6251,-48.92
128,1996.6522,-22.82
129,1996.6792,14.98
130,1996.7062,21.08
131,1996.7328,15.18
132,1996.761,80.48
133,1996.8141,55.88
134,1996.8421,97.48
135,1996.8689,63.48
136,1996.8965,-4.12
137,1996.9239,-21.82
138,1996.95,3.88
139,1996.9779,22.28
140,1997.0049,9.08
141,1997.0324,47.48
142,1997.0593,90.78
143,1997.0864,97.28
144,1997.1407,55.38
145,1997.1679,114.58
146,1997.1946,25.38
147,1997.2218,-70.12
148,1997.2494,29.78
149,1997.2766,18.18
150,1997.3033,-27.12
151,1997.3307,-84.92
152,1997.3581,-164.22
153,1997.3852,-86.82
154,1997.4122,-9.32
155,1997.4665,-60.32
156,1997.4932,-117.92
157,1997.5208,-64.02
158,1997.5482,-45.42
159,1997.5752,-37.52
160,1997.6297,20.58
161,1997.6571,17.98
162,1997.6833,129.38
163,1997.7109,128.98
164,1997.7376,121.38
165,1997.7924,110.58
166,1997.8194,144.78
167,1997.8463,-10.02
168,1997.8735,-77.22
169,1997.9006,-49.32
170,1997.9285,22.38
171,1997.9553,23.28
172,1997.982,3.98
173,1998.0093,23.38
174,1998.0365,98.18
175,1998.0907,51.78
176,1998.1184,116.78
177,1998.1453,140.98
178,1998.1723,14.58
179,1998.1995,3.68
180,1998.2265,-31.32
181,1998.254,-141.92
182,1998.2808,-174.42
183,1998.3082,-124.52
184,1998.3352,-87.02
185,1998.3621,-61.82
186,1998.4163,-73.42
187,1998.444,-80.12
188,1998.4704,-45.72
189,1998.4978,-27.52
190,1998.5251,7.58
191,1998.5523,-11.82
192,1998.6069,9.38
193,1998.6338,59.78
194,1998.6608,10.28
195,1998.6882,-5.92
196,1998.7152,57.98
197,1998.7424,-31.12
