,time,sea_level_altitude
0,1992.8258,-4.51
1,1992.8493,-5.41
2,1992.8779,-13.81
3,1992.9052,-7.11
4,1992.9302,-8.71
5,1992.9614,-14.81
6,1992.9864,-29.81
7,1993.0122,-32.11
8,1993.0405,-35.41
9,1993.064,-32.01
10,1993.0975,-29.41
11,1993.1205,-25.31
12,1993.1492,-24.61
13,1993.1765,-20.81
14,1993.2037,-21.61
15,1993.2307,-17.01
16,1993.2851,-19.41
17,1993.3123,-16.11
18,1993.3394,-24.31
19,1993.3665,-26.51
20,1993.3937,-26.51
21,1993.4208,-22.21
22,1993.448,-21.01
23,1993.474,-9.31
24,1993.5022,-17.01
25,1993.5294,-16.71
26,1993.5836,-13.21
27,1993.6115,-6.51
28,1993.638,-10.81
29,1993.6651,-11.61
30,1993.6923,-14.41
31,1993.7188,-18.81
32,1993.7465,-13.11
33,1993.7738,-9.81
34,1993.8009,-11.21
35,1993.8552,-23.51
36,1993.8824,-19.31
37,1993.9097,-11.21
38,1993.9366,-9.81
39,1993.9637,-7.01
40,1993.9906,-14.51
41,1994.018,-18.51
42,1994.0452,-15.11
43,1994.0723,-11.61
44,1994.0995,-18.51
45,1994.1267,-22.81
46,1994.1538,-24.31
47,1994.1809,-15.61
48,1994.2352,-13.51
49,1994.2624,-12.81
50,1994.2895,-12.11
51,1994.3167,-11.41
52,1994.3438,-22.21
53,1994.371,-26.01
54,1994.3981,-30.41
55,1994.4253,-21.31
56,1994.4524,-13.11
57,1994.5068,-20.91
58,1994.5339,-4.31
59,1994.561,-2.91
60,1994.5882,-14.41
61,1994.6153,-10.01
62,1994.6425,-1.81
63,1994.6696,-7.21
64,1994.6967,-7.81
65,1994.7239,-6.21
66,1994.7511,-13.31
67,1994.7781,-7.91
68,1994.8054,-4.71
69,1994.8325,-5.41
70,1994.8868,-17.01
71,1994.9139,-18.51
72,1994.9411,-4.01
73,1994.9683,1.19
74,1994.9954,-6.91
75,1995.0225,-15.41
76,1995.0496,-9.21
77,1995.0768,1.99
78,1995.104,-5.41
79,1995.1312,-13.41
80,1995.1583,-20.41
81,1995.2126,-2.51
82,1995.2397,-13.51
83,1995.2668,-14.91
84,1995.294,-15.11
85,1995.3212,-16.21
86,1995.3755,-23.81
87,1995.4027,-18.31
88,1995.4298,-19.11
89,1995.4569,-15.41
90,1995.4841,-13.11
91,1995.5383,-16.31
92,1995.5655,-12.61
93,1995.5927,-10.01
94,1995.6199,-9.21
95,1995.647,-5.11
96,1995.6739,-6.31
97,1995.7013,1.39
98,1995.7285,2.29
99,1995.7556,-2.81
100,1995.7827,-1.41
101,1995.8371,-7.21
102,1995.8642,-9.01
103,1995.8899,-2.01
104,1995.9456,-11.41
105,1995.9727,-10.61
106,1996.0,-15.11
107,1996.0269,-19.01
108,1996.0535,-12.51
109,1996.0813,-13.11
110,1996.1085,-8.91
111,1996.1632,-9.51
112,1996.1899,-13.61
113,1996.2158,-10.91
114,1996.2442,-5.61
115,1996.2713,-10.71
116,1996.2985,-8.71
117,1996.3257,-9.71
118,1996.3528,-10.01
119,1996.3799,-12.91
120,1996.4071,-16.31
121,1996.4342,-7.61
122,1996.4886,-5.91
123,1996.5157,-12.11
124,1996.5428,-5.11
125,1996.57,0.89
126,1996.5973,1.59
127,1996.6243,-1.81
128,1996.6515,3.09
129,1996.6786,5.89
130,1996.7054,8.69
131,1996.7336,11.09
132,1996.76,4.19
133,1996.8144,3.49
134,1996.8414,10.09
135,1996.8686,5.59
136,1996.8959,-7.11
137,1996.9229,-4.51
138,1996.9501,-4.81
139,1996.9769,-5.31
140,1997.0044,-3.81
141,1997.0315,-11.81
142,1997.0587,-19.11
143,1997.0858,-10.51
144,1997.1401,2.39
145,1997.1672,4.09
146,1997.1944,-4.01
147,1997.2215,-7.41
148,1997.2487,2.69
149,1997.2758,-1.51
150,1997.303,-8.21
151,1997.3302,-4.21
152,1997.3572,-7.61
153,1997.3846,-7.61
154,1997.4116,2.19
155,1997.4659,-6.21
156,1997.493,-4.61
157,1997.5202,2.39
158,1997.5473,11.79
159,1997.5745,12.59
160,1997.6288,17.39
161,1997.656,9.29
162,1997.6829,7.79
163,1997.7102,17.19
164,1997.7374,18.89
165,1997.7917,6.59
166,1997.8188,9.49
167,1997.846,12.29
168,1997.8731,3.39
169,1997.9001,9.09
170,1997.9273,12.39
171,1997.9546,5.49
172,1997.9816,7.29
173,1998.0088,3.79
174,1998.036,6.29
175,1998.0903,5.89
176,1998.1174,1.99
177,1998.1446,-1.51
178,1998.1717,-9.91
179,1998.1989,-8.81
180,1998.226,-3.41
181,1998.2531,-9.11
182,1998.2803,-11.71
183,1998.3075,-6.71
184,1998.3347,-9.71
185,1998.3618,-18.41
186,1998.4157,-6.91
187,1998.4432,-3.21
188,1998.4704,-12.01
189,1998.4975,-13.11
190,1998.5247,-15.91
191,1998.5518,-19.31
192,1998.6061,-1.01
193,1998.6332,-9.91
194,1998.6603,-7.31
195,1998.6875,-9.81
196,1998.7147,-11.91
197,1998.7419,-3.11
198,1998.7689,-3.61
199,1998.8233,-9.41
200,1998.8504,-9.51
201,1998.8776,-1.01
202,1998.9047,-7.71
203,1998.9319,1.09
204,1998.9591,-16.21
205,1998.9862,-17.21
206,1999.0133,-19.91
207,1999.0405,-8.51
208,1999.0948,-13.01
209,1999.1254,-8.91
210,1999.1491,-14.61
211,1999.1762,-16.21
212,1999.2034,-16.91
213,1999.2305,7.59
214,1999.2576,-1.91
215,1999.2848,-12.81
216,1999.3391,-17.61
217,1999.3663,-17.71
218,1999.3932,-14.01
219,1999.4206,-9.81
220,1999.4477,-11.81
221,1999.4748,-12.01
222,1999.502,-12.01
223,1999.5291,-10.31
224,1999.5566,-4.51
225,1999.5834,-3.31
226,1999.6106,-3.91
227,1999.6377,-1.71
228,1999.692,-0.31
229,1999.7192,4.89
230,1999.7462,3.69
231,1999.7734,9.29
232,1999.8007,5.79
233,1999.8277,1.79
234,1999.8549,-1.11
235,1999.8822,-2.11
236,1999.908,-2.81
237,1999.9635,0.69
238,1999.9907,-3.01
239,2000.0177,-9.51
240,2000.045,-11.61
241,2000.0721,-6.81
