,time,sea_level_altitude
0,1992.8258,-10.53
1,1992.8493,-10.43
2,1992.8779,-17.47
3,1992.9052,-9.42
4,1992.9302,-9.84
5,1992.9614,-14.62
6,1992.9864,-28.74
7,1993.0122,-30.33
8,1993.0405,-33.09
9,1993.064,-29.41
10,1993.0975,-26.6
11,1993.1205,-22.45
12,1993.1492,-21.71
13,1993.1765,-17.85
14,1993.2037,-18.52
15,1993.2307,-13.7
16,1993.2851,-15.39
17,1993.3123,-11.67
18,1993.3394,-19.5
19,1993.3665,-21.43
20,1993.3937,-21.35
21,1993.4208,-17.22
22,1993.448,-16.48
23,1993.474,-5.52
24,1993.5022,-14.33
25,1993.5294,-15.36
26,1993.5836,-15.0
27,1993.6115,-9.95
28,1993.638,-15.7
29,1993.6651,-17.76
30,1993.6923,-21.5
31,1993.7188,-26.45
32,1993.7465,-20.91
33,1993.7738,-17.34
34,1993.8009,-18.1
35,1993.8552,-28.26
36,1993.8824,-22.75
37,1993.9097,-13.3
38,1993.9366,-10.65
39,1993.9637,-6.73
40,1993.9906,-13.31
41,1994.018,-16.6
42,1994.0452,-12.72
43,1994.0723,-8.94
44,1994.0995,-15.7
45,1994.1267,-19.94
46,1994.1538,-21.41
47,1994.1809,-12.64
48,1994.2352,-10.15
49,1994.2624,-9.12
50,1994.2895,-8.02
51,1994.3167,-6.91
52,1994.3438,-17.34
53,1994.371,-20.9
54,1994.3981,-25.26
55,1994.4253,-16.37
56,1994.4524,-8.69
57,1994.5068,-18.44
58,1994.5339,-3.2
59,1994.561,-3.35
60,1994.5882,-16.48
61,1994.6153,-13.67
62,1994.6425,-6.93
63,1994.6696,-13.54
64,1994.6967,-15.02
65,1994.7239,-13.91
66,1994.7511,-21.09
67,1994.7781,-15.36
68,1994.8054,-11.46
69,1994.8325,-11.16
70,1994.8868,-20.23
71,1994.9139,-20.4
72,1994.9411,-4.65
73,1994.9683,1.64
74,1994.9954,-5.57
75,1995.0225,-13.41
76,1995.0496,-6.76
77,1995.0768,4.7
78,1995.104,-2.58
79,1995.1312,-10.53
80,1995.1583,-17.5
81,1995.2126,0.64
82,1995.2397,-10.11
83,1995.2668,-11.16
84,1995.294,-10.95
85,1995.3212,-11.64
86,1995.3755,-18.68
87,1995.4027,-13.18
88,1995.4298,-14.24
89,1995.4569,-11.1
90,1995.4841,-9.68
91,1995.5383,-15.45
92,1995.5655,-13.32
93,1995.5927,-12.35
94,1995.6199,-13.13
95,1995.647,-10.45
96,1995.6739,-12.8
97,1995.7013,-5.93
98,1995.7285,-5.46
99,1995.7556,-10.56
100,1995.7827,-8.77
101,1995.8371,-12.77
102,1995.8642,-13.33
103,1995.8899,-5.08
104,1995.9456,-11.86
105,1995.9727,-10.0
106,1996.0,-13.64
107,1996.0269,-16.92
108,1996.0535,-10.02
109,1996.0813,-10.38
110,1996.1085,-6.07
111,1996.1632,-6.59
112,1996.1899,-10.6
113,1996.2158,-7.74
114,1996.2442,-2.15
115,1996.2713,-6.89
116,1996.2985,-4.48
117,1996.3257,-5.08
118,1996.3528,-5.05
119,1996.3799,-7.76
120,1996.4071,-11.2
121,1996.4342,-2.81
122,1996.4886,-2.65
123,1996.5157,-10.06
124,1996.5428,-4.5
125,1996.57,-0.08
126,1996.5973,-1.02
127,1996.6243,-5.98
128,1996.6515,-2.46
129,1996.6786,-0.77
130,1996.7054,1.28
131,1996.7336,3.31
