,time,sea_level_altitude
0,1992.8258,-10.27
1,1992.8493,-10.17
2,1992.8779,-17.21
3,1992.9052,-9.16
4,1992.9302,-9.58
5,1992.9614,-14.36
6,1992.9864,-28.48
7,1993.0122,-30.07
8,1993.0405,-32.83
9,1993.064,-29.15
10,1993.0975,-26.34
11,1993.1205,-22.19
12,1993.1492,-21.45
13,1993.1765,-17.6
14,1993.2037,-18.27
15,1993.2307,-13.44
16,1993.2851,-15.13
17,1993.3123,-11.41
18,1993.3394,-19.24
19,1993.3665,-21.17
20,1993.3937,-21.09
21,1993.4208,-16.96
22,1993.448,-16.22
23,1993.474,-5.26
24,1993.5022,-14.07
25,1993.5294,-15.1
26,1993.5836,-14.74
27,1993.6115,-9.7
28,1993.638,-15.44
29,1993.6651,-17.5
30,1993.6923,-21.24
31,1993.7188,-26.19
32,1993.7465,-20.65
33,1993.7738,-17.08
34,1993.8009,-17.84
35,1993.8552,-28.0
36,1993.8824,-22.49
37,1993.9097,-13.04
38,1993.9366,-10.39
39,1993.9637,-6.47
40,1993.9906,-13.05
41,1994.018,-16.34
42,1994.0452,-12.46
43,1994.0723,-8.68
44,1994.0995,-15.44
45,1994.1267,-19.68
46,1994.1538,-21.15
47,1994.1809,-12.38
48,1994.2352,-9.9
49,1994.2624,-8.86
50,1994.2895,-7.76
51,1994.3167,-6.65
52,1994.3438,-17.08
53,1994.371,-20.64
54,1994.3981,-25.0
55,1994.4253,-16.11
56,1994.4524,-8.43
57,1994.5068,-18.18
58,1994.5339,-2.95
59,1994.561,-3.09
60,1994.5882,-16.22
61,1994.6153,-13.41
62,1994.6425,-6.67
63,1994.6696,-13.28
64,1994.6967,-14.76
65,1994.7239,-13.66
66,1994.7511,-20.83
67,1994.7781,-15.1
68,1994.8054,-11.2
69,1994.8325,-10.9
70,1994.8868,-19.97
71,1994.9139,-20.14
72,1994.9411,-4.39
73,1994.9683,1.9
74,1994.9954,-5.31
75,1995.0225,-13.15
76,1995.0496,-6.5
77,1995.0768,4.95
78,1995.104,-2.32
79,1995.1312,-10.28
80,1995.1583,-17.24
81,1995.2126,0.9
82,1995.2397,-9.85
83,1995.2668,-10.9
84,1995.294,-10.69
85,1995.3212,-11.38
86,1995.3755,-18.42
87,1995.4027,-12.92
88,1995.4298,-13.98
89,1995.4569,-10.84
90,1995.4841,-9.42
91,1995.5383,-15.19
92,1995.5655,-13.06
93,1995.5927,-12.09
94,1995.6199,-12.87
95,1995.647,-10.19
96,1995.6739,-12.54
97,1995.7013,-5.67
98,1995.7285,-5.2
99,1995.7556,-10.3
100,1995.7827,-8.51
101,1995.8371,-12.51
102,1995.8642,-13.07
103,1995.8899,-4.82
104,1995.9456,-11.6
105,1995.9727,-9.74
106,1996.0,-13.38
107,1996.0269,-16.66
108,1996.0535,-9.76
109,1996.0813,-10.12
110,1996.1085,-5.81
111,1996.1632,-6.33
112,1996.1899,-10.34
113,1996.2158,-7.48
114,1996.2442,-1.89
115,1996.2713,-6.63
116,1996.2985,-4.22
117,1996.3257,-4.82
118,1996.3528,-4.79
119,1996.3799,-7.5
120,1996.4071,-10.94
121,1996.4342,-2.55
122,1996.4886,-2.39
123,1996.5157,-9.8
124,1996.5428,-4.24
125,1996.57,0.18
126,1996.5973,-0.76
127,1996.6243,-5.72
128,1996.6515,-2.2
129,1996.6786,-0.51
130,1996.7054,1.54
131,1996.7336,3.57
132,1996.76,-3.27
133,1996.8144,-2.7
134,1996.8414,4.98
135,1996.8686,1.74
136,1996.8959,-9.62
137,1996.9229,-5.72
138,1996.9501,-4.81
139,1996.9769,-4.29
140,1997.0044,-1.97
141,1997.0315,-9.38
142,1997.0587,-16.3
143,1997.0858,-7.49
144,1997.1401,5.53
145,1997.1672,7.28
146,1997.1944,-0.72
147,1997.2215,-3.93
148,1997.2487,6.46
149,1997.2758,2.63
150,1997.303,-3.65
151,1997.3302,0.75
152,1997.3572,-2.34
153,1997.3846,-2.19
154,1997.4116,7.53
155,1997.4659,-1.9
156,1997.493,-1.27
157,1997.5202,4.47
158,1997.5473,12.41
159,1997.5745,11.61
160,1997.6288,13.24
161,1997.656,3.79
162,1997.6829,1.24
163,1997.7102,9.94
164,1997.7374,11.35
165,1997.7917,-0.3
166,1997.8188,3.46
167,1997.846,7.38
168,1997.8731,-0.24
169,1997.9001,6.79
170,1997.9273,11.39
171,1997.9546,5.68
172,1997.9816,8.47
173,1998.0088,5.75
174,1998.036,8.8
175,1998.0903,8.93
176,1998.1174,5.11
177,1998.1446,1.64
178,1998.1717,-6.71
179,1998.1989,-5.49
180,1998.226,0.11
181,1998.2531,-5.28
182,1998.2803,-7.5
183,1998.3075,-2.08
184,1998.3347,-4.7
185,1998.3618,-13.11
186,1998.4157,-1.61
187,1998.4432,1.68
188,1998.4704,-7.84
189,1998.4975,-9.96
190,1998.5247,-14.06
191,1998.5518,-18.95
192,1998.6061,-3.88
193,1998.6332,-14.3
194,1998.6603,-13.0
195,1998.6875,-16.5
196,1998.7147,-19.23
197,1998.7419,-10.65
198,1998.7689,-10.96
199,1998.8233,-15.27
200,1998.8504,-14.22
201,1998.8776,-4.42
202,1998.9047,-9.79
203,1998.9319,0.3
204,1998.9591,-15.85
205,1998.9862,-15.89
206,1999.0133,-17.85
207,1999.0405,-5.93
208,1999.0948,-9.95
209,1999.1254,-5.78
210,1999.1491,-11.45
211,1999.1762,-13.0
212,1999.2034,-13.57
213,1999.2305,11.16
214,1999.2576,1.97
215,1999.2848,-8.53
216,1999.3391,-12.54
217,1999.3663,-12.37
218,1999.3932,-8.59
219,1999.4206,-4.56
220,1999.4477,-7.02
221,1999.4748,-7.98
222,1999.502,-9.06
223,1999.5291,-8.69
224,1999.5566,-4.43
225,1999.5834,-4.83
226,1999.6106,-7.04
227,1999.6377,-6.33
228,1999.692,-7.13
229,1999.7192,-2.5
230,1999.7462,-3.85
231,1999.7734,2.01
232,1999.8007,-0.84
233,1999.8277,-3.9
234,1999.8549,-5.61
235,1999.8822,-5.3
236,1999.908,-4.73
237,1999.9635,1.22
238,1999.9907,-1.55
239,2000.0177,-7.35
240,2000.045,-8.97
241,2000.0721,-3.88
242,2000.0992,-4.24
243,2000.1264,-5.98
244,2000.1535,2.65
245,2000.1807,1.42
246,2000.2078,6.16
247,2000.235,8.9
248,2000.2893,-4.76
249,2000.3165,-4.75
250,2000.3436,1.01
251,2000.3707,-4.25
252,2000.3978,-8.7
253,2000.425,-7.41
254,2000.4522,-1.42
255,2000.4793,3.16
256,2000.5064,5.24
257,2000.5337,9.47
258,2000.5879,-4.1
259,2000.6151,1.8
260,2000.6423,4.64
261,2000.6694,3.03
262,2000.6965,2.44
263,2000.7234,3.15
264,2000.7508,4.87
265,2000.778,8.69
266,2000.8051,0.39
267,2000.8594,6.0
268,2000.8859,1.89
269,2000.9145,10.49
270,2000.9409,7.9
271,2000.968,5.79
272,2000.9951,7.98
273,2001.0222,4.55
274,2001.0766,0.95
275,2001.1037,0.08
276,2001.1308,0.82
277,2001.158,4.66
278,2001.1851,6.84
279,2001.2123,5.59
280,2001.2395,14.25
281,2001.2666,9.6
282,2001.2937,9.3
283,2001.3209,9.31
284,2001.348,4.86
285,2001.3752,7.18
286,2001.4024,4.58
287,2001.4295,2.43
288,2001.4566,2.97
289,2001.484,13.59
290,2001.511,13.43
291,2001.538,13.23
292,2001.5653,6.46
293,2001.5923,15.54
294,2001.6195,16.65
