,time,sea_level_altitude
0,1992.8258,-4.25
1,1992.8493,-5.15
2,1992.8779,-13.55
3,1992.9052,-6.85
4,1992.9302,-8.45
5,1992.9614,-14.55
6,1992.9864,-29.55
7,1993.0122,-31.85
8,1993.0405,-35.15
9,1993.064,-31.75
10,1993.0975,-29.15
11,1993.1205,-25.05
12,1993.1492,-24.35
13,1993.1765,-20.55
14,1993.2037,-21.35
15,1993.2307,-16.75
16,1993.2851,-19.15
17,1993.3123,-15.85
18,1993.3394,-24.05
19,1993.3665,-26.25
20,1993.3937,-26.25
21,1993.4208,-21.95
22,1993.448,-20.75
23,1993.474,-9.05
24,1993.5022,-16.75
25,1993.5294,-16.45
26,1993.5836,-12.95
27,1993.6115,-6.25
28,1993.638,-10.55
29,1993.6651,-11.35
30,1993.6923,-14.15
31,1993.7188,-18.55
32,1993.7465,-12.85
33,1993.7738,-9.55
34,1993.8009,-10.95
35,1993.8552,-23.25
36,1993.8824,-19.05
37,1993.9097,-10.95
38,1993.9366,-9.55
39,1993.9637,-6.75
40,1993.9906,-14.25
41,1994.018,-18.25
42,1994.0452,-14.85
43,1994.0723,-11.35
44,1994.0995,-18.25
45,1994.1267,-22.55
46,1994.1538,-24.05
47,1994.1809,-15.35
48,1994.2352,-13.25
49,1994.2624,-12.55
50,1994.2895,-11.85
51,1994.3167,-11.15
52,1994.3438,-21.95
53,1994.371,-25.75
54,1994.3981,-30.15
55,1994.4253,-21.05
56,1994.4524,-12.85
57,1994.5068,-20.65
58,1994.5339,-4.05
59,1994.561,-2.65
60,1994.5882,-14.15
61,1994.6153,-9.75
62,1994.6425,-1.55
63,1994.6696,-6.95
64,1994.6967,-7.55
65,1994.7239,-5.95
66,1994.7511,-13.05
67,1994.7781,-7.65
68,1994.8054,-4.45
69,1994.8325,-5.15
70,1994.8868,-16.75
71,1994.9139,-18.25
72,1994.9411,-3.75
73,1994.9683,1.45
74,1994.9954,-6.65
75,1995.0225,-15.15
76,1995.0496,-8.95
77,1995.0768,2.25
78,1995.104,-5.15
79,1995.1312,-13.15
80,1995.1583,-20.15
81,1995.2126,-2.25
82,1995.2397,-13.25
83,1995.2668,-14.65
84,1995.294,-14.85
85,1995.3212,-15.95
86,1995.3755,-23.55
87,1995.4027,-18.05
88,1995.4298,-18.85
89,1995.4569,-15.15
90,1995.4841,-12.85
91,1995.5383,-16.05
92,1995.5655,-12.35
93,1995.5927,-9.75
94,1995.6199,-8.95
95,1995.647,-4.85
96,1995.6739,-6.05
97,1995.7013,1.65
98,1995.7285,2.55
99,1995.7556,-2.55
100,1995.7827,-1.15
101,1995.8371,-6.95
102,1995.8642,-8.75
103,1995.8899,-1.75
104,1995.9456,-11.15
105,1995.9727,-10.35
106,1996.0,-14.85
107,1996.0269,-18.75
108,1996.0535,-12.25
109,1996.0813,-12.85
110,1996.1085,-8.65
111,1996.1632,-9.25
112,1996.1899,-13.35
113,1996.2158,-10.65
114,1996.2442,-5.35
115,1996.2713,-10.45
116,1996.2985,-8.45
117,1996.3257,-9.45
118,1996.3528,-9.75
119,1996.3799,-12.65
120,1996.4071,-16.05
121,1996.4342,-7.35
122,1996.4886,-5.65
123,1996.5157,-11.85
124,1996.5428,-4.85
125,1996.57,1.15
126,1996.5973,1.85
127,1996.6243,-1.55
128,1996.6515,3.35
129,1996.6786,6.15
130,1996.7054,8.95
131,1996.7336,11.35
132,1996.76,4.45
133,1996.8144,3.75
134,1996.8414,10.35
135,1996.8686,5.85
136,1996.8959,-6.85
137,1996.9229,-4.25
138,1996.9501,-4.55
139,1996.9769,-5.05
140,1997.0044,-3.55
141,1997.0315,-11.55
142,1997.0587,-18.85
143,1997.0858,-10.25
144,1997.1401,2.65
145,1997.1672,4.35
146,1997.1944,-3.75
147,1997.2215,-7.15
148,1997.2487,2.95
149,1997.2758,-1.25
150,1997.303,-7.95
151,1997.3302,-3.95
152,1997.3572,-7.35
153,1997.3846,-7.35
154,1997.4116,2.45
155,1997.4659,-5.95
156,1997.493,-4.35
157,1997.5202,2.65
158,1997.5473,12.05
159,1997.5745,12.85
160,1997.6288,17.65
161,1997.656,9.55
162,1997.6829,8.05
163,1997.7102,17.45
164,1997.7374,19.15
165,1997.7917,6.85
166,1997.8188,9.75
167,1997.846,12.55
168,1997.8731,3.65
169,1997.9001,9.35
170,1997.9273,12.65
171,1997.9546,5.75
172,1997.9816,7.55
173,1998.0088,4.05
174,1998.036,6.55
175,1998.0903,6.15
176,1998.1174,2.25
177,1998.1446,-1.25
178,1998.1717,-9.65
179,1998.1989,-8.55
180,1998.226,-3.15
181,1998.2531,-8.85
182,1998.2803,-11.45
183,1998.3075,-6.45
184,1998.3347,-9.45
185,1998.3618,-18.15
186,1998.4157,-6.65
187,1998.4432,-2.95
188,1998.4704,-11.75
189,1998.4975,-12.85
190,1998.5247,-15.65
191,1998.5518,-19.05
192,1998.6061,-0.75
193,1998.6332,-9.65
194,1998.6603,-7.05
195,1998.6875,-9.55
196,1998.7147,-11.65
197,1998.7419,-2.85
198,1998.7689,-3.35
199,1998.8233,-9.15
200,1998.8504,-9.25
201,1998.8776,-0.75
202,1998.9047,-7.45
203,1998.9319,1.35
204,1998.9591,-15.95
205,1998.9862,-16.95
206,1999.0133,-19.65
207,1999.0405,-8.25
208,1999.0948,-12.75
209,1999.1254,-8.65
210,1999.1491,-14.35
211,1999.1762,-15.95
212,1999.2034,-16.65
213,1999.2305,7.85
214,1999.2576,-1.65
215,1999.2848,-12.55
216,1999.3391,-17.35
217,1999.3663,-17.45
218,1999.3932,-13.75
219,1999.4206,-9.55
220,1999.4477,-11.55
221,1999.4748,-11.75
222,1999.502,-11.75
223,1999.5291,-10.05
224,1999.5566,-4.25
225,1999.5834,-3.05
226,1999.6106,-3.65
227,1999.6377,-1.45
228,1999.692,-0.05
229,1999.7192,5.15
230,1999.7462,3.95
231,1999.7734,9.55
232,1999.8007,6.05
233,1999.8277,2.05
234,1999.8549,-0.85
235,1999.8822,-1.85
236,1999.908,-2.55
237,1999.9635,0.95
238,1999.9907,-2.75
239,2000.0177,-9.25
240,2000.045,-11.35
241,2000.0721,-6.55
242,2000.0992,-7.05
243,2000.1264,-8.85
244,2000.1535,-0.25
245,2000.1807,-1.55
246,2000.2078,3.05
247,2000.235,5.55
248,2000.2893,-8.85
249,2000.3165,-9.25
250,2000.3436,-3.85
251,2000.3707,-9.35
252,2000.3978,-13.85
253,2000.425,-12.35
254,2000.4522,-5.85
255,2000.4793,-0.45
256,2000.5064,2.75
257,2000.5337,8.35
258,2000.5879,-2.05
259,2000.6151,5.45
260,2000.6423,9.75
261,2000.6694,9.35
262,2000.6965,9.65
263,2000.7234,10.85
264,2000.7508,12.65
265,2000.778,16.15
266,2000.8051,7.15
267,2000.8594,10.55
268,2000.8859,5.15
269,2000.9145,12.35
270,2000.9409,8.55
271,2000.968,5.35
272,2000.9951,6.65
273,2001.0222,2.55
274,2001.0766,-1.75
275,2001.1037,-2.75
276,2001.1308,-2.05
277,2001.158,1.75
278,2001.1851,3.85
279,2001.2123,2.45
280,2001.2395,10.85
281,2001.2666,5.85
282,2001.2937,5.15
283,2001.3209,4.75
284,2001.348,-0.05
285,2001.3752,2.05
286,2001.4024,-0.55
287,2001.4295,-2.45
288,2001.4566,-1.35
289,2001.484,10.15
290,2001.511,11.15
291,2001.538,12.35
292,2001.5653,7.15
293,2001.5923,17.85
294,2001.6195,20.55
295,2001.6467,12.55
296,2001.6738,11.05
297,2001.701,16.65
298,2001.7282,17.25
299,2001.7553,16.65
300,2001.7824,11.85
301,2001.8096,7.05
302,2001.8367,10.55
303,2001.8638,8.85
304,2001.8917,12.25
305,2001.9182,13.55
306,2001.9567,19.05
307,2001.9724,1.75
308,2001.9996,0.25
309,2002.0261,-3.75
310,2002.0538,-4.81
311,2002.054,-0.45
312,2002.0811,2.95
313,2002.0819,-1.61
314,2002.1082,-0.13
315,2002.1351,2.49
316,2002.1354,5.55
317,2002.1625,-0.81
318,2002.1626,0.95
319,2002.1896,0.85
320,2002.1897,-4.61
321,2002.2168,5.02
322,2002.2439,4.39
323,2002.244,8.65
324,2002.2711,6.25
325,2002.2712,8.59
326,2002.2982,-0.01
327,2002.2987,1.85
328,2002.3254,-3.38
329,2002.3525,1.59
330,2002.3526,5.15
331,2002.3796,8.57
332,2002.4069,-0.9300000000000002
333,2002.434,0.41999999999999993
334,2002.461,3.95
335,2002.4611,6.79
336,2002.4883,26.369999999999997
337,2002.5154,26.99
338,2002.5426,21.59
339,2002.5427,16.55
340,2002.5697,20.99
341,2002.5698,17.95
342,2002.5968,12.75
343,2002.5969,13.39
344,2002.624,20.770000000000003
345,2002.6512,15.29
346,2002.6549,15.55
347,2002.6782,15.85
348,2002.6783,13.09
349,2002.7055,10.79
350,2002.7064,11.35
351,2002.7325,12.75
352,2002.7326,14.69
353,2002.7597,15.39
354,2002.76,11.75
355,2002.7864,20.15
356,2002.7869,19.09
357,2002.814,31.29
358,2002.8144,31.45
359,2002.8412,21.49
360,2002.8415,22.05
361,2002.8684,24.82
362,2002.8943,24.09
363,2002.8961,21.75
364,2002.9226,22.12
365,2002.9498,15.22
366,2002.9769,8.79
367,2002.977,9.75
368,2003.0041,8.19
369,2003.0042,14.15
370,2003.0313,11.969999999999999
371,2003.0583,12.52
372,2003.0854,14.29
373,2003.0855,18.25
374,2003.1127,10.97
375,2003.1398,1.62
376,2003.1669,10.95
377,2003.1671,5.39
378,2003.1941,1.19
379,2003.1942,4.25
380,2003.2212,4.35
381,2003.2213,1.89
382,2003.2484,5.02
383,2003.2754,7.65
384,2003.2798,7.19
385,2003.3027,7.79
386,2003.3028,10.65
387,2003.3299,-4.63
388,2003.357,1.02
389,2003.3842,11.469999999999999
390,2003.4113,8.52
391,2003.4385,4.19
392,2003.4386,3.35
393,2003.4655,-2.15
394,2003.4656,-5.61
395,2003.4927,-2.23
396,2003.5199,6.59
397,2003.5471,12.79
398,2003.5472,14.45
399,2003.5742,14.09
400,2003.5819,11.85
401,2003.6012,13.85
402,2003.6013,13.79
403,2003.6285,8.17
404,2003.6556,23.29
