,time,sea_level_altitude
0,1992.8259,-33.19
1,1992.8502,88.31
2,1992.8774,88.31
3,1992.9062,-24.59
4,1992.9315,35.71
5,1992.9619,122.91
6,1992.986,84.81
7,1993.0157,113.41
8,1993.0415,-70.79
9,1993.064,-98.59
10,1993.0977,-32.99
11,1993.1225,-101.69
12,1993.1501,-38.89
13,1993.1773,13.21
14,1993.2043,-53.19
15,1993.231,-117.59
16,1993.2863,-112.99
17,1993.3135,-57.29
18,1993.3406,-48.19
19,1993.3676,-97.39
20,1993.395,-97.19
21,1993.4219,-52.99
22,1993.4492,-58.69
23,1993.4761,-63.89
24,1993.5025,66.51
25,1993.5307,-18.89
26,1993.5843,-102.49
27,1993.6119,-92.39
28,1993.6391,-46.29
29,1993.6663,28.61
30,1993.6937,-9.29
31,1993.7207,35.81
32,1993.7479,-9.49
33,1993.7749,30.51
34,1993.802,34.21
35,1993.8539,71.61
36,1993.8837,125.01
37,1993.9107,-18.59
38,1993.9373,68.91
39,1993.965,79.21
40,1993.9932,70.71
41,1994.018,8.41
42,1994.046,87.51
43,1994.0737,54.81
44,1994.0986,-39.89
45,1994.1278,-97.49
46,1994.155,-95.89
47,1994.1821,-14.99
48,1994.236,-51.49
49,1994.2639,-12.79
50,1994.2899,14.21
51,1994.3179,-72.09
52,1994.3448,-44.39
53,1994.372,-73.69
54,1994.3982,-16.79
55,1994.4266,-42.09
56,1994.4533,18.21
57,1994.5077,-60.59
58,1994.5319,18.11
59,1994.56,22.61
60,1994.5893,-2.89
61,1994.6165,32.01
62,1994.6418,-12.29
63,1994.6707,-15.39
64,1994.6982,-1.49
65,1994.7231,80.71
66,1994.7524,19.31
67,1994.7776,99.81
68,1994.8048,61.41
69,1994.8332,94.01
70,1994.888,164.71
71,1994.9149,29.71
72,1994.9416,-55.79
73,1994.9694,-20.39
74,1994.9959,-33.09
75,1995.0236,32.71
76,1995.0491,-2.29
77,1995.0769,-100.89
78,1995.1049,18.51
79,1995.1319,-31.59
80,1995.1588,-45.39
81,1995.2133,-16.59
82,1995.2398,-104.79
83,1995.2676,-102.59
84,1995.2948,-41.09
85,1995.3195,21.71
86,1995.3768,-37.49
87,1995.4018,14.01
88,1995.431,-72.99
89,1995.4562,-3.39
90,1995.484,-85.79
91,1995.5394,-20.29
92,1995.5667,140.31
93,1995.5936,33.31
94,1995.6187,37.91
95,1995.6479,2.91
96,1995.6756,-43.89
97,1995.702,-0.29
98,1995.728,-42.19
99,1995.7568,48.41
100,1995.7836,-13.69
101,1995.8381,30.01
102,1995.8653,72.71
103,1995.892,17.71
104,1995.9468,119.41
105,1995.9743,32.41
106,1995.9985,105.71
107,1996.027,76.91
108,1996.0481,12.41
109,1996.0824,-39.89
110,1996.1092,5.01
111,1996.164,1.71
112,1996.1893,4.61
113,1996.2133,57.11
114,1996.245,-105.69
115,1996.2723,-11.89
116,1996.2991,-34.19
117,1996.3269,-75.49
118,1996.3539,-26.39
119,1996.3812,-21.69
120,1996.4082,-19.89
121,1996.4355,48.91
122,1996.4897,-78.99
123,1996.5163,18.41
124,1996.544,7.11
125,1996.5712,-51.59
126,1996.5981,47.91
127,1996.6243,19.81
128,1996.6525,36.41
129,1996.6799,-28.39
130,1996.7065,-9.19
131,1996.7356,57.81
132,1996.7613,37.01
133,1996.8156,25.71
134,1996.8422,10.31
135,1996.869,47.61
136,1996.897,96.21
137,1996.9233,114.61
138,1996.9507,26.21
139,1996.9772,6.61
140,1997.006,6.01
141,1997.0321,-9.09
142,1997.0594,16.01
143,1997.0865,-93.09
144,1997.1407,-55.29
145,1997.1679,-85.39
146,1997.1955,-32.39
147,1997.223,-75.39
148,1997.2498,-16.59
149,1997.2759,-57.09
150,1997.3034,-62.29
151,1997.3315,-27.99
152,1997.3576,-42.59
153,1997.3856,-71.09
154,1997.413,-102.79
155,1997.4666,103.81
156,1997.4939,95.51
157,1997.5215,7.91
158,1997.5485,12.31
159,1997.5758,-34.59
160,1997.63,21.01
161,1997.6566,20.21
162,1997.6843,56.41
163,1997.7114,-14.89
164,1997.738,51.41
165,1997.7922,167.51
166,1997.8194,167.81
167,1997.8467,153.01
168,1997.8737,59.01
169,1997.9014,68.21
170,1997.9287,56.21
171,1997.9535,29.91
172,1997.9829,-67.49
173,1998.008,-12.19
174,1998.0372,-168.69
175,1998.0915,-6.19
176,1998.1186,-44.19
177,1998.1453,-53.69
178,1998.1734,-149.89
179,1998.2,-93.89
180,1998.2272,-37.29
181,1998.255,7.61
182,1998.2816,31.81
183,1998.3087,-0.89
184,1998.3359,-58.39
185,1998.3624,14.71
186,1998.4145,-63.19
187,1998.4422,3.31
188,1998.4714,-5.89
189,1998.4987,41.41
190,1998.5258,-34.59
191,1998.5532,80.31
192,1998.6074,33.81
193,1998.6343,177.41
194,1998.6614,128.51
195,1998.6882,95.41
196,1998.7145,20.51
197,1998.7432,71.41
198,1998.77,53.91
199,1998.8245,60.51
200,1998.8514,22.71
201,1998.8786,-3.29
202,1998.9058,26.31
203,1998.9335,36.01
204,1998.9598,182.01
205,1998.9871,83.41
206,1999.014,62.01
207,1999.0409,47.71
208,1999.0959,68.51
209,1999.1236,100.71
210,1999.1502,87.01
211,1999.1763,92.71
212,1999.2042,-87.09
213,1999.2298,-123.09
214,1999.2578,-45.69
215,1999.2842,-108.99
216,1999.3398,-116.99
217,1999.3676,-77.09
218,1999.3946,58.11
219,1999.4188,3.21
220,1999.4488,-15.29
221,1999.4756,-46.19
222,1999.5028,-20.39
223,1999.5304,40.11
224,1999.5585,33.01
225,1999.5825,-26.59
226,1999.6105,-19.69
227,1999.6385,80.61
228,1999.6911,55.21
229,1999.72,18.91
230,1999.7468,-29.69
231,1999.7745,50.91
232,1999.8012,16.61
233,1999.829,-18.79
234,1999.8557,-16.29
235,1999.8833,-33.29
236,1999.9099,-7.49
237,1999.9636,59.81
238,1999.9919,65.71
239,2000.0191,65.91
240,2000.0452,65.51
241,2000.0729,46.11
242,2000.1003,-77.39
243,2000.1276,-37.39
244,2000.1548,-67.79
245,2000.1815,-130.19
246,2000.2085,-134.79
247,2000.2365,-12.99
248,2000.2888,-70.19
249,2000.3181,-102.49
250,2000.3443,-131.59
251,2000.372,-25.69
252,2000.3985,35.81
253,2000.4262,-22.69
254,2000.4531,-62.59
255,2000.4806,-46.09
256,2000.5078,-0.49
257,2000.5348,-27.79
258,2000.5871,-15.09
259,2000.6156,70.61
260,2000.6435,0.51
261,2000.6703,-47.69
262,2000.6976,19.81
263,2000.7243,12.81
264,2000.751,66.61
265,2000.7791,41.61
266,2000.8065,-29.89
267,2000.8601,29.71
268,2000.8877,90.71
269,2000.9164,2.01
270,2000.942,-19.19
271,2000.9692,6.71
272,2000.9956,24.51
273,2001.0232,39.81
274,2001.0777,-14.89
275,2001.1049,-91.59
276,2001.1321,-107.79
277,2001.1593,-30.89
278,2001.1867,2.11
279,2001.2134,-74.99
280,2001.2398,-104.89
281,2001.268,-70.09
282,2001.2942,-59.69
283,2001.3222,-24.69
284,2001.3489,-36.49
285,2001.3766,-74.49
286,2001.4031,-48.69
287,2001.4305,-2.49
288,2001.4577,-19.49
289,2001.4851,28.81
290,2001.5122,-8.09
291,2001.5389,-60.59
292,2001.5665,32.71
293,2001.5931,18.51
294,2001.6201,-21.69
295,2001.6478,13.31
296,2001.6745,-3.39
297,2001.7017,-2.69
298,2001.7291,23.21
299,2001.7568,-45.69
300,2001.7836,-50.49
301,2001.8087,-69.19
302,2001.8381,-25.49
303,2001.8611,105.21
304,2001.8925,-30.49
305,2001.9189,75.91
306,2001.9736,115.71
307,2002.0,167.71
308,2002.023,96.41
309,2002.0546,34.99
310,2002.0549,20.01
311,2002.0811,-111.09
312,2002.0838,-114.61
313,2002.1086,-47.21
314,2002.1091,-61.09
315,2002.1364,0.5500000000000007
316,2002.1627,-6.31
317,2002.1639,7.41
318,2002.1894,-58.61
319,2002.1904,-55.39
320,2002.2166,16.41
321,2002.2173,16.09
322,2002.2456,6.21
323,2002.2464,25.59
324,2002.2718,-48.25
325,2002.2994,-90.4
326,2002.3245,-96.01
327,2002.3295,-93.09
328,2002.3532,-11.19
329,2002.3538,-3.61
330,2002.3807,-41.01
331,2002.381,-46.49
332,2002.407,-54.91
333,2002.408,-50.99
334,2002.4345,-63.51
335,2002.4352,-70.99
336,2002.4621,16.79
337,2002.4624,15.91
338,2002.4892,-18.71
339,2002.4894,-12.89
340,2002.5159,-84.51
341,2002.5427,-53.71
342,2002.5438,-36.09
343,2002.5702,-43.91
344,2002.5709,-60.29
345,2002.5979,-17.31
346,2002.598,-26.59
347,2002.6232,-13.79
348,2002.6252,-28.51
349,2002.6521,59.09
350,2002.6541,114.21
351,2002.6758,13.61
352,2002.6787,-48.31
353,2002.7065,-35.91
354,2002.7073,-15.39
355,2002.732,15.31
356,2002.7326,36.09
357,2002.759,51.41
358,2002.7611,58.19
359,2002.7824,64.81
360,2002.7868,97.99
361,2002.8067,48.21
362,2002.8149,12.39
363,2002.8424,-29.09
364,2002.8428,-18.51
365,2002.8674,60.31
366,2002.8695,99.39
367,2002.8889,46.91
368,2002.8929,38.99
369,2002.92,82.71
370,2002.9235,42.19
371,2002.949,-41.59
372,2002.9512,38.39
373,2002.9768,-52.89
374,2002.9787,-43.41
375,2003.0041,-34.39
376,2003.0045,-27.91
377,2003.0306,-102.39
378,2003.0324,-86.61
379,2003.0565,-12.51
380,2003.0579,-54.99
381,2003.083,-5.29
382,2003.0856,22.69
383,2003.1088,-50.19
384,2003.1132,-57.21
385,2003.1388,-123.09
386,2003.1408,-67.41
387,2003.1665,-172.31
388,2003.1666,-179.29
389,2003.1951,-123.81
390,2003.1953,-150.69
391,2003.216,-19.39
392,2003.222,10.69
393,2003.2478,11.51
394,2003.2491,11.79
395,2003.2757,2.69
396,2003.2761,6.61
397,2003.3032,-101.59
398,2003.3036,-92.11
399,2003.3251,-19.79
400,2003.3311,-84.91
401,2003.3555,6.51
402,2003.3574,57.69
403,2003.3841,-40.51
404,2003.3842,-52.69
405,2003.4089,-112.09
406,2003.4111,-82.91
407,2003.4375,-39.59
408,2003.438,-28.11
409,2003.4641,-18.59
410,2003.4669,74.49
411,2003.4915,67.01
412,2003.4937,75.39
413,2003.5196,46.59
414,2003.5414,7.21
415,2003.5481,47.59
416,2003.5729,-10.41
417,2003.5806,22.51
418,2003.6002,15.81
419,2003.6013,5.19
420,2003.6269,11.81
421,2003.6287,-4.41
422,2003.6525,-11.69
423,2003.6567,-21.21
424,2003.6827,7.01
425,2003.6841,-60.91
426,2003.7091,-1.39
427,2003.7107,22.09
428,2003.7357,-2.59
429,2003.7376,41.69
430,2003.7614,10.01
431,2003.7641,19.79
432,2003.7875,29.71
433,2003.7919,8.39
434,2003.8177,-0.59
435,2003.8193,-26.31
436,2003.8428,23.51
437,2003.8467,53.79
438,2003.867,100.51
439,2003.8739,88.49
440,2003.9203,56.41
441,2003.9272,89.49
442,2003.9539,38.39
443,2003.9546,19.81
444,2003.9784,62.11
445,2003.9812,54.99
446,2004.0071,71.31
447,2004.0092,85.69
448,2004.0353,83.01
449,2004.0357,127.19
450,2004.0611,-0.99
451,2004.0629,69.69
452,2004.0845,2.81
453,2004.0909,-19.01
454,2004.1116,-67.99
455,2004.1144,-52.61
456,2004.1433,-84.49
457,2004.1471,-93.91
458,2004.1702,-91.61
459,2004.1718,-129.89
460,2004.1945,-14.19
461,2004.1995,-34.61
462,2004.2212,-18.39
463,2004.2264,-37.51
464,2004.2477,-48.01
465,2004.2518,-81.99
466,2004.2787,-93.79
467,2004.2803,-70.51
468,2004.3064,14.71
469,2004.3072,-62.91
470,2004.3327,-26.79
471,2004.3351,-66.81
472,2004.3609,-65.69
473,2004.3624,-32.81
474,2004.3883,-33.19
475,2004.3896,-12.41
476,2004.4162,10.99
477,2004.4439,78.09
478,2004.4694,93.71
479,2004.471,57.09
480,2004.4985,12.99
481,2004.5003,5.51
482,2004.5185,-11.09
483,2004.5253,-11.91
484,2004.5462,-41.09
485,2004.5515,-23.91
486,2004.5779,13.51
487,2004.5785,-15.21
488,2004.6061,-29.71
489,2004.6068,-14.49
490,2004.6275,78.91
491,2004.6341,15.19
492,2004.6559,-62.29
493,2004.6613,-60.41
494,2004.6846,23.91
495,2004.6883,-20.41
496,2004.7124,-32.79
497,2004.7151,25.49
498,2004.7415,23.99
499,2004.7416,2.61
500,2004.7655,-8.49
501,2004.7683,57.79
502,2004.7957,48.29
503,2004.7995,89.71
504,2004.8237,29.29
505,2004.8294,35.51
506,2004.8483,133.81
507,2004.8513,164.79
508,2004.8762,100.21
509,2004.8782,144.59
510,2004.8996,29.51
511,2004.9059,63.19
512,2004.9262,-17.59
513,2004.9326,81.59
514,2004.9468,28.61
515,2004.9593,65.79
516,2004.9861,56.69
517,2004.9915,67.31
518,2005.0143,-22.41
519,2005.0159,4.61
520,2005.0412,18.49
521,2005.0466,-4.89
522,2005.0624,-59.69
523,2005.0685,-49.11
524,2005.0947,-65.31
525,2005.0991,-101.69
526,2005.1176,-75.69
527,2005.1219,-53.11
528,2005.1441,3.11
529,2005.15,-41.71
530,2005.1706,-44.99
531,2005.1771,-38.21
532,2005.1977,-30.99
533,2005.203,-41.61
534,2005.2172,-48.79
535,2005.2295,-69.91
536,2005.2557,-135.29
537,2005.2585,-48.41
538,2005.2852,25.19
539,2005.2862,-16.29
540,2005.3116,-28.61
541,2005.3128,41.21
542,2005.3396,-38.69
543,2005.3399,-26.51
544,2005.3631,-45.09
545,2005.3657,-16.51
546,2005.3925,-10.71
547,2005.3928,-23.09
548,2005.4198,-14.11
549,2005.4235,-48.79
550,2005.4471,7.89
551,2005.4487,14.81
552,2005.4723,8.91
553,2005.4758,-66.71
554,2005.5023,-84.91
555,2005.5028,-44.69
556,2005.5231,26.41
557,2005.5299,51.59
558,2005.5477,56.51
559,2005.5552,-29.81
560,2005.5842,20.71
561,2005.5843,-41.91
562,2005.6099,34.59
563,2005.6155,22.31
564,2005.6373,70.69
565,2005.6425,64.11
566,2005.6659,76.69
567,2005.6662,-30.99
568,2005.685,17.51
569,2005.6929,16.09
570,2005.7132,-99.91
571,2005.7207,-66.29
572,2005.7455,-67.69
573,2005.7484,20.09
574,2005.7728,45.09
575,2005.7998,65.29
576,2005.8274,26.89
577,2005.8559,-21.41
578,2005.8824,50.89
579,2005.9099,92.79
580,2005.9365,92.89
581,2005.9645,109.09
582,2005.9917,11.69
583,2006.0184,99.39
584,2006.0459,-108.91
585,2006.0721,-90.81
586,2006.1,14.39
587,2006.1271,2.99
588,2006.154,-67.21
589,2006.1792,-52.21
590,2006.2084,30.39
591,2006.2354,-69.31
592,2006.263,-39.01
593,2006.2874,-29.31
594,2006.3163,13.99
