,time,sea_level_altitude
0,1992.8259,-76.1
1,1992.8502,41.76
2,1992.8774,39.42
3,1992.9062,-73.4
4,1992.9315,-10.53
5,1992.9619,83.01
6,1992.986,52.35
7,1993.0157,92.65
8,1993.0415,-79.69
9,1993.064,-96.4
10,1993.0977,-14.03
11,1993.1225,-71.16
12,1993.1501,2.89
13,1993.1773,63.71
14,1993.2043,3.13
15,1993.231,-58.53
16,1993.2863,-57.48
17,1993.3135,-7.33
18,1993.3406,-5.45
19,1993.3676,-62.8
20,1993.395,-71.13
21,1993.4219,-34.91
22,1993.4492,-47.79
23,1993.4761,-58.86
24,1993.5025,67.06
25,1993.5307,-21.82
26,1993.5843,-109.51
27,1993.6119,-101.08
28,1993.6391,-56.96
29,1993.6663,15.27
30,1993.6937,-26.24
31,1993.7207,14.33
32,1993.7479,-36.33
33,1993.7749,-2.11
34,1993.802,-4.16
35,1993.8539,24.62
36,1993.8837,75.89
37,1993.9107,-67.12
38,1993.9373,23.6
39,1993.965,40.15
40,1993.9932,40.85
41,1994.018,-11.34
42,1994.046,80.79
43,1994.0737,61.86
44,1994.0986,-20.5
45,1994.1278,-64.64
46,1994.155,-52.34
47,1994.1821,36.76
48,1994.236,7.75
49,1994.2639,45.56
50,1994.2899,69.11
51,1994.3179,-23.2
52,1994.3448,-2.87
53,1994.372,-40.47
54,1994.3982,8.29
55,1994.4266,-25.32
56,1994.4533,28.13
57,1994.5077,-60.78
58,1994.5319,15.05
59,1994.56,17.17
60,1994.5893,-10.21
61,1994.6165,23.02
62,1994.6418,-23.19
63,1994.6707,-29.24
64,1994.6982,-19.13
65,1994.7231,58.79
66,1994.7524,-8.47
67,1994.7776,66.61
68,1994.8048,22.47
69,1994.8332,49.88
70,1994.888,115.52
71,1994.9149,-18.49
72,1994.9416,-100.32
73,1994.9694,-58.19
74,1994.9959,-61.93
75,1995.0236,15.45
76,1995.0491,-7.49
77,1995.0769,-92.23
78,1995.1049,40.93
79,1995.1319,3.01
80,1995.1588,-0.53
81,1995.2133,40.99
82,1995.2398,-45.49
83,1995.2676,-44.59
84,1995.2948,12.91
85,1995.3195,70.19
86,1995.3768,-5.77
87,1995.4018,38.0
88,1995.431,-57.42
89,1995.4562,5.85
90,1995.484,-82.24
91,1995.5394,-24.07
92,1995.5667,134.4
93,1995.5936,25.74
94,1995.6187,28.77
95,1995.6479,-8.53
96,1995.6756,-58.34
97,1995.702,-18.54
98,1995.728,-65.04
99,1995.7568,19.7
100,1995.7836,-48.19
101,1995.8381,-14.88
102,1995.8653,24.6
103,1995.892,-31.5
104,1995.9468,75.92
105,1995.9743,-3.91
106,1995.9985,77.87
107,1996.027,61.2
108,1996.0481,6.72
109,1996.0824,-28.48
110,1996.1092,29.47
111,1996.164,48.28
112,1996.1893,58.06
113,1996.2133,114.69
114,1996.245,-46.4
115,1996.2723,45.6
116,1996.2991,18.96
117,1996.3269,-28.93
118,1996.3539,12.41
119,1996.3812,8.65
120,1996.4082,2.17
121,1996.4355,63.27
122,1996.4897,-76.43
123,1996.5163,17.1
124,1996.544,2.92
125,1996.5712,-57.79
126,1996.5981,40.07
127,1996.6243,10.28
128,1996.6525,24.53
129,1996.6799,-43.4
130,1996.7065,-28.17
131,1996.7356,33.48
132,1996.7613,7.33
133,1996.8156,-15.34
134,1996.8422,-35.18
135,1996.869,-0.78
136,1996.897,47.06
137,1996.9233,67.27
138,1996.9507,-16.44
139,1996.9772,-28.8
140,1997.006,-18.84
141,1997.0321,-22.45
142,1997.0594,15.9
143,1997.0865,-79.64
144,1997.1407,-17.1
145,1997.1679,-37.6
146,1997.1955,22.36
147,1997.223,-16.83
148,1997.2498,42.59
149,1997.2759,-0.05
150,1997.3034,-10.03
151,1997.3315,17.32
152,1997.3576,-4.91
153,1997.3856,-42.12
154,1997.413,-82.14
155,1997.4666,110.76
156,1997.4939,97.38
157,1997.5215,5.98
158,1997.5485,7.75
159,1997.5758,-41.09
160,1997.63,11.06
161,1997.6566,7.92
162,1997.6843,40.81
163,1997.7114,-34.71
164,1997.738,26.6
165,1997.7922,131.18
166,1997.8194,126.06
167,1997.8467,106.91
168,1997.8737,10.31
169,1997.9014,19.18
170,1997.9287,9.56
171,1997.9535,-12.1
172,1997.9829,-101.02
173,1998.008,-36.21
