,time,sea_level_altitude
0,1992.8259,-31.8
1,1992.8502,89.7
2,1992.8774,89.7
3,1992.9062,-23.2
4,1992.9315,37.1
5,1992.9619,124.3
6,1992.986,86.2
7,1993.0157,114.8
8,1993.0415,-69.4
9,1993.064,-97.2
10,1993.0977,-31.6
11,1993.1225,-100.3
12,1993.1501,-37.5
13,1993.1773,14.6
14,1993.2043,-51.8
15,1993.231,-116.2
16,1993.2863,-111.6
17,1993.3135,-55.9
18,1993.3406,-46.8
19,1993.3676,-96.0
20,1993.395,-95.8
21,1993.4219,-51.6
22,1993.4492,-57.3
23,1993.4761,-62.5
24,1993.5025,67.9
25,1993.5307,-17.5
26,1993.5843,-101.1
27,1993.6119,-91.0
28,1993.6391,-44.9
29,1993.6663,30.0
30,1993.6937,-7.9
31,1993.7207,37.2
32,1993.7479,-8.1
33,1993.7749,31.9
34,1993.802,35.6
35,1993.8539,73.0
36,1993.8837,126.4
37,1993.9107,-17.2
38,1993.9373,70.3
39,1993.965,80.6
40,1993.9932,72.1
41,1994.018,9.8
42,1994.046,88.9
43,1994.0737,56.2
44,1994.0986,-38.5
45,1994.1278,-96.1
46,1994.155,-94.5
47,1994.1821,-13.6
48,1994.236,-50.1
49,1994.2639,-11.4
50,1994.2899,15.6
51,1994.3179,-70.7
52,1994.3448,-43.0
53,1994.372,-72.3
54,1994.3982,-15.4
55,1994.4266,-40.7
56,1994.4533,19.6
57,1994.5077,-59.2
58,1994.5319,19.5
59,1994.56,24.0
60,1994.5893,-1.5
61,1994.6165,33.4
62,1994.6418,-10.9
63,1994.6707,-14.0
64,1994.6982,-0.1
65,1994.7231,82.1
66,1994.7524,20.7
67,1994.7776,101.2
68,1994.8048,62.8
69,1994.8332,95.4
70,1994.888,166.1
71,1994.9149,31.1
72,1994.9416,-54.4
73,1994.9694,-19.0
74,1994.9959,-31.7
75,1995.0236,34.1
76,1995.0491,-0.9
77,1995.0769,-99.5
78,1995.1049,19.9
79,1995.1319,-30.2
80,1995.1588,-44.0
81,1995.2133,-15.2
82,1995.2398,-103.4
83,1995.2676,-101.2
84,1995.2948,-39.7
85,1995.3195,23.1
86,1995.3768,-36.1
87,1995.4018,15.4
88,1995.431,-71.6
89,1995.4562,-2.0
90,1995.484,-84.4
91,1995.5394,-18.9
92,1995.5667,141.7
93,1995.5936,34.7
94,1995.6187,39.3
95,1995.6479,4.3
96,1995.6756,-42.5
97,1995.702,1.1
98,1995.728,-40.8
99,1995.7568,49.8
100,1995.7836,-12.3
101,1995.8381,31.4
102,1995.8653,74.1
103,1995.892,19.1
104,1995.9468,120.8
105,1995.9743,33.8
106,1995.9985,107.1
107,1996.027,78.3
108,1996.0481,13.8
109,1996.0824,-38.5
110,1996.1092,6.4
111,1996.164,3.1
112,1996.1893,6.0
113,1996.2133,58.5
