,time,sea_level_altitude
0,1992.8255,112.27
1,1992.8491,88.87
2,1992.8766,50.67
3,1992.9042,47.97
4,1992.9302,44.37
5,1992.9593,-45.23
6,1992.9852,-24.83
7,1993.0117,-10.43
8,1993.0404,-18.93
9,1993.0625,-76.23
10,1993.0958,-134.93
11,1993.1198,-126.93
12,1993.149,-78.93
13,1993.1748,-88.83
14,1993.2023,-65.33
15,1993.2294,-56.13
16,1993.284,-28.33
17,1993.3108,-18.03
18,1993.3381,-56.43
19,1993.3665,-55.73
20,1993.3926,-56.73
21,1993.4202,-49.03
22,1993.447,-94.23
23,1993.4738,-86.73
24,1993.5012,-56.73
25,1993.5284,-20.23
26,1993.5835,-35.43
27,1993.611,-30.63
28,1993.6364,4.57
29,1993.664,-4.23
30,1993.6915,11.77
31,1993.7181,17.37
32,1993.7455,89.67
33,1993.7729,74.87
34,1993.7997,90.87
35,1993.8541,-5.83
36,1993.8814,42.87
37,1993.9087,-65.43
38,1993.9352,-38.63
39,1993.9628,-29.63
40,1993.989,-4.93
41,1994.0164,-25.13
42,1994.0437,12.97
43,1994.0709,-26.83
44,1994.0978,-79.33
45,1994.1255,-79.33
46,1994.1533,-80.33
47,1994.1792,-77.13
48,1994.234,-64.63
49,1994.2616,-65.13
50,1994.2892,-35.83
51,1994.3176,-22.03
52,1994.3431,-69.23
53,1994.3702,-116.63
54,1994.3969,-69.63
55,1994.4242,-68.63
56,1994.4509,-62.13
57,1994.5058,-48.23
58,1994.5333,-12.43
59,1994.5607,3.47
60,1994.5873,36.87
61,1994.6151,84.97
62,1994.6414,100.77
63,1994.669,101.57
64,1994.6954,88.17
65,1994.7227,106.07
66,1994.7497,40.07
67,1994.7763,63.57
68,1994.8045,52.17
69,1994.8314,57.47
70,1994.8857,43.07
71,1994.913,-10.23
72,1994.94,26.67
73,1994.9668,16.77
74,1994.994,8.17
75,1995.0207,-67.13
76,1995.048,-31.73
77,1995.0752,1.57
78,1995.1028,-18.53
79,1995.13,-11.93
80,1995.1567,-32.53
81,1995.2114,-80.43
82,1995.2382,-100.33
83,1995.2663,-93.93
84,1995.2926,-50.73
85,1995.3202,-50.93
86,1995.3742,-47.53
87,1995.4015,-40.93
88,1995.4289,-78.43
89,1995.4562,-62.63
90,1995.4835,-38.03
91,1995.5372,-20.03
92,1995.5652,22.17
93,1995.592,-5.73
94,1995.6189,-6.13
95,1995.6458,47.37
96,1995.6728,1.37
97,1995.7002,-9.33
98,1995.7276,77.97
99,1995.754,83.37
100,1995.7816,78.57
101,1995.836,-43.53
102,1995.8638,-69.53
103,1995.8902,29.97
104,1995.9443,60.37
105,1995.9714,30.07
106,1995.9986,-25.23
107,1996.0258,-29.43
108,1996.0518,-22.33
109,1996.0794,-68.33
110,1996.1063,-85.43
111,1996.1618,-116.93
112,1996.1886,-126.83
113,1996.2124,-126.83
114,1996.2428,-111.73
115,1996.2707,-114.93
116,1996.2977,-82.63
117,1996.3245,-77.83
118,1996.3513,-27.43
119,1996.3783,-57.33
120,1996.406,-60.83
121,1996.4331,-28.63
122,1996.4874,-43.53
123,1996.5147,-83.33
124,1996.542,-0.53
125,1996.5691,1.27
126,1996.5966,12.27
127,1996.6231,17.57
128,1996.6508,5.97
129,1996.6782,18.17
130,1996.7047,34.47
131,1996.7328,70.77
132,1996.7589,100.87
133,1996.8133,70.97
134,1996.8409,71.37
135,1996.8681,72.87
136,1996.8945,25.37
137,1996.922,27.97
138,1996.9489,-29.73
139,1996.9759,-19.43
140,1997.0031,12.47
141,1997.03,-38.83
142,1997.0575,-41.13
143,1997.084,-17.23
144,1997.1388,-19.23
145,1997.1658,-22.43
146,1997.193,-45.13
147,1997.2207,-61.33
148,1997.2478,-107.23
149,1997.2752,-88.03
150,1997.3021,-45.53
151,1997.329,-60.93
152,1997.3552,-73.03
153,1997.3833,-48.83
154,1997.4107,-39.73
155,1997.4649,-36.83
156,1997.4922,2.57
157,1997.519,40.47
158,1997.5465,29.87
159,1997.5737,44.87
160,1997.6274,66.57
161,1997.6552,68.77
162,1997.6826,76.87
163,1997.7094,17.67
164,1997.7363,77.07
165,1997.7907,27.37
166,1997.8179,21.27
167,1997.8452,12.27
168,1997.8723,4.97
169,1997.8987,34.67
170,1997.926,-8.53
171,1997.9532,-33.63
172,1997.9802,23.47
173,1998.0073,10.77
174,1998.0344,-31.03
175,1998.0883,-41.73
176,1998.116,-41.03
177,1998.1431,-70.73
178,1998.1703,-26.53
179,1998.198,-20.93
180,1998.2252,-37.13
181,1998.2523,-79.33
182,1998.2791,-73.33
183,1998.3065,-71.33
184,1998.334,-28.43
185,1998.3607,-54.83
186,1998.4152,-10.63
187,1998.4426,23.17
188,1998.4694,55.27
189,1998.496,61.67
190,1998.5245,24.17
191,1998.5507,48.17
192,1998.6053,46.07
193,1998.6326,11.87
194,1998.6588,25.77
195,1998.6865,36.07
196,1998.7135,59.67
197,1998.741,40.57
198,1998.768,58.97
199,1998.8222,92.87
200,1998.8495,51.17
201,1998.8773,66.07
202,1998.9031,38.87
203,1998.9307,8.67
204,1998.9575,-41.73
205,1998.9849,21.27
206,1999.0116,-22.53
207,1999.0387,-30.03
208,1999.093,-65.73
209,1999.1267,-103.13
210,1999.1472,-100.63
211,1999.1747,-72.43
212,1999.2015,-63.13
213,1999.2298,-15.13
214,1999.2562,-10.33
215,1999.2845,-44.83
216,1999.3384,-85.93
217,1999.3666,-75.83
218,1999.3921,-31.53
219,1999.4188,-23.73
220,1999.4459,-19.23
221,1999.4737,9.77
222,1999.5022,8.27
223,1999.5276,15.77
224,1999.5537,46.37
225,1999.5831,85.37
226,1999.6096,83.87
227,1999.6372,83.17
228,1999.6919,97.17
229,1999.7175,85.47
230,1999.7456,130.97
231,1999.7728,133.07
232,1999.7997,155.97
233,1999.8272,183.57
234,1999.854,132.07
235,1999.881,108.37
236,1999.9078,85.47
237,1999.9622,25.87
238,1999.9896,26.07
239,2000.0164,57.37
240,2000.0432,14.57
241,2000.0705,-24.63
242,2000.0977,-38.13
243,2000.1251,-41.13
244,2000.1522,6.07
245,2000.1793,-17.83
246,2000.2065,-32.23
247,2000.2336,-39.23
248,2000.2878,-80.93
249,2000.3158,-64.73
250,2000.3426,-71.63
251,2000.3703,-65.43
252,2000.3964,-62.23
253,2000.4231,-60.73
254,2000.451,-29.63
255,2000.4782,-47.43
256,2000.5054,-19.53
257,2000.5328,15.47
258,2000.5878,51.57
259,2000.6142,52.37
260,2000.6409,90.67
261,2000.6686,103.47
262,2000.6946,0.07
263,2000.7228,110.67
264,2000.7495,100.57
265,2000.7772,34.97
266,2000.8039,65.47
267,2000.8581,69.67
268,2000.8855,55.37
269,2000.9134,61.77
270,2000.9396,47.17
271,2000.9665,53.47
272,2000.9938,66.77
273,2001.0204,65.47
274,2001.075,3.07
275,2001.1021,-43.03
276,2001.1296,-42.13
277,2001.1566,-46.53
278,2001.1834,-50.33
279,2001.2114,-57.03
280,2001.2386,-41.93
281,2001.2647,-71.13
282,2001.2928,-86.93
283,2001.3202,-86.93
284,2001.3471,-92.33
285,2001.3736,-58.43
286,2001.4018,-58.33
287,2001.4282,-36.33
288,2001.4553,-29.83
289,2001.4828,-12.23
290,2001.5099,-13.93
291,2001.5375,-8.63
292,2001.5644,36.17
293,2001.5915,57.87
294,2001.6188,44.67
295,2001.6457,80.57
296,2001.6721,100.87
297,2001.6999,113.67
298,2001.7273,94.07
299,2001.7545,135.37
300,2001.7818,123.77
301,2001.8087,106.87
302,2001.8359,75.57
303,2001.8631,6.97
304,2001.8908,6.07
305,2001.9169,42.97
306,2001.9571,-79.53
307,2001.9708,-2.03
308,2001.9982,-31.63
309,2002.0248,-25.93
310,2002.0525,-13.0
311,2002.0527,-18.73
312,2002.0793,-52.73
313,2002.0806,-54.7
314,2002.1062,-71.53
315,2002.1068,-65.6
316,2002.134,-37.53
317,2002.1342,-33.7
318,2002.1606,-77.7
319,2002.1609,-74.83
320,2002.1882,-89.4
321,2002.1883,-83.23
322,2002.2155,-101.86500000000001
323,2002.2424,-102.765
324,2002.27,-71.36500000000001
325,2002.2973,-40.7
326,2002.2978,-52.83
327,2002.3232,-52.23
328,2002.3239,-44.1
329,2002.3513,-21.0
330,2002.3519,-15.63
331,2002.3788,5.585
332,2002.4053,4.17
333,2002.4058,6.5
334,2002.4326,-6.83
335,2002.4332,5.0
336,2002.4599,7.67
337,2002.4601,16.8
338,2002.4867,30.07
339,2002.487,30.5
340,2002.5155,34.3
341,2002.5414,65.47
342,2002.5415,60.1
343,2002.569,55.435
344,2002.5954,99.5
345,2002.5967,85.87
346,2002.623,48.9
347,2002.6236,38.47
348,2002.6501,121.4
349,2002.6547,97.47
350,2002.6777,99.8
351,2002.6781,117.47
352,2002.7041,124.3
353,2002.7064,123.87
354,2002.7314,108.47
355,2002.7319,106.9
356,2002.7591,100.38499999999999
357,2002.7859,114.0
358,2002.786,98.87
359,2002.8131,128.6
360,2002.8133,116.37
361,2002.8401,43.97
362,2002.8403,46.3
363,2002.8671,15.27
364,2002.8676,27.0
365,2002.8918,35.5
366,2002.8945,38.27
367,2002.9213,54.2
368,2002.9217,49.67
369,2002.9482,40.7
370,2002.9487,35.57
371,2002.9757,11.685
372,2003.0028,5.3
373,2003.003,-8.03
374,2003.0294,-43.1
375,2003.0302,-52.33
376,2003.0569,-51.73
377,2003.0574,-48.7
378,2003.084,-17.8
379,2003.0845,-19.83
380,2003.1116,-10.5
381,2003.1117,-16.73
382,2003.1381,-44.3
383,2003.1383,-36.63
384,2003.1654,-49.23
385,2003.1655,-45.1
386,2003.1926,-46.8
387,2003.1927,-50.43
388,2003.2198,-73.63
389,2003.2202,-69.2
390,2003.247,-100.4
391,2003.2476,-100.13
392,2003.2747,-85.13
393,2003.2787,-82.7
394,2003.3019,-85.3
395,2003.3027,-86.13
396,2003.3282,-116.73
397,2003.3293,-114.8
398,2003.3559,-78.91499999999999
399,2003.3833,15.1
400,2003.3838,2.47
401,2003.4106,2.57
402,2003.4107,13.4
403,2003.437,6.67
404,2003.4373,8.3
405,2003.4652,37.8
406,2003.4663,23.97
407,2003.4918,-5.83
408,2003.4919,-4.8
409,2003.5188,-4.1
410,2003.5458,34.67
411,2003.5462,43.4
412,2003.5728,29.0
413,2003.5818,43.37
414,2003.6,51.87
415,2003.6007,44.3
416,2003.6273,73.47
417,2003.6275,67.1
418,2003.6546,93.87
419,2003.6548,84.8
420,2003.6819,112.47
421,2003.6821,108.1
422,2003.7091,107.8
423,2003.7096,111.67
424,2003.7362,120.37
425,2003.7365,127.5
426,2003.7632,157.6
427,2003.7634,170.07
428,2003.7906,121.5
429,2003.7912,137.97
430,2003.8175,98.3
431,2003.8179,115.47
432,2003.8446,118.27
433,2003.8447,103.4
434,2003.8715,106.0
435,2003.8722,108.77
436,2003.9106,106.0
437,2003.9118,162.17
438,2003.921,138.67
439,2003.926,104.2
440,2003.9531,3.7
441,2003.9536,20.87
442,2003.98,-41.4
443,2003.9803,-22.93
444,2004.0071,-12.83
445,2004.0073,-8.1
446,2004.0338,46.47
447,2004.0342,42.5
448,2004.0612,-13.8
449,2004.0618,-22.93
450,2004.0886,-47.8
451,2004.089,-50.43
452,2004.1118,-74.1
453,2004.1163,-74.43
454,2004.1434,-88.83
455,2004.1477,-70.7
456,2004.1698,-67.5
457,2004.1703,-69.33
458,2004.1973,-67.9
459,2004.1976,-69.23
460,2004.2246,-69.3
461,2004.225,-59.53
462,2004.248,-17.9
463,2004.2519,-53.13
464,2004.2787,-82.03
465,2004.2788,-73.8
466,2004.306,-55.9
467,2004.3065,-47.43
468,2004.3327,-54.13
469,2004.3333,-44.5
470,2004.3604,17.97
471,2004.3607,11.7
472,2004.3877,47.3
473,2004.3878,42.17
474,2004.4152,28.0
475,2004.4422,-10.8
476,2004.4691,0.8
477,2004.4695,25.07
478,2004.4957,28.67
479,2004.4963,31.5
480,2004.5227,69.17
481,2004.524,65.6
482,2004.5507,76.3
483,2004.5543,85.27
484,2004.5765,93.67
485,2004.5775,101.6
486,2004.6053,118.1
487,2004.6058,131.87
488,2004.6319,134.0
489,2004.6329,132.57
490,2004.6589,111.37
491,2004.6594,108.2
492,2004.6863,119.37
493,2004.6865,117.9
494,2004.713,137.0
495,2004.7135,116.17
496,2004.7407,82.6
497,2004.7429,69.57
498,2004.7678,74.835
499,2004.7944,61.7
500,2004.7945,74.57
501,2004.8217,130.0
502,2004.8219,133.57
503,2004.8485,129.07
504,2004.8492,129.0
505,2004.8756,66.87
506,2004.8765,76.0
507,2004.9034,39.37
508,2004.9036,41.5
509,2004.9305,68.63499999999999
510,2004.9533,103.37
511,2004.9577,105.5
512,2004.985,85.935
513,2005.0119,29.3
514,2005.0134,13.57
515,2005.039,-1.7650000000000001
516,2005.0659,8.6
517,2005.0663,-1.03
518,2005.0932,-2.8
519,2005.0935,2.47
520,2005.12,-2.0
521,2005.1205,0.67
522,2005.1469,-67.93
523,2005.1471,-63.7
524,2005.1746,-93.86500000000001
525,2005.2018,-90.465
526,2005.2285,-98.515
527,2005.2565,-76.63
528,2005.2568,-66.3
529,2005.2837,-47.2
530,2005.2847,-52.63
531,2005.3088,-62.43
532,2005.3107,-52.4
533,2005.3362,-46.83
534,2005.3379,-30.5
535,2005.3647,-41.73
536,2005.365,-28.8
537,2005.3921,-49.83
538,2005.3926,-41.4
539,2005.4195,-67.33
540,2005.4196,-57.7
541,2005.4465,-43.53
542,2005.4469,-25.0
543,2005.4735,-33.23
544,2005.4741,-18.4
545,2005.5013,25.0
546,2005.5019,6.27
547,2005.5277,-25.2
548,2005.528,-21.93
549,2005.5547,-11.33
550,2005.5549,-1.1
551,2005.5823,64.0
552,2005.5824,54.37
553,2005.6099,25.67
554,2005.6101,33.2
555,2005.6365,38.2
556,2005.6368,35.37
557,2005.6637,41.47
558,2005.6638,44.5
559,2005.6897,39.57
560,2005.6909,43.2
561,2005.7128,72.8
562,2005.7176,77.17
563,2005.745,62.37
564,2005.7506,62.4
565,2005.7722,44.4
566,2005.7993,70.4
567,2005.8265,35.9
568,2005.8541,59.2
569,2005.881,91.6
570,2005.9081,59.0
571,2005.9348,53.3
572,2005.9621,-40.7
573,2005.9892,5.3
574,2006.0163,10.4
575,2006.0433,-14.5
576,2006.0705,17.5
577,2006.0977,-12.9
578,2006.1249,-53.1
579,2006.152,-89.6
580,2006.1793,-100.3
581,2006.2062,-132.7
582,2006.2335,-64.0
583,2006.2605,-44.0
584,2006.2883,-74.4
585,2006.3152,-75.1
586,2006.3424,-60.6
587,2006.3694,-67.3
588,2006.3968,-29.9
589,2006.4235,-18.6
590,2006.4506,1.1
591,2006.4784,-38.2
592,2006.505,-39.9
593,2006.5325,14.4
594,2006.5596,10.3
595,2006.5868,32.2
596,2006.6141,57.9
597,2006.6406,36.2
598,2006.6679,73.8
599,2006.695,62.7
600,2006.7222,57.3
601,2006.7495,111.8
602,2006.7768,145.8
603,2006.8039,116.7
604,2006.8242,48.8
605,2006.8887,43.1
606,2006.9122,57.1
607,2006.9391,44.1
608,2006.966,36.8
609,2006.9935,49.3
610,2007.0206,14.1
611,2007.0479,0.6
612,2007.0748,-49.9
613,2007.1019,-80.5
614,2007.1295,-65.9
615,2007.1564,-48.4
616,2007.1837,-17.4
617,2007.2107,24.4
618,2007.238,37.4
619,2007.2649,-37.0
620,2007.2921,-32.1
621,2007.3198,-41.9
622,2007.3466,-23.5
623,2007.3741,1.9
624,2007.4011,-2.6
625,2007.4284,-1.4
626,2007.4551,-8.2
627,2007.4826,-1.2
628,2007.51,-12.5
629,2007.537,-20.9
630,2007.5644,20.4
631,2007.591,84.3
632,2007.6182,130.4
633,2007.6452,95.1
634,2007.6728,84.8
635,2007.6998,94.5
636,2007.727,62.1
637,2007.7539,84.9
638,2007.7813,54.6
639,2007.808,40.6
640,2007.8355,62.4
641,2007.863,136.7
642,2007.8898,91.2
643,2007.917,75.2
644,2007.9438,61.1
645,2007.9709,36.1
646,2007.9983,27.8
647,2008.0254,-24.6
648,2008.0521,6.9
649,2008.0793,-23.1
650,2008.1067,-38.8
651,2008.1339,-33.8
652,2008.1608,-63.5
653,2008.1884,-56.0
654,2008.2158,-52.8
655,2008.2425,-21.0
656,2008.2697,-34.6
657,2008.2959,-29.5
658,2008.3242,-27.5
659,2008.3434,-5.2
660,2008.3786,3.6
661,2008.4063,-22.6
662,2008.4322,-3.8
663,2008.4598,-0.5
664,2008.4869,-48.9
665,2008.5137,-22.6
666,2008.5184,-9.24
667,2008.5416,20.5
668,2008.5431,36.06
669,2008.5684,31.1
670,2008.5692,35.46
671,2008.5917,38.8
672,2008.5959,52.76
673,2008.6234,112.26
674,2008.6499,12.3
675,2008.6508,3.76
676,2008.6769,13.9
677,2008.6779,28.16
678,2008.7043,24.0
679,2008.7046,40.96
680,2008.7315,45.5
681,2008.7319,52.26
682,2008.7583,61.9
683,2008.759,83.86
684,2008.7855,86.0
685,2008.7866,115.86
686,2008.8131,106.5
687,2008.8134,113.06
688,2008.8401,38.1
689,2008.8405,44.26
690,2008.8666,89.0
691,2008.8674,113.16
692,2008.894,49.5
693,2008.8947,56.16
694,2008.9219,51.66
695,2008.9221,54.5
696,2008.9483,48.9
697,2008.949,35.96
698,2008.9754,5.3
699,2008.976,-4.94
700,2009.0028,-3.0
701,2009.0032,4.76
702,2009.0297,26.8
703,2009.0309,15.06
704,2009.0573,-42.7
705,2009.0575,-49.34
706,2009.0846,-59.34
707,2009.1106,-17.74
708,2009.127,1.5
709,2009.139,-14.44
710,2009.1518,-45.3
711,2009.1662,-48.44
712,2009.179,-74.3
713,2009.1933,-71.94
714,2009.2061,-69.4
715,2009.2203,-58.34
716,2009.2335,-51.9
717,2009.2477,-51.94
718,2009.2607,-70.5
719,2009.2745,-65.34
720,2009.2877,-52.5
721,2009.3013,-33.74
722,2009.3148,-29.8
723,2009.3292,-48.24
724,2009.3414,-27.4
