,time,sea_level_altitude
0,1992.8255,39.33
1,1992.8491,22.71
2,1992.8766,-5.47
3,1992.9042,3.76
4,1992.9302,12.64
5,1992.9593,-62.14
6,1992.9852,-28.33
7,1993.0117,-0.48
8,1993.0404,4.77
9,1993.0625,-42.8
10,1993.0958,-88.64
11,1993.1198,-72.93
12,1993.149,-17.43
13,1993.1748,-22.48
14,1993.2023,4.38
15,1993.2294,15.1
16,1993.284,40.89
17,1993.3108,47.89
18,1993.3381,4.65
19,1993.3665,-1.19
20,1993.3926,-9.5
21,1993.4202,-10.81
22,1993.447,-65.93
23,1993.4738,-69.36
24,1993.5012,-51.38
25,1993.5284,-27.42
26,1993.5835,-68.4
27,1993.611,-75.81
28,1993.6364,-50.95
29,1993.664,-69.49
30,1993.6915,-61.23
31,1993.7181,-60.86
32,1993.7455,8.66
33,1993.7729,-6.11
34,1993.7997,12.71
35,1993.8541,-70.33
36,1993.8814,-11.32
37,1993.9087,-107.55
38,1993.9352,-67.86
39,1993.9628,-44.73
40,1993.989,-6.48
41,1994.0164,-12.86
42,1994.0437,38.18
43,1994.0709,10.07
44,1994.0978,-32.35
45,1994.1255,-23.7
46,1994.1533,-17.9
47,1994.1792,-10.11
48,1994.234,6.68
49,1994.2616,5.7
50,1994.2892,32.86
51,1994.3176,42.82
52,1994.3431,-9.19
53,1994.3702,-63.05
54,1994.3969,-23.71
55,1994.4242,-31.82
56,1994.4509,-35.36
57,1994.5058,-44.97
58,1994.5333,-21.91
59,1994.5607,-18.91
60,1994.5873,2.16
61,1994.6151,38.05
62,1994.6414,43.36
63,1994.669,34.74
64,1994.6954,14.26
65,1994.7227,27.19
66,1994.7497,-41.12
67,1994.7763,-17.2
68,1994.8045,-25.21
69,1994.8314,-13.95
70,1994.8857,-9.32
71,1994.913,-50.33
72,1994.94,-0.14
73,1994.9668,3.74
74,1994.994,9.19
75,1995.0207,-52.76
76,1995.048,-4.58
77,1995.0752,40.18
78,1995.1028,30.15
79,1995.13,44.93
80,1995.1567,30.6
81,1995.2114,-10.02
82,1995.2382,-28.98
83,1995.2663,-23.35
84,1995.2926,17.59
85,1995.3202,13.49
86,1995.3742,4.98
87,1995.4015,3.54
88,1995.4289,-43.31
89,1995.4562,-37.97
90,1995.4835,-24.83
91,1995.5372,-31.35
92,1995.5652,-2.32
93,1995.592,-42.56
94,1995.6189,-54.64
95,1995.6458,-11.66
96,1995.6728,-66.6
97,1995.7002,-84.3
98,1995.7276,-1.53
99,1995.754,2.06
100,1995.7816,-1.79
101,1995.836,-113.68
102,1995.8638,-130.59
103,1995.8902,-20.5
104,1995.9443,35.75
105,1995.9714,19.43
106,1995.9986,-21.87
107,1996.0258,-12.59
108,1996.0518,6.5
109,1996.0794,-28.08
110,1996.1063,-35.6
111,1996.1618,-52.81
112,1996.1886,-58.56
113,1996.2124,-56.35
114,1996.2428,-40.39
115,1996.2707,-44.62
116,1996.2977,-14.91
117,1996.3245,-14.16
118,1996.3513,30.8
119,1996.3783,-5.94
120,1996.406,-17.81
121,1996.4331,4.95
122,1996.4874,-32.03
123,1996.5147,-84.15
124,1996.542,-14.11
125,1996.5691,-25.04
126,1996.5966,-26.62
127,1996.6231,-32.67
128,1996.6508,-54.85
129,1996.6782,-51.36
130,1996.7047,-41.42
131,1996.7328,-9.29
132,1996.7589,19.52
133,1996.8133,-4.74
134,1996.8409,2.65
135,1996.8681,13.41
136,1996.8945,-23.22
137,1996.922,-7.8
138,1996.9489,-52.0
139,1996.9759,-27.74
140,1997.0031,18.11
141,1997.03,-19.98
142,1997.0575,-9.82
143,1997.084,24.77
144,1997.1388,39.89
145,1997.1658,42.42
146,1997.193,23.65
147,1997.2207,9.6
148,1997.2478,-35.95
149,1997.2752,-18.05
150,1997.3021,21.62
151,1997.329,1.93
152,1997.3552,-15.7
153,1997.3833,1.15
154,1997.4107,1.74
155,1997.4649,-15.72
156,1997.4922,11.95
157,1997.519,37.66
158,1997.5465,14.17
159,1997.5737,16.42
160,1997.6274,14.59
161,1997.6552,6.42
162,1997.6826,6.13
163,1997.7094,-59.11
164,1997.7363,-3.31
165,1997.7907,-52.04
166,1997.8179,-53.46
167,1997.8452,-55.14
168,1997.8723,-52.87
169,1997.8987,-12.04
170,1997.926,-42.34
171,1997.9532,-53.69
172,1997.9802,17.39
173,1998.0073,18.52
174,1998.0344,-10.11
175,1998.0883,1.87
176,1998.116,11.84
177,1998.1431,-10.57
178,1998.1703,39.1
179,1998.198,48.37
180,1998.2252,33.97
181,1998.2523,-8.15
182,1998.2791,-3.67
183,1998.3065,-4.78
184,1998.334,33.47
185,1998.3607,1.17
186,1998.4152,29.32
187,1998.4426,53.18
188,1998.4694,74.5
189,1998.496,69.35
190,1998.5245,18.8
191,1998.5507,30.49
192,1998.6053,3.35
193,1998.6326,-42.17
194,1998.6588,-37.8
195,1998.6865,-35.69
196,1998.7135,-17.82
197,1998.741,-40.17
198,1998.768,-22.22
199,1998.8222,19.13
200,1998.8495,-14.86
201,1998.8773,10.21
202,1998.9031,-5.85
203,1998.9307,-22.81
204,1998.9575,-59.57
205,1998.9849,17.61
206,1999.0116,-12.63
207,1999.0387,-7.11
208,1999.093,-20.43
209,1999.1267,-47.16
210,1999.1472,-39.53
211,1999.1747,-6.09
212,1999.2015,6.51
213,1999.2298,56.1
214,1999.2562,60.73
