,time,sea_level_altitude
0,1992.8255,39.18
1,1992.8491,22.56
2,1992.8766,-5.62
3,1992.9042,3.61
4,1992.9302,12.5
5,1992.9593,-62.29
6,1992.9852,-28.48
7,1993.0117,-0.63
8,1993.0404,4.63
9,1993.0625,-42.94
10,1993.0958,-88.79
11,1993.1198,-73.07
12,1993.149,-17.57
13,1993.1748,-22.62
14,1993.2023,4.23
15,1993.2294,14.95
16,1993.284,40.74
17,1993.3108,47.74
18,1993.3381,4.51
19,1993.3665,-1.33
20,1993.3926,-9.64
21,1993.4202,-10.95
22,1993.447,-66.07
23,1993.4738,-69.5
24,1993.5012,-51.53
25,1993.5284,-27.56
26,1993.5835,-68.55
27,1993.611,-75.96
28,1993.6364,-51.09
29,1993.664,-69.64
30,1993.6915,-61.37
31,1993.7181,-61.0
32,1993.7455,8.51
33,1993.7729,-6.25
34,1993.7997,12.56
35,1993.8541,-70.47
36,1993.8814,-11.46
37,1993.9087,-107.7
38,1993.9352,-68.0
39,1993.9628,-44.88
40,1993.989,-6.62
41,1994.0164,-13.01
42,1994.0437,38.03
43,1994.0709,9.92
44,1994.0978,-32.49
45,1994.1255,-23.84
46,1994.1533,-18.05
47,1994.1792,-10.26
48,1994.234,6.54
49,1994.2616,5.56
50,1994.2892,32.72
51,1994.3176,42.68
52,1994.3431,-9.33
53,1994.3702,-63.19
54,1994.3969,-23.86
55,1994.4242,-31.96
56,1994.4509,-35.5
57,1994.5058,-45.12
58,1994.5333,-22.06
59,1994.5607,-19.06
60,1994.5873,2.02
61,1994.6151,37.9
62,1994.6414,43.21
63,1994.669,34.59
64,1994.6954,14.11
65,1994.7227,27.04
66,1994.7497,-41.27
67,1994.7763,-17.35
68,1994.8045,-25.35
69,1994.8314,-14.09
70,1994.8857,-9.47
71,1994.913,-50.47
72,1994.94,-0.28
73,1994.9668,3.6
74,1994.994,9.04
75,1995.0207,-52.9
76,1995.048,-4.73
77,1995.0752,40.04
78,1995.1028,30.0
79,1995.13,44.79
80,1995.1567,30.45
81,1995.2114,-10.17
82,1995.2382,-29.13
83,1995.2663,-23.49
84,1995.2926,17.44
85,1995.3202,13.34
86,1995.3742,4.84
87,1995.4015,3.39
88,1995.4289,-43.45
89,1995.4562,-38.12
90,1995.4835,-24.97
91,1995.5372,-31.49
92,1995.5652,-2.47
93,1995.592,-42.71
94,1995.6189,-54.79
95,1995.6458,-11.81
96,1995.6728,-66.75
97,1995.7002,-84.44
98,1995.7276,-1.68
99,1995.754,1.92
100,1995.7816,-1.94
101,1995.836,-113.83
102,1995.8638,-130.74
103,1995.8902,-20.64
104,1995.9443,35.6
105,1995.9714,19.28
106,1995.9986,-22.01
107,1996.0258,-12.74
108,1996.0518,6.35
109,1996.0794,-28.22
110,1996.1063,-35.74
111,1996.1618,-52.96
112,1996.1886,-58.71
113,1996.2124,-56.5
114,1996.2428,-40.53
115,1996.2707,-44.77
116,1996.2977,-15.06
117,1996.3245,-14.3
118,1996.3513,30.66
119,1996.3783,-6.09
120,1996.406,-17.96
121,1996.4331,4.81
122,1996.4874,-32.18
123,1996.5147,-84.3
124,1996.542,-14.25
125,1996.5691,-25.19
126,1996.5966,-26.77
127,1996.6231,-32.82
128,1996.6508,-55.0
129,1996.6782,-51.51
130,1996.7047,-41.56
131,1996.7328,-9.44
132,1996.7589,19.37
133,1996.8133,-4.89
134,1996.8409,2.5
135,1996.8681,13.27
136,1996.8945,-23.36
137,1996.922,-7.94
138,1996.9489,-52.15
139,1996.9759,-27.89
140,1997.0031,17.96
141,1997.03,-20.13
142,1997.0575,-9.97
143,1997.084,24.63
144,1997.1388,39.75
145,1997.1658,42.28
146,1997.193,23.5
147,1997.2207,9.45
148,1997.2478,-36.09
149,1997.2752,-18.2
150,1997.3021,21.47
151,1997.329,1.78
152,1997.3552,-15.85
153,1997.3833,1.0
154,1997.4107,1.59
155,1997.4649,-15.87
156,1997.4922,11.8
157,1997.519,37.51
158,1997.5465,14.03
159,1997.5737,16.27
160,1997.6274,14.44
161,1997.6552,6.27
162,1997.6826,5.99
163,1997.7094,-59.25
164,1997.7363,-3.46
165,1997.7907,-52.19
166,1997.8179,-53.6
167,1997.8452,-55.28
168,1997.8723,-53.02
169,1997.8987,-12.19
170,1997.926,-42.48
171,1997.9532,-53.84
172,1997.9802,17.24
173,1998.0073,18.38
174,1998.0344,-10.26
175,1998.0883,1.73
176,1998.116,11.7
177,1998.1431,-10.72
178,1998.1703,38.95
179,1998.198,48.23
180,1998.2252,33.83
181,1998.2523,-8.29
182,1998.2791,-3.81
183,1998.3065,-4.93
184,1998.334,33.33
185,1998.3607,1.03
186,1998.4152,29.17
187,1998.4426,53.03
188,1998.4694,74.35
189,1998.496,69.21
190,1998.5245,18.66
191,1998.5507,30.35
192,1998.6053,3.2
193,1998.6326,-42.32
194,1998.6588,-37.94
195,1998.6865,-35.83
196,1998.7135,-17.97
197,1998.741,-40.32
198,1998.768,-22.37
199,1998.8222,18.98
200,1998.8495,-15.01
201,1998.8773,10.07
202,1998.9031,-5.99
203,1998.9307,-22.95
204,1998.9575,-59.72
205,1998.9849,17.47
206,1999.0116,-12.78
207,1999.0387,-7.26
208,1999.093,-20.58
209,1999.1267,-47.31
210,1999.1472,-39.67
211,1999.1747,-6.24
212,1999.2015,6.36
213,1999.2298,55.96
214,1999.2562,60.58
215,1999.2845,24.2
216,1999.3384,-25.05
217,1999.3666,-21.46
218,1999.3921,15.71
219,1999.4188,14.83
220,1999.4459,9.36
221,1999.4737,27.04
222,1999.5022,13.02
223,1999.5276,8.81
224,1999.5537,27.13
225,1999.5831,52.43
226,1999.6096,39.14
227,1999.6372,27.2
228,1999.6919,23.93
229,1999.7175,7.19
230,1999.7456,49.81
231,1999.7728,51.94
232,1999.7997,77.66
233,1999.8272,110.91
234,1999.854,67.39
235,1999.881,53.87
236,1999.9078,42.78
237,1999.9622,10.31
238,1999.9896,24.69
239,2000.0164,69.49
240,2000.0432,39.41
241,2000.0705,11.96
242,2000.0977,8.67
243,2000.1251,14.25
244,2000.1522,68.12
245,2000.1793,49.05
246,2000.2065,37.68
247,2000.2336,31.93
248,2000.2878,-12.23
249,2000.3158,0.27
250,2000.3426,-11.63
251,2000.3703,-12.02
252,2000.3964,-16.31
253,2000.4231,-23.67
254,2000.451,-3.04
255,2000.4782,-32.08
256,2000.5054,-16.24
257,2000.5328,6.07
258,2000.5878,16.49
259,2000.6142,5.68
260,2000.6409,33.3
261,2000.6686,36.62
262,2000.6946,-73.8
263,2000.7228,31.63
264,2000.7495,19.24
265,2000.7772,-45.88
266,2000.8039,-12.15
267,2000.8581,6.41
268,2000.8855,2.75
269,2000.9134,21.72
270,2000.9396,20.02
271,2000.9665,40.14
272,2000.9938,67.54
273,2001.0204,79.55
274,2001.075,41.46
275,2001.1021,5.27
276,2001.1296,14.48
277,2001.1566,16.43
278,2001.1834,17.13
279,2001.2114,13.23
280,2001.2386,29.27
281,2001.2647,-0.6
282,2001.2928,-18.78
283,2001.3202,-22.66
284,2001.3471,-33.3
285,2001.3736,-5.9
286,2001.4018,-14.1
287,2001.4282,-1.1
288,2001.4553,-4.96
289,2001.4828,1.13
290,2001.5099,-12.69
291,2001.5375,-20.23
292,2001.5644,11.91
293,2001.5915,21.12
294,2001.6188,-3.95
295,2001.6457,21.43
296,2001.6721,32.96
297,2001.6999,38.62
298,2001.7273,14.46
299,2001.7545,53.91
300,2001.7818,43.28
301,2001.8087,30.11
302,2001.8359,5.25
303,2001.8631,-54.5
304,2001.8908,-44.28
305,2001.9169,4.59
306,2001.9571,-97.72
307,2001.9708,-13.13
308,2001.9982,-28.62
309,2002.0248,-9.72
310,2002.0525,23.4
311,2002.0527,10.35
312,2002.0793,-12.66
313,2002.0806,-5.13
314,2002.1062,-21.88
315,2002.1068,-5.94
316,2002.134,20.24
317,2002.1342,34.0
318,2002.1606,-4.76
319,2002.1609,-11.03
320,2002.1882,-13.57
321,2002.1883,-15.14
322,2002.2155,-28.479999999999997
323,2002.2424,-29.884999999999998
324,2002.27,-0.7850000000000001
325,2002.2973,25.12
326,2002.2978,14.73
327,2002.3232,11.53
328,2002.3239,15.51
329,2002.3513,31.21
330,2002.3519,42.32
331,2002.3788,53.1
332,2002.4053,47.27
333,2002.4058,41.57
334,2002.4326,26.79
335,2002.4332,30.43
336,2002.4599,30.68
337,2002.4601,32.15
338,2002.4867,41.73
339,2002.487,35.2
340,2002.5155,27.14
341,2002.5414,52.03
342,2002.5415,41.73
343,2002.569,27.0
344,2002.5954,57.47
345,2002.5967,46.79
346,2002.623,-4.8
347,2002.6236,-12.12
348,2002.6501,57.09
349,2002.6547,35.14
350,2002.6777,26.06
351,2002.6781,47.82
352,2002.7041,43.32
353,2002.7064,47.51
354,2002.7314,28.4
355,2002.7319,20.67
356,2002.7591,15.34
357,2002.7859,26.06
358,2002.786,18.78
359,2002.8131,44.48
360,2002.8133,40.51
361,2002.8401,-25.14
362,2002.8403,-30.84
363,2002.8671,-44.71
364,2002.8676,-40.15
365,2002.8918,-20.62
366,2002.8945,-10.46
367,2002.9213,13.75
368,2002.9217,13.61
369,2002.9482,16.01
370,2002.9487,13.05
371,2002.9757,3.465
372,2003.0028,13.92
373,2003.003,-2.59
374,2003.0294,-19.04
375,2003.0302,-33.54
376,2003.0569,-20.82
377,2003.0574,-9.84
378,2003.084,33.21
379,2003.0845,22.22
380,2003.1116,50.76
381,2003.1117,34.68
382,2003.1381,24.33
383,2003.1383,22.22
384,2003.1654,15.4
385,2003.1655,28.54
386,2003.1926,29.25
387,2003.1927,18.17
388,2003.2198,-2.89
389,2003.2202,6.9
390,2003.247,-26.32
391,2003.2476,-28.99
392,2003.2747,-15.26
393,2003.2787,-13.23
394,2003.3019,-20.48
395,2003.3027,-19.21
396,2003.3282,-53.87
397,2003.3293,-56.57
398,2003.3559,-24.965
399,2003.3833,57.59
400,2003.3838,52.16
401,2003.4106,43.92
402,2003.4107,46.8
403,2003.437,38.66
404,2003.4373,32.24
405,2003.4652,51.18
406,2003.4663,44.35
407,2003.4918,3.58
408,2003.4919,-2.1
409,2003.5188,-12.66
410,2003.5458,19.16
411,2003.5462,22.97
412,2003.5728,-3.14
413,2003.5818,11.03
414,2003.6,11.32
415,2003.6007,-0.01
416,2003.6273,21.38
417,2003.6275,11.57
418,2003.6546,31.58
419,2003.6548,18.77
420,2003.6819,41.78
421,2003.6821,33.02
422,2003.7091,25.68
423,2003.7096,34.71
424,2003.7362,39.85
425,2003.7365,40.67
426,2003.7632,68.92
427,2003.7634,88.61
428,2003.7906,33.99
429,2003.7912,58.47
430,2003.8175,15.1
431,2003.8179,40.6
432,2003.8446,50.53
433,2003.8447,27.68
434,2003.8715,40.5
435,2003.8722,50.74
436,2003.9106,59.63
437,2003.9118,121.36
438,2003.921,102.27
439,2003.926,66.43
440,2003.9531,-18.02
441,2003.9536,0.87
442,2003.98,-46.64
