,time,sea_level_altitude
0,1992.8255,112.12
1,1992.8491,88.72
2,1992.8766,50.52
3,1992.9042,47.82
4,1992.9302,44.22
5,1992.9593,-45.38
6,1992.9852,-24.98
7,1993.0117,-10.58
8,1993.0404,-19.08
9,1993.0625,-76.38
10,1993.0958,-135.08
11,1993.1198,-127.08
12,1993.149,-79.08
13,1993.1748,-88.98
14,1993.2023,-65.48
15,1993.2294,-56.28
16,1993.284,-28.48
17,1993.3108,-18.18
18,1993.3381,-56.58
19,1993.3665,-55.88
20,1993.3926,-56.88
21,1993.4202,-49.18
22,1993.447,-94.38
23,1993.4738,-86.88
24,1993.5012,-56.88
25,1993.5284,-20.38
26,1993.5835,-35.58
27,1993.611,-30.78
28,1993.6364,4.42
29,1993.664,-4.38
30,1993.6915,11.62
31,1993.7181,17.22
32,1993.7455,89.52
33,1993.7729,74.72
34,1993.7997,90.72
35,1993.8541,-5.98
36,1993.8814,42.72
37,1993.9087,-65.58
38,1993.9352,-38.78
39,1993.9628,-29.78
40,1993.989,-5.08
41,1994.0164,-25.28
42,1994.0437,12.82
43,1994.0709,-26.98
44,1994.0978,-79.48
45,1994.1255,-79.48
46,1994.1533,-80.48
47,1994.1792,-77.28
48,1994.234,-64.78
49,1994.2616,-65.28
50,1994.2892,-35.98
51,1994.3176,-22.18
52,1994.3431,-69.38
53,1994.3702,-116.78
54,1994.3969,-69.78
55,1994.4242,-68.78
56,1994.4509,-62.28
57,1994.5058,-48.38
58,1994.5333,-12.58
59,1994.5607,3.32
60,1994.5873,36.72
61,1994.6151,84.82
62,1994.6414,100.62
63,1994.669,101.42
64,1994.6954,88.02
65,1994.7227,105.92
66,1994.7497,39.92
67,1994.7763,63.42
68,1994.8045,52.02
69,1994.8314,57.32
70,1994.8857,42.92
71,1994.913,-10.38
72,1994.94,26.52
73,1994.9668,16.62
74,1994.994,8.02
75,1995.0207,-67.28
76,1995.048,-31.88
77,1995.0752,1.42
78,1995.1028,-18.68
79,1995.13,-12.08
80,1995.1567,-32.68
81,1995.2114,-80.58
82,1995.2382,-100.48
83,1995.2663,-94.08
84,1995.2926,-50.88
85,1995.3202,-51.08
86,1995.3742,-47.68
87,1995.4015,-41.08
88,1995.4289,-78.58
89,1995.4562,-62.78
90,1995.4835,-38.18
91,1995.5372,-20.18
92,1995.5652,22.02
93,1995.592,-5.88
94,1995.6189,-6.28
95,1995.6458,47.22
