,time,sea_level_altitude
0,1992.8253,-14.41
1,1992.849,-18.11
2,1992.8779,-32.21
3,1992.9039,-15.41
4,1992.9296,-10.71
5,1992.9589,10.59
6,1992.9859,-36.91
7,1993.0121,-34.51
8,1993.0408,-37.51
9,1993.0637,-38.31
10,1993.097,-34.01
11,1993.1198,-24.31
12,1993.1504,10.89
13,1993.1751,-8.01
14,1993.2051,19.49
15,1993.2308,-17.61
16,1993.2851,-32.91
17,1993.3128,-26.91
18,1993.3394,-36.01
19,1993.3664,-39.81
20,1993.3929,-34.01
21,1993.4199,-24.91
22,1993.447,-41.71
23,1993.4735,-32.51
24,1993.5006,-23.41
25,1993.5287,-28.31
26,1993.5827,-14.21
27,1993.6108,-22.21
28,1993.6371,-21.81
29,1993.664,19.59
30,1993.6915,-9.61
31,1993.7184,-28.61
32,1993.7461,-3.71
33,1993.773,-17.11
34,1993.7998,-32.31
35,1993.8544,-18.81
36,1993.8818,-39.31
37,1993.9086,-59.61
38,1993.9349,-61.01
39,1993.9627,18.99
40,1993.9893,8.19
41,1994.0162,2.19
42,1994.0429,-7.11
43,1994.07,-25.01
44,1994.097,-50.51
45,1994.1267,-22.61
46,1994.153,7.39
47,1994.1813,1.99
48,1994.2325,-44.71
49,1994.263,-11.51
50,1994.2892,-34.61
51,1994.3167,-47.21
52,1994.3444,-69.31
53,1994.3704,-51.01
54,1994.397,-48.81
55,1994.4244,-61.11
56,1994.4516,-37.51
57,1994.5056,-20.81
58,1994.5328,-35.71
59,1994.5594,-6.21
60,1994.5874,-36.21
61,1994.6143,-30.01
62,1994.6412,21.69
63,1994.6684,24.29
64,1994.6953,24.69
65,1994.7227,20.69
66,1994.7502,17.59
67,1994.7769,-3.51
68,1994.8045,-7.61
69,1994.8314,20.59
70,1994.8859,-48.41
71,1994.9126,-21.51
72,1994.9401,-22.51
73,1994.9671,-1.21
74,1994.9939,3.19
75,1995.0225,-11.61
76,1995.0476,5.69
77,1995.0755,26.59
78,1995.1014,26.49
