,time,sea_level_altitude
0,1992.8253,-24.43
1,1992.849,-27.85
2,1992.8779,-42.04
3,1992.9039,-25.67
4,1992.9296,-21.6
5,1992.9589,-1.05
6,1992.9859,-49.02
7,1993.0121,-46.64
8,1993.0408,-48.91
9,1993.0637,-48.46
10,1993.097,-41.15
11,1993.1198,-28.6
12,1993.1504,11.29
13,1993.1751,-3.32
14,1993.2051,29.65
15,1993.2308,-2.89
16,1993.2851,-10.4
17,1993.3128,-2.04
18,1993.3394,-10.2
19,1993.3664,-14.45
20,1993.3929,-10.46
21,1993.4199,-4.43
22,1993.447,-25.33
23,1993.4735,-20.81
24,1993.5006,-16.82
25,1993.5287,-26.96
26,1993.5827,-21.41
27,1993.6108,-32.57
28,1993.6371,-34.17
29,1993.664,6.12
30,1993.6915,-23.34
31,1993.7184,-41.95
32,1993.7461,-16.21
33,1993.773,-28.63
34,1993.7998,-42.94
35,1993.8544,-28.54
36,1993.8818,-49.19
37,1993.9086,-69.98
38,1993.9349,-72.05
39,1993.9627,7.26
40,1993.9893,-3.95
41,1994.0162,-9.89
42,1994.0429,-18.42
43,1994.07,-34.69
44,1994.097,-57.65
45,1994.1267,-25.92
46,1994.153,8.22
47,1994.1813,7.8
48,1994.2325,-29.7
49,1994.263,8.25
50,1994.2892,-11.67
51,1994.3167,-22.12
52,1994.3444,-43.47
53,1994.3704,-25.84
54,1994.397,-25.65
55,1994.4244,-41.25
56,1994.4516,-21.91
57,1994.5056,-15.17
58,1994.5328,-35.09
59,1994.5594,-10.07
60,1994.5874,-44.01
61,1994.6143,-40.69
62,1994.6412,9.1
63,1994.6684,10.73
64,1994.6953,10.98
65,1994.7227,7.46
66,1994.7502,5.24
67,1994.7769,-14.9
68,1994.8045,-18.11
69,1994.8314,10.67
70,1994.8859,-58.35
71,1994.9126,-31.97
72,1994.9401,-33.68
73,1994.9671,-13.03
74,1994.9939,-8.98
75,1995.0225,-23.58
76,1995.0476,-5.41
77,1995.0755,17.35
78,1995.1014,19.86
79,1995.132,68.67
80,1995.1563,6.48
81,1995.211,-6.48
82,1995.2385,-50.5
83,1995.2669,-3.91
84,1995.2939,11.59
85,1995.3199,1.04
86,1995.3749,1.01
87,1995.4019,16.55
88,1995.4288,-12.48
89,1995.455,-4.19
90,1995.4838,8.66
91,1995.5375,14.97
