,time,sea_level_altitude
0,1992.8253,-24.66
1,1992.849,-28.09
2,1992.8779,-42.28
3,1992.9039,-25.91
4,1992.9296,-21.84
5,1992.9589,-1.29
6,1992.9859,-49.26
7,1993.0121,-46.87
8,1993.0408,-49.14
9,1993.0637,-48.69
10,1993.097,-41.38
11,1993.1198,-28.83
12,1993.1504,11.06
13,1993.1751,-3.55
14,1993.2051,29.42
15,1993.2308,-3.12
16,1993.2851,-10.63
17,1993.3128,-2.27
18,1993.3394,-10.43
19,1993.3664,-14.68
20,1993.3929,-10.69
21,1993.4199,-4.66
22,1993.447,-25.57
23,1993.4735,-21.05
24,1993.5006,-17.05
25,1993.5287,-27.19
26,1993.5827,-21.65
27,1993.6108,-32.8
28,1993.6371,-34.4
29,1993.664,5.89
30,1993.6915,-23.58
31,1993.7184,-42.18
32,1993.7461,-16.44
33,1993.773,-28.87
34,1993.7998,-43.17
35,1993.8544,-28.77
36,1993.8818,-49.42
37,1993.9086,-70.21
38,1993.9349,-72.28
39,1993.9627,7.03
40,1993.9893,-4.19
41,1994.0162,-10.12
42,1994.0429,-18.66
43,1994.07,-34.93
44,1994.097,-57.88
45,1994.1267,-26.15
46,1994.153,7.99
47,1994.1813,7.57
48,1994.2325,-29.93
49,1994.263,8.02
50,1994.2892,-11.9
51,1994.3167,-22.35
52,1994.3444,-43.7
53,1994.3704,-26.07
54,1994.397,-25.88
55,1994.4244,-41.48
56,1994.4516,-22.14
57,1994.5056,-15.4
58,1994.5328,-35.33
59,1994.5594,-10.3
60,1994.5874,-44.24
61,1994.6143,-40.92
62,1994.6412,8.87
63,1994.6684,10.49
64,1994.6953,10.75
65,1994.7227,7.23
66,1994.7502,5.0
67,1994.7769,-15.13
68,1994.8045,-18.34
69,1994.8314,10.44
70,1994.8859,-58.58
71,1994.9126,-32.2
72,1994.9401,-33.91
73,1994.9671,-13.26
74,1994.9939,-9.22
75,1995.0225,-23.81
76,1995.0476,-5.64
77,1995.0755,17.12
78,1995.1014,19.63
79,1995.132,68.44
80,1995.1563,6.25
81,1995.211,-6.71
82,1995.2385,-50.73
83,1995.2669,-4.15
84,1995.2939,11.36
85,1995.3199,0.81
86,1995.3749,0.78
87,1995.4019,16.32
88,1995.4288,-12.71
89,1995.455,-4.42
90,1995.4838,8.43
91,1995.5375,14.74
92,1995.5646,-1.3
93,1995.5917,-50.47
94,1995.6187,-28.1
95,1995.6457,1.24
96,1995.6731,-7.59
97,1995.7004,8.0
98,1995.7272,19.95
99,1995.7551,12.88
100,1995.7818,-30.25
101,1995.8362,33.71
102,1995.8638,18.53
103,1995.8898,52.06
104,1995.9449,40.86
105,1995.9715,8.65
106,1995.9993,47.17
107,1996.0256,67.46
108,1996.0531,6.95
109,1996.0808,17.28
110,1996.1079,39.11
111,1996.1618,-10.61
112,1996.1883,10.34
113,1996.2132,-32.02
114,1996.2454,8.39
115,1996.271,17.79
116,1996.2974,21.28
117,1996.3249,32.63
118,1996.3533,39.22
119,1996.3783,47.27
120,1996.4061,-15.25
121,1996.4332,18.33
122,1996.4871,-16.99
123,1996.5142,4.78
124,1996.5419,22.38
125,1996.5687,0.49
126,1996.5962,7.61
127,1996.6237,-2.6
128,1996.651,-5.09
129,1996.6776,-8.14
130,1996.7045,41.75
131,1996.7328,57.12
132,1996.7589,48.22
133,1996.8131,18.79
134,1996.8404,-6.25
135,1996.8677,-14.29
136,1996.8947,-7.42
137,1996.9219,10.46
138,1996.9489,-27.24
139,1996.9761,3.07
140,1997.0039,52.88
141,1997.0302,6.48
142,1997.0578,23.63
143,1997.0836,50.24
144,1997.1389,-6.6
145,1997.1655,38.04
146,1997.1922,-15.54
147,1997.2206,9.4
148,1997.248,17.8
149,1997.2765,41.18
150,1997.3024,29.1
151,1997.3291,17.27
152,1997.3562,27.86
153,1997.3843,26.14
154,1997.4106,51.52
155,1997.4645,-17.7
156,1997.4921,17.76
157,1997.5188,40.82
158,1997.5462,25.55
159,1997.5737,4.18
160,1997.6278,46.4
161,1997.6551,21.86
162,1997.6824,13.63
163,1997.7091,27.53
164,1997.7367,51.94
165,1997.7909,59.45
166,1997.818,59.8
167,1997.8448,20.59
168,1997.8725,-18.52
169,1997.8992,-28.81
170,1997.9258,0.86
171,1997.9534,8.74
172,1997.9811,31.9
173,1998.0069,17.19
174,1998.0342,32.41
175,1998.0883,6.5
176,1998.1162,5.38
177,1998.1415,36.51
178,1998.1709,6.6
179,1998.1982,19.16
180,1998.2247,10.92
181,1998.2527,-4.68
182,1998.2802,-21.48
183,1998.3065,4.81
184,1998.3343,20.2
185,1998.3613,5.81
186,1998.4147,23.92
187,1998.4432,12.46
188,1998.47,-6.1
189,1998.4975,-16.36
190,1998.5233,-18.81
191,1998.5513,-13.1
192,1998.6051,22.35
193,1998.6321,-5.49
194,1998.6589,-20.37
195,1998.6869,-19.68
196,1998.7138,-32.78
197,1998.7408,-2.42
198,1998.7683,8.26
199,1998.8224,-37.61
200,1998.8495,-32.68
201,1998.8766,-20.76
202,1998.9035,7.3
203,1998.9306,-8.36
204,1998.9581,9.13
205,1998.9854,-0.25
206,1999.0135,12.05
207,1999.038,39.84
208,1999.0923,-29.69
209,1999.1232,-69.25
210,1999.1458,-48.7
211,1999.1754,-35.5
212,1999.2006,-9.51
213,1999.2262,-14.32
214,1999.2533,7.01
215,1999.2841,-15.04
216,1999.3391,16.87
217,1999.3659,8.04
218,1999.3929,13.41
219,1999.4191,6.84
220,1999.446,-12.6
221,1999.4738,6.5
222,1999.5011,-11.95
223,1999.528,-5.86
224,1999.5552,-23.43
225,1999.5825,-23.32
226,1999.6099,-9.82
227,1999.6372,-14.61
228,1999.6912,3.92
229,1999.7182,-20.68
230,1999.7457,12.55
231,1999.7723,7.71
232,1999.7994,17.32
233,1999.8266,23.86
234,1999.8538,-26.27
235,1999.8813,-25.81
236,1999.9071,-10.38
237,1999.962,70.64
238,1999.99,45.91
239,2000.0168,44.69
240,2000.0441,-15.3
241,2000.0689,-27.11
242,2000.0957,-31.92
243,2000.1257,-5.69
244,2000.1517,-0.53
245,2000.1779,-7.35
246,2000.207,9.96
247,2000.235,17.19
248,2000.29,18.18
249,2000.3173,28.28
250,2000.3438,8.1
251,2000.3699,0.25
252,2000.3968,23.64
253,2000.4236,-5.67
254,2000.4515,23.88
255,2000.4783,16.76
256,2000.5067,16.59
257,2000.5328,7.87
258,2000.5875,-7.46
259,2000.6144,13.17
260,2000.6408,10.59
261,2000.6684,26.39
262,2000.6956,-21.25
263,2000.7229,-6.76
264,2000.7494,13.68
265,2000.777,11.08
266,2000.8044,-1.04
267,2000.8588,-12.66
268,2000.8856,-45.77
269,2000.9136,-7.23
270,2000.9398,25.79
271,2000.967,-6.66
272,2000.9941,13.58
273,2001.0203,35.55
274,2001.0738,-64.52
275,2001.1001,-42.13
276,2001.1268,-49.13
277,2001.1567,4.72
278,2001.1826,13.8
279,2001.2143,3.18
280,2001.2395,44.73
281,2001.2637,-3.28
282,2001.2949,-14.35
283,2001.3209,-30.44
284,2001.3482,-37.92
285,2001.3753,13.26
286,2001.4034,-0.85
287,2001.4276,9.66
288,2001.4563,14.95
289,2001.482,18.17
290,2001.51,0.37
291,2001.5372,-21.1
292,2001.5633,-16.1
293,2001.5915,8.96
294,2001.6186,-9.79
295,2001.646,-0.77
296,2001.6724,8.52
297,2001.7,-7.51
298,2001.7276,-36.34
299,2001.7539,11.34
300,2001.7815,1.74
301,2001.8086,8.77
302,2001.8356,-16.8
303,2001.8628,-27.87
304,2001.8909,-22.76
305,2001.9169,41.69
306,2001.9565,59.57
307,2001.9709,-9.94
308,2001.9998,35.87
309,2002.0246,29.24
310,2002.052,-22.01
311,2002.0531,-18.86
312,2002.0777,-36.19
313,2002.0785,-40.98
314,2002.1077,0.16
315,2002.132,-5.74
316,2002.1321,-10.15
317,2002.1604,-18.25
318,2002.1608,-21.26
319,2002.1873,6.36
320,2002.1883,-5.27
321,2002.2148,-30.43
322,2002.2151,-8.07
323,2002.2448,-8.91
324,2002.2454,0.79
325,2002.2711,26.01
326,2002.2718,30.39
327,2002.2997,2.58
328,2002.2998,1.03
329,2002.3263,-17.44
330,2002.3265,-23.02
331,2002.3515,-25.15
332,2002.3516,-26.36
333,2002.3796,-26.0
334,2002.3798,-22.33
335,2002.4058,-27.94
336,2002.4059,-27.73
337,2002.4325,-7.46
338,2002.4329,-6.29
339,2002.46,3.7
340,2002.4604,12.99
341,2002.4875,8.04
