,time,sea_level_altitude
0,1992.8253,-14.64
1,1992.849,-18.34
2,1992.8779,-32.44
3,1992.9039,-15.64
4,1992.9296,-10.94
5,1992.9589,10.36
6,1992.9859,-37.14
7,1993.0121,-34.74
8,1993.0408,-37.74
9,1993.0637,-38.54
10,1993.097,-34.24
11,1993.1198,-24.54
12,1993.1504,10.66
13,1993.1751,-8.24
14,1993.2051,19.26
15,1993.2308,-17.84
16,1993.2851,-33.14
17,1993.3128,-27.14
18,1993.3394,-36.24
19,1993.3664,-40.04
20,1993.3929,-34.24
21,1993.4199,-25.14
22,1993.447,-41.94
23,1993.4735,-32.74
24,1993.5006,-23.64
25,1993.5287,-28.54
26,1993.5827,-14.44
27,1993.6108,-22.44
28,1993.6371,-22.04
29,1993.664,19.36
30,1993.6915,-9.84
31,1993.7184,-28.84
32,1993.7461,-3.94
33,1993.773,-17.34
34,1993.7998,-32.54
35,1993.8544,-19.04
36,1993.8818,-39.54
37,1993.9086,-59.84
38,1993.9349,-61.24
39,1993.9627,18.76
40,1993.9893,7.96
41,1994.0162,1.96
42,1994.0429,-7.34
43,1994.07,-25.24
44,1994.097,-50.74
45,1994.1267,-22.84
46,1994.153,7.16
47,1994.1813,1.76
48,1994.2325,-44.94
49,1994.263,-11.74
50,1994.2892,-34.84
51,1994.3167,-47.44
52,1994.3444,-69.54
53,1994.3704,-51.24
54,1994.397,-49.04
55,1994.4244,-61.34
56,1994.4516,-37.74
57,1994.5056,-21.04
58,1994.5328,-35.94
59,1994.5594,-6.44
60,1994.5874,-36.44
61,1994.6143,-30.24
62,1994.6412,21.46
63,1994.6684,24.06
64,1994.6953,24.46
65,1994.7227,20.46
66,1994.7502,17.36
67,1994.7769,-3.74
68,1994.8045,-7.84
69,1994.8314,20.36
70,1994.8859,-48.64
71,1994.9126,-21.74
72,1994.9401,-22.74
73,1994.9671,-1.44
74,1994.9939,2.96
75,1995.0225,-11.84
76,1995.0476,5.46
77,1995.0755,26.36
78,1995.1014,26.26
79,1995.132,70.96
80,1995.1563,4.86
81,1995.211,-17.94
82,1995.2385,-66.74
83,1995.2669,-24.44
84,1995.2939,-12.04
85,1995.3199,-24.44
86,1995.3749,-24.14
87,1995.4019,-6.34
88,1995.4288,-31.94
89,1995.455,-19.44
90,1995.4838,-1.34
91,1995.5375,14.96
92,1995.5646,3.36
93,1995.5917,-42.14
94,1995.6187,-17.04
95,1995.6457,14.06
96,1995.6731,6.06
97,1995.7004,21.66
98,1995.7272,33.06
99,1995.7551,25.06
100,1995.7818,-19.04
101,1995.8362,43.56
102,1995.8638,28.26
103,1995.8898,62.06
104,1995.9449,52.16
105,1995.9715,20.56
106,1995.9993,59.36
107,1996.0256,79.36
108,1996.0531,17.76
109,1996.0808,26.06
110,1996.1079,44.96
111,1996.1618,-12.94
112,1996.1883,3.26
113,1996.2132,-43.64
114,1996.2454,-8.74
115,1996.271,-3.04
116,1996.2974,-2.44
117,1996.3249,7.16
118,1996.3533,13.46
119,1996.3783,22.56
120,1996.4061,-37.44
121,1996.4332,-0.24
122,1996.4871,-26.14
123,1996.5142,0.76
124,1996.5419,23.36
125,1996.5687,5.76
126,1996.5962,16.46
127,1996.6237,8.86
128,1996.651,7.96
129,1996.6776,5.56
130,1996.7045,55.36
131,1996.7328,70.06
132,1996.7589,60.26
133,1996.8131,29.06
134,1996.8404,3.56
135,1996.8677,-4.54
136,1996.8947,2.66
137,1996.9219,21.16
138,1996.9489,-15.84
139,1996.9761,15.06
140,1997.0039,65.06
141,1997.0302,18.26
142,1997.0578,34.16
143,1997.0836,58.76
144,1997.1389,-5.14
145,1997.1655,35.06
146,1997.1922,-23.34
147,1997.2206,-3.54
148,1997.248,0.26
149,1997.2765,19.66
150,1997.3024,4.96
151,1997.3291,-8.34
152,1997.3562,2.16
153,1997.3843,1.86
154,1997.4106,29.86
155,1997.4645,-31.04
156,1997.4921,9.56
157,1997.5188,37.66
158,1997.5462,27.26
159,1997.5737,10.16
160,1997.6278,58.16
161,1997.6551,35.06
162,1997.6824,27.36
163,1997.7091,41.06
164,1997.7367,64.76
165,1997.7909,70.36
166,1997.818,69.96
167,1997.8448,30.36
168,1997.8725,-8.74
169,1997.8992,-18.64
170,1997.9258,11.66
171,1997.9534,20.26
172,1997.9811,43.96
173,1998.0069,29.36
174,1998.0342,44.06
175,1998.0883,14.56
176,1998.1162,10.16
177,1998.1415,37.56
178,1998.1709,2.66
179,1998.1982,10.26
180,1998.2247,-2.74
181,1998.2527,-22.94
182,1998.2802,-43.44
183,1998.3065,-19.64
184,1998.3343,-5.54
185,1998.3613,-19.74
186,1998.4147,2.76
187,1998.4432,-4.54
188,1998.47,-18.44
189,1998.4975,-23.54
190,1998.5233,-21.14
191,1998.5513,-10.54
192,1998.6051,32.16
193,1998.6321,6.56
194,1998.6589,-7.04
195,1998.6869,-5.94
196,1998.7138,-19.34
197,1998.7408,10.26
198,1998.7683,19.96
199,1998.8224,-27.54
200,1998.8495,-22.94
201,1998.8766,-10.94
202,1998.9035,17.56
203,1998.9306,2.56
204,1998.9581,20.76
205,1998.9854,11.86
206,1999.0135,24.16
207,1999.038,51.36
208,1999.0923,-22.04
209,1999.1232,-65.44
210,1999.1458,-48.34
211,1999.1754,-40.24
212,1999.2006,-18.84
213,1999.2262,-28.24
214,1999.2533,-11.34
215,1999.2841,-37.44
216,1999.3391,-8.94
217,1999.3659,-17.34
218,1999.3929,-10.14
219,1999.4191,-13.74
220,1999.446,-29.14
221,1999.4738,-5.14
222,1999.5011,-18.44
223,1999.528,-7.34
224,1999.5552,-20.24
225,1999.5825,-16.14
226,1999.6099,0.46
227,1999.6372,-2.24
228,1999.6912,17.66
229,1999.7182,-7.34
230,1999.7457,25.06
231,1999.7723,19.26
232,1999.7994,27.96
233,1999.8266,33.86
234,1999.8538,-16.54
235,1999.8813,-15.94
236,1999.9071,-0.04
237,1999.962,82.36
238,1999.99,58.06
239,2000.0168,56.76
240,2000.0441,-4.04
241,2000.0689,-17.34
242,2000.0957,-24.64
243,2000.1257,-2.24
244,2000.1517,-1.14
245,2000.1779,-12.54
246,2000.207,-0.54
247,2000.235,1.76
248,2000.29,-4.84
249,2000.3173,3.16
250,2000.3438,-17.74
251,2000.3699,-24.94
252,2000.3968,0.46
253,2000.4236,-25.64
254,2000.4515,8.26
255,2000.4783,5.96
256,2000.5067,11.16
257,2000.5328,7.26
258,2000.5875,0.36
259,2000.6144,23.86
260,2000.6408,23.16
261,2000.6684,39.96
262,2000.6956,-7.54
263,2000.7229,6.46
264,2000.7494,26.06
265,2000.777,22.46
266,2000.8044,9.46
267,2000.8588,-2.94
268,2000.8856,-35.84
269,2000.9136,3.26
270,2000.9398,36.96
271,2000.967,5.16
272,2000.9941,25.76
273,2001.0203,47.56
274,2001.0738,-55.14
275,2001.1001,-35.34
276,2001.1268,-45.84
277,2001.1567,3.26
278,2001.1826,7.76
279,2001.2143,-8.64
280,2001.2395,28.56
281,2001.2637,-23.14
282,2001.2949,-37.84
283,2001.3209,-55.74
284,2001.3482,-63.74
285,2001.3753,-11.64
286,2001.4034,-23.34
287,2001.4276,-9.74
288,2001.4563,0.16
289,2001.482,8.06
290,2001.51,-4.44
291,2001.5372,-20.94
292,2001.5633,-11.64
293,2001.5915,17.26
294,2001.6186,1.26
295,2001.646,12.06
296,2001.6724,22.16
297,2001.7,6.16
298,2001.7276,-23.24
299,2001.7539,23.56
300,2001.7815,12.96
301,2001.8086,19.16
302,2001.8356,-6.94
303,2001.8628,-18.14
304,2001.8909,-12.74
305,2001.9169,52.26
306,2001.9565,71.16
307,2001.9709,1.96
308,2001.9998,48.06
309,2002.0246,41.16
310,2002.052,-11.14
311,2002.0531,-8.79
312,2002.0777,-27.14
313,2002.0785,-35.19
314,2002.1077,3.185
315,2002.132,-10.59
316,2002.1321,-7.64
317,2002.1604,-20.34
318,2002.1608,-32.09
319,2002.1873,-0.54
320,2002.1883,-21.49
321,2002.2148,-42.34
322,2002.2151,-28.89
323,2002.2448,-25.94
324,2002.2454,-24.09
325,2002.2711,5.16
326,2002.2718,3.21
327,2002.2997,-21.34
328,2002.2998,-27.19
329,2002.3263,-45.29
330,2002.3265,-48.54
331,2002.3515,-51.49
332,2002.3516,-52.14
333,2002.3796,-49.49
334,2002.3798,-46.94
335,2002.4058,-47.89
336,2002.4059,-49.94
337,2002.4325,-26.14
338,2002.4329,-21.99
339,2002.46,-10.44
340,2002.4604,1.91
341,2002.4875,1.51
342,2002.4877,5.86
343,2002.5148,15.71
344,2002.5417,21.81
345,2002.5419,15.36
346,2002.5688,22.46
347,2002.5689,32.41
348,2002.5945,0.31
349,2002.5953,-8.64
350,2002.6226,15.86
351,2002.6229,14.11
352,2002.6504,31.01
353,2002.6547,22.86
354,2002.6771,11.01
355,2002.6783,32.66
356,2002.7044,3.21
357,2002.7064,13.96
358,2002.7313,1.01
359,2002.7322,19.86
360,2002.7587,-11.59
361,2002.7598,-6.34
362,2002.786,6.81
363,2002.7868,10.86
364,2002.813,41.11
365,2002.8158,52.06
366,2002.84,36.51
367,2002.8426,39.36
368,2002.8672,44.91
369,2002.8684,50.16
370,2002.8926,29.51
371,2002.8953,46.86
372,2002.922,63.41
373,2002.9229,58.46
374,2002.9487,20.71
375,2002.95,30.26
376,2002.9764,-7.19
377,2002.9765,-11.34
378,2003.0026,47.035
379,2003.029,22.11
