,time,sea_level_altitude
0,1992.8254,34.63
1,1992.8478,48.23
2,1992.8754,64.83
3,1992.9046,63.13
4,1992.9291,39.23
5,1992.9611,-4.47
6,1992.9858,-24.47
7,1993.0108,-35.67
8,1993.0382,2.53
9,1993.0639,8.23
10,1993.0967,-13.67
11,1993.1193,-85.17
12,1993.147,-83.17
13,1993.1764,-42.77
14,1993.2033,-83.67
15,1993.23,-68.27
16,1993.2845,-24.27
17,1993.3119,-101.17
18,1993.3389,-96.27
19,1993.3661,-96.77
20,1993.3932,-87.07
21,1993.4206,-114.37
22,1993.4475,-97.87
23,1993.4738,-111.77
24,1993.5017,-92.27
25,1993.5292,-79.77
26,1993.5833,-90.87
27,1993.6102,-72.67
28,1993.6375,-64.27
29,1993.6647,-35.07
30,1993.6921,-49.07
31,1993.7188,-52.07
32,1993.7463,-17.17
33,1993.7736,50.43
34,1993.8007,26.03
35,1993.8549,8.13
36,1993.8817,-3.37
37,1993.9092,23.63
38,1993.9363,28.33
39,1993.9631,102.13
40,1993.9905,56.53
41,1994.0178,-33.17
42,1994.0446,-6.87
43,1994.072,9.03
44,1994.0991,-51.47
45,1994.1264,-84.37
46,1994.1533,-46.17
47,1994.1805,-46.87
48,1994.2348,-4.67
49,1994.2618,-75.07
50,1994.289,-42.77
51,1994.3164,-74.47
52,1994.3432,-63.47
53,1994.3706,-88.17
54,1994.3982,-86.77
55,1994.425,-69.87
56,1994.4519,-93.97
57,1994.5061,-88.77
58,1994.5334,-58.77
59,1994.5607,-77.47
60,1994.5881,-80.87
61,1994.615,-105.67
62,1994.6422,-55.57
63,1994.6694,-63.77
64,1994.6966,-42.27
65,1994.7236,-14.37
66,1994.7505,14.83
67,1994.7779,1.23
68,1994.805,45.93
69,1994.832,59.83
70,1994.8863,40.63
71,1994.9132,-4.87
72,1994.9409,-5.87
73,1994.9678,52.33
74,1994.9952,22.83
75,1995.0223,13.83
76,1995.049,-2.47
77,1995.0765,42.53
78,1995.1037,50.33
79,1995.1307,-68.07
80,1995.1581,-45.97
81,1995.2122,-48.47
82,1995.2391,-71.37
83,1995.2663,-55.07
84,1995.2936,-82.87
85,1995.3209,-42.67
86,1995.375,-67.67
87,1995.4027,-78.27
88,1995.4297,-89.37
89,1995.4566,-95.47
90,1995.4839,-96.17
91,1995.5378,-70.37
92,1995.5648,-76.47
93,1995.5923,-62.47
94,1995.6195,-46.17
95,1995.6465,-42.37
96,1995.6738,-71.47
97,1995.7009,-25.97
98,1995.7282,36.33
99,1995.7549,1.13
100,1995.7827,9.13
101,1995.8367,69.03
102,1995.864,47.93
103,1995.8902,80.33
104,1995.9454,82.13
105,1995.9723,64.73
106,1996.0,59.13
107,1996.0267,-0.87
108,1996.0535,-11.67
109,1996.0805,30.93
110,1996.1076,13.83
111,1996.1625,-12.97
112,1996.1894,-95.57
113,1996.2144,-108.77
114,1996.2432,-81.87
115,1996.2711,-53.67
116,1996.2981,-28.67
117,1996.3253,-40.67
118,1996.3527,-52.07
119,1996.3795,-17.37
120,1996.4068,-51.57
121,1996.4338,-52.37
122,1996.4879,-69.57
123,1996.5152,-49.67
124,1996.5425,-35.97
125,1996.5707,-50.37
126,1996.5971,-72.17
127,1996.6239,-50.17
128,1996.6507,-46.97
129,1996.6783,-41.67
130,1996.7058,-13.67
131,1996.7336,19.23
132,1996.7595,48.33
133,1996.8142,73.13
134,1996.8412,64.33
135,1996.868,84.73
136,1996.8955,83.63
137,1996.9217,70.73
138,1996.9495,50.23
139,1996.9769,23.13
140,1997.004,9.33
141,1997.0313,70.93
142,1997.0583,-18.77
143,1997.0854,-11.27
144,1997.1399,41.33
145,1997.1669,-4.17
146,1997.1939,-48.97
147,1997.2211,-42.37
148,1997.2482,-28.27
149,1997.2755,-97.57
150,1997.3028,-65.77
151,1997.3298,-10.37
152,1997.3569,-58.07
153,1997.3843,-63.87
154,1997.411,-43.97
155,1997.4658,-45.17
156,1997.4926,-57.37
157,1997.5198,-78.47
158,1997.5472,-36.77
159,1997.5737,-17.57
160,1997.6282,-72.17
161,1997.6555,-18.07
162,1997.6824,-47.77
163,1997.7094,-4.77
164,1997.7374,33.43
165,1997.7912,-7.27
166,1997.8184,-2.37
167,1997.8455,66.23
168,1997.8729,-4.27
169,1997.8999,-27.77
170,1997.9271,41.53
171,1997.9542,26.83
172,1997.9813,-30.27
173,1998.0083,-18.67
174,1998.0357,-51.57
175,1998.0892,-9.77
176,1998.1166,-56.37
177,1998.1443,-64.97
178,1998.1714,-38.57
179,1998.1982,-75.17
180,1998.2255,-28.77
181,1998.2527,-41.27
182,1998.2803,-83.27
183,1998.3072,-62.17
184,1998.3341,-80.57
185,1998.3615,-68.67
186,1998.4159,-44.77
187,1998.443,-56.77
188,1998.4697,-59.17
189,1998.4969,-53.17
190,1998.5244,-63.67
191,1998.5518,-74.77
192,1998.6057,-42.27
193,1998.6326,-16.87
194,1998.66,-23.97
195,1998.687,-30.47
196,1998.7145,10.53
197,1998.7414,40.43
198,1998.7686,38.23
199,1998.8235,68.43
200,1998.8496,71.03
201,1998.8771,59.63
202,1998.9044,91.33
203,1998.9315,97.93
204,1998.9582,113.03
205,1998.9859,65.53
206,1999.0126,84.93
207,1999.04,86.53
208,1999.0941,28.13
209,1999.1248,8.83
210,1999.1487,-5.27
211,1999.1755,-43.17
212,1999.2031,-35.77
213,1999.23,11.73
214,1999.2567,30.43
215,1999.2847,-13.07
216,1999.3385,28.53
217,1999.3658,-20.57
218,1999.3929,-28.27
219,1999.42,-42.47
220,1999.4479,-43.47
221,1999.4742,-58.77
222,1999.5013,-41.47
223,1999.5281,-60.57
224,1999.5562,-52.17
225,1999.5834,-40.07
226,1999.6093,-38.07
227,1999.6374,-12.47
228,1999.6915,-11.57
229,1999.7187,10.73
230,1999.7456,77.43
231,1999.7734,84.23
232,1999.7999,139.73
233,1999.8271,99.93
234,1999.8544,104.43
235,1999.8816,104.13
236,1999.9062,117.83
237,1999.9631,162.93
238,1999.9904,103.73
239,2000.0174,20.93
240,2000.0446,29.13
241,2000.0719,136.23
242,2000.0988,70.23
243,2000.1256,1.63
244,2000.153,56.83
245,2000.1801,35.03
246,2000.2074,-4.37
247,2000.2347,19.03
248,2000.2889,-29.77
249,2000.3167,-47.67
250,2000.3431,-31.17
251,2000.37,-28.57
252,2000.3973,-16.37
253,2000.4243,-43.07
254,2000.4518,-26.87
255,2000.4787,-29.27
256,2000.5059,-8.97
257,2000.534,10.93
258,2000.5881,-47.37
259,2000.6144,-22.57
260,2000.6418,-25.07
261,2000.669,-4.97
262,2000.6962,23.53
263,2000.7233,68.83
264,2000.7502,26.23
265,2000.7774,37.03
266,2000.8045,67.13
267,2000.8591,92.43
268,2000.8858,117.13
269,2000.9139,82.93
270,2000.9402,73.83
271,2000.9677,96.43
272,2000.9944,86.43
273,2001.0214,52.83
274,2001.0757,30.13
275,2001.1031,53.83
276,2001.1305,82.33
277,2001.1577,27.83
278,2001.1847,40.03
279,2001.2122,-26.87
280,2001.2392,-23.47
281,2001.2659,-0.57
282,2001.2933,-5.17
283,2001.3203,-26.47
284,2001.3479,-13.97
285,2001.3749,-10.97
286,2001.4015,-30.37
287,2001.4288,-22.97
288,2001.4563,-39.37
289,2001.4834,-19.87
290,2001.5104,-7.57
291,2001.5377,-24.57
292,2001.5649,8.93
293,2001.5916,0.53
294,2001.6191,14.53
295,2001.6462,15.03
296,2001.6733,19.53
297,2001.7005,44.23
298,2001.728,69.13
299,2001.7547,63.43
300,2001.7824,75.43
301,2001.8093,95.63
302,2001.8364,79.13
303,2001.8634,142.23
304,2001.8914,124.23
305,2001.9177,52.53
306,2001.9563,109.33
307,2001.972,124.93
308,2001.9987,69.03
309,2002.0262,12.83
310,2002.0536,9.23
311,2002.054,15.4
312,2002.081,44.83
