,time,sea_level_altitude
0,1992.8254,-32.52
1,1992.8478,-25.44
2,1992.8754,-13.57
3,1992.9046,-16.04
4,1992.9291,-37.26
5,1992.9611,-73.3
6,1992.9858,-84.71
7,1993.0108,-85.46
8,1993.0382,-34.55
9,1993.0639,-16.48
10,1993.0967,-23.07
11,1993.1193,-84.89
12,1993.147,-72.46
13,1993.1764,-23.0
14,1993.2033,-57.47
15,1993.23,-37.29
16,1993.2845,12.84
17,1993.3119,-61.98
18,1993.3389,-55.18
19,1993.3661,-53.66
20,1993.3932,-41.72
21,1993.4206,-66.6
22,1993.4475,-47.82
23,1993.4738,-59.95
24,1993.5017,-39.55
25,1993.5292,-27.69
26,1993.5833,-46.34
27,1993.6102,-35.55
28,1993.6375,-37.21
29,1993.6647,-20.32
30,1993.6921,-48.51
31,1993.7188,-66.39
32,1993.7463,-47.03
33,1993.7736,5.87
34,1993.8007,-31.47
35,1993.8549,-67.12
36,1993.8817,-82.31
37,1993.9092,-55.26
38,1993.9363,-46.82
39,1993.9631,33.91
40,1993.9905,-1.87
41,1994.0178,-79.81
42,1994.0446,-40.88
43,1994.072,-11.81
44,1994.0991,-59.8
45,1994.1264,-81.26
46,1994.1533,-33.34
47,1994.1805,-26.01
48,1994.2348,27.02
49,1994.2618,-40.06
50,1994.289,-5.29
51,1994.3164,-34.96
52,1994.3432,-22.07
53,1994.3706,-44.7
54,1994.3982,-40.98
55,1994.425,-21.72
56,1994.4519,-43.58
57,1994.5061,-36.03
58,1994.5334,-6.96
59,1994.5607,-28.65
60,1994.5881,-37.48
61,1994.615,-70.14
62,1994.6422,-30.49
63,1994.6694,-51.34
64,1994.6966,-44.17
65,1994.7236,-31.41
66,1994.7505,-17.36
67,1994.7779,-45.52
68,1994.805,-13.41
69,1994.832,-9.47
70,1994.8863,-38.57
71,1994.9132,-83.43
72,1994.9409,-80.05
73,1994.9678,-14.38
74,1994.9952,-33.66
75,1995.0223,-30.74
76,1995.049,-34.36
77,1995.0765,23.82
78,1995.1037,44.02
79,1995.1307,-63.29
80,1995.1581,-31.59
81,1995.2122,-20.52
82,1995.2391,-39.08
83,1995.2663,-19.61
84,1995.2936,-45.03
85,1995.3209,-2.85
86,1995.375,-23.85
87,1995.4027,-32.09
88,1995.4297,-40.81
89,1995.4566,-44.74
90,1995.4839,-43.87
91,1995.5378,-18.89
92,1995.5648,-28.3
93,1995.5923,-20.14
94,1995.6195,-12.2
95,1995.6465,-19.15
96,1995.6738,-61.26
97,1995.7009,-30.24
98,1995.7282,16.68
99,1995.7549,-33.49
100,1995.7827,-40.0
101,1995.8367,-1.69
102,1995.864,-28.98
103,1995.8902,0.99
104,1995.9454,9.0
105,1995.9723,-0.46
106,1996.0,4.65
107,1996.0267,-43.39
108,1996.0535,-41.39
109,1996.0805,14.1
110,1996.1076,9.21
111,1996.1625,2.78
112,1996.1894,-72.48
113,1996.2144,-80.41
114,1996.2432,-49.03
115,1996.2711,-17.74
116,1996.2981,9.51
117,1996.3253,-0.54
118,1996.3527,-9.98
119,1996.3795,26.82
120,1996.4068,-5.03
121,1996.4338,-3.45
122,1996.4879,-17.13
123,1996.5152,2.96
124,1996.5425,15.1
125,1996.5707,-3.23
126,1996.5971,-31.13
127,1996.6239,-17.79
128,1996.6507,-25.63
129,1996.6783,-33.78
130,1996.7058,-20.66
131,1996.7336,-3.48
132,1996.7595,11.21
133,1996.8142,10.07
134,1996.8412,-7.66
135,1996.868,7.22
136,1996.8955,4.23
137,1996.9217,-6.87
138,1996.9495,-21.88
139,1996.9769,-40.44
140,1997.004,-43.44
141,1997.0313,30.57
142,1997.0583,-46.17
143,1997.0854,-25.82
144,1997.1399,49.53
145,1997.1669,12.9
146,1997.1939,-24.83
147,1997.2211,-12.83
148,1997.2482,5.2
149,1997.2755,-61.24
150,1997.3028,-27.24
151,1997.3298,30.08
152,1997.3569,-15.66
153,1997.3843,-19.28
154,1997.411,2.95
155,1997.4658,6.19
156,1997.4926,-4.79
157,1997.5198,-25.97
158,1997.5472,13.82
159,1997.5737,29.0
160,1997.6282,-41.41
161,1997.6555,1.07
162,1997.6824,-42.02
163,1997.7094,-13.78
164,1997.7374,8.57
165,1997.7912,-60.48
166,1997.8184,-67.02
167,1997.8455,-6.88
168,1997.8729,-82.4
169,1997.8999,-107.11
170,1997.9271,-35.28
171,1997.9542,-44.01
172,1997.9813,-92.23
173,1998.0083,-69.57
174,1998.0357,-89.84
175,1998.0892,-22.57
176,1998.1166,-57.2
177,1998.1443,-55.2
178,1998.1714,-20.19
179,1998.1982,-50.06
180,1998.2255,1.5
181,1998.2527,-7.27
182,1998.2803,-46.51
183,1998.3072,-23.32
184,1998.3341,-39.82
185,1998.3615,-25.91
186,1998.4159,2.58
187,1998.443,-7.08
188,1998.4697,-7.58
189,1998.4969,-0.5
190,1998.5244,-11.35
191,1998.5518,-24.72
192,1998.6057,-3.74
193,1998.6326,12.17
194,1998.66,-6.95
195,1998.687,-27.16
196,1998.7145,-1.35
197,1998.7414,13.31
198,1998.7686,-3.74
199,1998.8235,1.94
200,1998.8496,-3.07
201,1998.8771,-18.94
202,1998.9044,12.15
203,1998.9315,21.86
204,1998.9582,43.33
205,1998.9859,5.32
206,1999.0126,35.94
207,1999.04,50.32
208,1999.0941,17.56
209,1999.1248,11.31
210,1999.1487,6.02
211,1999.1755,-23.65
212,1999.2031,-9.62
213,1999.23,42.71
214,1999.2567,64.89
215,1999.2847,24.06
216,1999.3385,69.59
217,1999.3658,22.52
218,1999.3929,17.06
219,1999.42,5.24
220,1999.4479,6.61
221,1999.4742,-6.92
222,1999.5013,11.25
223,1999.5281,-8.43
224,1999.5562,-2.69
225,1999.5834,4.44
226,1999.6093,-0.66
227,1999.6374,14.63
228,1999.6915,-10.68
229,1999.7187,-3.53
230,1999.7456,47.96
231,1999.7734,39.77
232,1999.7999,82.58
233,1999.8271,32.21
234,1999.8544,29.28
235,1999.8816,25.2
236,1999.9062,38.75
237,1999.9631,94.71
238,1999.9904,45.29
239,2000.0174,-25.89
240,2000.0446,-4.88
241,2000.0719,115.34
242,2000.0988,61.76
243,2000.1256,4.43
244,2000.153,69.56
245,2000.1801,55.78
246,2000.2074,22.66
247,2000.2347,50.7
248,2000.2889,7.7
249,2000.3167,-8.14
250,2000.3431,10.22
251,2000.37,14.85
252,2000.3973,29.34
253,2000.4243,5.02
254,2000.4518,23.51
255,2000.4787,22.8
256,2000.5059,43.77
257,2000.534,62.7
258,2000.5881,-3.98
259,2000.6144,13.16
260,2000.6418,0.18
261,2000.669,7.66
262,2000.6962,21.85
263,2000.7233,51.96
264,2000.7502,-5.8
265,2000.7774,-9.46
266,2000.8045,8.0
267,2000.8591,16.36
268,2000.8858,37.95
269,2000.9139,4.43
270,2000.9402,-0.5
271,2000.9677,29.69
272,2000.9944,29.61
273,2001.0214,7.85
274,2001.0757,11.05
275,2001.1031,47.26
276,2001.1305,87.03
277,2001.1577,42.08
278,2001.1847,61.97
279,2001.2122,1.08
280,2001.2392,8.84
281,2001.2659,34.85
282,2001.2933,32.65
283,2001.3203,13.31
284,2001.3479,27.77
285,2001.3749,32.85
286,2001.4015,15.71
287,2001.4288,25.52
288,2001.4563,11.34
289,2001.4834,32.41
290,2001.5104,45.14
291,2001.5377,26.92
292,2001.5649,57.09
293,2001.5916,43.04
294,2001.6191,48.64
295,2001.6462,38.38
296,2001.6733,29.99
297,2001.7005,40.18
298,2001.728,49.59
299,2001.7547,28.92
300,2001.7824,26.45
301,2001.8093,34.51
302,2001.8364,8.49
303,2001.8634,65.41
304,2001.8914,44.86
305,2001.9177,-25.57
306,2001.9563,39.08
307,2001.972,59.64
308,2001.9987,14.0
309,2002.0262,-29.92
310,2002.0536,-20.44
311,2002.054,-24.12
312,2002.081,28.24
313,2002.0818,19.1
314,2002.1076,18.61
315,2002.1079,9.31
316,2002.1349,37.01
317,2002.162,8.030000000000001
318,2002.1887,6.05
319,2002.1899,8.11
320,2002.2161,-20.575
321,2002.2436,-15.57
322,2002.2437,-21.47
323,2002.2705,-7.6
324,2002.2716,2.03
325,2002.2981,16.03
326,2002.2983,14.83
327,2002.325,29.54
328,2002.3251,35.55
329,2002.3516,27.94
330,2002.3526,19.71
331,2002.3797,15.055
332,2002.4066,23.84
333,2002.407,25.39
334,2002.4327,21.45
335,2002.4336,21.68
336,2002.4608,4.14
337,2002.461,1.67
338,2002.4877,18.51
