,time,sea_level_altitude
0,1992.8254,-32.62
1,1992.8478,-25.55
2,1992.8754,-13.68
3,1992.9046,-16.14
4,1992.9291,-37.36
5,1992.9611,-73.41
6,1992.9858,-84.82
7,1993.0108,-85.57
8,1993.0382,-34.65
9,1993.0639,-16.58
10,1993.0967,-23.18
11,1993.1193,-85.0
12,1993.147,-72.57
13,1993.1764,-23.11
14,1993.2033,-57.58
15,1993.23,-37.4
16,1993.2845,12.74
17,1993.3119,-62.09
18,1993.3389,-55.29
19,1993.3661,-53.76
20,1993.3932,-41.82
21,1993.4206,-66.71
22,1993.4475,-47.93
23,1993.4738,-60.05
24,1993.5017,-39.65
25,1993.5292,-27.8
26,1993.5833,-46.44
27,1993.6102,-35.66
28,1993.6375,-37.32
29,1993.6647,-20.42
30,1993.6921,-48.61
31,1993.7188,-66.49
32,1993.7463,-47.13
33,1993.7736,5.77
34,1993.8007,-31.57
35,1993.8549,-67.23
36,1993.8817,-82.41
37,1993.9092,-55.36
38,1993.9363,-46.93
39,1993.9631,33.81
40,1993.9905,-1.97
41,1994.0178,-79.91
42,1994.0446,-40.98
43,1994.072,-11.91
44,1994.0991,-59.91
45,1994.1264,-81.36
46,1994.1533,-33.45
47,1994.1805,-26.12
48,1994.2348,26.91
49,1994.2618,-40.17
50,1994.289,-5.4
51,1994.3164,-35.07
52,1994.3432,-22.18
53,1994.3706,-44.8
54,1994.3982,-41.09
55,1994.425,-21.82
56,1994.4519,-43.69
57,1994.5061,-36.14
58,1994.5334,-7.06
59,1994.5607,-28.75
60,1994.5881,-37.58
61,1994.615,-70.24
62,1994.6422,-30.59
63,1994.6694,-51.45
64,1994.6966,-44.27
65,1994.7236,-31.52
66,1994.7505,-17.47
67,1994.7779,-45.62
68,1994.805,-13.52
69,1994.832,-9.58
70,1994.8863,-38.68
71,1994.9132,-83.54
72,1994.9409,-80.15
73,1994.9678,-14.48
74,1994.9952,-33.76
75,1995.0223,-30.84
76,1995.049,-34.46
77,1995.0765,23.72
78,1995.1037,43.92
79,1995.1307,-63.4
80,1995.1581,-31.7
81,1995.2122,-20.62
82,1995.2391,-39.18
83,1995.2663,-19.71
84,1995.2936,-45.14
85,1995.3209,-2.95
86,1995.375,-23.95
87,1995.4027,-32.19
88,1995.4297,-40.91
89,1995.4566,-44.84
90,1995.4839,-43.98
91,1995.5378,-18.99
92,1995.5648,-28.4
93,1995.5923,-20.24
94,1995.6195,-12.3
95,1995.6465,-19.26
96,1995.6738,-61.37
97,1995.7009,-30.34
98,1995.7282,16.57
99,1995.7549,-33.59
100,1995.7827,-40.11
101,1995.8367,-1.8
102,1995.864,-29.09
103,1995.8902,0.89
104,1995.9454,8.89
105,1995.9723,-0.56
106,1996.0,4.54
107,1996.0267,-43.49
108,1996.0535,-41.49
109,1996.0805,14.0
110,1996.1076,9.11
111,1996.1625,2.68
112,1996.1894,-72.58
113,1996.2144,-80.51
114,1996.2432,-49.14
115,1996.2711,-17.85
116,1996.2981,9.41
117,1996.3253,-0.64
118,1996.3527,-10.08
119,1996.3795,26.72
120,1996.4068,-5.13
121,1996.4338,-3.56
122,1996.4879,-17.23
123,1996.5152,2.86
124,1996.5425,14.99
125,1996.5707,-3.34
126,1996.5971,-31.23
127,1996.6239,-17.9
128,1996.6507,-25.73
129,1996.6783,-33.88
130,1996.7058,-20.77
131,1996.7336,-3.59
132,1996.7595,11.11
133,1996.8142,9.96
134,1996.8412,-7.76
135,1996.868,7.12
136,1996.8955,4.13
137,1996.9217,-6.98
138,1996.9495,-21.98
139,1996.9769,-40.54
140,1997.004,-43.55
141,1997.0313,30.47
142,1997.0583,-46.28
143,1997.0854,-25.92
144,1997.1399,49.43
145,1997.1669,12.8
146,1997.1939,-24.93
147,1997.2211,-12.93
148,1997.2482,5.09
149,1997.2755,-61.34
150,1997.3028,-27.34
151,1997.3298,29.97
152,1997.3569,-15.77
153,1997.3843,-19.38
154,1997.411,2.84
155,1997.4658,6.08
156,1997.4926,-4.9
157,1997.5198,-26.07
158,1997.5472,13.71
159,1997.5737,28.89
160,1997.6282,-41.51
161,1997.6555,0.97
162,1997.6824,-42.12
163,1997.7094,-13.89
164,1997.7374,8.46
165,1997.7912,-60.58
166,1997.8184,-67.13
167,1997.8455,-6.98
168,1997.8729,-82.51
169,1997.8999,-107.21
170,1997.9271,-35.39
171,1997.9542,-44.12
172,1997.9813,-92.33
173,1998.0083,-69.67
174,1998.0357,-89.94
175,1998.0892,-22.67
176,1998.1166,-57.3
177,1998.1443,-55.31
178,1998.1714,-20.3
179,1998.1982,-50.17
180,1998.2255,1.4
181,1998.2527,-7.37
182,1998.2803,-46.62
183,1998.3072,-23.42
184,1998.3341,-39.93
185,1998.3615,-26.02
186,1998.4159,2.48
187,1998.443,-7.19
188,1998.4697,-7.68
189,1998.4969,-0.61
190,1998.5244,-11.45
191,1998.5518,-24.82
192,1998.6057,-3.84
193,1998.6326,12.07
194,1998.66,-7.05
195,1998.687,-27.27
196,1998.7145,-1.46
197,1998.7414,13.21
198,1998.7686,-3.84
199,1998.8235,1.84
200,1998.8496,-3.17
201,1998.8771,-19.04
202,1998.9044,12.05
203,1998.9315,21.76
204,1998.9582,43.22
205,1998.9859,5.22
206,1999.0126,35.84
207,1999.04,50.21
208,1999.0941,17.46
209,1999.1248,11.21
210,1999.1487,5.91
211,1999.1755,-23.75
212,1999.2031,-9.72
213,1999.23,42.6
214,1999.2567,64.78
215,1999.2847,23.95
216,1999.3385,69.48
217,1999.3658,22.42
218,1999.3929,16.95
219,1999.42,5.14
220,1999.4479,6.5
221,1999.4742,-7.03
222,1999.5013,11.15
223,1999.5281,-8.53
224,1999.5562,-2.8
225,1999.5834,4.33
226,1999.6093,-0.77
227,1999.6374,14.52
228,1999.6915,-10.79
229,1999.7187,-3.64
230,1999.7456,47.86
231,1999.7734,39.67
232,1999.7999,82.48
233,1999.8271,32.11
234,1999.8544,29.18
235,1999.8816,25.09
236,1999.9062,38.64
237,1999.9631,94.61
238,1999.9904,45.19
239,2000.0174,-25.99
240,2000.0446,-4.98
241,2000.0719,115.24
242,2000.0988,61.66
243,2000.1256,4.32
244,2000.153,69.45
245,2000.1801,55.68
246,2000.2074,22.55
247,2000.2347,50.6
248,2000.2889,7.6
249,2000.3167,-8.25
250,2000.3431,10.11
251,2000.37,14.75
252,2000.3973,29.23
253,2000.4243,4.92
254,2000.4518,23.41
255,2000.4787,22.7
256,2000.5059,43.66
257,2000.534,62.6
258,2000.5881,-4.08
259,2000.6144,13.06
260,2000.6418,0.08
261,2000.669,7.55
262,2000.6962,21.75
263,2000.7233,51.85
264,2000.7502,-5.9
265,2000.7774,-9.57
266,2000.8045,7.89
267,2000.8591,16.26
268,2000.8858,37.85
269,2000.9139,4.33
270,2000.9402,-0.61
271,2000.9677,29.58
272,2000.9944,29.51
273,2001.0214,7.74
274,2001.0757,10.94
275,2001.1031,47.16
276,2001.1305,86.93
277,2001.1577,41.98
278,2001.1847,61.86
279,2001.2122,0.98
280,2001.2392,8.73
281,2001.2659,34.75
282,2001.2933,32.54
283,2001.3203,13.21
284,2001.3479,27.66
285,2001.3749,32.74
286,2001.4015,15.6
287,2001.4288,25.41
288,2001.4563,11.24
289,2001.4834,32.3
290,2001.5104,45.04
291,2001.5377,26.82
292,2001.5649,56.98
293,2001.5916,42.94
294,2001.6191,48.54
295,2001.6462,38.28
296,2001.6733,29.89
297,2001.7005,40.08
298,2001.728,49.49
299,2001.7547,28.82
300,2001.7824,26.34
301,2001.8093,34.41
302,2001.8364,8.39
303,2001.8634,65.31
304,2001.8914,44.76
305,2001.9177,-25.67
306,2001.9563,38.97
307,2001.972,59.53
308,2001.9987,13.89
309,2002.0262,-30.03
310,2002.0536,-20.54
311,2002.054,-23.12
312,2002.081,28.13
313,2002.0818,20.1
314,2002.1076,18.51
315,2002.1079,10.31
316,2002.1349,37.46
317,2002.162,8.475
318,2002.1887,5.95
319,2002.1899,9.11
320,2002.2161,-20.125
321,2002.2436,-14.57
322,2002.2437,-21.57
323,2002.2705,-7.7
324,2002.2716,3.03
325,2002.2981,17.03
326,2002.2983,14.72
327,2002.325,29.43
328,2002.3251,36.55
329,2002.3516,28.94
330,2002.3526,19.61
331,2002.3797,15.504999999999999
332,2002.4066,24.84
333,2002.407,25.29
334,2002.4327,21.35
335,2002.4336,22.68
336,2002.4608,5.14
337,2002.461,1.57
338,2002.4877,19.51
339,2002.488,21.27
340,2002.5151,14.69
341,2002.5421,29.2
342,2002.5423,17.41
343,2002.5693,39.92
344,2002.5694,49.86
345,2002.5963,26.59
346,2002.5966,27.61
347,2002.6224,-6.45
348,2002.6239,7.03
349,2002.6509,36.44
350,2002.6546,17.49
351,2002.6772,-5.41
352,2002.6779,5.22
353,2002.7052,-14.4
354,2002.7054,-10.94
355,2002.7314,9.76
356,2002.7324,14.44
357,2002.7585,-11.65
358,2002.7598,4.51
359,2002.7851,22.42
360,2002.7862,12.48
361,2002.8127,-17.15
362,2002.8139,-24.26
363,2002.8396,12.48
364,2002.8408,19.02
365,2002.867,-15.64
366,2002.8679,-20.85
367,2002.8949,19.27
368,2002.8951,17.63
369,2002.9207,-14.01
370,2002.922,-22.02
371,2002.9479,38.41
372,2002.9494,35.46
373,2002.9755,6.66
374,2002.9765,-1.75
375,2003.0036,49.58
376,2003.0038,51.0
377,2003.0292,65.58
378,2003.0308,28.6
379,2003.057,-1.8
380,2003.0579,-6.44
381,2003.0849,56.75
382,2003.0853,43.56
383,2003.1112,70.44
384,2003.1122,42.04
385,2003.1386,17.45
386,2003.1397,12.32
387,2003.1655,-12.82
388,2003.1666,-6.18
389,2003.1929,49.74
390,2003.1937,49.14
391,2003.2207,45.6
392,2003.2208,26.81
393,2003.2455,-5.64
394,2003.248,-24.73
395,2003.2749,4.1
396,2003.2785,10.92
397,2003.3017,24.98
398,2003.3024,3.87
399,2003.3287,7.99
400,2003.3296,-0.42
401,2003.3556,8.13
402,2003.3566,6.34
403,2003.3829,21.5
404,2003.3838,19.16
405,2003.4108,15.51
406,2003.4114,43.28
407,2003.4383,-5.75
408,2003.4387,7.46
409,2003.464,2.27
410,2003.465,2.33
411,2003.4913,-27.03
412,2003.4925,-21.45
413,2003.5193,8.27
414,2003.5465,9.79
415,2003.5471,14.76
416,2003.5736,-4.43
417,2003.5819,25.47
418,2003.6005,2.81
419,2003.6008,7.38
420,2003.6279,22.6
421,2003.628,26.18
422,2003.6552,26.81
423,2003.6556,37.21
424,2003.6806,-8.38
425,2003.6823,-5.37
426,2003.7088,-9.65
427,2003.7097,13.16
428,2003.737,19.0
429,2003.7372,20.58
430,2003.7628,42.13
431,2003.7638,45.77
432,2003.7901,15.74
433,2003.7913,19.29
434,2003.8173,25.18
435,2003.8181,35.71
436,2003.8443,-12.28
437,2003.8454,-6.89
438,2003.8698,0.79
439,2003.8713,17.08
