,time,sea_level_altitude
0,1992.8254,34.52
1,1992.8478,48.12
2,1992.8754,64.72
3,1992.9046,63.02
4,1992.9291,39.12
5,1992.9611,-4.58
6,1992.9858,-24.58
7,1993.0108,-35.78
8,1993.0382,2.42
9,1993.0639,8.12
10,1993.0967,-13.78
11,1993.1193,-85.28
12,1993.147,-83.28
13,1993.1764,-42.88
14,1993.2033,-83.78
15,1993.23,-68.38
16,1993.2845,-24.38
17,1993.3119,-101.28
18,1993.3389,-96.38
19,1993.3661,-96.88
20,1993.3932,-87.18
21,1993.4206,-114.48
22,1993.4475,-97.98
23,1993.4738,-111.88
24,1993.5017,-92.38
25,1993.5292,-79.88
26,1993.5833,-90.98
27,1993.6102,-72.78
28,1993.6375,-64.38
29,1993.6647,-35.18
30,1993.6921,-49.18
31,1993.7188,-52.18
32,1993.7463,-17.28
33,1993.7736,50.32
34,1993.8007,25.92
35,1993.8549,8.02
36,1993.8817,-3.48
37,1993.9092,23.52
38,1993.9363,28.22
39,1993.9631,102.02
40,1993.9905,56.42
41,1994.0178,-33.28
42,1994.0446,-6.98
43,1994.072,8.92
44,1994.0991,-51.58
45,1994.1264,-84.48
46,1994.1533,-46.28
47,1994.1805,-46.98
48,1994.2348,-4.78
49,1994.2618,-75.18
50,1994.289,-42.88
51,1994.3164,-74.58
52,1994.3432,-63.58
53,1994.3706,-88.28
54,1994.3982,-86.88
55,1994.425,-69.98
56,1994.4519,-94.08
57,1994.5061,-88.88
58,1994.5334,-58.88
59,1994.5607,-77.58
60,1994.5881,-80.98
61,1994.615,-105.78
62,1994.6422,-55.68
63,1994.6694,-63.88
64,1994.6966,-42.38
65,1994.7236,-14.48
66,1994.7505,14.72
67,1994.7779,1.12
68,1994.805,45.82
69,1994.832,59.72
70,1994.8863,40.52
71,1994.9132,-4.98
72,1994.9409,-5.98
73,1994.9678,52.22
74,1994.9952,22.72
75,1995.0223,13.72
76,1995.049,-2.58
77,1995.0765,42.42
78,1995.1037,50.22
79,1995.1307,-68.18
80,1995.1581,-46.08
81,1995.2122,-48.58
82,1995.2391,-71.48
83,1995.2663,-55.18
84,1995.2936,-82.98
85,1995.3209,-42.78
86,1995.375,-67.78
87,1995.4027,-78.38
88,1995.4297,-89.48
89,1995.4566,-95.58
90,1995.4839,-96.28
91,1995.5378,-70.48
92,1995.5648,-76.58
93,1995.5923,-62.58
94,1995.6195,-46.28
95,1995.6465,-42.48
96,1995.6738,-71.58
97,1995.7009,-26.08
98,1995.7282,36.22
99,1995.7549,1.02
100,1995.7827,9.02
101,1995.8367,68.92
102,1995.864,47.82
103,1995.8902,80.22
104,1995.9454,82.02
105,1995.9723,64.62
106,1996.0,59.02
107,1996.0267,-0.98
108,1996.0535,-11.78
109,1996.0805,30.82
110,1996.1076,13.72
111,1996.1625,-13.08
112,1996.1894,-95.68
113,1996.2144,-108.88
114,1996.2432,-81.98
115,1996.2711,-53.78
116,1996.2981,-28.78
117,1996.3253,-40.78
118,1996.3527,-52.18
119,1996.3795,-17.48
120,1996.4068,-51.68
121,1996.4338,-52.48
122,1996.4879,-69.68
123,1996.5152,-49.78
124,1996.5425,-36.08
125,1996.5707,-50.48
126,1996.5971,-72.28
127,1996.6239,-50.28
128,1996.6507,-47.08
129,1996.6783,-41.78
130,1996.7058,-13.78
131,1996.7336,19.12
132,1996.7595,48.22
133,1996.8142,73.02
134,1996.8412,64.22
135,1996.868,84.62
136,1996.8955,83.52
137,1996.9217,70.62
138,1996.9495,50.12
139,1996.9769,23.02
140,1997.004,9.22
141,1997.0313,70.82
142,1997.0583,-18.88
143,1997.0854,-11.38
144,1997.1399,41.22
145,1997.1669,-4.28
146,1997.1939,-49.08
147,1997.2211,-42.48
148,1997.2482,-28.38
149,1997.2755,-97.68
150,1997.3028,-65.88
151,1997.3298,-10.48
